Gene	interpro	PANTHER	MobiDBLite	Pfam	Phobius	TMHMM	GO	PRINTS	Gene3D	SUPERFAMILY	CDD	SMART	ProSitePatterns	ProSiteProfiles	SignalP_GRAM_POSITIVE	PATHWAY	PIRSF	Hamap	Coils	SFLD	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	ProDom
augustus_masked-NODE_28_length_165981_cov_49.966302-processed-gene-0.5-mRNA-1	IPR000061	PTHR23140	mobidb-lite	PF01805	NA	NA	GO:0003723;GO:0006396	NA	G3DSA:1.10.10.790	SSF109905	NA	NA	NA	PS51391	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_86_length_89937_cov_46.211458-snap-gene-0.65-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_32_length_154693_cov_49.520664-processed-gene-0.225-mRNA-1	IPR011614	PTHR42821:SF1;PTHR42821	NA	PF00199;PF18011;PF06628	NA	NA	GO:0004096;GO:0020037;GO:0055114;GO:0006979	PR00067	G3DSA:1.20.1370.20;G3DSA:2.40.180.10;G3DSA:3.40.50.880	SSF52317;SSF56634	cd03132	SM01060	PS00437;PS00438	PS51402	NA	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241	PIRSF038927	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_174_length_50259_cov_50.435231-processed-gene-0.23-mRNA-1	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	G3DSA:2.60.40.1190	SSF49344	cd09620	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_211_length_37622_cov_49.902654-processed-gene-0.71-mRNA-1	NA	PTHR35587	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_98794_cov_47.697082-augustus-gene-0.35-mRNA-1	IPR007266	PTHR12613:SF0;PTHR12613	NA	PF04137	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	GO:0003756;GO:0005783;GO:0016671;GO:0055114	NA	NA	SSF110019	NA	NA	NA	NA	SignalP-TM	Reactome: R-HSA-264876	PIRSF017205	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_23_length_181327_cov_50.490110-processed-gene-0.19-mRNA-1	IPR008183	PTHR10091;PTHR10091:SF0	NA	PF01263	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	GO:0005975;GO:0016853;GO:0003824;GO:0030246	NA	G3DSA:2.70.98.10	SSF74650	cd09019	NA	PS00545	NA	NA	KEGG: 00010+5.1.3.3|KEGG: 00052+5.1.3.3|MetaCyc: PWY-6317	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_195538_cov_49.404419-snap-gene-0.413-mRNA-1	IPR005772	PTHR13861	NA	PF01990	NA	NA	GO:0015991;GO:0033180;GO:0046961;GO:0034220	NA	G3DSA:3.40.50.10580	SSF159468	NA	NA	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PIRSF015945	NA	NA	NA	TIGR01101	NA	NA	NA
maker-NODE_59_length_113128_cov_47.297157-snap-gene-0.255-mRNA-1	IPR024969	PTHR10410;PTHR10410:SF5	mobidb-lite	PF13012;PF01398	NA	NA	GO:0005515	NA	G3DSA:3.40.140.10	SSF102712	cd08069	SM00232	NA	PS50249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_219_length_35608_cov_44.908853-snap-gene-0.10-mRNA-1	IPR021719	PTHR39600:SF1;PTHR39600	NA	PF11720	NA	NA	NA	NA	G3DSA:3.30.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_263_length_26602_cov_45.069462-processed-gene-0.12-mRNA-1	IPR000092	PTHR12001:SF44;PTHR12001	NA	PF00348	NA	NA	GO:0008299	NA	G3DSA:1.10.600.10	SSF48576	NA	NA	PS00723;PS00444	NA	NA	NA	NA	NA	NA	SFLDS00005	NA	NA	NA	NA
augustus_masked-NODE_141_length_61473_cov_48.100349-processed-gene-0.21-mRNA-1	IPR015883	PTHR22600	NA	PF00728;PF14845	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0004553;GO:0005975;GO:0004563	PR00738	G3DSA:3.30.379.10;G3DSA:3.20.20.80	SSF51445;SSF55545	NA	NA	NA	NA	SignalP-TM	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883	PIRSF001093	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_81_length_94020_cov_16.628141-snap-gene-0.20-mRNA-1	IPR002646	PTHR13734:SF5;PTHR13734	NA	PF12627;PF01743	NA	NA	GO:0003723;GO:0006396;GO:0016779	NA	G3DSA:3.30.460.10	SSF81891;SSF81301	cd05398	NA	NA	NA	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_126150_cov_49.100569-snap-gene-0.22-mRNA-1	IPR011421	PTHR23227:SF51;PTHR23227	mobidb-lite	PF07572	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_103_length_78628_cov_49.032420-processed-gene-0.12-mRNA-1	IPR023213	PTHR31896;PTHR31896:SF12	NA	NA	NA	NA		NA	G3DSA:3.30.559.10	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_93810_cov_48.739259-snap-gene-0.195-mRNA-1	IPR004516	PTHR11476	mobidb-lite	PF13393;PF03129	NA	NA	GO:0005737	NA	G3DSA:3.30.930.10;G3DSA:3.40.50.800	SSF52954;SSF55681	cd00859;cd00773	NA	NA	NA	NA	KEGG: 00970+6.1.1.21	PIRSF001549	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_121_length_68883_cov_50.303523-processed-gene-0.1-mRNA-1	IPR006032	PTHR11652:SF1;PTHR11652	NA	PF00164	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015935	PR01034	G3DSA:2.40.50.140	SSF50249	cd03368	NA	NA	NA	SignalP-TM	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PIRSF002133	NA	NA	NA	TIGR00981	NA	NA	NA
augustus_masked-NODE_75_length_99081_cov_44.881773-processed-gene-0.252-mRNA-1	IPR027370	PTHR13063	mobidb-lite	PF13445	NA	NA	GO:0061630	NA	G3DSA:3.30.40.10	SSF57850	cd16513	NA	PS00518	PS50089	NA	Reactome: R-HSA-203754	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_99_length_85189_cov_45.713421-processed-gene-0.220-mRNA-1	IPR001736	PTHR21248;PTHR21248:SF11	mobidb-lite	PF13091	NA	NA	GO:0003824	NA	G3DSA:3.30.870.10	SSF56024	cd00138	NA	NA	PS50035	NA	Reactome: R-HSA-1483148	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_88_length_89743_cov_48.178350-snap-gene-0.109-mRNA-1	IPR018321	PTHR11280;PTHR11280:SF17	mobidb-lite	PF01182	NA	NA	GO:0004342;GO:0006044;GO:0005975	NA	G3DSA:3.40.50.1360	SSF100950	cd01399	NA	PS01161	NA	NA	KEGG: 00520+3.5.99.6|MetaCyc: PWY-5514|MetaCyc: PWY-6855|MetaCyc: PWY-6906|Reactome: R-HSA-70171	NA	MF_01241	NA	NA	TIGR00502	NA	NA	NA
snap_masked-NODE_177_length_49347_cov_47.724441-processed-gene-0.9-mRNA-1	IPR024370	PTHR37945	NA	PF12849	NA	NA	NA	NA	G3DSA:3.40.190.10	SSF53850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_168_length_52379_cov_14.280889-snap-gene-0.0-mRNA-1	IPR000904	PTHR45101	mobidb-lite	PF01369;PF12783	NA	NA	GO:0005086;GO:0032012	NA	G3DSA:1.10.220.20;G3DSA:1.10.1000.11	SSF48425;SSF48371	cd00171	SM00222	NA	PS50190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_200_length_40465_cov_47.598666-processed-gene-0.111-mRNA-1	IPR013947	PTHR12809	mobidb-lite	PF08638	NA	NA	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_151398_cov_47.693537-snap-gene-0.16-mRNA-1	IPR024461	PTHR14360:SF1;PTHR14360	mobidb-lite	PF07798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_53_length_118650_cov_47.760460-processed-gene-0.13-mRNA-1	IPR036155	PTHR11455;PTHR11455:SF22	mobidb-lite	PF03441;PF00875	NA	NA	GO:0003913;GO:0006281	PR00147	G3DSA:1.10.579.10;G3DSA:3.40.50.620;G3DSA:1.25.40.80	SSF52425;SSF48173	NA	NA	NA	PS51645	NA	Reactome: R-HSA-400253	NA	NA	NA	NA	TIGR02765	NA	NA	NA
augustus_masked-NODE_194_length_44159_cov_15.375114-processed-gene-0.26-mRNA-1	IPR005197	PTHR43173;PTHR43173:SF10	NA	PF03659	NA	NA	GO:0016787	NA	G3DSA:3.20.20.80	NA	cd11577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_146_length_59692_cov_44.393402-augustus-gene-0.99-mRNA-1	IPR002641	PTHR14226:SF44;PTHR14226	NA	PF01734;PF11815	NA	TMhelix	GO:0006629;GO:0004806	NA	G3DSA:3.40.1090.10	SSF52151	cd07229	NA	NA	PS51635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_141038_cov_47.553484-snap-gene-0.344-mRNA-1	IPR036034	PTHR12651	mobidb-lite	PF17820;PF18265	NA	NA	GO:0005515;GO:0070682	NA	G3DSA:2.30.42.10	SSF50156	cd00136	SM00228	NA	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_173_length_50737_cov_42.456906-processed-gene-0.11-mRNA-1	NA	PTHR23202;PTHR23202:SF27	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_404280_cov_47.690922-processed-gene-0.41-mRNA-1	NA	PTHR42084	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_95_length_87000_cov_47.419532-protein2genome-gene-0.176-mRNA-1	IPR010730	PTHR10622;PTHR10622:SF10	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_235_length_32053_cov_46.606340-snap-gene-0.14-mRNA-1	IPR014718	PTHR10762;PTHR10762:SF1	mobidb-lite	PF01866;PF01263	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	GO:0030246;GO:0005975;GO:0016853;GO:0003824	NA	G3DSA:2.70.98.10;G3DSA:3.40.50.11860;G3DSA:3.40.50.11840;G3DSA:3.40.50.11850	SSF74650	cd09019	NA	NA	PS51257	SignalP-TM	MetaCyc: PWY-6482|MetaCyc: PWY-7546|Reactome: R-HSA-5358493	NA	NA	NA	SFLDS00032	TIGR00322	SignalP-noTM	SignalP-noTM	NA
maker-NODE_3_length_261062_cov_48.596903-snap-gene-1.98-mRNA-1	IPR013154	PTHR43161:SF12;PTHR43161	NA	PF08240;PF00107	NA	NA	GO:0055114	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF51735;SSF50129	cd05285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_259_length_27267_cov_49.114554-processed-gene-0.16-mRNA-1	IPR011050	PTHR42970	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	G3DSA:2.160.20.10	SSF51126	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_36_length_144801_cov_50.200693-snap-gene-0.150-mRNA-1	IPR003593	PTHR11384:SF36;PTHR11384	NA	PF06472;PF00005	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	GO:0005524;GO:0016887;GO:0005779;GO:0042626;GO:1902001;GO:0016021;GO:0055085	NA	G3DSA:3.40.50.300	SSF52540	cd03223	SM00382	NA	PS50893	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_162_length_55633_cov_22.852647-processed-gene-0.10-mRNA-1	IPR018937	PTHR28144	mobidb-lite	PF10270	SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA		NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-NODE_1_length_404280_cov_47.690922-augustus-gene-2.52-mRNA-1	IPR031776	PTHR12786:SF2;PTHR12786	mobidb-lite	PF12171;PF12108;PF16837;PF11931	NA	NA	GO:0000398;GO:0003723;GO:0005681;GO:0003676;GO:0005634;GO:0008270	NA	G3DSA:3.30.160.60	SSF57667	NA	SM00355	PS00028	PS50171	NA	Reactome: R-HSA-72163	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_17_length_191130_cov_47.991796-snap-gene-0.118-mRNA-1	IPR000195	PTHR20913	mobidb-lite	PF00566	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	G3DSA:1.10.472.80;G3DSA:1.10.8.1310	SSF47923	NA	SM00164	NA	PS50086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_132665_cov_48.501154-augustus-gene-0.73-mRNA-1	IPR001209	PTHR12010;PTHR12010:SF2	NA	PF00253	NA	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0008270	NA	G3DSA:4.10.830.10	NA	NA	NA	PS00527	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_195538_cov_49.404419-snap-gene-0.417-mRNA-1	IPR002893	PTHR12907	NA	PF01753;PF14737	NA	NA	NA	NA	G3DSA:3.30.60.180	SSF144232	NA	NA	PS01360	PS50865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_237230_cov_48.894759-processed-gene-1.109-mRNA-1	IPR016181	PTHR43138	mobidb-lite	PF00583;PF09337	NA	NA		NA	G3DSA:1.10.340.70;G3DSA:3.40.630.30	SSF55729	NA	NA	NA	PS51186	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_126150_cov_49.100569-snap-gene-0.0-mRNA-1	IPR003123	PTHR23101;PTHR23101:SF97	mobidb-lite	PF02204	NA	NA		NA	G3DSA:1.20.1050.80	SSF109993	NA	SM00167	NA	PS51205	NA	Reactome: R-HSA-8876198	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_151398_cov_47.693537-processed-gene-0.285-mRNA-1	IPR001932	PTHR12320;PTHR12320:SF1	mobidb-lite	PF07228	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0003824	NA	G3DSA:3.60.40.10	SSF81606	NA	SM00332	NA	PS51746	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_140063_cov_18.272903-snap-gene-0.18-mRNA-1	IPR013640	PTHR28218	mobidb-lite	PF08432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_132681_cov_48.920402-processed-gene-0.339-mRNA-1	IPR016053	PTHR10720;PTHR10720:SF0	mobidb-lite	PF01126	NA	NA	GO:0004392;GO:0006788;GO:0055114	NA	G3DSA:1.20.910.10	SSF48613	NA	NA	NA	NA	NA	KEGG: 00860+1.14.14.18|MetaCyc: PWY-5874|Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_191_length_44683_cov_45.468624-processed-gene-0.60-mRNA-1	IPR036869	PTHR12388:SF0;PTHR12388	mobidb-lite	PF03656	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0005744;GO:0030150	NA	G3DSA:1.10.287.110	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_109_length_76433_cov_47.372671-augustus-gene-0.131-mRNA-1	IPR037652	PTHR28230	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_54_length_118209_cov_46.684169-processed-gene-0.335-mRNA-1	IPR006598	PTHR12203:SF22;PTHR12203	NA	PF05686	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_296_length_20522_cov_47.134641-processed-gene-0.7-mRNA-1	IPR008238	PTHR21145:SF0;PTHR21145	NA	NA	NA	NA	GO:0004106;GO:0009073;GO:0046417	NA	G3DSA:1.10.590.10	SSF48600	NA	NA	NA	PS51169	NA	KEGG: 00400+5.4.99.5|MetaCyc: PWY-3461|MetaCyc: PWY-3462|MetaCyc: PWY-6120|MetaCyc: PWY-6627|MetaCyc: PWY-7626	PIRSF017318	NA	NA	NA	TIGR01802	NA	NA	NA
snap_masked-NODE_136_length_62359_cov_45.786669-processed-gene-0.12-mRNA-1	IPR005013	PTHR10830	NA	PF03345	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	GO:0005789;GO:0018279	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203|Reactome: R-HSA-6798695|Reactome: R-HSA-879415	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_102_length_79786_cov_17.821263-processed-gene-0.2-mRNA-1	IPR009072	PTHR10484:SF160;PTHR10484	NA	PF15511	NA	NA	GO:0046982;GO:0003677	PR00623	G3DSA:1.10.20.10	SSF47113	NA	SM00417	NA	NA	NA	Reactome: R-HSA-606279	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_163_length_55493_cov_46.239208-augustus-gene-0.31-mRNA-1	IPR002252	PTHR22762:SF81;PTHR22762	NA	PF02065;PF16875;PF16874	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0004557;GO:0005975;GO:0003824	PR00743	G3DSA:3.20.20.70;G3DSA:2.70.98.60;G3DSA:2.60.40.1180	SSF51445	cd14791	NA	NA	NA	SignalP-TM	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	PIRSF005536	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_148_length_59111_cov_50.261969-processed-gene-0.194-mRNA-1	IPR013087	PTHR19818:SF86;PTHR19818	mobidb-lite	PF00096	NA	NA	GO:0003676	NA	G3DSA:3.30.160.60	SSF57667	NA	SM00355	PS00028	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_109_length_76433_cov_47.372671-processed-gene-0.108-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_21_length_184856_cov_48.682551-processed-gene-0.16-mRNA-1	IPR008397	NA	mobidb-lite	PF05426	NA	NA	GO:0016829;GO:0042597	NA	G3DSA:1.50.10.100	SSF48230	NA	NA	NA	NA	NA	KEGG: 00051+4.2.2.3|MetaCyc: PWY-6986	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_179_length_48863_cov_52.143385-snap-gene-0.113-mRNA-1	IPR013087	PTHR14596:SF65;PTHR14596	mobidb-lite	NA	NA	NA	GO:0003676	NA	G3DSA:3.30.160.60	NA	NA	SM00355	PS00028	PS50157	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_12_length_215955_cov_40.277522-processed-gene-0.37-mRNA-1	IPR008733	PTHR12652;PTHR12652:SF10	NA	PF05648	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	GO:0005779;GO:0016559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_132665_cov_48.501154-processed-gene-0.57-mRNA-1	IPR012486	PTHR13239:SF4;PTHR13239	mobidb-lite	PF07923;PF11882	NA	NA	NA	NA	NA	NA	NA	SM01292;SM01293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_155_length_57304_cov_48.479966-augustus-gene-0.122-mRNA-1	IPR013087	PTHR14596:SF67;PTHR14596	mobidb-lite	PF00096	NA	NA	GO:0003676	NA	G3DSA:3.30.160.60	SSF57667	NA	SM00355	PS00028	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_93810_cov_48.739259-augustus-gene-0.201-mRNA-1	IPR000131	PTHR11693:SF22;PTHR11693	NA	PF00231	NA	NA	GO:0015986;GO:0045261;GO:0046933	PR00126	G3DSA:1.10.287.80;G3DSA:3.40.1380.10	SSF52943	cd12151	NA	PS00153	NA	SignalP-TM	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	PIRSF039089	NA	NA	NA	TIGR01146	NA	NA	NA
maker-NODE_42_length_132681_cov_48.920402-snap-gene-0.285-mRNA-1	IPR006085	PTHR11081;PTHR11081:SF32	NA	PF00752;PF12246;PF12247	NA	NA	GO:0004518;GO:0006281	PR00853	G3DSA:3.40.50.1010	SSF88723	cd09902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
