Gene	interpro	SUPERFAMILY	GO	PATHWAY	Gene3D	TIGRFAM	Pfam	MobiDBLite	PIRSF	Hamap	ProSiteProfiles	SMART	PRINTS	Coils	CDD	ProSitePatterns	SFLD
augustus_masked-SPDT01000010.1-processed-gene-7.71-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-41.8-mRNA-1	IPR003388	NA	NA	NA	NA	NA	PF02453	mobidb-lite	NA	NA	PS50845	NA	NA	Coil	NA	NA	NA
maker-SPDT01000008.1-augustus-gene-7.260-mRNA-1	IPR006722	SSF64356	GO:0006888	NA	G3DSA:3.30.450.70	NA	PF04628	NA	NA	NA	NA	NA	NA	NA	cd14854	NA	NA
maker-SPDT01000004.1-augustus-gene-5.121-mRNA-1	IPR009069	SSF47072		Reactome: R-HSA-1268020	G3DSA:1.10.287.1130	NA	NA	mobidb-lite	NA	NA	PS51808	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000003.1-processed-gene-36.48-mRNA-1	IPR000253	SSF46785;SSF49879	GO:0005515;GO:0003700;GO:0006355;GO:0043565	NA	G3DSA:2.60.200.20;G3DSA:1.10.10.10	NA	PF00498;PF00250	mobidb-lite	NA	NA	PS50006;PS50039	SM00240;SM00339	PR00053	NA	cd00060;cd00059	PS00658;PS00657	NA
snap_masked-SPDT01000002.1-processed-gene-23.18-mRNA-1	IPR036273	SSF46938;SSF52087	NA	NA	G3DSA:3.40.525.10	NA	PF03765;PF00650	mobidb-lite	NA	NA	PS50191	SM00516	NA	NA	cd00170	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-8.92-mRNA-1	IPR024974	NA	NA	NA	NA	NA	PF13019	mobidb-lite	NA	NA	NA	NA	NA	Coil	cd16107	NA	NA
maker-SPDT01000010.1-augustus-gene-2.210-mRNA-1	IPR036291	SSF51735		Reactome: R-HSA-156581|Reactome: R-HSA-5689880	G3DSA:3.40.50.720	NA	PF04321	NA	NA	NA	NA	NA	NA	NA	cd05254	NA	NA
maker-SPDT01000001.1-snap-gene-29.25-mRNA-1	IPR018850	SSF54928;SSF52540	GO:0003676	NA	NA	NA	PF10443	mobidb-lite	NA	NA	NA	NA	NA	Coil	cd12433	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-47.20-mRNA-1	IPR016160	SSF53720	GO:0016491;GO:0055114;GO:0016620	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	PF00171	NA	NA	NA	NA	NA	NA	NA	cd07105	PS00070	NA
maker-SPDT01000004.1-augustus-gene-26.163-mRNA-1	IPR008427	NA	NA	NA	NA	NA	PF05730	mobidb-lite	NA	NA	NA	SM00747	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-15.104-mRNA-1	IPR018456	SSF103473	GO:0006857;GO:0016020;GO:0022857;GO:0055085	Reactome: R-HSA-427975	G3DSA:1.20.1250.20	NA	PF00854	NA	NA	NA	NA	NA	NA	NA	cd17350	PS01023	NA
augustus_masked-SPDT01000002.1-processed-gene-28.74-mRNA-1	IPR010730	SSF101690;SSF53098	GO:0003676;GO:0005515	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-8986944|Reactome: R-HSA-9018519|Reactome: R-HSA-9022692|Reactome: R-HSA-9029569	G3DSA:3.40.50.2300;G3DSA:3.30.420.10	NA	PF06985;PF16486;PF16488;PF08699;PF02171;PF02170	mobidb-lite	NA	NA	PS50821;PS50822	SM00950;SM01163	NA	NA	cd02846;cd04657	NA	NA
maker-SPDT01000005.1-augustus-gene-24.209-mRNA-1	IPR028133	NA	GO:0005869;GO:0007017	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	NA	PF04912	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000006.1-snap-gene-40.55-mRNA-1	IPR036871	SSF64268	GO:0035091	NA	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	NA	PF09325;PF00787	mobidb-lite	NA	NA	PS50195	SM00312	NA	Coil	cd06867	NA	NA
maker-SPDT01000001.1-augustus-gene-32.78-mRNA-1	IPR018870	SSF48371	NA	NA	NA	NA	PF10521	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000002.1-processed-gene-11.30-mRNA-1	IPR027540	NA	GO:0005743;GO:0006744	NA	NA	NA	PF05019	NA	NA	MF_03111	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000003.1-snap-gene-8.205-mRNA-1	IPR016156	SSF55424;SSF50022;SSF51905	GO:0016491;GO:0050660;GO:0055114;GO:0051537	NA	G3DSA:2.102.10.10;G3DSA:3.50.50.60	NA	PF07992;PF00355	NA	NA	NA	PS51296	NA	PR00368;PR00411	NA	cd03478	NA	NA
snap_masked-SPDT01000002.1-processed-gene-28.17-mRNA-1	IPR005475	SSF52518;SSF52922	GO:0003824	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	PF02779;PF02780	NA	NA	NA	NA	SM00861	NA	NA	cd07036	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-31.233-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000013.1-snap-gene-10.72-mRNA-1	IPR011701	SSF103473	GO:0055085	NA	NA	NA	PF07690	NA	NA	NA	PS50850	NA	NA	NA	cd17323	NA	NA
maker-SPDT01000010.1-snap-gene-2.238-mRNA-1	IPR033749	SSF48576	GO:0008299	NA	G3DSA:1.10.600.10	NA	PF00348	NA	NA	NA	NA	NA	NA	NA	cd00685	PS00444;PS00723	SFLDS00005;SFLDG01017
maker-SPDT01000004.1-augustus-gene-36.16-mRNA-1	IPR008195	NA	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.40.1800.40	NA	PF01199	NA	NA	NA	NA	NA	PR01250	NA	NA	PS01145	NA
maker-SPDT01000004.1-augustus-gene-16.25-mRNA-1	IPR036691	SSF56219	NA	NA	G3DSA:3.60.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd04486	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-8.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-SPDT01000007.1-snap-gene-56.85-mRNA-1	IPR036188	SSF51905	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	NA	PF00743	NA	PIRSF000332	NA	NA	NA	PR00370	NA	NA	NA	NA
maker-SPDT01000007.1-snap-gene-17.65-mRNA-1	IPR007219	SSF57701	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	G3DSA:4.10.240.10	NA	PF04082;PF00172	mobidb-lite	NA	NA	PS50048	SM00906	NA	Coil	cd12148;cd00067	NA	NA
maker-SPDT01000006.1-snap-gene-48.239-mRNA-1	IPR001790	SSF160369	GO:0042254;GO:0000027	NA	G3DSA:3.30.70.1730;G3DSA:3.90.105.20	NA	PF00466;PF17777	NA	NA	NA	NA	NA	NA	NA	cd05796	NA	NA
maker-SPDT01000007.1-augustus-gene-43.37-mRNA-1	IPR001841	SSF57850	NA	NA	G3DSA:3.30.40.10	NA	PF13639	mobidb-lite	NA	NA	PS50089	SM00184	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-67.18-mRNA-1	IPR023271	SSF81338	GO:0015267;GO:0016020;GO:0055085	Reactome: R-HSA-432047	G3DSA:1.20.1080.10	NA	PF00230	mobidb-lite	NA	NA	NA	NA	PR00783	NA	NA	NA	NA
snap_masked-SPDT01000010.1-processed-gene-4.32-mRNA-1	IPR013087	SSF57667	GO:0003676	NA	G3DSA:3.30.160.60	NA	PF00096	mobidb-lite	NA	NA	PS50157	SM00355	NA	Coil	NA	PS00028	NA
augustus_masked-SPDT01000005.1-processed-gene-30.229-mRNA-1	IPR000243	SSF56235	GO:0004175;GO:0005839;GO:0051603;GO:0004298	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	G3DSA:3.60.20.10	NA	PF00227	NA	NA	NA	PS51476	NA	PR00141	NA	cd03762	PS00854	NA
augustus_masked-SPDT01000013.1-processed-gene-6.110-mRNA-1	IPR014718	SSF49785;SSF74650;SSF49303;SSF51445	GO:0030246;GO:0004565;GO:0005975;GO:0009341;GO:0004553;GO:0003824	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	G3DSA:2.70.98.10;G3DSA:2.60.120.260;G3DSA:2.60.40.10;G3DSA:3.20.20.80	NA	PF00703;PF16353;PF02837;PF02836;PF02929	NA	NA	NA	NA	SM01038	PR00132	NA	NA	PS00608	NA
augustus_masked-SPDT01000010.1-processed-gene-3.54-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-39.17-mRNA-1	IPR002467	SSF55920	GO:0004177;GO:0006508;GO:0008235	MetaCyc: PWY-7799|MetaCyc: PWY-7800	G3DSA:3.90.230.10	TIGR00500	PF15801;PF00557	NA	NA	MF_01974	NA	NA	PR00599	NA	cd01086	PS00680	NA
maker-SPDT01000003.1-snap-gene-31.51-mRNA-1	IPR036188	SSF51905	GO:0071949	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-14.300-mRNA-1	IPR003675	NA	GO:0004197;GO:0016020;GO:0071586	Reactome: R-HSA-5689880	NA	NA	PF02517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-snap-gene-26.57-mRNA-1	IPR036431	SSF46774	GO:0003677	NA	G3DSA:1.10.150.60	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	cd16871	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-52.127-mRNA-1	IPR006094	SSF56176	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	G3DSA:3.30.465.50;G3DSA:3.30.43.10;G3DSA:3.40.462.20	NA	PF01565;PF08031	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-5.120-mRNA-1	IPR019183	NA	NA	NA	NA	NA	PF09797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000005.1-augustus-gene-35.196-mRNA-1	IPR001926	SSF53686	GO:0008660;GO:0009310;GO:0030170	KEGG: 00270+3.5.99.7	G3DSA:3.40.50.1100	TIGR01274	PF00291	NA	PIRSF006278	NA	NA	NA	NA	NA	cd06449	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-0.38-mRNA-1	IPR016181	SSF55729	NA	NA	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-snap-gene-19.134-mRNA-1	IPR011057	SSF51316	GO:0033743;GO:0055114	Reactome: R-HSA-5676934	G3DSA:2.170.150.20	TIGR00357	PF01641	NA	NA	NA	PS51790	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000013.1-processed-gene-5.9-mRNA-1	IPR000719	SSF56112	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	PF00069	mobidb-lite	NA	NA	PS50011	SM00220	NA	Coil	cd00180	PS00108	NA
augustus_masked-SPDT01000007.1-processed-gene-20.24-mRNA-1	IPR004014	SSF81660;SSF56784;SSF81665;SSF81653	GO:0000166;GO:0016021	Reactome: R-HSA-936837	G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	TIGR01494	PF13246;PF00702;PF00122;PF00690;PF00689	mobidb-lite	NA	NA	NA	SM00831	PR00121;PR00119	NA	NA	PS00154	SFLDF00027;SFLDS00003
maker-SPDT01000002.1-augustus-gene-18.172-mRNA-1	IPR000504	SSF54928	GO:0003676	NA	G3DSA:3.30.70.330	NA	PF00076	mobidb-lite	NA	NA	PS50102	SM00360	NA	Coil	cd00590	NA	NA
maker-SPDT01000004.1-snap-gene-41.170-mRNA-1	IPR001357	SSF52113	NA	NA	G3DSA:3.40.50.10190	NA	PF12738;PF00533	mobidb-lite	NA	NA	PS50172	SM00292	NA	NA	cd17723;cd17731;cd17740;cd18433	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-50.192-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-augustus-gene-25.33-mRNA-1	IPR013586	SSF46785	GO:0000502;GO:0030234;GO:0042176	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	G3DSA:1.25.40.570	NA	PF08375;PF01399	mobidb-lite	NA	NA	PS50250	SM00088;SM00753	NA	Coil	NA	NA	NA
snap_masked-SPDT01000007.1-processed-gene-35.226-mRNA-1	IPR000782	SSF82153	NA	NA	G3DSA:2.30.180.10	NA	PF02469	NA	NA	NA	PS50213	SM00554	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-50.201-mRNA-1	IPR001199	SSF55856	NA	NA	G3DSA:3.10.120.10	NA	PF00173	mobidb-lite	NA	NA	PS50255	SM01117	NA	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-36.240-mRNA-1	IPR002379	SSF81333	GO:0015078;GO:0033177;GO:1902600;GO:0033179	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	G3DSA:1.20.120.610	NA	PF00137	NA	NA	NA	NA	NA	PR00122	NA	cd18178;cd18177	NA	NA
maker-SPDT01000010.1-snap-gene-15.233-mRNA-1	IPR035803	SSF64268;SSF103657	GO:0035091	NA	G3DSA:1.20.1270.60;G3DSA:3.30.1520.10	NA	PF00787;PF09325	mobidb-lite	NA	NA	PS50195	SM00312	NA	Coil	cd07627;cd06861	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-18.135-mRNA-1	IPR011990	SSF48452	GO:0005515	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	G3DSA:1.25.40.10	NA	PF12862	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000002.1-augustus-gene-10.29-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-9.4-mRNA-1	IPR036188	SSF51905	GO:0071949	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.50	NA	PF01494	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-47.151-mRNA-1	IPR002110	SSF48403	GO:0005515	NA	G3DSA:1.25.40.20	NA	PF12796;PF00023	NA	NA	NA	PS50088;PS50297	SM00248	NA	NA	NA	NA	NA
snap_masked-SPDT01000005.1-processed-gene-48.4-mRNA-1	IPR029044	SSF53448	GO:0016757	KEGG: 00600+2.4.1.80|MetaCyc: PWY-5129|MetaCyc: PWY-7836|MetaCyc: PWY-7838|MetaCyc: PWY-7839|MetaCyc: PWY-7841|Reactome: R-HSA-1660662	G3DSA:3.90.550.10	NA	PF13506	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000003.1-snap-gene-13.59-mRNA-1	IPR001917	SSF53383	GO:0016740;GO:0003824;GO:0009058;GO:0030170	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	PF00155	NA	NA	NA	NA	NA	NA	NA	NA	PS00599	NA
maker-SPDT01000006.1-augustus-gene-49.209-mRNA-1	IPR021858	NA	NA	NA	NA	NA	PF11951	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000002.1-processed-gene-23.14-mRNA-1	IPR001126	SSF56672;SSF100879	GO:0006281;GO:0003676;GO:0003684	Reactome: R-HSA-5656169	G3DSA:2.30.40.30;G3DSA:1.10.150.20;G3DSA:3.30.70.270;G3DSA:3.30.1490.100	NA	PF00817;PF18439;PF11799	mobidb-lite	PIRSF036603	NA	PS50157;PS50173	NA	NA	NA	NA	PS00028	NA
maker-SPDT01000010.1-snap-gene-15.238-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000010.1-snap-gene-7.15-mRNA-1	IPR000225	SSF48371	GO:0005515;GO:0006606;GO:0061608;GO:0005634;GO:0005737;GO:0140142;GO:0042025	Reactome: R-HSA-1169408|Reactome: R-HSA-168276	G3DSA:1.20.5.690;G3DSA:1.25.10.10	NA	PF16186;PF00514;PF01749	mobidb-lite	PIRSF005673	NA	PS50176;PS51214	SM00185	NA	Coil	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-3.185-mRNA-1	IPR036629	SSF69047	NA	NA	NA	NA	PF05532	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-34.153-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-22.129-mRNA-1	IPR019008	NA	NA	NA	NA	NA	PF09430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000007.1-augustus-gene-45.48-mRNA-1	IPR027417	SSF52540	GO:0005525;GO:0003924	NA	G3DSA:3.40.50.300	TIGR00231	PF00071	mobidb-lite	NA	NA	PS51419	SM00176;SM00175;SM00173;SM00174	PR00449	NA	cd01860	NA	NA
maker-SPDT01000004.1-augustus-gene-6.176-mRNA-1	IPR004365	SSF50249;SSF55681	GO:0003676;GO:0000166;GO:0004824;GO:0005524;GO:0005737;GO:0006430;GO:0004812;GO:0006418	KEGG: 00970+6.1.1.6|Reactome: R-HSA-2408522|Reactome: R-HSA-379716|Reactome: R-HSA-379726	G3DSA:2.40.50.140;G3DSA:3.30.930.10	TIGR00499	PF01336;PF00152	mobidb-lite	PIRSF039101	MF_00252	PS50862	NA	PR00982	Coil	cd00775;cd04322	NA	NA
maker-SPDT01000010.1-snap-gene-6.1-mRNA-1	IPR035952	SSF144091	GO:0004252;GO:0016021	NA	G3DSA:1.20.1540.10	NA	PF01694	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000010.1-processed-gene-15.30-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000001.1-protein2genome-gene-13.104-mRNA-1	IPR006913	SSF51316	GO:0016846	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	PF04828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-48.22-mRNA-1	IPR008253	NA	GO:0016020	NA	NA	NA	PF01284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-35.93-mRNA-1	IPR001164	SSF103657;SSF50729;SSF57863	GO:0005096	NA	G3DSA:1.20.1270.60;G3DSA:3.30.40.160;G3DSA:2.30.29.30	NA	PF01412;PF16746;PF00169	mobidb-lite	NA	NA	PS50115;PS50003	SM00233;SM00105	NA	Coil	cd07608;cd08204	NA	NA
maker-SPDT01000004.1-snap-gene-29.37-mRNA-1	IPR003827	SSF111278		MetaCyc: PWY-7286|Reactome: R-HSA-6782861	G3DSA:3.30.1960.10	NA	PF02676	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000002.1-processed-gene-34.58-mRNA-1	NA	NA	NA	NA	NA	NA	PF02466	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-36.9-mRNA-1	IPR007248	NA	GO:0016021	NA	NA	NA	PF04117	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-SPDT01000006.1-snap-gene-9.82-mRNA-1	IPR003593	SSF52540;SSF50249	GO:0003678;GO:0005524	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	NA	NA	PF06068;PF17856	NA	NA	NA	NA	SM00382	NA	NA	cd00009	NA	NA
augustus_masked-SPDT01000007.1-processed-gene-58.52-mRNA-1	IPR000960	SSF51905	GO:0004499;GO:0050660;GO:0050661;GO:0055114;GO:0030488;GO:0031515	Reactome: R-HSA-6782315	G3DSA:3.50.50.60	NA	PF00743;PF04189	mobidb-lite	NA	NA	NA	NA	PR00370	NA	NA	NA	NA
augustus_masked-SPDT01000005.1-processed-gene-9.3-mRNA-1	IPR020683	SSF48403;SSF52540;SSF103473	GO:0005515;GO:0016020;GO:0022857;GO:0055085;GO:0016021	Reactome: R-HSA-189200	G3DSA:3.40.50.300;G3DSA:1.20.1250.20;G3DSA:1.25.40.20;G3DSA:1.25.40.960	TIGR00879	PF12796;PF13637;PF00083	mobidb-lite	NA	NA	PS50850;PS50088;PS50297	SM00248	PR01415;PR00171	NA	cd17315	PS00216	NA
maker-SPDT01000007.1-augustus-gene-53.75-mRNA-1	IPR000133	NA	GO:0006621;GO:0016021;GO:0046923	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	PF00810	mobidb-lite	NA	NA	NA	NA	PR00660	NA	NA	NA	NA
maker-SPDT01000001.1-augustus-gene-4.280-mRNA-1	IPR012677	SSF54928	GO:0003676;GO:0003729	NA	G3DSA:3.30.70.330	NA	PF00076	mobidb-lite	NA	NA	PS50102	SM00360	NA	NA	cd12330	NA	NA
augustus_masked-SPDT01000009.1-processed-gene-6.29-mRNA-1	IPR029044	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-18.19-mRNA-1	IPR018506	SSF55856	GO:0020037;GO:0004768;GO:0006636;GO:0016021;GO:0016717;GO:0055114;GO:0006629	MetaCyc: PWY-5987|MetaCyc: PWY-5996	G3DSA:3.10.120.10	NA	PF00173;PF00487	NA	PIRSF000345	NA	PS50255	SM01117	PR00363;PR00075	Coil	cd03505	PS00191;PS00476	NA
augustus_masked-SPDT01000007.1-processed-gene-7.79-mRNA-1	IPR000953	SSF54160	NA	NA	G3DSA:2.40.50.40	NA	NA	mobidb-lite	NA	NA	PS50013	NA	NA	NA	cd18978;cd18650	NA	NA
maker-SPDT01000003.1-protein2genome-gene-3.27-mRNA-1	IPR020846	SSF103473	GO:0055085	NA	G3DSA:1.20.1250.20	NA	PF07690	NA	NA	NA	PS50850	NA	NA	NA	cd17352	NA	NA
maker-SPDT01000010.1-snap-gene-14.3-mRNA-1	IPR016558	NA	GO:0006269	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	G3DSA:1.20.930.80	NA	PF04104	NA	PIRSF009449	NA	NA	NA	NA	NA	cd07322	NA	NA
