Gene	interpro	SMART	MobiDBLite	GO	SUPERFAMILY	Gene3D	Pfam	PANTHER	PATHWAY	ProSiteProfiles	CDD	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	SignalP_EUK	Hamap	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	ProDom
maker-NODE_326_length_25498_cov_12.869024-snap-gene-0.37-mRNA-1	IPR019193	NA	NA		NA	NA	PF09814	PTHR31531	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_90_length_59777_cov_13.600805-processed-gene-0.16-mRNA-1	IPR001576	NA	NA	GO:0004618;GO:0006096	SSF53748	G3DSA:3.40.50.1260	PF00162	PTHR11406;PTHR11406:SF10	KEGG: 00010+2.7.2.3|KEGG: 00710+2.7.2.3|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-8004|Reactome: R-HSA-70171|Reactome: R-HSA-70263	NA	cd00318	PS00111	NA	NA	PR00477	NA	NA	MF_00145	PIRSF000724	NA	NA	NA	NA	NA
maker-NODE_5_length_137511_cov_13.139136-augustus-gene-0.97-mRNA-1	IPR016181	NA	mobidb-lite	NA	SSF55729	G3DSA:3.40.630.30	PF00583	PTHR23091:SF282;PTHR23091	NA	PS51186	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_250_length_31632_cov_13.528011-snap-gene-0.0-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_173_length_39914_cov_12.836856-processed-gene-0.12-mRNA-1	IPR008972	NA	mobidb-lite	NA	SSF49503	G3DSA:2.60.40.420	NA	PTHR34883:SF3;PTHR34883	NA	NA	cd00920	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_268_length_30050_cov_12.682017-augustus-gene-0.46-mRNA-1	IPR006015	NA	mobidb-lite	NA	SSF52402	G3DSA:3.40.50.620	PF00582	PTHR31964;PTHR31964:SF109	NA	NA	cd00293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_104966_cov_14.456681-processed-gene-0.185-mRNA-1	IPR036034	NA	mobidb-lite	GO:0005515;GO:0004252;GO:0006508	SSF50156;SSF50494	G3DSA:2.30.42.10;G3DSA:2.40.10.120	PF12812;PF13365	PTHR22939:SF66;PTHR22939	NA	NA	cd00987	NA	NA	NA	PR00834	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_95743_cov_12.522036-processed-gene-0.262-mRNA-1	IPR032382	NA	mobidb-lite	NA	NA	NA	PF16541	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
augustus_masked-NODE_56_length_72751_cov_14.766964-processed-gene-0.19-mRNA-1	IPR013260	NA	mobidb-lite		NA	NA	PF08231	PTHR13264	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_60_length_70154_cov_13.482328-processed-gene-0.52-mRNA-1	IPR001138	SM00906	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	PF04082	PTHR31944;PTHR31944:SF127	NA	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_138_length_45504_cov_13.169535-processed-gene-0.89-mRNA-1	IPR010995	SM00382	mobidb-lite	GO:0000166;GO:0003677;GO:0005524;GO:0006281;GO:0008094;GO:0006259;GO:0000150;GO:0000724;GO:0003690;GO:0003697;GO:1990426	SSF47794;SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.150.20	PF08423	PTHR22942;PTHR22942:SF39	Reactome: R-HSA-912446	PS50162;PS50163	cd01123	NA	NA	NA	NA	NA	NA	NA	PIRSF005856	NA	NA	TIGR02239	NA	NA
maker-NODE_368_length_22957_cov_13.107271-snap-gene-0.11-mRNA-1	IPR007512	NA	NA	GO:0005743;GO:0061617	NA	NA	PF04418	PTHR21304:SF0;PTHR21304	Reactome: R-HSA-8949613	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_74_length_66174_cov_12.947734-processed-gene-0.12-mRNA-1	IPR012879	NA	mobidb-lite	NA	NA	NA	PF07946	PTHR12883	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_278_length_28968_cov_13.746645-processed-gene-0.90-mRNA-1	IPR029209	NA	mobidb-lite		SSF52490	NA	PF14881;PF10644	PTHR13391	Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_89_length_59892_cov_13.131783-processed-gene-0.76-mRNA-1	IPR004046	NA	mobidb-lite	GO:0005515	SSF47616;SSF52833	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	PF14497	PTHR11571:SF161;PTHR11571	NA	PS50404;PS50405	cd03192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_42_length_81419_cov_14.132079-snap-gene-0.108-mRNA-1	NA	NA	mobidb-lite	NA	NA	G3DSA:2.70.50.70	NA	PTHR36182	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_230_length_33737_cov_13.512437-processed-gene-0.37-mRNA-1	IPR011990	NA	mobidb-lite	GO:0005515	SSF48452	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_209_length_35694_cov_13.209464-snap-gene-0.5-mRNA-1	IPR001356	SM00389	mobidb-lite	GO:0003677;GO:0006355;GO:0043565	SSF46689	G3DSA:1.10.10.60	PF00046	PTHR24326;PTHR24326:SF485	NA	PS50071	cd00086	PS00027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_141_length_45104_cov_13.563088-processed-gene-0.40-mRNA-1	IPR001164	SM00105	mobidb-lite	GO:0005096	SSF57863	G3DSA:3.30.40.160	PF01412	PTHR23180:SF160;PTHR23180	NA	PS50115	NA	NA	NA	NA	PR00405	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_99801_cov_13.277184-augustus-gene-0.181-mRNA-1	IPR029063	NA	NA	NA	SSF53335	G3DSA:3.40.50.150	PF13489	PTHR43591:SF10;PTHR43591	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_128_length_47634_cov_13.856695-snap-gene-0.26-mRNA-1	IPR014001	SM00487;SM00490	mobidb-lite	GO:0005524	SSF52540	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	PF00271;PF00176	PTHR10799:SF843;PTHR10799	NA	PS51192;PS51194	cd00079;cd00046	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_95743_cov_12.522036-snap-gene-0.251-mRNA-1	IPR016966	SM00983	NA	GO:0004788;GO:0005524;GO:0009229;GO:0030975;GO:0006772	SSF63862;SSF63999	G3DSA:3.40.50.10240	PF04265;PF04263	PTHR13622:SF8;PTHR13622	KEGG: 00730+2.7.6.2|MetaCyc: PWY-6898|MetaCyc: PWY-6907|MetaCyc: PWY-6908|MetaCyc: PWY-7356|Reactome: R-HSA-196819	NA	cd07995	NA	NA	NA	NA	NA	NA	NA	PIRSF031057	NA	NA	TIGR01378	NA	NA
augustus_masked-NODE_216_length_35051_cov_11.015147-processed-gene-0.6-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_251_length_31604_cov_14.057788-processed-gene-0.5-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_241_length_32131_cov_13.062117-snap-gene-0.76-mRNA-1	IPR018628	NA	NA	NA	NA	NA	PF09813	PTHR15642	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_84171_cov_14.626077-snap-gene-0.253-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR38790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_404_length_20195_cov_13.472543-augustus-gene-0.2-mRNA-1	IPR038526	NA	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	G3DSA:3.30.1360.210	PF01776	PTHR10064;PTHR10064:SF0	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_238_length_32949_cov_14.117848-snap-gene-0.21-mRNA-1	IPR036638	SM00353	mobidb-lite	GO:0046983;GO:0006355;GO:0032933;GO:0045944	SSF47459	G3DSA:4.10.280.10	PF00010;PF09427	PTHR12565;PTHR12565:SF193	NA	PS50888	cd00083	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_52_length_76760_cov_14.095794-processed-gene-0.154-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
snap_masked-NODE_588_length_12023_cov_10.103564-processed-gene-0.20-mRNA-1	IPR011009	NA	NA	NA	SSF56112	NA	PF01636	PTHR23020;PTHR23020:SF20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_137_length_45513_cov_12.989336-processed-gene-0.15-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_315_length_26300_cov_13.497306-augustus-gene-0.48-mRNA-1	IPR008427	SM00747	mobidb-lite	NA	NA	NA	PF05730	PTHR35607:SF5;PTHR35607	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_352_length_23816_cov_11.356072-processed-gene-0.15-mRNA-1	IPR026822	NA	mobidb-lite		NA	NA	PF12656	PTHR15818	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_101_length_54171_cov_13.241081-processed-gene-0.3-mRNA-1	NA	NA	NA	NA	SSF48439	G3DSA:1.25.40.120	NA	PTHR11129;PTHR11129:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_93086_cov_14.125528-augustus-gene-0.12-mRNA-1	IPR005579	NA	mobidb-lite	NA	NA	NA	PF03879	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_119_length_49776_cov_13.907531-processed-gene-0.7-mRNA-1	IPR011502	NA	mobidb-lite		NA	NA	PF07575	PTHR13373	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_139_length_45374_cov_14.184211-snap-gene-0.34-mRNA-1	IPR000447	NA	NA	GO:0004368;GO:0006072;GO:0009331;GO:0055114;GO:0016491	SSF51905;SSF54373	G3DSA:3.30.9.10;G3DSA:1.10.8.870;G3DSA:3.50.50.60	PF01266;PF16901	PTHR11985;PTHR11985:SF15	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	NA	NA	PS00977;PS00978	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	PR01001	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_104966_cov_14.456681-processed-gene-0.177-mRNA-1	IPR029056	NA	NA	GO:0004747;GO:0006014;GO:0016301	SSF53613	G3DSA:3.40.1190.20	PF00294	PTHR10584:SF166;PTHR10584	KEGG: 00030+2.7.1.15|Reactome: R-HSA-71336	NA	cd01174	NA	NA	NA	PR00990	NA	NA	MF_01987	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_69586_cov_15.000274-augustus-gene-0.41-mRNA-1	IPR036412	NA	NA	NA	SSF56784	G3DSA:3.40.50.1000	PF13242;PF13344	PTHR14269:SF18;PTHR14269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01460;TIGR01456	NA	NA
augustus_masked-NODE_107_length_53137_cov_13.147161-processed-gene-0.12-mRNA-1	IPR027417	SM00382	mobidb-lite	GO:0005524	SSF52540	G3DSA:1.10.8.60;G3DSA:3.40.50.300	PF00004;PF17862	PTHR23077;PTHR23077:SF27	NA	NA	cd00009	PS00674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_564_length_13135_cov_13.613315-processed-gene-0.3-mRNA-1	IPR037206	NA	NA	GO:0000813;GO:0032509	SSF140427;SSF140111	G3DSA:1.20.1440.200;G3DSA:1.20.120.1130	PF03997	PTHR12937	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	PS51313;PS51310	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017535	NA	NA	NA	NA	NA
maker-NODE_445_length_18070_cov_13.613331-snap-gene-0.55-mRNA-1	IPR036249	SM01183	mobidb-lite	GO:0003746;GO:0006414;GO:0005515	SSF52833;SSF47616;SSF89942	G3DSA:3.30.70.1010;G3DSA:3.40.30.10;G3DSA:1.20.1050.10	PF00043;PF00647;PF02798	PTHR43986	Reactome: R-HSA-156842	PS50405;PS50040;PS50404	cd03044;cd03181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019	NA
maker-NODE_221_length_34342_cov_14.200205-snap-gene-0.121-mRNA-1	IPR022190	NA	mobidb-lite	NA	NA	NA	PF12511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_95_length_57459_cov_14.143550-processed-gene-0.30-mRNA-1	IPR035979	NA	mobidb-lite	GO:0003676	SSF54928	G3DSA:3.30.70.330	NA	PTHR12311	NA	NA	cd12263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_554_length_13413_cov_11.367304-processed-gene-0.0-mRNA-1	IPR036390	SM00547	mobidb-lite	GO:0000814;GO:0032509;GO:0043130;GO:0032266	SSF46785;SSF50729;SSF90209	G3DSA:2.30.29.30;G3DSA:1.10.10.10;G3DSA:2.20.28.140	PF04157;PF11605;PF16988	PTHR13128	Reactome: R-HSA-917729	PS51495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_201_length_36175_cov_14.468237-augustus-gene-0.31-mRNA-1	IPR003038	NA	mobidb-lite	GO:0004579;GO:0008250;GO:0016021	NA	NA	PF02109	PTHR10705	Reactome: R-HSA-446203	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	PIRSF005588	SignalP-TM	SignalP-TM	NA	NA	NA
maker-NODE_8_length_120377_cov_13.748050-augustus-gene-0.75-mRNA-1	IPR021132	NA	mobidb-lite	GO:0003735;GO:0005622;GO:0005840;GO:0006412	SSF52080	G3DSA:3.100.10.10	PF17135	PTHR10934;PTHR10934:SF5	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	PS01106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_369_length_22952_cov_13.840745-snap-gene-0.59-mRNA-1	IPR000719	SM00220	mobidb-lite	GO:0004672;GO:0005524;GO:0006468	SSF53335;SSF56112	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PF02636;PF00069	PTHR12049;PTHR12049:SF7	Reactome: R-HSA-6799198	PS50011	NA	PS00107	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_306_length_26907_cov_12.659074-snap-gene-0.10-mRNA-1	IPR012485	NA	mobidb-lite	GO:0000776;GO:0034508	NA	NA	PF07778	PTHR23139:SF81;PTHR23139	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_105_length_53299_cov_12.824720-processed-gene-0.2-mRNA-1	IPR017132	SM00651	mobidb-lite	GO:0000398;GO:0000956	SSF50182	G3DSA:2.30.30.100	PF01423	PTHR10553:SF5;PTHR10553	Reactome: R-HSA-430039|Reactome: R-HSA-72163	NA	cd01729	NA	NA	NA	NA	NA	NA	NA	PIRSF037188	NA	NA	NA	NA	NA
snap_masked-NODE_155_length_42876_cov_14.137313-processed-gene-0.62-mRNA-1	IPR013087	SM00355;SM00389	mobidb-lite	GO:0003676;GO:0003677;GO:0006355	SSF46689	G3DSA:1.10.10.60	PF03221;PF05920	PTHR11850;PTHR11850:SF195	NA	PS50157;PS51253;PS50071	cd00086	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_339_length_24558_cov_11.522819-augustus-gene-0.63-mRNA-1	IPR018814	NA	mobidb-lite	NA	NA	NA	PF10310	PTHR28265	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_63476_cov_12.447110-snap-gene-0.31-mRNA-1	IPR036390	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0008171;GO:0008168	SSF46785;SSF53335;SSF48264	G3DSA:3.40.50.150;G3DSA:1.10.630.10;G3DSA:1.10.10.10	PF00891;PF00067	PTHR24279;PTHR24279:SF86	NA	PS51683	NA	PS00086	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	PR00463	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_13_length_110199_cov_12.958545-processed-gene-0.31-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR42470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_81021_cov_13.185898-processed-gene-0.12-mRNA-1	IPR013216	NA	NA	GO:0008168;GO:0016435;GO:0070476	SSF53335	G3DSA:3.40.50.150	PF08241;PF12589	PTHR12734	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_87924_cov_14.182546-augustus-gene-0.168-mRNA-1	IPR005013	NA	NA	GO:0005789;GO:0018279	NA	NA	PF03345	PTHR10830	Reactome: R-HSA-1799339|Reactome: R-HSA-446203|Reactome: R-HSA-6798695|Reactome: R-HSA-879415	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA
maker-NODE_345_length_24383_cov_12.168329-protein2genome-gene-0.60-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_63476_cov_12.447110-snap-gene-0.26-mRNA-1	IPR036188	NA	mobidb-lite	GO:0016491;GO:0055114	SSF51905	G3DSA:3.50.50.60	PF07992	PTHR42817;PTHR42817:SF1	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	PR00368;PR00469	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_105858_cov_13.623365-processed-gene-0.37-mRNA-1	IPR033121	NA	NA	GO:0004190;GO:0006508	SSF50630	G3DSA:2.40.70.10	PF00026	PTHR13683:SF326;PTHR13683	NA	PS51767	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	PR00792	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_138_length_45504_cov_13.169535-snap-gene-0.100-mRNA-1	IPR021717	NA	NA		SSF50969	NA	PF11715	PTHR21286	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_92642_cov_12.769562-processed-gene-0.268-mRNA-1	IPR037365	NA	NA	GO:0005758	NA	NA	PF04707	PTHR11158:SF29;PTHR11158	NA	PS50904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_97629_cov_13.701452-augustus-gene-0.206-mRNA-1	IPR002125	NA	mobidb-lite	GO:0003824	SSF53927	NA	PF00383	PTHR44418	NA	PS51747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_158552_cov_13.793940-snap-gene-0.257-mRNA-1	IPR007858	NA	mobidb-lite	GO:0048188	NA	G3DSA:1.20.890.10	PF05186	PTHR23356:SF8;PTHR23356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_494_length_15842_cov_13.307541-processed-gene-0.62-mRNA-1	IPR016135	NA	mobidb-lite	GO:0005515	SSF54495	G3DSA:3.10.110.10	PF05773	PTHR16301:SF2;PTHR16301	NA	PS50908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_179_length_39089_cov_13.984575-processed-gene-0.119-mRNA-1	IPR002347	SM00822	NA	GO:0016491	SSF51735	G3DSA:3.40.50.720	PF13561	PTHR42760;PTHR42760:SF33	NA	NA	cd05233	PS00061	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_373_length_22451_cov_11.730425-processed-gene-0.41-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR39474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
