Gene	interpro	GO	SMART	Pfam	PANTHER	Gene3D	SUPERFAMILY	ProSiteProfiles	MobiDBLite	CDD	Coils	PATHWAY	ProSitePatterns	PIRSF	PRINTS	Phobius	TMHMM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_82_length_123684_cov_46.464263-augustus-gene-0.35-mRNA-1	IPR000999	GO:0004525;GO:0006396;GO:0003677;GO:0005524;GO:0016787;GO:0016891	SM00487;SM00490;SM00535	PF04851;PF00271;PF00636;PF03368	PTHR14950;PTHR14950:SF37	G3DSA:3.30.160.380;G3DSA:1.10.1520.10;G3DSA:3.40.50.300	SSF52540;SSF69065	PS51192;PS50142;PS51327;PS51194	NA	cd00593;cd00079;cd00046	NA	Reactome: R-HSA-203927	PS00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-4.23-mRNA-1	IPR027640	GO:0003777;GO:0007018;GO:0005524;GO:0008017	SM00129	PF00225	PTHR24115:SF715;PTHR24115	G3DSA:3.40.850.10	SSF52540	PS50067	mobidb-lite	cd01366	Coil	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS00411	NA	PR00380	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_501630_cov_42.910320-processed-gene-4.42-mRNA-1	IPR000898	GO:0020037;GO:0019441;GO:0046872	NA	PF01231	PTHR28657;PTHR28657:SF5	G3DSA:1.20.58.480	SSF140959;SSF81995	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-71240	PS00876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_159_length_29367_cov_49.586012-processed-gene-0.10-mRNA-1	IPR001360	GO:0004553;GO:0005975	NA	PF00232	PTHR10353	G3DSA:3.20.20.80	SSF51445	NA	NA	NA	NA	NA	PS00653	NA	PR00131	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_533797_cov_51.760206-augustus-gene-4.48-mRNA-1	IPR018108	GO:0022857	NA	PF00153	PTHR24089;PTHR24089:SF39	G3DSA:1.50.40.10	SSF103506	PS50920	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_229964_cov_56.757006-augustus-gene-0.38-mRNA-1	IPR018108	GO:0022857	NA	PF00153	PTHR24089:SF452;PTHR24089	G3DSA:1.50.40.10	SSF103506	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_473019_cov_49.377120-processed-gene-0.37-mRNA-1	IPR036910	NA	SM00398	PF00505	PTHR13711:SF302;PTHR13711	G3DSA:1.10.30.10	SSF47095	PS50118	mobidb-lite	cd01390	NA	NA	NA	NA	PR00886	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_46_length_236884_cov_44.438762-augustus-gene-1.50-mRNA-1	IPR027417	GO:0005525;GO:0003924	SM00176;SM00174;SM00173;SM00175	PF00071	PTHR24073:SF556;PTHR24073	G3DSA:3.40.50.300	SSF52540	PS51419	NA	cd01862	NA	NA	NA	NA	PR00449	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	TIGR00231	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-0.5-mRNA-1	IPR018200	GO:0006511;GO:0036459;GO:0016579	NA	PF00443;PF13446	PTHR44130	G3DSA:3.90.70.10	SSF54001	PS50235	mobidb-lite	cd02666	Coil	NA	PS00973;PS00972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_473019_cov_49.377120-processed-gene-1.9-mRNA-1	IPR019337	NA	NA	PF10193	PTHR15830	G3DSA:1.25.40.720	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_337529_cov_39.967259-processed-gene-0.17-mRNA-1	IPR037907	GO:0015031;GO:0030904;GO:0042147;GO:0035091	NA	PF09325;PF00787	PTHR10555;PTHR10555:SF136	G3DSA:3.30.1520.10;G3DSA:1.20.1270.60	SSF64268	NA	mobidb-lite	cd06891	Coil	NA	NA	PIRSF011791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_268531_cov_43.907632-processed-gene-1.37-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_81041_cov_40.406901-processed-gene-0.1-mRNA-1	IPR019510		NA	PF10469	PTHR13360	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-112126	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-6.37-mRNA-1	IPR017877	GO:0003677	SM00717	PF00249	PTHR21717:SF9;PTHR21717	G3DSA:1.10.10.60	SSF46689	PS50090;PS51294	mobidb-lite	cd11660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_358045_cov_48.915774-processed-gene-2.4-mRNA-1	IPR027417		NA	PF09439	PTHR11485:SF34;PTHR11485	G3DSA:3.40.50.300	SSF52540	NA	mobidb-lite	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_74_length_139877_cov_44.141445-augustus-gene-0.14-mRNA-1	IPR000763	GO:0004096;GO:0004601;GO:0006979;GO:0020037;GO:0055114	NA	PF00141	PTHR30555;PTHR30555:SF0	G3DSA:1.10.420.20;G3DSA:1.10.520.10;G3DSA:1.10.420.10	SSF48113	PS50873	NA	cd00649;cd08200	NA	KEGG: 00360+1.11.1.21|KEGG: 00380+1.11.1.21|KEGG: 00940+1.11.1.21|KEGG: 00983+1.11.1.21|MetaCyc: PWY-5506	PS00436;PS00435	NA	PR00458;PR00460	NA	NA	NA	NA	NA	TIGR00198	NA	MF_01961	NA
maker-NODE_8_length_589706_cov_44.515434-augustus-gene-4.6-mRNA-1	IPR000182	NA	NA	PF00583	PTHR23091;PTHR23091:SF71	G3DSA:3.40.630.30	SSF55729	PS51186	mobidb-lite	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_85_length_117886_cov_48.857811-processed-gene-0.23-mRNA-1	IPR029063	GO:0003676;GO:0008168;GO:0032259	NA	PF05175	PTHR18895:SF74;PTHR18895	G3DSA:1.10.8.10;G3DSA:3.40.50.150	SSF53335	NA	NA	cd02440	NA	NA	PS00092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_242652_cov_45.973747-augustus-gene-0.11-mRNA-1	IPR009072	GO:0046982;GO:0000786;GO:0003677	SM00428	PF00125	PTHR11426;PTHR11426:SF47	G3DSA:1.10.20.10	SSF47113	NA	NA	NA	NA	NA	PS00959	NA	PR00622	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_71_length_154026_cov_47.492362-augustus-gene-0.43-mRNA-1	IPR034085	NA	SM01349	NA	PTHR12609:SF0;PTHR12609	G3DSA:1.25.10.10	SSF48371	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_399465_cov_44.223703-augustus-gene-2.43-mRNA-1	IPR000795	GO:0003924;GO:0005525;GO:0003746;GO:0006414	NA	PF03143;PF03144;PF00009	PTHR23115;PTHR23115:SF228	G3DSA:2.40.30.10;G3DSA:3.40.50.300	SSF50465;SSF52540;SSF50447	PS51722	NA	cd03705;cd01883;cd03693	NA	Reactome: R-HSA-156842	PS00301	NA	PR00315	NA	NA	NA	NA	NA	TIGR00483	NA	NA	NA
augustus_masked-NODE_2_length_835251_cov_43.524260-processed-gene-2.26-mRNA-1	IPR002885	GO:0005515	NA	PF01535	PTHR44149	G3DSA:1.25.40.10	NA	PS51375	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00756	NA	NA	NA
maker-NODE_27_length_320397_cov_47.034040-augustus-gene-2.9-mRNA-1	IPR002809	GO:0016020	SM01415	PF01956	PTHR13116:SF5;PTHR13116	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF010045	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_280547_cov_51.498181-augustus-gene-1.2-mRNA-1	IPR038506	GO:0005643;GO:0016973	NA	PF07817	PTHR12960	G3DSA:1.25.40.510	NA	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-159236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_229964_cov_56.757006-processed-gene-1.73-mRNA-1	IPR011566	GO:0006744;GO:0055114	NA	PF03232	PTHR11237;PTHR11237:SF4	NA	SSF47240	NA	mobidb-lite	cd01042	NA	Reactome: R-HSA-2142789	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	MF_01658	NA
augustus_masked-NODE_9_length_576710_cov_38.331728-processed-gene-1.16-mRNA-1	IPR001452	GO:0005515	SM00326	PF00018	NA	G3DSA:2.30.30.40	SSF50044	PS50002	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_30_length_306665_cov_46.535001-processed-gene-1.16-mRNA-1	IPR020097	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	PF01416	PTHR11142:SF4;PTHR11142	G3DSA:3.30.70.660;G3DSA:3.30.70.580	SSF55120	NA	mobidb-lite	cd02568	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00071	NA	NA	NA
augustus_masked-NODE_7_length_592919_cov_50.166630-processed-gene-2.21-mRNA-1	IPR036038	GO:0003824;GO:0004084;GO:0009081	NA	PF01063	PTHR11825:SF69;PTHR11825	G3DSA:3.30.470.10;G3DSA:3.20.10.10	SSF56752	NA	NA	cd01557	NA	Reactome: R-HSA-70895	PS00770	PIRSF006468	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_113970_cov_55.250046-augustus-gene-0.39-mRNA-1	IPR022127	NA	NA	PF12400	PTHR31735;PTHR31735:SF1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_12_length_473019_cov_49.377120-augustus-gene-2.42-mRNA-1	IPR029033	NA	NA	NA	PTHR11567:SF142;PTHR11567	G3DSA:3.40.50.1240	SSF53254	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-1.34-mRNA-1	NA	NA	NA	NA	NA	G3DSA:3.40.50.2000	SSF53756	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_280113_cov_104.521790-augustus-gene-0.2-mRNA-1	IPR001680	GO:0005515;GO:0000398;GO:0000974;GO:0006281;GO:0061630;GO:0004842;GO:0016567	SM00320;SM00504	PF00400;PF08606	PTHR43995	G3DSA:3.30.40.10;G3DSA:2.130.10.10	SSF57850;SSF50978	PS50082;PS51698;PS50294	NA	cd16656	Coil	MetaCyc: PWY-7511|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_78_length_126863_cov_55.837205-processed-gene-0.50-mRNA-1	IPR033181	GO:0042407;GO:0061617	NA	PF09769	PTHR28268	NA	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-8949613	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_32_length_303124_cov_51.905705-augustus-gene-0.30-mRNA-1	IPR000246	GO:0016787	NA	PF01112	PTHR10188:SF25;PTHR10188	G3DSA:1.20.5.170;G3DSA:3.60.20.30	SSF57959;SSF56235	NA	mobidb-lite	cd14688;cd04701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_533797_cov_51.760206-augustus-gene-4.46-mRNA-1	IPR002347	GO:0016491	NA	PF13561	PTHR43180;PTHR43180:SF24	G3DSA:3.40.50.720	SSF51735	NA	NA	cd05233	NA	NA	PS00061	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_78_length_126863_cov_55.837205-augustus-gene-0.10-mRNA-1	IPR001810	GO:0005515	SM00256;SM00558	PF13621;PF12937	PTHR12480;PTHR12480:SF21	G3DSA:1.20.1280.50;G3DSA:2.60.120.650	SSF81383;SSF51197	PS51184;PS50181	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_301127_cov_37.102465-augustus-gene-2.19-mRNA-1	IPR036291	NA	NA	NA	PTHR43647;PTHR43647:SF1	G3DSA:3.40.50.720	SSF51735	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_114_length_77528_cov_51.197749-augustus-gene-0.13-mRNA-1	IPR029063	NA	NA	PF13489	PTHR43675;PTHR43675:SF5	G3DSA:3.40.50.150	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-5.28-mRNA-1	IPR007232	GO:0006281;GO:0006310;GO:0000724;GO:0000730;GO:0005634;GO:0045002	NA	PF04098	PTHR12132;PTHR12132:SF1	G3DSA:3.30.390.80	SSF54768	NA	mobidb-lite	NA	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00607	NA	NA	NA
augustus_masked-NODE_65_length_163965_cov_47.333183-processed-gene-0.64-mRNA-1	IPR001433	GO:0016491;GO:0055114;GO:0019825;GO:0020037;GO:0008941;GO:0051409;GO:0071949	NA	PF00175;PF00042	PTHR43396:SF3;PTHR43396	G3DSA:3.40.50.80;G3DSA:1.10.490.10	SSF63380;SSF52343;SSF46458	PS51384;PS01033	mobidb-lite	cd08922;cd06184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_82_length_123684_cov_46.464263-processed-gene-0.23-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_306659_cov_41.519094-processed-gene-0.4-mRNA-1	IPR039254	NA	NA	PF13668	PTHR38705	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_109_length_81041_cov_40.406901-processed-gene-0.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_65_length_163965_cov_47.333183-processed-gene-0.50-mRNA-1	IPR005804	GO:0006629	NA	PF00487	PTHR19353;PTHR19353:SF14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_382405_cov_34.860070-augustus-gene-2.5-mRNA-1	IPR006995	GO:0015078;GO:0015986;GO:0045263	NA	PF04911	PTHR28060	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_67_length_160058_cov_50.717703-processed-gene-0.71-mRNA-1	IPR005033	GO:0006355;GO:0000812;GO:0035267	NA	PF03366	PTHR23195;PTHR23195:SF15	G3DSA:2.60.40.1970	NA	PS51037	mobidb-lite	NA	Coil	Reactome: R-HSA-3214847|Reactome: R-HSA-8866907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_124950_cov_52.182667-augustus-gene-0.47-mRNA-1	IPR015797	GO:0016787;GO:0046872	NA	PF09296;PF00293;PF09297	PTHR42904;PTHR42904:SF2	G3DSA:3.90.79.10;G3DSA:3.90.79.20	SSF55811	PS51462	NA	cd03429	NA	KEGG: 00760+3.6.1.22|MetaCyc: PWY-5381|MetaCyc: PWY-7761	PS00893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_797078_cov_49.968901-processed-gene-4.9-mRNA-1	IPR029058	GO:0009058;GO:0016788	NA	PF00975	NA	NA	SSF53474	NA	NA	NA	NA	Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_116_length_76531_cov_50.441364-processed-gene-0.4-mRNA-1	IPR019368		NA	PF10236	PTHR12810	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_62_length_172548_cov_43.885727-processed-gene-0.30-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_399465_cov_44.223703-augustus-gene-0.12-mRNA-1	IPR006683	GO:0047617	NA	PF03061	PTHR21660:SF4;PTHR21660	G3DSA:3.10.129.10	SSF54637	NA	NA	cd03443	NA	Reactome: R-HSA-77289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_389369_cov_49.707909-processed-gene-2.66-mRNA-1	IPR018800		NA	PF10253	PTHR13621	NA	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_438591_cov_42.476801-processed-gene-0.27-mRNA-1	IPR027486	GO:0003735;GO:0005840;GO:0006412;GO:0015935	SM01403	PF00338	PTHR11700:SF8;PTHR11700	G3DSA:3.30.70.600	SSF54999	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	PR00971	NA	NA	NA	NA	NA	TIGR01046	NA	MF_00508	NA
augustus_masked-NODE_8_length_589706_cov_44.515434-processed-gene-2.6-mRNA-1	IPR014371	GO:0008374	NA	PF03062	PTHR10408;PTHR10408:SF14	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF000439	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_797078_cov_49.968901-augustus-gene-6.1-mRNA-1	IPR030379	GO:0005525	NA	PF00735	PTHR18884;PTHR18884:SF70	NA	SSF52540	PS51719	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_129_length_61204_cov_51.963833-processed-gene-0.0-mRNA-1	IPR035371		NA	PF17407;PF17404;PF03813;PF17406;PF17403;PF17405	PTHR17972	G3DSA:1.10.1410.10;G3DSA:3.30.460.10;G3DSA:3.30.70.3030	NA	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_73_length_141247_cov_51.918374-processed-gene-0.5-mRNA-1	IPR006254	GO:0004451;GO:0019752;GO:0003824	NA	PF00463	PTHR21631;PTHR21631:SF13	G3DSA:1.10.10.850;G3DSA:3.20.20.60	SSF51621	NA	NA	cd00377	NA	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969	PS00161	PIRSF001362	NA	NA	NA	NA	NA	NA	TIGR01346	NA	NA	NA
augustus_masked-NODE_24_length_337529_cov_39.967259-processed-gene-0.29-mRNA-1	IPR025602	NA	NA	PF13862	PTHR13261	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	PIRSF028983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_218510_cov_38.054963-augustus-gene-0.17-mRNA-1	IPR003123		SM00167	PF02204	PTHR23101;PTHR23101:SF97	G3DSA:1.20.1050.80	SSF109993	PS51205	mobidb-lite	NA	Coil	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_82_length_123684_cov_46.464263-processed-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_78_length_126863_cov_55.837205-augustus-gene-0.7-mRNA-1	IPR003807	NA	NA	PF02656	PTHR34187;PTHR34187:SF2	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_438591_cov_42.476801-augustus-gene-1.29-mRNA-1	IPR014782	GO:0008237;GO:0008270;GO:0006508	SM01263	PF01433;PF17900;PF09127	PTHR11533;PTHR11533:SF174	G3DSA:1.10.390.10;G3DSA:2.60.40.1730;G3DSA:1.25.40.320;G3DSA:1.10.1740.60	SSF63737;SSF55486;SSF48371	NA	NA	cd09599	NA	NA	NA	NA	PR00756	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_775689_cov_45.339792-augustus-gene-5.56-mRNA-1	IPR004977		NA	PF03297	PTHR12850;PTHR12850:SF5	G3DSA:1.10.10.2780	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD012268
maker-NODE_18_length_389369_cov_49.707909-augustus-gene-2.13-mRNA-1	IPR008709	NA	NA	PF05536	PTHR13109	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_404132_cov_53.888514-augustus-gene-2.56-mRNA-1	IPR024936	GO:0003755;GO:0003676;GO:0003723	SM00360	PF00076	PTHR11071;PTHR11071:SF319	G3DSA:3.30.70.330	SSF54928	PS50102	mobidb-lite	cd12347	NA	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6798695|Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_71_length_154026_cov_47.492362-augustus-gene-0.50-mRNA-1	IPR011993		SM01287	PF08512	NA	G3DSA:2.30.29.30	SSF50729	NA	mobidb-lite	NA	Coil	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_242636_cov_44.232622-processed-gene-0.18-mRNA-1	IPR008929	GO:0016829;GO:0042597	NA	PF05426	NA	G3DSA:1.50.10.100	SSF48230	NA	NA	NA	Coil	Reactome: R-HSA-2022923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_797078_cov_49.968901-augustus-gene-6.4-mRNA-1	IPR019818	GO:0000287;GO:0016616;GO:0051287;GO:0055114	SM01329	PF00180	PTHR11835:SF48;PTHR11835	G3DSA:3.40.718.10	SSF53659	NA	NA	NA	NA	Reactome: R-HSA-71403	PS00470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
