Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
maker-NODE_162_length_49691_cov_28.590227-augustus-gene-0.17-mRNA-1	NA	NA	NA	PTHR11502	NA	IPR001377	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-166208|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01092	PIRSF002129	NA	SM01405	NA	NA	NA	NA	NA	NA	PS00578	NA	NA	NA	NA	NA
maker-NODE_173_length_46499_cov_28.401471-augustus-gene-0.13-mRNA-1	G3DSA:1.10.630.10	NA	NA	PTHR24279;PTHR24279:SF75	SSF48264	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00086	NA	PR00463	NA	NA	NA
maker-NODE_214_length_41921_cov_31.003948-augustus-gene-0.1-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_616_length_15909_cov_21.350082-augustus-gene-0.1-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR45348	SSF51735;SSF50129	IPR013154	GO:0055114;GO:0016491	NA	PF08240	NA	NA	SM00829	NA	NA	cd08249	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_223_length_41100_cov_23.170283-augustus-gene-0.10-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_199_length_43818_cov_30.655421-augustus-gene-0.3-mRNA-1	G3DSA:2.130.10.10	NA	NA	PTHR18763:SF0;PTHR18763	SSF50978	IPR001680	GO:0005515	NA	PF00400	NA	NA	SM00320	Coil	PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_344_length_30971_cov_28.037220-processed-gene-0.1-mRNA-1	G3DSA:3.40.50.300	NA	NA	PTHR31715	SSF52540	IPR012202	GO:0003924;GO:0016151;GO:0006807	NA	PF02492	PIRSF005624	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	MF_01389	NA	TIGR00101	NA	NA
augustus_masked-NODE_133_length_55069_cov_31.652069-processed-gene-0.9-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_72_length_70263_cov_29.337558-processed-gene-0.7-mRNA-1	G3DSA:1.10.357.70;G3DSA:1.10.357.50	NA	NA	PTHR21292;PTHR21292:SF1	NA	IPR010326	GO:0000145;GO:0006887	NA	PF06046	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_86503_cov_28.549713-augustus-gene-0.4-mRNA-1	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	PTHR24054:SF33;PTHR24054	SSF56112	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	NA	SM00220	NA	PS50011	cd14132	NA	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA
maker-NODE_264_length_37206_cov_31.438523-augustus-gene-0.9-mRNA-1	G3DSA:3.40.630.30	NA	NA	PTHR20958	SSF55729	IPR016181	GO:0016747	NA	PF08445	NA	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_209_length_42501_cov_34.102704-augustus-gene-0.25-mRNA-1	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR23124;PTHR23124:SF121	NA	IPR000420	GO:0005199;GO:0005618	NA	PF00399	NA	mobidb-lite	NA	NA	PS50256	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_471_length_22479_cov_25.899114-processed-gene-0.4-mRNA-1	G3DSA:3.60.10.10;G3DSA:3.80.10.10	NA	NA	PTHR12121;PTHR12121:SF34	SSF56219;SSF52058	IPR001611	GO:0005515	NA	PF03372	NA	mobidb-lite	NA	NA	PS51450	cd09097	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_221_length_41202_cov_24.215240-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.300	NA	NA	PTHR24031:SF558;PTHR24031	SSF52540	IPR000629	GO:0003676;GO:0005524	NA	PF00270;PF00271	NA	NA	SM00490;SM00487	Coil	PS51195;PS51192;PS51194	cd00079;cd00268	NA	NA	NA	PS00039	NA	NA	NA	NA	NA
maker-NODE_61_length_73134_cov_27.605367-augustus-gene-0.22-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR43591:SF11;PTHR43591	SSF53335	IPR029063	NA	NA	PF13489	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_396_length_26912_cov_33.003472-processed-gene-0.2-mRNA-1	G3DSA:3.50.50.60	NA	NA	PTHR42877:SF5;PTHR42877	SSF51905	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_471_length_22479_cov_25.899114-augustus-gene-0.5-mRNA-1	G3DSA:3.40.50.720	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR43550:SF2;PTHR43550	SSF51735	IPR002347	NA	NA	PF00106	NA	NA	SM00822	NA	NA	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA
augustus_masked-NODE_423_length_24919_cov_31.594950-processed-gene-0.7-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR19444;PTHR19444:SF25	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	SM00906	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_61_length_73134_cov_27.605367-processed-gene-0.3-mRNA-1	G3DSA:3.40.50.720	NA	NA	PTHR11011:SF45;PTHR11011	SSF51735	IPR036291	GO:0080019	Reactome: R-HSA-8848584	PF07993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1032_length_5785_cov_34.186108-augustus-gene-0.4-mRNA-1	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	PTHR11986;PTHR11986:SF79	SSF53383	IPR004636	GO:0006525;GO:0008483;GO:0003824;GO:0030170	NA	PF00202	PIRSF000521	mobidb-lite	NA	NA	NA	cd00610	NA	NA	SignalP-TM	PS00600	MF_01107	NA	TIGR00707	NA	NA
maker-NODE_54_length_75208_cov_27.978303-augustus-gene-0.4-mRNA-1	G3DSA:1.10.132.50;G3DSA:1.20.1690.10	NA	NA	PTHR11028:SF0;PTHR11028	SSF103486	IPR035067	GO:0015078;GO:0015991;GO:0033179	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PF01992	PIRSF018497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_248_length_38691_cov_31.035785-processed-gene-0.4-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR39336:SF1;PTHR39336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_113784_cov_31.196160-processed-gene-0.12-mRNA-1	G3DSA:3.30.465.10	NA	NA	PTHR10801:SF3;PTHR10801	SSF56176	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	KEGG: 00100+1.3.1.72|Reactome: R-HSA-6807047|Reactome: R-HSA-6807062	PF01565	NA	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_195_length_44209_cov_31.565718-augustus-gene-0.2-mRNA-1	G3DSA:3.30.40.210	NA	NA	PTHR12882:SF1;PTHR12882	SSF63393	IPR038510	GO:0005634;GO:0006355;GO:0008270;GO:0032786	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-75955	PF06093	PIRSF025023	NA	SM01389	NA	NA	cd07973	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_903_length_8020_cov_30.969340-augustus-gene-0.4-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR36853	NA	IPR024382	NA	NA	PF12955	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_425_length_24845_cov_31.605915-augustus-gene-0.3-mRNA-1	G3DSA:2.130.10.10	NA	NA	PTHR44111	SSF50978	IPR037289	GO:0002098;GO:0033588;GO:0005515	Reactome: R-HSA-3214847	PF00400	NA	NA	SM00320	NA	PS50082;PS50294	NA	NA	NA	NA	PS00678	NA	NA	NA	NA	NA
maker-NODE_399_length_26741_cov_28.342414-augustus-gene-0.0-mRNA-1	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PTHR11177;PTHR11177:SF182	SSF51445	IPR011583	GO:0008061;GO:0005975	NA	PF00704	NA	NA	SM00636	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_135501_cov_31.577622-augustus-gene-0.50-mRNA-1	NA	NA	NA	PTHR11024:SF3;PTHR11024	SSF50978	IPR001680	GO:0005515;GO:1904263;GO:0005198	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	PF00400	NA	mobidb-lite	SM00320	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_668_length_14201_cov_21.921984-augustus-gene-0.4-mRNA-1	G3DSA:3.40.1280.10	NA	NA	PTHR12636:SF5;PTHR12636	SSF75217	IPR005304	GO:0008168	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF03587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_586_length_16861_cov_22.217043-augustus-gene-0.4-mRNA-1	NA	NA	NA	PTHR13950;PTHR13950:SF9	SSF50978	IPR036322	GO:0005515	NA	PF12234	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_64099_cov_24.800335-augustus-gene-0.20-mRNA-1	G3DSA:3.30.260.10;G3DSA:3.50.7.10;G3DSA:1.10.560.10	NA	NA	PTHR11353;PTHR11353:SF64	SSF52029;SSF48592;SSF54849	IPR001844	GO:0005737;GO:0042026;GO:0005524;GO:0006457	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	PF00118	NA	NA	NA	NA	NA	cd03344	NA	NA	NA	PS00296	MF_00600	PR00298	TIGR02348	NA	NA
maker-NODE_9_length_141697_cov_31.881585-augustus-gene-0.48-mRNA-1	NA	NA	NA	NA	NA	IPR018853	NA	NA	PF10446	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_426_length_24831_cov_29.084480-augustus-gene-0.6-mRNA-1	NA	NA	NA	PTHR44418	SSF53927	IPR016193	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_321_length_32424_cov_26.884974-augustus-gene-0.11-mRNA-1	G3DSA:3.30.710.10	NA	NA	PTHR11165:SF24;PTHR11165	SSF54695;SSF81382	IPR016073	GO:0006511	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	PF03931;PF01466	PIRSF028729	NA	SM00512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_277_length_35832_cov_32.128805-processed-gene-0.7-mRNA-1	G3DSA:3.40.50.620;G3DSA:3.30.1300.10	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR21299;PTHR21299:SF1	SSF52374	IPR014729	GO:0004592;GO:0015940	KEGG: 00410+6.3.2.1|KEGG: 00770+6.3.2.1	PF02569	NA	NA	NA	NA	NA	cd00560	NA	NA	SignalP-TM	NA	MF_00158	NA	TIGR00018	NA	NA
maker-NODE_45_length_83364_cov_33.052212-augustus-gene-0.3-mRNA-1	G3DSA:1.20.1310.10;G3DSA:1.10.10.10;G3DSA:1.10.10.2620	NA	NA	PTHR11932;PTHR11932:SF27	SSF46785;SSF74788;SSF75632	IPR019559	GO:0006511;GO:0031625	Reactome: R-HSA-8951664	PF10557;PF00888	NA	mobidb-lite	SM00884;SM00182	NA	PS50069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_984_length_6505_cov_16.039354-processed-gene-0.0-mRNA-1	G3DSA:3.40.1110.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR24093;PTHR24093:SF373	SSF81665;SSF81660	IPR023298	GO:0000166	Reactome: R-HSA-936837	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_519_length_19857_cov_28.202382-processed-gene-0.3-mRNA-1	G3DSA:2.40.50.140	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR22594;PTHR22594:SF34	SSF50249;SSF55681	IPR004364	GO:0000166;GO:0004812;GO:0005524;GO:0006418	NA	PF00152	NA	mobidb-lite	NA	NA	PS50862	cd04318	NA	NA	NA	NA	NA	PR01042	NA	NA	NA
maker-NODE_21_length_113006_cov_28.343846-augustus-gene-0.29-mRNA-1	G3DSA:1.25.10.10;G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	PTHR12984:SF3;PTHR12984	SSF48371;SSF56112	IPR011989	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	mobidb-lite	NA	Coil	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_83637_cov_32.832296-processed-gene-0.41-mRNA-1	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	NA	PTHR43688	SSF52467	IPR029035	GO:0070403	NA	PF02146	NA	NA	NA	NA	PS50305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_71769_cov_30.464853-augustus-gene-0.6-mRNA-1	G3DSA:3.30.930.10;G3DSA:3.10.20.30;G3DSA:3.40.50.800;G3DSA:3.30.980.10	NA	NA	PTHR11451:SF46;PTHR11451	SSF81271;SSF55186;SSF55681;SSF52954	IPR002320	GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0004812;GO:0043039;GO:0000166;GO:0006418	KEGG: 00970+6.1.1.3	PF03129;PF07973;PF00587;PF02824	NA	mobidb-lite	SM00863	NA	PS50862	cd00771;cd00860;cd01667	NA	NA	NA	NA	MF_00184	PR01047	TIGR00418	NA	NA
augustus_masked-NODE_153_length_51459_cov_30.363867-processed-gene-0.10-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	SSF56112	IPR011009	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_140_length_53834_cov_31.869142-processed-gene-0.6-mRNA-1	NA	NA	NA	NA	SSF81383	IPR036047	GO:0005515	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_99982_cov_34.719373-augustus-gene-0.41-mRNA-1	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	NA	PTHR20854:SF4;PTHR20854	SSF56655	IPR020583	GO:0046854;GO:0008934;GO:0046855	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	PF00459	NA	mobidb-lite	NA	NA	NA	cd01639	NA	NA	NA	PS00629;PS00630	NA	PR00377	NA	NA	NA
maker-NODE_338_length_31257_cov_35.498458-augustus-gene-0.1-mRNA-1	NA	NA	NA	PTHR12747	SSF82171	IPR006849	GO:0002098;GO:0033588	Reactome: R-HSA-3214847	PF04762	PIRSF017233	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_78_length_68202_cov_35.629041-augustus-gene-0.12-mRNA-1	NA	NA	NA	PTHR12864;PTHR12864:SF3	NA	IPR013144	GO:0005515	NA	PF10607;PF08513	NA	mobidb-lite	SM00757;SM00668;SM00667	NA	PS50896;PS50897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_572_length_17227_cov_28.844327-augustus-gene-0.0-mRNA-1	G3DSA:3.10.290.40;G3DSA:2.40.50.740;G3DSA:2.30.30.30	NA	NA	PTHR11581	NA	IPR000876	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003723	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00900;PF00467;PF08071;PF16121	PIRSF002116	NA	NA	NA	PS50889	cd06087;cd00165	NA	NA	NA	PS00528	MF_00485	NA	NA	NA	PD002667
augustus_masked-NODE_36_length_88520_cov_30.676818-processed-gene-0.9-mRNA-1	G3DSA:3.60.20.30;G3DSA:1.20.5.170	NA	NA	PTHR10188:SF25;PTHR10188	SSF56235;SSF57959	IPR000246	GO:0016787	NA	PF01112	NA	mobidb-lite	NA	Coil	NA	cd04701;cd14688	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_327_length_31844_cov_31.184948-augustus-gene-0.4-mRNA-1	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	NA	PTHR30524;PTHR30524:SF0	SSF51735;SSF48179	IPR013328	GO:0016491;GO:0055114;GO:0003824;GO:0008926;GO:0019594;GO:0050662	KEGG: 00051+1.1.1.17|MetaCyc: PWY-6531	PF01232;PF08125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00196	PR00084	NA	NA	NA
maker-NODE_185_length_45420_cov_31.542622-augustus-gene-0.2-mRNA-1	G3DSA:3.40.50.11000	NA	NA	PTHR13273	NA	IPR007785	GO:0005737;GO:0016226;GO:0051536	Reactome: R-HSA-2564830	PF05093;PF16803	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	MF_03115	NA	NA	NA	NA
maker-NODE_65_length_71960_cov_30.215430-augustus-gene-0.3-mRNA-1	G3DSA:3.20.20.210	NA	NA	PTHR30519:SF0;PTHR30519	SSF51726	IPR006276	GO:0003871;GO:0008270;GO:0009086;GO:0008652	KEGG: 00270+2.1.1.14|KEGG: 00450+2.1.1.14|MetaCyc: PWY-5041|MetaCyc: PWY-6151|MetaCyc: PWY-6936|MetaCyc: PWY-702	PF08267;PF01717	PIRSF000382	mobidb-lite	NA	Coil	NA	cd03312;cd03311	NA	NA	NA	NA	MF_00172	NA	TIGR01371	NA	NA
maker-NODE_204_length_43018_cov_27.759157-augustus-gene-0.1-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_83770_cov_31.605107-processed-gene-0.13-mRNA-1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR35896	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_378_length_28000_cov_26.621390-processed-gene-0.4-mRNA-1	G3DSA:2.60.120.650	NA	NA	PTHR10694	SSF51197	IPR003347		Reactome: R-HSA-3214842	PF02373	NA	mobidb-lite	SM00558	Coil	PS51183;PS51184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1593_length_1835_cov_49.456674-processed-gene-0.0-mRNA-1	G3DSA:3.40.50.620;G3DSA:2.40.240.10	NA	NA	PTHR43097;PTHR43097:SF5	SSF52374;SSF50715	IPR000924	GO:0000166;GO:0004812;GO:0005524;GO:0043039;GO:0004818;GO:0005737;GO:0006424;GO:0006418;GO:0006412	KEGG: 00860+6.1.1.17|KEGG: 00970+6.1.1.17|MetaCyc: PWY-5188|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-6782315	PF00749;PF03950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00987	TIGR00463	NA	NA
augustus_masked-NODE_309_length_33322_cov_27.141045-processed-gene-0.5-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_48_length_79498_cov_30.623276-processed-gene-0.14-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	SSF48371	IPR016024	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_134043_cov_31.481966-processed-gene-0.3-mRNA-1	G3DSA:1.10.340.30;G3DSA:1.10.1670.10	NA	NA	PTHR10359;PTHR10359:SF18	SSF48150	IPR011257	GO:0003824;GO:0006281;GO:0006284	Reactome: R-HSA-110357	PF00730	NA	mobidb-lite	SM00478	NA	NA	cd00056	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_91_length_63781_cov_27.913972-processed-gene-0.11-mRNA-1	G3DSA:3.20.20.80	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR36183	SSF51445	IPR031728		KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	PF16862	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_103_length_59805_cov_30.880710-augustus-gene-0.16-mRNA-1	G3DSA:3.30.830.10	NA	NA	PTHR43690:SF2;PTHR43690	SSF63411	IPR011249	GO:0003824;GO:0046872	NA	PF05193;PF16187;PF00675	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_625_length_15590_cov_27.913406-augustus-gene-0.4-mRNA-1	G3DSA:3.40.50.720	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR43544:SF7;PTHR43544	SSF51735	IPR002347	NA	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00081	NA	NA	NA
augustus_masked-NODE_214_length_41921_cov_31.003948-processed-gene-0.12-mRNA-1	NA	NA	NA	NA	SSF82708	IPR036867	GO:0003676	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_788_length_10731_cov_22.715202-processed-gene-0.0-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
