Gene	Phobius	MobiDBLite	TMHMM	PRINTS	SFLD	PANTHER	interpro	GO	PATHWAY	TIGRFAM	ProSitePatterns	Gene3D	SUPERFAMILY	Pfam	CDD	SMART	ProSiteProfiles	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	PIRSF	SignalP_GRAM_NEGATIVE	ProDom
augustus_masked-NODE_9_length_360801_cov_59.734333-processed-gene-0.7-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11462;PTHR11462:SF48	IPR004827	GO:0003700;GO:0006355	NA	NA	PS00036	G3DSA:3.30.160.60	SSF57959	PF07716	cd12193	NA	PS50217	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_182_length_55297_cov_56.714247-augustus-gene-0.14-mRNA-1	NA	NA	NA	NA	NA	PTHR10073:SF12;PTHR10073	IPR003594	GO:0006298;GO:0016887;GO:0032300;GO:0005524;GO:0030983	NA	TIGR00585	PS00058	G3DSA:3.30.1370.100;G3DSA:3.30.565.10;G3DSA:2.30.42.20	SSF55874;SSF118116	PF13589;PF08676	cd00075	SM00853	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_360801_cov_59.734333-augustus-gene-2.62-mRNA-1	NA	NA	NA	PR00753	NA	PTHR43795;PTHR43795:SF3	IPR004839	GO:0009058;GO:0030170;GO:0003824	NA	NA	NA	G3DSA:1.20.120.1750;G3DSA:3.40.640.10	SSF57850;SSF53383	PF00155;PF01485	NA	SM00647	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_152397_cov_55.241407-augustus-gene-0.37-mRNA-1	NA	NA	NA	NA	NA	PTHR23323:SF26;PTHR23323	IPR007810	GO:0006886;GO:0016192;GO:0005515	NA	NA	NA	G3DSA:1.25.40.10	SSF57850;SSF75011	PF05131	cd16462	NA	PS50236	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_115_length_99864_cov_61.118522-augustus-gene-0.2-mRNA-1	NA	NA	NA	NA	NA	PTHR30559;PTHR30559:SF0	IPR013785	GO:0003824;GO:0005975;GO:0008270;GO:0016832;GO:0004332;GO:0006096	KEGG: 00010+4.1.2.13|KEGG: 00030+4.1.2.13|KEGG: 00051+4.1.2.13|KEGG: 00680+4.1.2.13|KEGG: 00710+4.1.2.13|MetaCyc: PWY-1042|MetaCyc: PWY-1861|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7385	TIGR00167;TIGR01520	PS00806	G3DSA:3.20.20.70	SSF51569	PF01116	cd00946	NA	NA	NA	NA	NA	NA	PIRSF001359	NA	NA
maker-NODE_7_length_390667_cov_62.570321-augustus-gene-2.33-mRNA-1	NA	NA	NA	NA	NA	PTHR21013	IPR011419	GO:0043461	NA	NA	NA	G3DSA:3.30.2180.30;G3DSA:1.10.3580.10	SSF160909	PF07542	NA	NA	NA	NA	NA	SignalP-TM	Coil	NA	NA	NA
maker-NODE_84_length_124438_cov_56.501621-augustus-gene-0.39-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14094	IPR031545	GO:0006614;GO:0005515;GO:0008312;GO:0048500	Reactome: R-HSA-1799339	NA	NA	G3DSA:1.25.40.10	SSF48452	PF17004;PF08492	NA	NA	NA	NA	NA	NA	NA	PIRSF038922	NA	NA
maker-NODE_190_length_51857_cov_50.751672-augustus-gene-0.11-mRNA-1	NA	NA	NA	NA	SFLDG01140;SFLDF00445	PTHR10466:SF0;PTHR10466	IPR006379	GO:0004615;GO:0005737;GO:0009298	Reactome: R-HSA-446205	TIGR01484	NA	G3DSA:3.30.1240.20;G3DSA:3.40.50.1000	SSF56784	PF03332	cd02585	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_283279_cov_54.252907-augustus-gene-1.20-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14212	IPR010541	GO:0000398;GO:0046540	Reactome: R-HSA-72163	NA	NA	NA	NA	PF06544;PF08572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_188_length_52799_cov_53.708498-augustus-gene-0.0-mRNA-1	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	PTHR22811:SF14;PTHR22811	IPR009038	NA	NA	NA	NA	NA	NA	PF01105	NA	SM01190	PS50866	NA	SignalP-noTM	NA	Coil	NA	SignalP-noTM	NA
augustus_masked-NODE_71_length_145085_cov_54.776680-processed-gene-0.25-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	mobidb-lite	NA	NA	NA	PTHR21493:SF235;PTHR21493	IPR029058	GO:0006629	Reactome: R-HSA-426048	NA	NA	NA	SSF53474	PF01764	cd00519	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_587648_cov_59.069856-processed-gene-2.19-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13073;PTHR13073:SF0	IPR009395	GO:0031083	Reactome: R-HSA-432720|Reactome: R-HSA-432722	NA	NA	NA	NA	PF06320	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_44_length_177198_cov_63.272365-processed-gene-0.49-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14580:SF0;PTHR14580	IPR039207		Reactome: R-HSA-6798695	NA	NA	NA	NA	PF10159	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_62_length_153758_cov_57.514701-augustus-gene-0.8-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR19302:SF14;PTHR19302	IPR040457	GO:0043015;GO:0000226;GO:0000922;GO:0005815;GO:0007020	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	G3DSA:1.20.120.1900	NA	PF17681;PF04130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_411546_cov_58.313316-processed-gene-1.22-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13593:SF43;PTHR13593	IPR000909	GO:0006629;GO:0008081	NA	NA	NA	G3DSA:3.20.20.190	SSF51695	NA	cd08586	SM00148	PS50007	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_199252_cov_55.539500-augustus-gene-0.56-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR34002;PTHR34002:SF8	IPR013320	GO:0000272;GO:0008810;GO:0004553	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	G3DSA:2.60.120.180	SSF49899	PF01670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_173807_cov_59.870970-processed-gene-0.68-mRNA-1	NA	NA	NA	NA	NA	PTHR11139;PTHR11139:SF69	IPR003152	GO:0005515;GO:0004674;GO:0016301	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	SSF56112	PF00454;PF02260;PF02259;PF08064	cd00892	SM00146;SM01343	PS51190;PS50290;PS51189	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_281067_cov_59.950911-augustus-gene-1.19-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10826:SF1;PTHR10826	IPR003428	GO:0005759	Reactome: R-HSA-140837	NA	NA	G3DSA:3.10.280.10	SSF54529	PF02330	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_12_length_293523_cov_59.929413-augustus-gene-1.19-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11721:SF10;PTHR11721	IPR001196	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0015934	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00475	G3DSA:3.100.10.10	SSF52080	PF00828	NA	NA	NA	MF_01341	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_107455_cov_55.526405-processed-gene-0.15-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_96_length_116430_cov_59.256958-augustus-gene-0.36-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR43671	IPR008271	GO:0004672;GO:0006468;GO:0005524	NA	NA	PS00108	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PF07714	cd08217	SM00220	PS50011	NA	NA	NA	Coil	PIRSF000615	NA	NA
maker-NODE_3_length_417995_cov_62.188878-augustus-gene-2.46-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-noTM	NA
maker-NODE_7_length_390667_cov_62.570321-augustus-gene-2.34-mRNA-1	NA	NA	NA	NA	NA	PTHR43487;PTHR43487:SF2	IPR013595	NA	NA	NA	NA	NA	NA	PF08386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_130_length_87093_cov_59.619391-processed-gene-0.10-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_287653_cov_58.138346-augustus-gene-1.3-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24031;PTHR24031:SF332	IPR014001	GO:0003676;GO:0005524	NA	NA	PS00039	G3DSA:3.40.50.300	SSF52540	PF00270;PF00271	cd00079;cd00268	SM00490;SM00487	PS51192;PS51194;PS51195	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_267_length_14287_cov_48.964124-processed-gene-0.5-mRNA-1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_37_length_197750_cov_33.931511-augustus-gene-0.10-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13501	IPR001063	GO:0003735;GO:0005840;GO:0006412;GO:0015934	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	G3DSA:3.90.470.10	SSF54843	PF00237	cd00336	NA	NA	NA	NA	SignalP-TM	Coil	NA	NA	NA
augustus_masked-NODE_148_length_76579_cov_60.086577-processed-gene-0.0-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR28027:SF1;PTHR28027	IPR018608	NA	NA	NA	NA	NA	NA	PF09729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_163_length_64744_cov_55.228810-processed-gene-0.11-mRNA-1	NA	NA	NA	PR00297	NA	PTHR10772;PTHR10772:SF0	IPR020818	GO:0006457;GO:0005524;GO:0005737	NA	NA	PS00681	G3DSA:2.30.33.40	SSF50129	PF00166	cd00320	SM00883	NA	MF_00580	NA	NA	NA	NA	NA	NA
maker-NODE_185_length_52907_cov_53.543274-augustus-gene-0.22-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	PTHR15407:SF32;PTHR15407	IPR007074	NA	NA	NA	NA	NA	NA	PF04991	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_107_length_107455_cov_55.526405-augustus-gene-0.25-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR22934;PTHR22934:SF13	IPR011598	GO:0046983	NA	NA	NA	G3DSA:4.10.280.10	SSF47459	PF00010	cd00083	SM00353	PS50888	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_19_length_255739_cov_51.913670-processed-gene-1.61-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR31145;PTHR31145:SF5	IPR010308	NA	NA	NA	NA	NA	NA	PF06011;PF14558	NA	SM01320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_44_length_177198_cov_63.272365-processed-gene-0.64-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_57_length_161808_cov_61.150673-processed-gene-0.3-mRNA-1	NA	NA	NA	NA	NA	PTHR24056;PTHR24056:SF185	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	NA	PS00107;PS00108	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PF00069	cd07835	SM00220	PS50011	NA	NA	NA	NA	PIRSF000654	NA	NA
augustus_masked-NODE_203_length_40971_cov_56.972652-processed-gene-0.16-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR21737;PTHR21737:SF4	IPR018816	GO:0005515	NA	NA	NA	NA	NA	PF10312;PF09732	NA	SM01050	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_57_length_161808_cov_61.150673-processed-gene-0.32-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14927	IPR012580	GO:0005634;GO:0005515	NA	NA	NA	NA	SSF50978	PF08159	NA	SM00320	PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA
maker-NODE_96_length_116430_cov_59.256958-augustus-gene-0.32-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR37315	IPR020915	NA	NA	NA	NA	G3DSA:2.40.160.20	NA	PF11578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_118_length_97252_cov_59.645169-processed-gene-0.29-mRNA-1	NA	mobidb-lite	NA	PR00320	NA	PTHR22847	IPR017986	GO:0005515	NA	NA	PS00678	NA	SSF50978	PF00400	NA	SM00320	PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_390667_cov_62.570321-augustus-gene-2.10-mRNA-1	NA	NA	NA	NA	NA	PTHR44020:SF2;PTHR44020	IPR000608	GO:0005515	Reactome: R-HSA-983168	NA	PS00183	G3DSA:3.10.110.10	SSF46934;SSF54495	PF00179	cd00195	SM00212	PS50127	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_208_length_37922_cov_52.370049-processed-gene-0.3-mRNA-1	NA	NA	NA	NA	NA	PTHR15082	IPR012576	GO:0005739;GO:0005747;GO:0022900	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	PF08122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_587648_cov_59.069856-processed-gene-4.41-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12942	IPR039974	GO:0000386;GO:0000398;GO:0030628	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187	NA	NA	NA	NA	PF11708	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_132_length_86359_cov_54.023727-processed-gene-0.23-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	mobidb-lite	TMhelix	NA	NA	PTHR12064:SF29;PTHR12064	IPR002550	NA	NA	NA	NA	G3DSA:3.10.580.10	SSF54631	PF01595;PF00571	cd04590	NA	PS51846;PS51371	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_405600_cov_57.965645-augustus-gene-0.26-mRNA-1	NA	NA	NA	NA	NA	PTHR43788	IPR027417	NA	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	PF13086;PF13087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_114633_cov_53.361413-augustus-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	PTHR43050	IPR036052	NA	NA	NA	NA	G3DSA:3.40.50.1100	SSF53686	PF00291	cd01562	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_96_length_116430_cov_59.256958-processed-gene-0.26-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24148;PTHR24148:SF59	IPR010730	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_120_length_92544_cov_58.890918-augustus-gene-0.2-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12045	IPR008979	GO:0000256;GO:0004037	KEGG: 00230+3.5.3.4|MetaCyc: PWY-5697	TIGR02961	NA	G3DSA:2.60.120.260	SSF49785	PF03561	NA	NA	NA	MF_00813	NA	NA	NA	PIRSF016516	NA	NA
augustus_masked-NODE_87_length_121410_cov_62.417247-processed-gene-0.5-mRNA-1	NA	NA	NA	NA	NA	PTHR42052	IPR007138	NA	NA	NA	NA	NA	SSF54909	NA	NA	NA	PS51725	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_232_length_27600_cov_54.272777-augustus-gene-0.8-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR40132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_188_length_52799_cov_53.708498-augustus-gene-0.4-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR44533:SF2;PTHR44533	IPR001650	GO:0003676;GO:0005524	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	PF00271;PF00270	cd00079;cd00046	SM00490;SM00487	PS51194;PS51192	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_12_length_293523_cov_59.929413-augustus-gene-1.20-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14222;PTHR14222:SF2	IPR032682	GO:0007076;GO:0000278;GO:0005634;GO:0030261	Reactome: R-HSA-2514853	NA	NA	G3DSA:1.25.10.10	SSF48371	PF12717;PF12922	NA	NA	NA	NA	NA	NA	NA	PIRSF017127	NA	NA
maker-NODE_154_length_70323_cov_59.754017-augustus-gene-0.3-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR14052	IPR007220	GO:0000808;GO:0005634;GO:0006260	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	PF04084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_287653_cov_58.138346-processed-gene-1.46-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR12289;PTHR12289:SF41	IPR019564	GO:0001401	NA	NA	NA	NA	NA	PF10568	cd03078	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_67_length_147136_cov_60.842554-processed-gene-0.19-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR23409;PTHR23409:SF20	IPR033909	GO:0009263;GO:0055114;GO:0016491	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943	NA	PS00368	G3DSA:1.10.620.20	SSF47240	PF00268	cd01049	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_406391_cov_59.664661-augustus-gene-3.32-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12864;PTHR12864:SF44	IPR006594	GO:0005515	Reactome: R-HSA-8851805	NA	NA	G3DSA:2.60.120.920	SSF49899	PF08513;PF10607;PF00622	cd12909	SM00668;SM00449;SM00667	PS50897;PS50188;PS50896	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_223_length_31278_cov_63.013483-processed-gene-0.13-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	PTHR31375:SF53;PTHR31375	IPR012334	NA	NA	NA	NA	G3DSA:2.160.20.10	SSF51126	PF12708	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_113_length_100702_cov_58.180582-augustus-gene-0.21-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR22603;PTHR22603:SF66	IPR011009	NA	NA	NA	NA	G3DSA:3.90.1200.10;G3DSA:3.30.200.20	SSF56112	PF01633	cd05157	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_8_length_366918_cov_58.761630-processed-gene-2.7-mRNA-1	NA	NA	NA	NA	NA	PTHR43069;PTHR43069:SF3	IPR005959	GO:0004334;GO:0009072;GO:0003824	KEGG: 00350+3.7.1.2|KEGG: 00643+3.7.1.2|Reactome: R-HSA-71182	TIGR01266	NA	G3DSA:3.90.850.10;G3DSA:2.30.30.230	SSF63433;SSF56529	PF01557;PF09298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_112_length_101290_cov_54.693663-augustus-gene-0.35-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10746:SF6;PTHR10746	IPR023574	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	G3DSA:3.40.1370.10	SSF52166	PF00573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_229101_cov_58.396399-augustus-gene-1.45-mRNA-1	NA	NA	NA	NA	NA	PTHR11581	IPR000876	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003723	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00528	G3DSA:3.10.290.40;G3DSA:2.30.30.30;G3DSA:2.40.50.740	NA	PF08071;PF16121;PF00467;PF00900	cd06087;cd00165	NA	PS50889	MF_00485	NA	NA	NA	PIRSF002116	NA	PD002667
maker-NODE_6_length_405600_cov_57.965645-augustus-gene-0.22-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR24356;PTHR24356:SF185	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	NA	NA	PS00108;PS00107	NA	SSF56112	PF00069;PF00433	cd05600	SM00133;SM00220	PS50011;PS51285	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_203_length_40971_cov_56.972652-processed-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	PTHR21234;PTHR21234:SF16	IPR035994	GO:0003824;GO:0009116	NA	NA	NA	G3DSA:3.40.50.1580	SSF53167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_411546_cov_58.313316-processed-gene-0.33-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_200618_cov_49.023123-augustus-gene-1.4-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	NA	NA	NA	PTHR35006;PTHR35006:SF3	IPR029068	NA	NA	NA	NA	G3DSA:3.10.180.10	SSF54593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_79_length_128933_cov_43.693632-augustus-gene-0.13-mRNA-1	NA	NA	NA	NA	NA	PTHR10885	IPR011876	GO:0004452;GO:0008299;GO:0016787	KEGG: 00900+5.3.3.2|MetaCyc: PWY-5123|MetaCyc: PWY-6174|MetaCyc: PWY-6383|MetaCyc: PWY-6859|MetaCyc: PWY-7102|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-7560|MetaCyc: PWY-922|Reactome: R-HSA-191273	TIGR02150	NA	G3DSA:3.90.79.10	SSF55811	PF00293	cd02885	NA	PS51462	NA	NA	NA	Coil	PIRSF018427	NA	NA
maker-NODE_4_length_411546_cov_58.313316-augustus-gene-0.0-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23139;PTHR23139:SF9	IPR000504	GO:0003676	NA	NA	NA	G3DSA:3.30.70.330	SSF54928	PF00076	cd12232	SM00360	PS50102	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_59_length_157780_cov_61.457150-processed-gene-0.31-mRNA-1	NA	NA	NA	NA	NA	PTHR11193	IPR027078	GO:0000398;GO:0005681	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-77588	NA	NA	G3DSA:2.30.30.100	SSF50182	PF01423	cd01718	SM00651	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_255739_cov_51.913670-processed-gene-1.38-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	PTHR45594	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	NA	PF04082	cd12148	SM00906	NA	NA	NA	NA	Coil	NA	NA	NA
