Gene	PANTHER	interpro	GO	Pfam	SMART	Gene3D	MobiDBLite	ProSiteProfiles	SUPERFAMILY	Phobius	TMHMM	CDD	PATHWAY	ProSitePatterns	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	PRINTS	Coils	PIRSF	TIGRFAM	SFLD	Hamap	ProDom
snap_masked-NODE_163_length_46291_cov_72.165714-processed-gene-0.6-mRNA-1	PTHR40069	IPR019240	NA	PF09962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR03833	NA	NA	NA
snap_masked-NODE_87_length_93733_cov_74.045296-processed-gene-0.268-mRNA-1	PTHR28161	IPR019727	GO:0000276;GO:0015986	PF10791	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_69_length_121508_cov_77.263386-processed-gene-0.91-mRNA-1	PTHR24413;PTHR24413:SF83	IPR000210	GO:0005515	PF00651	SM00225	G3DSA:3.30.710.10	mobidb-lite	PS50097	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_535112_cov_62.228238-snap-gene-3.213-mRNA-1	PTHR34292	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_447864_cov_73.606110-processed-gene-2.193-mRNA-1	PTHR13789:SF169;PTHR13789	IPR002938	GO:0071949	PF01494	NA	G3DSA:3.50.50.60	NA	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_883239_cov_54.878836-augustus-gene-4.197-mRNA-1	PTHR10219:SF25;PTHR10219	IPR036497	GO:0005737;GO:0120009;GO:0120013	PF08718	NA	G3DSA:1.10.3520.10	NA	NA	SSF110004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_834423_cov_25.846594-augustus-gene-7.423-mRNA-1	PTHR21107;PTHR21107:SF2	NA	NA	NA	NA	NA	mobidb-lite	PS51808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_98_length_85044_cov_71.802878-processed-gene-0.148-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_189983_cov_70.109125-processed-gene-0.58-mRNA-1	PTHR30383:SF12;PTHR30383	IPR036514	NA	PF13472	NA	G3DSA:3.40.50.1110	NA	NA	SSF52266	NA	NA	cd00229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_79_length_100674_cov_73.578217-protein2genome-gene-0.100-mRNA-1	PTHR42029	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_167803_cov_71.976091-augustus-gene-0.181-mRNA-1	PTHR36847	IPR022025	NA	PF12224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_254769_cov_74.495374-processed-gene-0.203-mRNA-1	PTHR12928	IPR008999	NA	PF06229	NA	G3DSA:2.80.10.50	mobidb-lite	NA	SSF50405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_447864_cov_73.606110-processed-gene-3.61-mRNA-1	PTHR42070	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_165_length_45618_cov_69.060232-augustus-gene-0.4-mRNA-1	NA	IPR008386	GO:0000276;GO:0015078;GO:0015986	PF05680	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_74_length_109595_cov_71.369944-processed-gene-0.264-mRNA-1	PTHR38702	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_73_length_113107_cov_20.077978-snap-gene-0.14-mRNA-1	PTHR11067	IPR029001	GO:0009143;GO:0047429	PF01725	NA	G3DSA:3.90.950.10	NA	NA	SSF52972	NA	NA	cd00515	KEGG: 00230+3.6.1.66|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_173_length_40708_cov_71.223651-processed-gene-0.5-mRNA-1	PTHR28668	IPR018908	NA	PF10639	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_133_length_62873_cov_74.211025-processed-gene-0.11-mRNA-1	PTHR11709:SF136;PTHR11709	IPR008972	GO:0055114;GO:0005507;GO:0016491	PF00394;PF07731;PF07732	NA	G3DSA:2.60.40.420	NA	NA	SSF49503	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	PS00080;PS00079	NA	SignalP-noTM	SignalP-noTM	NA	Coil	NA	TIGR03390	NA	NA	NA
augustus_masked-NODE_22_length_202737_cov_78.199719-processed-gene-1.226-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_187929_cov_76.767180-processed-gene-0.429-mRNA-1	PTHR12775	IPR006735	GO:1902979	PF04641	NA	NA	mobidb-lite	NA	SSF57850	NA	NA	cd16653	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_59_length_128781_cov_65.042533-processed-gene-0.216-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_204983_cov_73.166083-snap-gene-1.14-mRNA-1	PTHR11365;PTHR11365:SF10	IPR008040	GO:0016787	PF05378;PF01968;PF06032	NA	G3DSA:3.40.1610.10	NA	NA	SSF53067;SSF160991	NA	NA	NA	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_57858_cov_72.051463-snap-gene-0.57-mRNA-1	PTHR23077;PTHR23077:SF9	IPR027417	GO:0005524	PF00004	SM00382	G3DSA:3.40.50.300;G3DSA:1.10.8.60	mobidb-lite	NA	SSF52540	NA	NA	cd00009	NA	PS00674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_86_length_94289_cov_69.977305-augustus-gene-0.71-mRNA-1	PTHR10887:SF5;PTHR10887	IPR027417	GO:0000398;GO:0005681	PF13087;PF16399;PF13086	NA	G3DSA:3.40.50.300	mobidb-lite	NA	SSF52540	NA	NA	NA	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	PIRSF038901	NA	NA	NA	NA
augustus_masked-NODE_49_length_141819_cov_43.304484-processed-gene-0.56-mRNA-1	PTHR13794:SF58;PTHR13794	IPR034610	GO:0016052;GO:0050023;GO:0009063	PF13378	SM00922	G3DSA:3.20.20.120;G3DSA:3.30.390.10	NA	NA	SSF54826;SSF51604	NA	NA	cd03324	KEGG: 00051+4.2.1.68	PS00909	NA	NA	NA	NA	NA	NA	NA	SFLDF00270;SFLDF00111;SFLDS00001	NA	NA
snap_masked-NODE_1_length_883239_cov_54.878836-processed-gene-3.45-mRNA-1	PTHR24286;PTHR24286:SF0	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	NA	G3DSA:1.10.630.10	NA	NA	SSF48264	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	PS00086	NA	NA	NA	PR00465;PR00385	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_200172_cov_68.911790-processed-gene-1.22-mRNA-1	PTHR13556	IPR019340		PF10198	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-3214847|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_161_length_46587_cov_76.773203-augustus-gene-0.80-mRNA-1	PTHR11089:SF7;PTHR11089	IPR030378	GO:0005525	PF01926	NA	NA	mobidb-lite	PS51721	SSF52540	NA	NA	cd01857	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_248_length_16006_cov_67.846968-snap-gene-0.32-mRNA-1	PTHR10357:SF194;PTHR10357	IPR006047	GO:0003824;GO:0005975	PF00128	SM00642	G3DSA:3.20.20.80;G3DSA:3.90.400.10;G3DSA:2.60.40.1180	NA	NA	SSF51011;SSF51445	NA	NA	cd11333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_273513_cov_69.888323-snap-gene-0.3-mRNA-1	PTHR42923:SF17;PTHR42923	IPR036188	NA	PF13450	NA	G3DSA:3.50.50.60	NA	NA	SSF51905	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_56_length_134530_cov_74.500264-processed-gene-0.277-mRNA-1	PTHR13211	IPR015943	GO:0005515	NA	NA	G3DSA:2.130.10.10	mobidb-lite	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_43_length_161313_cov_71.085175-processed-gene-0.383-mRNA-1	PTHR15323	IPR009772	NA	PF07065	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_199484_cov_72.693264-processed-gene-0.360-mRNA-1	NA	IPR014895	NA	PF08787	NA	G3DSA:2.60.120.200	NA	NA	SSF49899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_21_length_204983_cov_73.166083-processed-gene-0.212-mRNA-1	PTHR42791:SF3;PTHR42791	IPR016181	NA	PF00583	NA	G3DSA:3.40.630.30	mobidb-lite	PS51186	SSF55729	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_147040_cov_78.805109-processed-gene-0.391-mRNA-1	PTHR43840:SF15;PTHR43840	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	PF01545	NA	G3DSA:1.20.1510.10	NA	NA	SSF161111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01297	NA	NA	NA
augustus_masked-NODE_13_length_254769_cov_74.495374-processed-gene-0.214-mRNA-1	PTHR12683;PTHR12683:SF13	IPR017907	GO:0005675;GO:0006289;GO:0045737;GO:0061575	PF06391;PF17121	NA	G3DSA:3.30.40.10	NA	PS50089	SSF57850	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-69202|Reactome: R-HSA-69231|Reactome: R-HSA-69273|Reactome: R-HSA-69656|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8939236	PS00518	NA	NA	NA	NA	Coil	NA	TIGR00570	NA	NA	NA
snap_masked-NODE_39_length_169714_cov_75.827310-processed-gene-0.40-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_130_length_63763_cov_70.385866-processed-gene-0.168-mRNA-1	PTHR31715	IPR012202	GO:0003924;GO:0016151;GO:0006807	PF02492	NA	G3DSA:3.40.50.300	mobidb-lite	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005624	TIGR00101	NA	MF_01389	NA
snap_masked-NODE_27_length_193159_cov_70.688710-processed-gene-0.441-mRNA-1	PTHR43149	IPR014748	GO:0003824	PF00378	NA	G3DSA:1.10.12.10;G3DSA:3.90.226.10	NA	NA	SSF52096	NA	NA	cd06558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_199484_cov_72.693264-snap-gene-0.420-mRNA-1	PTHR43591:SF10;PTHR43591	IPR029063	NA	PF13489	NA	G3DSA:3.40.50.150	mobidb-lite	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_179_length_38716_cov_66.682863-augustus-gene-0.72-mRNA-1	PTHR42825;PTHR42825:SF2	IPR033939	GO:0004084;GO:0009081;GO:0003824	PF01063	NA	G3DSA:3.30.470.10;G3DSA:3.20.10.10	NA	NA	SSF56752	NA	NA	cd01557	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	NA	NA	NA	NA	NA	NA	PIRSF006468	NA	NA	NA	NA
maker-NODE_2_length_834423_cov_25.846594-snap-gene-7.9-mRNA-1	PTHR22934:SF24;PTHR22934	IPR040106	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_114_length_77321_cov_76.005739-snap-gene-0.31-mRNA-1	PTHR24089:SF396;PTHR24089	IPR023395	GO:0022857	PF00153	NA	G3DSA:1.50.40.10	NA	PS50920	SSF103506	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_184481_cov_72.699838-augustus-gene-0.72-mRNA-1	PTHR11937:SF175;PTHR11937	IPR004000	GO:0005524;GO:0005885;GO:0007015;GO:0034314	PF00022	SM00268	NA	NA	NA	SSF53067	NA	NA	cd00012	NA	PS01132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_125574_cov_75.988346-augustus-gene-0.73-mRNA-1	PTHR15840	IPR013926		PF08617	NA	G3DSA:3.30.2380.10	NA	NA	SSF143870	NA	NA	NA	Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_60608_cov_66.469982-augustus-gene-0.123-mRNA-1	PTHR11947;PTHR11947:SF25	IPR036890	GO:0004672	PF02518;PF10436	NA	G3DSA:1.20.140.20	mobidb-lite	NA	SSF55874;SSF69012	NA	NA	cd00075	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_189983_cov_70.109125-processed-gene-0.93-mRNA-1	PTHR12914	IPR021151	GO:0000811;GO:0006260	PF05916	NA	G3DSA:1.20.58.1030	NA	NA	SSF158573	NA	NA	cd11710	Reactome: R-HSA-176974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_200172_cov_68.911790-augustus-gene-0.14-mRNA-1	PTHR11584;PTHR11584:SF416	IPR025676	NA	PF14420	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_209_length_27221_cov_63.596700-augustus-gene-0.46-mRNA-1	PTHR23029;PTHR23029:SF26	IPR029033	GO:0003824	PF00300	SM00855	G3DSA:3.40.50.1240	mobidb-lite	NA	SSF53254	NA	NA	cd07067	NA	PS00175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_193159_cov_70.688710-snap-gene-0.9-mRNA-1	PTHR10371:SF3;PTHR10371	IPR002023	GO:0016491;GO:0055114	PF01257	NA	G3DSA:3.40.30.10;G3DSA:1.10.10.1590	mobidb-lite	NA	SSF52833	NA	NA	cd03064	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PS01099	NA	NA	NA	NA	NA	PIRSF000216	TIGR01958	NA	NA	NA
maker-NODE_49_length_141819_cov_43.304484-augustus-gene-0.206-mRNA-1	PTHR42078	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_111_length_79994_cov_37.327607-protein2genome-gene-0.38-mRNA-1	PTHR11700:SF9;PTHR11700	IPR027486	GO:0003735;GO:0005840;GO:0006412	PF00338	SM01403	G3DSA:3.30.70.600	NA	NA	SSF54999	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00508	NA
snap_masked-NODE_88_length_92074_cov_72.134588-processed-gene-0.173-mRNA-1	PTHR43494;PTHR43494:SF10	IPR002168	GO:0016787	PF07859	NA	G3DSA:3.40.50.1820	NA	NA	SSF53474	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	Reactome: R-HSA-163560	PS01173	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_199484_cov_72.693264-processed-gene-0.361-mRNA-1	PTHR22778:SF17;PTHR22778	IPR005645	NA	PF03959	NA	NA	NA	NA	SSF53474	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_167803_cov_71.976091-snap-gene-0.24-mRNA-1	PTHR11409:SF42;PTHR11409	IPR032466	GO:0019239	PF00962	NA	G3DSA:3.20.20.140	NA	NA	SSF51556	NA	NA	cd00443	Reactome: R-HSA-74217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_66_length_124362_cov_67.692872-processed-gene-0.300-mRNA-1	PTHR10367:SF0;PTHR10367	IPR001339	GO:0004484;GO:0006370;GO:0031533	PF01331;PF03919	NA	G3DSA:2.40.50.140;G3DSA:3.30.470.30	NA	NA	SSF56091;SSF50249	NA	NA	cd07895	MetaCyc: PWY-7375|Reactome: R-HSA-167160|Reactome: R-HSA-72086|Reactome: R-HSA-77075	NA	NA	NA	NA	NA	NA	PIRSF036959	NA	NA	NA	NA
augustus_masked-NODE_5_length_485588_cov_55.914018-processed-gene-1.0-mRNA-1	PTHR23428;PTHR23428:SF164	IPR000558	GO:0000786;GO:0003677;GO:0046982	PF00125	SM00427	G3DSA:1.10.20.10	mobidb-lite	NA	SSF47113	NA	NA	NA	NA	PS00357	NA	NA	NA	PR00621	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_235441_cov_69.504560-processed-gene-0.221-mRNA-1	PTHR10209:SF205;PTHR10209	IPR027443	NA	NA	NA	G3DSA:2.60.120.330	mobidb-lite	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_125574_cov_75.988346-snap-gene-0.30-mRNA-1	PTHR12526;PTHR12526:SF329	IPR028098		PF13439;PF00534	NA	G3DSA:3.40.50.2000	NA	NA	SSF53756	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_194567_cov_74.961417-processed-gene-0.431-mRNA-1	PTHR23117;PTHR23117:SF13	IPR008145	GO:0004385;GO:0006163	PF00625	SM00072	G3DSA:3.30.63.10;G3DSA:3.40.50.300	NA	PS50052	SSF52540	NA	NA	cd00071	KEGG: 00230+2.7.4.8|MetaCyc: PWY-7221|Reactome: R-HSA-2161541|Reactome: R-HSA-499943	PS00856	NA	NA	NA	NA	NA	NA	TIGR03263	NA	NA	NA
maker-NODE_68_length_121991_cov_73.610886-snap-gene-0.368-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_45_length_159921_cov_78.940786-processed-gene-0.85-mRNA-1	PTHR31586	IPR022533	GO:0005743;GO:0009060;GO:0033617	PF12597	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	NA	NA	Coil	PIRSF007871	NA	NA	NA	NA
augustus_masked-NODE_118_length_75508_cov_68.323954-processed-gene-0.205-mRNA-1	PTHR42912;PTHR42912:SF28	IPR029063	GO:0008168	PF08241	NA	G3DSA:3.40.50.150	NA	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_883239_cov_54.878836-augustus-gene-7.23-mRNA-1	PTHR10209:SF361;PTHR10209	IPR027443	GO:0016491;GO:0055114	PF03171;PF14226	NA	G3DSA:2.60.120.330	mobidb-lite	PS51471	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_65_length_125574_cov_75.988346-processed-gene-0.245-mRNA-1	PTHR44149	IPR002885	GO:0005515	PF01535	NA	G3DSA:1.25.40.10	NA	PS51375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00756	NA	NA	NA
maker-NODE_23_length_200172_cov_68.911790-augustus-gene-1.324-mRNA-1	PTHR13337	IPR034804	GO:0016020;GO:0005740;GO:0016021	PF05328	NA	G3DSA:1.20.1300.10	NA	NA	SSF81343	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	cd03496	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_12_length_273513_cov_69.888323-processed-gene-0.65-mRNA-1	PTHR28023	IPR018559	NA	PF09435	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_447864_cov_73.606110-augustus-gene-0.229-mRNA-1	PTHR11941;PTHR11941:SF54	IPR001753	GO:0003824	PF00378	NA	G3DSA:1.10.12.10;G3DSA:3.90.226.10	NA	NA	SSF52096	NA	NA	cd06558	NA	PS00166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_137636_cov_25.234836-protein2genome-gene-0.1-mRNA-1	PTHR31956;PTHR31956:SF1	IPR007312	GO:0016788;GO:0003824	PF04185	NA	G3DSA:3.40.720.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_447864_cov_73.606110-processed-gene-3.45-mRNA-1	PTHR14614;PTHR14614:SF94	IPR019410	NA	PF10294	NA	G3DSA:3.40.50.150	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_164711_cov_34.361530-processed-gene-0.177-mRNA-1	PTHR11680;PTHR11680:SF25	IPR015422	GO:0003824;GO:0004372;GO:0019264;GO:0030170;GO:0035999	PF00464	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	SSF53383	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	cd00378	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	PS00096	NA	NA	NA	NA	NA	PIRSF000412	NA	NA	MF_00051	NA
maker-NODE_6_length_447864_cov_73.606110-augustus-gene-2.10-mRNA-1	PTHR34776	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
