Gene	interpro	Pfam	Phobius	TMHMM	GO	PATHWAY	ProSitePatterns	CDD	TIGRFAM	Gene3D	SMART	PANTHER	SUPERFAMILY	MobiDBLite	Coils	PRINTS	PIRSF	Hamap	ProSiteProfiles	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SFLD	ProDom
maker-NODE_184_length_32462_cov_40.220844-snap-gene-0.1-mRNA-1	IPR011761	PF07478	NA	NA	GO:0005524;GO:0046872;GO:0008716	KEGG: 00473+6.3.2.4|KEGG: 00550+6.3.2.4|MetaCyc: PWY-6386|MetaCyc: PWY-6387|MetaCyc: PWY-7953	NA	NA	NA	G3DSA:3.30.470.20	NA	PTHR23132;PTHR23132:SF12	SSF56059	mobidb-lite	NA	NA	NA	NA	PS50975	NA	NA	NA	NA	NA
maker-NODE_74_length_47918_cov_21.366052-snap-gene-0.55-mRNA-1	IPR001128	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PS00086	NA	NA	G3DSA:1.10.630.10	NA	PTHR24279:SF86;PTHR24279	SSF48264	NA	NA	PR00463	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_59_length_54052_cov_31.583236-augustus-gene-0.11-mRNA-1	IPR000456	PF01196	NA	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PS01167	NA	TIGR00059	G3DSA:3.90.1030.10	NA	PTHR14413;PTHR14413:SF16	SSF64263	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_97_length_42501_cov_31.862840-processed-gene-0.76-mRNA-1	IPR010916	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	PS00430	NA	NA	NA	NA	PTHR42028	NA	mobidb-lite	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
snap_masked-NODE_67_length_49879_cov_30.297938-processed-gene-0.84-mRNA-1	IPR005822	PF00572	NA	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015934	NA	PS00783	cd00392	TIGR01077	G3DSA:3.90.1180.10	NA	PTHR11545;PTHR11545:SF3	SSF52161	NA	NA	NA	PIRSF002181	MF_01366	NA	NA	NA	NA	NA	NA
maker-NODE_122_length_38105_cov_33.221813-augustus-gene-0.95-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_73782_cov_32.199973-snap-gene-0.0-mRNA-1	IPR003347	PF12937;PF13621	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:2.60.120.650;G3DSA:1.20.1280.50	SM00256;SM00558	PTHR12480;PTHR12480:SF21	SSF81383;SSF51197	mobidb-lite	NA	NA	NA	NA	PS51184;PS50181	NA	NA	NA	NA	NA
augustus_masked-NODE_74_length_47918_cov_21.366052-processed-gene-0.70-mRNA-1	IPR013766	PF18595;PF00085;PF03800	NA	NA	GO:0045454;GO:0000776;GO:0031262	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	cd02947	NA	G3DSA:3.40.30.10;G3DSA:1.10.418.60	NA	PTHR21650:SF2;PTHR21650	SSF52833	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_184_length_32462_cov_40.220844-snap-gene-0.5-mRNA-1	IPR000630	PF00410	NA	NA	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00053	NA	NA	G3DSA:3.30.1490.10;G3DSA:3.30.1370.30	NA	PTHR11758:SF16;PTHR11758	SSF56047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_311_length_24376_cov_34.835416-processed-gene-0.51-mRNA-1	IPR008030	PF05368	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA		Reactome: R-HSA-70635	NA	cd05251	NA	G3DSA:3.40.50.720	NA	PTHR42748;PTHR42748:SF7	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_68068_cov_31.051177-snap-gene-0.10-mRNA-1	IPR025183	PF13422;PF13415;PF13418	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:2.120.10.80	NA	PTHR23244:SF410;PTHR23244	SSF117281	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_497_length_17543_cov_25.286920-snap-gene-0.4-mRNA-1	IPR005301	PF03637	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.140.30	SM01388	PTHR22599:SF8;PTHR22599	SSF101152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_424_length_19748_cov_32.775139-snap-gene-0.36-mRNA-1	IPR002401	PF00067	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	NA	G3DSA:1.10.630.10	NA	PTHR24281	SSF48264	NA	NA	PR00463	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_516_length_16997_cov_35.591938-processed-gene-0.33-mRNA-1	IPR018815	PF10311	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR28029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_272_length_26100_cov_32.829361-augustus-gene-0.1-mRNA-1	IPR002347	PF00106	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	SM00822	PTHR43008:SF8;PTHR43008	SSF51735	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_322_length_23756_cov_39.458758-snap-gene-0.4-mRNA-1	IPR003807	PF02656	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR34187:SF3;PTHR34187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_705_length_12227_cov_21.573719-snap-gene-0.21-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_78_length_46772_cov_33.931633-snap-gene-0.14-mRNA-1	IPR000403	PF08064;PF00454;PF02260;PF02259	NA	NA	GO:0004674;GO:0016301;GO:0005515	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1221632|Reactome: R-HSA-176187|Reactome: R-HSA-3371453|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6783310|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	cd00892	NA	G3DSA:3.30.1010.10;G3DSA:1.10.1070.11	SM00146;SM00802;SM01343	PTHR11139;PTHR11139:SF69	SSF48371;SSF56112	NA	NA	NA	NA	NA	PS50290;PS51189;PS51190	NA	NA	NA	NA	NA
maker-NODE_652_length_13351_cov_28.957048-snap-gene-0.14-mRNA-1	IPR002466	PF02137	NA	NA	GO:0003723;GO:0004000;GO:0006396	NA	NA	NA	NA	NA	SM00552	PTHR10910;PTHR10910:SF62	NA	mobidb-lite	NA	NA	NA	NA	PS50141	NA	NA	NA	NA	NA
snap_masked-NODE_232_length_28729_cov_25.721208-processed-gene-0.14-mRNA-1	IPR008220	PF00561	NA	NA	GO:0009058;GO:0016747	NA	NA	NA	TIGR01392	NA	NA	PTHR42886;PTHR42886:SF6	SSF53474	mobidb-lite	NA	NA	PIRSF000443	MF_00296	NA	NA	NA	NA	NA	NA
maker-NODE_818_length_10007_cov_33.932490-snap-gene-0.5-mRNA-1	IPR029052	PF00149	NA	NA	GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS00125	cd07415	NA	G3DSA:3.60.21.10	SM00156	PTHR11668;PTHR11668:SF242	SSF56300	NA	NA	PR00114	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_372_length_21480_cov_40.631668-processed-gene-0.52-mRNA-1	IPR011263	PF01193;PF01000	NA	NA	GO:0003899;GO:0006351;GO:0003677;GO:0046983	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	PS00446	cd07032	NA	G3DSA:3.30.1360.270;G3DSA:2.170.120.12	SM00662	PTHR11800:SF13;PTHR11800	SSF55257;SSF56553	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_318_length_23806_cov_26.126695-snap-gene-0.31-mRNA-1	IPR036770	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_37_length_60431_cov_27.629527-processed-gene-0.1-mRNA-1	IPR012349	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0048037	NA	NA	NA	NA	G3DSA:2.30.110.10	NA	PTHR39336:SF1;PTHR39336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1630_length_2593_cov_20.011760-augustus-gene-0.9-mRNA-1	IPR029044	PF13641	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	cd06434	NA	G3DSA:3.90.550.10	NA	PTHR10587;PTHR10587:SF1	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_70961_cov_37.322882-processed-gene-0.91-mRNA-1	IPR036188	PF07992	NA	TMhelix	GO:0016491;GO:0055114	Reactome: R-HSA-1614517	NA	NA	NA	G3DSA:3.50.50.60	NA	PTHR10632:SF12;PTHR10632	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_569_length_15564_cov_35.746712-processed-gene-0.32-mRNA-1	IPR008929	PF05426	NA	NA	GO:0016829;GO:0042597	Reactome: R-HSA-2022923	NA	NA	NA	G3DSA:1.50.10.100	NA	NA	SSF48230	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_212_length_29960_cov_28.846948-snap-gene-0.10-mRNA-1	IPR000836	PF14681	NA	NA	GO:0009116	NA	NA	cd06223	NA	G3DSA:3.40.50.2020	NA	PTHR10285:SF46;PTHR10285	SSF53271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_105_length_41428_cov_21.835500-snap-gene-0.87-mRNA-1	IPR029063	PF01728	NA	NA	GO:0001510;GO:0008168;GO:0032259	NA	NA	NA	NA	NA	NA	PTHR10920:SF18;PTHR10920	SSF53335	mobidb-lite	NA	NA	PIRSF005461	MF_01547	NA	NA	NA	NA	NA	NA
maker-NODE_97_length_42501_cov_31.862840-snap-gene-0.49-mRNA-1	IPR030379	PF00735	NA	NA	GO:0005525	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	PTHR18884;PTHR18884:SF110	NA	mobidb-lite	NA	NA	NA	NA	PS51719	NA	NA	NA	NA	NA
maker-NODE_80_length_46132_cov_30.108119-snap-gene-0.30-mRNA-1	IPR000754	PF00380	NA	NA	GO:0003735;GO:0005840;GO:0006412	NA	PS00360	NA	NA	G3DSA:3.30.230.10	NA	PTHR21569;PTHR21569:SF1	SSF54211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_288_length_25363_cov_25.188263-snap-gene-0.23-mRNA-1	IPR029069	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.10.129.10	NA	PTHR28152	SSF54637	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_278_length_25729_cov_21.824154-protein2genome-gene-0.28-mRNA-1	IPR013087	PF05920	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	GO:0003676;GO:0003677;GO:0006355	NA	PS00028	cd00086	NA	G3DSA:3.30.160.60;G3DSA:1.10.10.60	SM00355;SM00389	PTHR11850;PTHR11850:SF57	SSF46689	NA	NA	NA	NA	NA	PS50157;PS50071	NA	NA	NA	NA	NA
maker-NODE_164_length_33940_cov_24.152013-snap-gene-0.1-mRNA-1	IPR018203	PF00996	NA	NA	GO:0005092;GO:0007264;GO:0005093;GO:0015031	Reactome: R-HSA-8876198	NA	NA	NA	G3DSA:3.30.519.10;G3DSA:1.10.405.10;G3DSA:3.50.50.60	NA	PTHR11787;PTHR11787:SF8	SSF51905	NA	NA	PR00891;PR00892	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_470_length_18641_cov_16.775737-augustus-gene-0.52-mRNA-1	IPR016040	PF13460	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	PTHR43349:SF6;PTHR43349	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_92_length_43413_cov_30.835374-snap-gene-0.1-mRNA-1	IPR013880	PF08571	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR15858:SF0;PTHR15858	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_659_length_13246_cov_26.497599-augustus-gene-0.10-mRNA-1	IPR015824	PF00162	NA	NA	GO:0004618;GO:0006096	KEGG: 00010+2.7.2.3|KEGG: 00710+2.7.2.3|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-8004|Reactome: R-HSA-70171|Reactome: R-HSA-70263	PS00111	cd00318	NA	G3DSA:3.40.50.1260	NA	PTHR11406:SF10;PTHR11406	SSF53748	NA	NA	PR00477	PIRSF000724	MF_00145	NA	NA	NA	NA	NA	NA
maker-NODE_518_length_16887_cov_30.952148-augustus-gene-0.38-mRNA-1	IPR036420	PF16893;PF16892	NA	NA	GO:0046983;GO:0005515	NA	NA	cd13945;cd00063;cd00027	NA	G3DSA:3.40.50.10190;G3DSA:2.40.50.890;G3DSA:2.60.40.10	NA	PTHR13561;PTHR13561:SF43	SSF52113;SSF49265	NA	NA	NA	NA	NA	PS50853	NA	NA	NA	NA	NA
maker-NODE_222_length_29304_cov_29.638962-protein2genome-gene-0.29-mRNA-1	IPR004827	NA	NA	NA	GO:0003700;GO:0006355	NA	PS00036	NA	NA	G3DSA:1.20.5.170	NA	PTHR42070	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_384_length_21170_cov_28.143753-augustus-gene-0.51-mRNA-1	IPR018108	PF00153	NA	NA	GO:0022857;GO:0055085	NA	NA	NA	NA	G3DSA:1.50.40.10	NA	PTHR24089:SF396;PTHR24089	SSF103506	NA	NA	PR00926	NA	NA	PS50920	NA	NA	NA	NA	NA
augustus_masked-NODE_71_length_48321_cov_35.815828-processed-gene-0.31-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_174_length_33223_cov_23.106025-snap-gene-0.18-mRNA-1	IPR036412	PF13242;PF13344	NA	NA	NA	NA	NA	NA	TIGR01460	G3DSA:3.40.50.1000	NA	PTHR19288;PTHR19288:SF6	SSF56784	NA	NA	NA	PIRSF000915	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_434_length_19582_cov_31.248214-processed-gene-0.3-mRNA-1	IPR010516	PF06487	NA	NA		Reactome: R-HSA-3214815|Reactome: R-HSA-427413	NA	NA	NA	G3DSA:3.10.20.550	NA	PTHR13082	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_108151_cov_34.571308-processed-gene-0.10-mRNA-1	IPR011333	PF02214	NA	NA	GO:0051260	NA	NA	NA	NA	G3DSA:3.30.710.10	NA	PTHR31758	SSF54695	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2496_length_794_cov_11.805097-processed-gene-0.4-mRNA-1	IPR005031	PF03364	NA	NA		Reactome: R-HSA-611105	NA	cd07813	NA	G3DSA:3.30.530.20	NA	PTHR12901:SF10;PTHR12901	SSF55961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_25_length_67220_cov_31.872386-processed-gene-0.44-mRNA-1	IPR008831	PF05669	NA	NA	GO:0003712;GO:0006355;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	G3DSA:1.10.10.1340	NA	PTHR13186	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_80_length_46132_cov_30.108119-processed-gene-0.43-mRNA-1	IPR000905	PF00814	NA	NA	GO:0000408;GO:0002949	Reactome: R-HSA-6782315	PS01016	NA	NA	G3DSA:3.30.420.40	NA	PTHR11735;PTHR11735:SF14	SSF53067	NA	NA	PR00789	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_302_length_24620_cov_30.407994-snap-gene-0.57-mRNA-1	IPR039781	PF04824;PF04825	NA	NA	GO:0007062;GO:0008278;GO:0005515	NA	NA	NA	NA	NA	NA	PTHR12585;PTHR12585:SF53	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_124_length_37858_cov_29.949776-processed-gene-0.26-mRNA-1	IPR005804	PF00487	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0006629	NA	NA	NA	NA	NA	NA	PTHR36459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_213_length_29769_cov_33.991330-augustus-gene-0.16-mRNA-1	IPR022879	PF00006;PF02874	NA	NA	GO:0015991;GO:0033180;GO:0005524;GO:0046034;GO:1902600	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PS00152	cd01135	TIGR01040	G3DSA:3.40.50.12240	NA	PTHR43389	SSF52540	NA	NA	NA	PIRSF039114	MF_00310	NA	NA	NA	NA	NA	NA
maker-NODE_516_length_16997_cov_35.591938-snap-gene-0.26-mRNA-1	IPR001330	PF00432	NA	NA	GO:0003824	NA	NA	NA	NA	G3DSA:1.50.10.20	NA	PTHR11774:SF4;PTHR11774	SSF48239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_63259_cov_31.475195-processed-gene-0.39-mRNA-1	IPR000086	PF00293	NA	NA	GO:0016787	Reactome: R-HSA-2393930	PS00893	cd03424	NA	G3DSA:3.90.79.10	NA	PTHR11839:SF1;PTHR11839	SSF55811	NA	NA	PR00502	NA	NA	PS51462	NA	NA	NA	NA	NA
snap_masked-NODE_547_length_16189_cov_25.841116-processed-gene-0.29-mRNA-1	IPR036013	PF16200;PF01145	NA	NA	GO:0016020	Reactome: R-HSA-8949664	NA	cd08829	NA	G3DSA:3.30.479.30	SM00244	PTHR43327:SF10;PTHR43327	SSF117892	mobidb-lite	NA	PR00721	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_423_length_19792_cov_34.764607-processed-gene-0.32-mRNA-1	IPR002634	PF01722	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.300.90	NA	PTHR12735:SF19;PTHR12735	SSF82657	mobidb-lite	Coil	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
snap_masked-NODE_561_length_15756_cov_37.363747-processed-gene-0.45-mRNA-1	IPR016651	PF04072	NA	NA	GO:0008168;GO:0032259;GO:0018423	Reactome: R-HSA-69273	NA	NA	NA	G3DSA:3.40.50.150	NA	PTHR13600;PTHR13600:SF21	SSF53335	mobidb-lite	NA	NA	PIRSF016305	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2072_length_1285_cov_16.905872-augustus-gene-0.3-mRNA-1	IPR024253	PF02114	NA	NA	NA	NA	NA	cd02987	NA	G3DSA:3.40.30.10	NA	PTHR21148;PTHR21148:SF12	SSF52833	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_68068_cov_31.051177-processed-gene-0.27-mRNA-1	IPR000760	PF00459	NA	NA	GO:0046854	NA	NA	NA	NA	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	PTHR43200:SF2;PTHR43200	SSF56655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_231_length_28845_cov_34.106727-processed-gene-0.7-mRNA-1	IPR002125	PF00383	NA	NA	GO:0003824	NA	NA	NA	NA	NA	NA	PTHR44418	SSF53927	NA	NA	NA	NA	NA	PS51747	NA	NA	NA	NA	NA
augustus_masked-NODE_114_length_39258_cov_34.795507-processed-gene-0.32-mRNA-1	IPR036778	PF09349	NA	NA		KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	NA	NA	NA	G3DSA:1.10.3330.10	NA	PTHR37987	SSF158694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_558_length_15769_cov_33.999425-processed-gene-0.1-mRNA-1	IPR007648	PF04568	NA	NA	GO:0005739;GO:0032780;GO:0042030	NA	NA	NA	NA	G3DSA:1.20.5.500	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_726_length_11728_cov_36.464098-processed-gene-0.0-mRNA-1	IPR033749	PF00348	NA	NA	GO:0008299	NA	PS00444;PS00723	cd00685	NA	G3DSA:1.10.600.10	NA	PTHR12001:SF47;PTHR12001	SSF48576	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005	NA
augustus_masked-NODE_129_length_37561_cov_27.394454-processed-gene-0.2-mRNA-1	IPR004821	PF01467	NA	NA	GO:0003824;GO:0009058	NA	NA	NA	NA	NA	NA	PTHR10695:SF25;PTHR10695	SSF52374	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1583_length_2794_cov_19.034871-augustus-gene-0.0-mRNA-1	IPR012098	PF10032	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005783;GO:0045047	NA	NA	NA	NA	NA	NA	PTHR28112	NA	mobidb-lite	NA	NA	PIRSF008756	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_561_length_15756_cov_37.363747-processed-gene-0.47-mRNA-1	IPR011012	PF01217	NA	NA	GO:0015031;GO:0008565;GO:0030122	Reactome: R-HSA-167590|Reactome: R-HSA-177504|Reactome: R-HSA-182218|Reactome: R-HSA-2132295|Reactome: R-HSA-3928665|Reactome: R-HSA-416993|Reactome: R-HSA-437239|Reactome: R-HSA-5099900|Reactome: R-HSA-5140745|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8866427|Reactome: R-HSA-8964038	NA	NA	NA	G3DSA:3.30.450.60	NA	PTHR11753;PTHR11753:SF6	SSF64356	NA	NA	NA	PIRSF015588	NA	NA	NA	NA	NA	NA	NA
maker-NODE_393_length_20905_cov_39.356002-augustus-gene-0.20-mRNA-1	IPR018300	PF01063	NA	NA	GO:0003824;GO:0004084;GO:0009081	Reactome: R-HSA-70895	PS00770	cd01557	NA	G3DSA:3.30.470.10;G3DSA:3.20.10.10	NA	PTHR11825;PTHR11825:SF69	SSF56752	NA	Coil	NA	PIRSF006468	NA	NA	NA	NA	NA	NA	NA
maker-NODE_945_length_8243_cov_32.770823-snap-gene-0.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_73782_cov_32.199973-processed-gene-0.143-mRNA-1	IPR000467	PF01585;PF13821	NA	NA	GO:0003676	NA	NA	NA	NA	NA	SM00443;SM01173	PTHR21032;PTHR21032:SF0	NA	mobidb-lite	Coil	NA	NA	NA	PS50174	NA	NA	NA	NA	NA
snap_masked-NODE_229_length_28907_cov_29.669493-processed-gene-0.66-mRNA-1	IPR021150	PF03981	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR12184:SF1;PTHR12184	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_381_length_21216_cov_29.946560-augustus-gene-0.1-mRNA-1	IPR032466	PF00962	NA	NA	GO:0019239	Reactome: R-HSA-74217	NA	NA	NA	G3DSA:3.20.20.140	NA	PTHR11409;PTHR11409:SF39	SSF51556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_334_length_23312_cov_33.797800-processed-gene-0.51-mRNA-1	IPR029063	PF13847	NA	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	NA	PTHR35897	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_69589_cov_32.921785-processed-gene-0.29-mRNA-1	IPR036866	PF13691;PF12706	NA	NA	GO:0008033	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470|Reactome: R-HSA-8868766	NA	cd07718	NA	G3DSA:3.60.15.10	NA	PTHR12553;PTHR12553:SF49	SSF56281	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_654_length_13335_cov_19.861826-augustus-gene-0.3-mRNA-1	IPR021264	PF11001	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR36102	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
