Gene	Phobius	PANTHER	TMHMM	MobiDBLite	interpro	SMART	Pfam	ProSiteProfiles	GO	SUPERFAMILY	PRINTS	CDD	Gene3D	Coils	PATHWAY	ProSitePatterns	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SFLD	ProDom	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE
snap_masked-NODE_366_length_19799_cov_11.747916-processed-gene-0.2-mRNA-1	NA	PTHR43212:SF3;PTHR43212	NA	NA	IPR012093	NA	PF02678	NA		SSF51182	NA	NA	G3DSA:2.60.120.10	NA	Reactome: R-HSA-8935690	NA	PIRSF006232	NA	NA	NA	NA	NA	NA	NA
maker-NODE_117_length_34998_cov_12.674629-snap-gene-0.24-mRNA-1	NA	PTHR12937	NA	NA	IPR007143	NA	PF03997	PS51310;PS51313	GO:0000813;GO:0032509	SSF140427;SSF140111	NA	NA	G3DSA:1.20.120.1130;G3DSA:1.20.1440.200	NA	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	NA	PIRSF017535	NA	NA	NA	NA	NA	NA	NA
maker-NODE_430_length_17642_cov_11.286554-snap-gene-0.17-mRNA-1	NA	PTHR36922	NA	NA	IPR018531	NA	PF09351	NA	NA	SSF109854	NA	NA	G3DSA:1.20.120.450	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_708_length_12247_cov_11.504785-processed-gene-0.14-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR40633;PTHR40633:SF1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
snap_masked-NODE_694_length_12441_cov_10.488712-processed-gene-0.9-mRNA-1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	NA
augustus_masked-NODE_303_length_22179_cov_13.035462-processed-gene-0.11-mRNA-1	NA	PTHR11804:SF5;PTHR11804	NA	mobidb-lite	IPR024077	NA	PF01432	NA	GO:0004222;GO:0005759;GO:0006627;GO:0006508	SSF55486	NA	cd06457	G3DSA:1.10.1370.40;G3DSA:1.10.1370.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_536_length_15427_cov_11.792418-processed-gene-0.11-mRNA-1	NA	PTHR32332:SF28;PTHR32332	NA	NA	IPR013785	NA	PF03060	NA	GO:0003824;GO:0018580;GO:0055114	SSF51412	NA	cd04730	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_203_length_28055_cov_12.930142-augustus-gene-0.12-mRNA-1	NA	PTHR11390;PTHR11390:SF21	NA	mobidb-lite	IPR000380	SM00437;SM00436;SM00493	PF01131;PF01751	PS50880	GO:0003677;GO:0003917;GO:0006265;GO:0003916	SSF56712	PR00417	cd03362;cd00186	G3DSA:2.70.20.10;G3DSA:1.10.460.10;G3DSA:1.10.290.10;G3DSA:3.40.50.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_702_length_12328_cov_12.325547-snap-gene-0.1-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_1088_length_7720_cov_8.350981-augustus-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	IPR020164	NA	PF14138	NA	GO:0031966	NA	NA	NA	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	PD076120	NA	NA
augustus_masked-NODE_1012_length_8432_cov_9.317520-processed-gene-0.3-mRNA-1	NA	PTHR43618:SF8;PTHR43618	NA	NA	IPR020904	NA	PF13561	NA	GO:0016491	SSF51735	PR00081;PR00080	NA	G3DSA:3.40.50.720	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_59341_cov_12.014659-augustus-gene-0.25-mRNA-1	NA	PTHR42089	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_72_length_40683_cov_12.230126-augustus-gene-0.15-mRNA-1	NA	PTHR19338:SF4;PTHR19338	NA	NA	IPR004217	NA	PF02953	NA	GO:0005758;GO:0072321	SSF144122	NA	NA	G3DSA:1.10.287.810	Coil	Reactome: R-HSA-1268020	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_211_length_27661_cov_12.038897-augustus-gene-0.1-mRNA-1	NA	PTHR31962;PTHR31962:SF3	NA	mobidb-lite	IPR028245	NA	PF13805	NA	NA	NA	NA	NA	G3DSA:1.20.1270.60	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_729_length_11893_cov_9.792538-augustus-gene-0.0-mRNA-1	NA	PTHR43090	NA	mobidb-lite	IPR011060	NA	PF00977	NA	GO:0003824;GO:0000105;GO:0003949	SSF51366	NA	cd04723	G3DSA:3.20.20.70	NA	KEGG: 00340+5.3.1.16	NA	NA	NA	TIGR02129	NA	NA	NA	NA	NA
augustus_masked-NODE_147_length_31637_cov_12.809108-processed-gene-0.8-mRNA-1	NA	PTHR12734	NA	NA	IPR039769	NA	PF08241;PF12589	NA	GO:0016435;GO:0070476;GO:0008168	SSF53335	NA	cd02440	G3DSA:3.40.50.150	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1231_length_6517_cov_12.600313-processed-gene-0.3-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR24089:SF0;PTHR24089	NA	mobidb-lite	IPR018108	NA	PF00153	PS50920	GO:0022857;GO:0055085	SSF103506	PR00926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_509_length_15919_cov_12.057118-processed-gene-0.18-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_63567_cov_12.878720-augustus-gene-0.1-mRNA-1	NA	PTHR28232	NA	mobidb-lite	IPR039602	NA	PF08595	NA	GO:0016575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_224_length_26989_cov_12.350309-processed-gene-0.32-mRNA-1	NA	PTHR31591;PTHR31591:SF1	NA	NA	IPR013744	NA	PF08538	NA	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_142_length_32189_cov_11.788784-snap-gene-0.10-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PTHR30457:SF0;PTHR30457	NA	NA	IPR002828	NA	PF01975	NA	GO:0016787	SSF64167	NA	NA	G3DSA:3.40.1210.10	NA	KEGG: 00230+3.1.3.5|KEGG: 00240+3.1.3.5|KEGG: 00760+3.1.3.5|MetaCyc: PWY-5381|MetaCyc: PWY-5695|MetaCyc: PWY-6596|MetaCyc: PWY-6606|MetaCyc: PWY-6607|MetaCyc: PWY-6608|MetaCyc: PWY-7185|MetaCyc: PWY-7821	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_178_length_29416_cov_12.289392-snap-gene-0.26-mRNA-1	NA	PTHR10589;PTHR10589:SF41	NA	NA	IPR001578	NA	PF01088	NA	GO:0004843;GO:0005622;GO:0006511	SSF54001	PR00707	cd09616	G3DSA:3.40.532.10	NA	Reactome: R-HSA-5689603	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_404_length_18717_cov_11.670952-augustus-gene-0.13-mRNA-1	NA	PTHR24361:SF633;PTHR24361	NA	mobidb-lite	IPR000719	SM00220	PF00069	PS50011	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	cd06609	G3DSA:1.10.510.10;G3DSA:3.30.200.20	Coil	NA	NA	PIRSF000615	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_191_length_28644_cov_12.236526-processed-gene-0.24-mRNA-1	NA	PTHR43201	NA	NA	IPR020845	NA	PF00501;PF13193	NA	GO:0003824	SSF56801	NA	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_49654_cov_12.747370-augustus-gene-0.62-mRNA-1	NA	PTHR35020:SF3;PTHR35020	NA	NA	IPR022036	NA	PF12239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_855_length_10222_cov_10.805052-augustus-gene-0.2-mRNA-1	NA	NA	NA	NA	IPR004045	NA	PF13417;PF13410	NA	GO:0005515	SSF52833;SSF47616	NA	cd00570	G3DSA:3.40.30.110;G3DSA:1.20.1050.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_434_length_17593_cov_12.148116-augustus-gene-0.24-mRNA-1	NA	PTHR12858:SF1;PTHR12858	NA	mobidb-lite	IPR007034	SM01362;SM00785	PF08142;PF04950	PS51714	GO:0005634;GO:0042254	NA	NA	NA	NA	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1154_length_7122_cov_12.481201-augustus-gene-0.2-mRNA-1	NA	PTHR31944:SF123;PTHR31944	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_90_length_38855_cov_11.257979-augustus-gene-0.5-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR40637	NA	NA	IPR019329	NA	PF10183	NA		NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_1903_length_2926_cov_12.537335-snap-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR35607:SF5;PTHR35607	NA	NA	IPR008427	SM00747	PF05730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	NA
maker-NODE_100_length_36341_cov_10.763158-augustus-gene-0.56-mRNA-1	NA	NA	NA	mobidb-lite	IPR019258	NA	PF10018	NA	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	Coil	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1555_length_4590_cov_9.409366-processed-gene-0.0-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_669_length_12750_cov_12.059415-augustus-gene-0.7-mRNA-1	NA	PTHR11405:SF1;PTHR11405	NA	NA	IPR002292	NA	PF02729;PF00185	NA	GO:0016743;GO:0006520;GO:0016597	SSF53671	PR00102;PR00100	NA	G3DSA:3.40.50.1370	NA	KEGG: 00220+2.1.3.3|MetaCyc: PWY-4981|MetaCyc: PWY-4984|MetaCyc: PWY-7400|Reactome: R-HSA-1268020|Reactome: R-HSA-70635	PS00097	NA	NA	TIGR00658	NA	NA	NA	NA	NA
maker-NODE_1549_length_4605_cov_7.751005-augustus-gene-0.5-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	cd14686	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_2554_length_869_cov_5.097035-processed-gene-0.3-mRNA-1	NA	PTHR12356;PTHR12356:SF3	NA	NA	IPR008978	NA	NA	NA	NA	SSF49764	NA	NA	G3DSA:2.60.40.790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_52283_cov_12.264955-augustus-gene-0.27-mRNA-1	NA	NA	NA	NA	IPR032675	SM00256	PF12937	PS50181	GO:0005515	SSF52047;SSF81383;SSF48452	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_80_length_39504_cov_12.116159-augustus-gene-0.18-mRNA-1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR10134;PTHR10134:SF13	NA	NA	IPR006317	NA	PF02921;PF00355	PS51296	GO:0008121;GO:0055114;GO:0016491;GO:0051537;GO:0016679;GO:0016020	SSF81502;SSF50022	PR00162	cd03470	G3DSA:2.102.10.10;G3DSA:1.20.5.270	NA	KEGG: 00190+1.10.2.2	NA	NA	NA	TIGR01416	NA	NA	NA	SignalP-TM	NA
maker-NODE_540_length_15320_cov_9.344632-augustus-gene-0.7-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR28234	TMhelix	NA	IPR013946	NA	PF08637	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_376_length_19661_cov_11.301884-augustus-gene-0.19-mRNA-1	NA	PTHR37332	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_733_length_11840_cov_12.638863-augustus-gene-0.7-mRNA-1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PTHR11530;PTHR11530:SF16	NA	NA	IPR023209	NA	PF01266	NA	GO:0003884;GO:0046416;GO:0071949;GO:0055114;GO:0016491	SSF51971;SSF54373	NA	NA	G3DSA:3.30.9.10;G3DSA:3.40.50.720	NA	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	PS00677	PIRSF000189	NA	NA	NA	NA	NA	NA	NA
maker-NODE_575_length_14421_cov_12.584091-snap-gene-0.8-mRNA-1	NA	PTHR18884:SF70;PTHR18884	NA	mobidb-lite	IPR030379	NA	PF00735	PS51719	GO:0005525	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_356_length_20080_cov_11.400942-processed-gene-0.8-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR34883:SF3;PTHR34883	NA	NA	IPR008972	NA	NA	NA	NA	SSF49503	NA	cd00920	G3DSA:2.60.40.420	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
snap_masked-NODE_317_length_21841_cov_10.871051-processed-gene-0.13-mRNA-1	NA	PTHR14742;PTHR14742:SF0	NA	mobidb-lite	IPR007175	NA	PF04032	NA		NA	NA	NA	G3DSA:2.20.25.200	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_380_length_19587_cov_12.374203-processed-gene-0.7-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1935_length_2791_cov_6.082583-processed-gene-0.2-mRNA-1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_143_length_32155_cov_14.128513-augustus-gene-0.12-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR42104	NA	NA	IPR000026	NA	PF00545	NA	GO:0003723;GO:0004521;GO:0004540	SSF53933	NA	cd00606	G3DSA:3.10.450.30	NA	NA	NA	PIRSF037430	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_312_length_21899_cov_12.283897-augustus-gene-0.12-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43706:SF2;PTHR43706	TMhelix	NA	IPR002048	SM00054	PF00036;PF07992	PS50222	GO:0005509;GO:0016491;GO:0055114	SSF51905;SSF47473	NA	cd00051	G3DSA:3.50.50.100	NA	NA	PS00018	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_375_length_19673_cov_11.095621-augustus-gene-0.1-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_46912_cov_12.502960-snap-gene-0.24-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR24305:SF92;PTHR24305	TMhelix	NA	IPR036396	NA	PF00067	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	PR00463;PR00385	NA	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_415_length_18284_cov_11.758550-augustus-gene-0.24-mRNA-1	NA	PTHR13120;PTHR13120:SF1	NA	NA	IPR005345	NA	PF03660	NA		NA	NA	NA	NA	NA	Reactome: R-HSA-72163	NA	PIRSF016468	NA	NA	NA	NA	NA	NA	NA
maker-NODE_203_length_28055_cov_12.930142-snap-gene-0.21-mRNA-1	NA	PTHR28083	NA	mobidb-lite	IPR036397	NA	NA	NA	GO:0003676	SSF53098	NA	NA	G3DSA:3.30.420.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_84_length_39159_cov_11.884018-processed-gene-0.27-mRNA-1	NA	PTHR11880:SF2;PTHR11880	NA	NA	IPR020934	NA	PF00203	NA	GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935	SSF54570	PR00975	NA	G3DSA:3.30.860.20	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00323	PIRSF002144	MF_00531	TIGR01025	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_52082_cov_12.677240-processed-gene-0.17-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR37536	NA	mobidb-lite	IPR000250	NA	PF01828	NA	GO:0004190;GO:0006508	SSF49899	PR00977	cd13426	G3DSA:2.60.120.700	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
augustus_masked-NODE_395_length_19016_cov_11.283657-processed-gene-0.12-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
maker-NODE_176_length_29421_cov_11.586707-snap-gene-0.4-mRNA-1	NA	PTHR10871:SF18;PTHR10871	NA	NA	IPR027437	NA	PF00416	PS50159	GO:0003676;GO:0003723;GO:0003735;GO:0005622;GO:0005840;GO:0006412	SSF46946	NA	NA	G3DSA:1.10.8.50;G3DSA:4.10.910.10	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00646	PIRSF002134	MF_01315	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_264_length_24269_cov_13.141620-processed-gene-0.22-mRNA-1	NA	PTHR28520:SF2;PTHR28520	NA	NA	IPR022214	NA	PF12554	NA	GO:0008274;GO:0033566	NA	NA	NA	NA	NA	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_379_length_19617_cov_12.072960-processed-gene-0.15-mRNA-1	NA	PTHR23077;PTHR23077:SF55	NA	mobidb-lite	IPR027417	SM00382	PF00004	NA	GO:0005524	SSF52540	NA	cd00009	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1051_length_8106_cov_9.585537-augustus-gene-0.0-mRNA-1	NA	PTHR18919;PTHR18919:SF81	NA	NA	IPR016039	NA	PF02803;PF00108	NA	GO:0003824;GO:0016747	SSF53901	NA	cd00751	G3DSA:3.40.47.10	NA	NA	PS00098;PS00099	PIRSF000429	NA	TIGR01930	NA	NA	NA	NA	NA
maker-NODE_1_length_139067_cov_12.594847-snap-gene-0.81-mRNA-1	NA	PTHR24031:SF78;PTHR24031	NA	mobidb-lite	IPR014001	SM00490;SM00487	PF00270;PF00271	PS51192;PS51195;PS51194	GO:0003676;GO:0005524	SSF52540	NA	cd00079;cd00268	G3DSA:3.40.50.300	NA	NA	PS00039	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_120_length_34279_cov_12.288651-processed-gene-0.5-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_47742_cov_11.507928-snap-gene-0.19-mRNA-1	NA	PTHR11227:SF18;PTHR11227	NA	NA	IPR015943	SM00320	NA	NA	GO:0005515	SSF50978	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_284_length_23285_cov_13.021461-snap-gene-0.10-mRNA-1	NA	PTHR11728:SF8;PTHR11728	NA	mobidb-lite	IPR013328	NA	PF07479;PF01210	NA	GO:0016491;GO:0055114;GO:0004367;GO:0006072;GO:0009331;GO:0005975;GO:0016616;GO:0046168;GO:0051287	SSF48179;SSF51735	PR00077	NA	G3DSA:1.10.1040.10	NA	KEGG: 00564+1.1.1.94|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7902|Reactome: R-HSA-1483166	PS00957	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1311_length_5947_cov_10.194674-augustus-gene-0.2-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_521_length_15719_cov_11.372819-augustus-gene-0.16-mRNA-1	NA	PTHR13490	NA	mobidb-lite	IPR039848	NA	PF10213	NA	GO:0003735;GO:0032543	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
augustus_masked-NODE_752_length_11563_cov_10.944648-processed-gene-0.7-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	SSF89372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1127_length_7398_cov_12.671710-augustus-gene-0.1-mRNA-1	NA	PTHR21713	NA	mobidb-lite	IPR002715	SM01407	PF01849	PS51151	GO:0005854	NA	NA	NA	G3DSA:2.20.70.30	NA	NA	NA	PIRSF015901	NA	NA	NA	NA	NA	NA	NA
maker-NODE_262_length_24360_cov_11.387364-augustus-gene-0.27-mRNA-1	NA	PTHR15157:SF13;PTHR15157	NA	mobidb-lite	IPR018791	NA	PF10186	NA		NA	NA	NA	NA	Coil	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2569_length_844_cov_7.239888-processed-gene-0.0-mRNA-1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_334_length_21248_cov_12.826429-augustus-gene-0.26-mRNA-1	NA	PTHR11937:SF274;PTHR11937	NA	mobidb-lite	IPR004001	SM00268	PF00022	NA	NA	SSF53067	NA	cd00012	G3DSA:3.30.420.40;G3DSA:3.90.640.10	Coil	NA	PS00432	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_365_length_19886_cov_11.098386-snap-gene-0.10-mRNA-1	NA	PTHR35339;PTHR35339:SF4	NA	NA	IPR016624	NA	PF10022	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF014753	NA	NA	NA	NA	NA	NA	NA
