Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_95_length_98681_cov_43.567922-snap-gene-0.66-mRNA-1	NA	IPR006091	SSF56645;SSF47203	NA	NA	PTHR42707:SF2;PTHR42707	GO:0016627;GO:0055114	NA	PF18158;PF02770;PF00441	NA	G3DSA:1.20.140.10;G3DSA:2.40.110.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_45_length_170671_cov_47.840979-processed-gene-0.61-mRNA-1	NA	IPR001138	SSF57701	mobidb-lite	NA	PTHR31944	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_310219_cov_46.891864-augustus-gene-0.42-mRNA-1	NA	IPR001107	SSF117892	mobidb-lite	NA	PTHR10264:SF19;PTHR10264	GO:0016020	NA	PF01145	NA	G3DSA:3.30.479.30	NA	NA	SM00244	NA	cd13437	NA	PR00721	NA	NA	NA	NA	NA	NA
snap_masked-NODE_46_length_170045_cov_47.017809-processed-gene-0.46-mRNA-1	NA	IPR003099	SSF48179	NA	NA	PTHR21363	GO:0004665;GO:0006571;GO:0008977;GO:0055114	KEGG: 00400+1.3.1.12|KEGG: 00401+1.3.1.12|MetaCyc: PWY-7303	PF02153	NA	G3DSA:1.10.3660.10;G3DSA:3.40.50.720	NA	PS51176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_72_length_130019_cov_44.885613-augustus-gene-0.8-mRNA-1	NA	IPR017972	SSF48264	NA	NA	PTHR24305;PTHR24305:SF70	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	PF00067	NA	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_244105_cov_46.328526-snap-gene-1.72-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR40635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_89_length_103207_cov_43.393064-processed-gene-0.58-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_253829_cov_47.498589-augustus-gene-0.0-mRNA-1	NA	IPR023210	SSF51430	NA	NA	PTHR43150;PTHR43150:SF6		Reactome: R-HSA-1296072	PF00248	NA	G3DSA:3.20.20.100	NA	NA	NA	NA	cd06660	NA	PR01577	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_382122_cov_47.985369-snap-gene-2.93-mRNA-1	NA	IPR001229	SSF51101	mobidb-lite	NA	PTHR21054	NA	NA	PF12044	NA	G3DSA:2.100.10.30	NA	PS51752	SM00915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_485698_cov_44.640333-augustus-gene-1.87-mRNA-1	NA	IPR020828	SSF55347;SSF51735	NA	NA	PTHR10836	GO:0016620;GO:0055114;GO:0006006;GO:0050661;GO:0051287	Reactome: R-HSA-70171|Reactome: R-HSA-70263	PF02800;PF00044	TIGR01534	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	SM00846	NA	NA	PS00071	PR00078	NA	PIRSF000149	NA	NA	NA	NA
augustus_masked-NODE_86_length_105570_cov_42.916486-processed-gene-0.12-mRNA-1	NA	IPR019832	SSF46609;SSF54719	mobidb-lite	NA	PTHR43595:SF2;PTHR43595	GO:0004784;GO:0006801;GO:0046872;GO:0055114	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505	PF02777	NA	G3DSA:2.40.500.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_186416_cov_45.355448-snap-gene-0.69-mRNA-1	NA	IPR001138	NA	mobidb-lite	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_87_length_105373_cov_48.309266-snap-gene-0.76-mRNA-1	NA	IPR007740	NA	mobidb-lite	NA	PTHR13477	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF05046	NA	G3DSA:3.30.780.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_177098_cov_44.865243-snap-gene-0.83-mRNA-1	NA	IPR013766	SSF52833	NA	NA	PTHR10438:SF366;PTHR10438	GO:0045454;GO:0006662;GO:0015035	NA	PF00085	NA	G3DSA:3.40.30.10	NA	PS51352	NA	NA	cd02947	PS00194	PR00421	NA	NA	NA	NA	NA	NA
snap_masked-NODE_161_length_33058_cov_47.430263-processed-gene-0.10-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_221711_cov_47.927368-snap-gene-0.35-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR24356;PTHR24356:SF299	NA	NA	NA	NA	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_166_length_32008_cov_37.761676-processed-gene-0.15-mRNA-1	NA	IPR027104	NA	mobidb-lite	NA	PTHR14212	GO:0000398;GO:0046540	Reactome: R-HSA-72163	PF06544;PF08572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_382122_cov_47.985369-snap-gene-2.118-mRNA-1	NA	IPR036108	SSF69618	NA	NA	PTHR12390	GO:0004852;GO:0033014;GO:0006780	KEGG: 00860+4.2.1.75|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	PF02602	NA	G3DSA:3.40.50.10090	NA	NA	NA	NA	cd06578	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_655175_cov_46.306011-snap-gene-2.51-mRNA-1	NA	IPR037813	SSF63737;SSF55486	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR15137	GO:0005669	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	G3DSA:1.10.390.60	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_135_length_49381_cov_44.093434-processed-gene-0.19-mRNA-1	NA	IPR028389	SSF50249	mobidb-lite	NA	PTHR14513	GO:0000723;GO:0043047	Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	PF16686	NA	G3DSA:2.40.50.140	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_321002_cov_48.649680-processed-gene-2.3-mRNA-1	NA	IPR008949	SSF48576	NA	NA	PTHR12001;PTHR12001:SF44	GO:0008299	NA	PF00348	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	PS00723;PS00444	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_485698_cov_44.640333-processed-gene-2.35-mRNA-1	NA	IPR008862	NA	mobidb-lite	NA	PTHR12832;PTHR12832:SF11	NA	NA	PF05794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_7_length_440057_cov_47.711181-processed-gene-1.53-mRNA-1	NA	IPR005024	NA	mobidb-lite	NA	PTHR10476;PTHR10476:SF2	GO:0007034	NA	PF03357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_82_length_115983_cov_46.803126-processed-gene-0.76-mRNA-1	TMhelix	IPR018786	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR28062	NA	NA	PF10173	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_167417_cov_47.109534-snap-gene-0.18-mRNA-1	NA	IPR019350	NA	mobidb-lite	NA	PTHR28221	NA	NA	PF10214	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_197262_cov_41.642534-snap-gene-0.82-mRNA-1	NA	IPR013926	SSF143870	NA	NA	PTHR15840		Reactome: R-HSA-6782315	PF08617	NA	G3DSA:3.30.2380.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_108_length_81047_cov_37.982958-processed-gene-0.48-mRNA-1	NA	IPR003732	SSF69500	NA	NA	PTHR10472;PTHR10472:SF5	GO:0002161;GO:0005737;GO:0051499	NA	PF02580	TIGR00256	G3DSA:3.50.80.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00518	NA	NA	NA
maker-NODE_6_length_459376_cov_47.460123-augustus-gene-3.43-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR11603:SF132;PTHR11603	NA	NA	PF17863	NA	G3DSA:1.10.8.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_19_length_280240_cov_48.570655-processed-gene-1.0-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_54_length_156753_cov_174.498455-processed-gene-0.45-mRNA-1	NA	IPR029063	SSF53335	mobidb-lite	NA	PTHR14614:SF38;PTHR14614	NA	NA	PF10294	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_6_length_459376_cov_47.460123-processed-gene-2.35-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_178_length_24535_cov_46.174943-snap-gene-0.0-mRNA-1	NA	IPR018803	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	PF10281	NA	NA	Coil	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_24_length_244105_cov_46.328526-augustus-gene-0.50-mRNA-1	NA	IPR006671	SSF47954	NA	NA	PTHR10177:SF201;PTHR10177	GO:0005634	NA	PF00134;PF02984	NA	G3DSA:1.10.472.10	NA	NA	SM00385;SM01332	NA	cd00043	PS00292	NA	NA	PIRSF001771	NA	NA	NA	NA
maker-NODE_129_length_56122_cov_37.923047-snap-gene-0.18-mRNA-1	NA	IPR039131	SSF49785	mobidb-lite	NA	PTHR13194	GO:0032981	Reactome: R-HSA-6799198	PF08547	NA	G3DSA:2.60.120.430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_71_length_130280_cov_45.546595-snap-gene-0.53-mRNA-1	NA	IPR004037	SSF55315	mobidb-lite	NA	PTHR23105:SF12;PTHR23105	GO:0042254;GO:1990904	Reactome: R-HSA-6791226	PF01248	NA	G3DSA:3.30.1330.30	Coil	NA	NA	NA	NA	PS01082	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_440057_cov_47.711181-snap-gene-3.115-mRNA-1	NA	IPR001453	SSF53218	NA	NA	PTHR23293:SF19;PTHR23293	NA	NA	PF00994	NA	G3DSA:3.40.980.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_232581_cov_45.577568-snap-gene-1.8-mRNA-1	NA	IPR029063	SSF53335	NA	NA	PTHR42912;PTHR42912:SF28	GO:0008168	NA	PF08241	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_170045_cov_47.017809-processed-gene-0.82-mRNA-1	NA	IPR014710	SSF51182	NA	NA	PTHR43212;PTHR43212:SF3		Reactome: R-HSA-8935690	PF02678	NA	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_321002_cov_48.649680-snap-gene-1.68-mRNA-1	NA	IPR018392	SSF54106;SSF51445	NA	NA	PTHR11177:SF231;PTHR11177	NA	NA	PF01476	NA	G3DSA:3.10.350.10	NA	PS51782	SM00257	NA	cd00118	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_89951_cov_46.513738-snap-gene-0.67-mRNA-1	NA	IPR007219	SSF57701	mobidb-lite	NA	PTHR31313;PTHR31313:SF42	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066;SM00906	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_322022_cov_47.826453-augustus-gene-0.57-mRNA-1	NA	IPR016163	SSF53720	NA	NA	PTHR43720;PTHR43720:SF1	GO:0016491;GO:0016620;GO:0055114	NA	PF00171	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	NA	NA	NA	PS00687	NA	NA	NA	NA	NA	NA	NA
maker-NODE_98_length_95310_cov_45.915930-augustus-gene-0.34-mRNA-1	NA	IPR036736	SSF47336	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	PTHR20863:SF5;PTHR20863	GO:0006633	Reactome: R-HSA-389661|Reactome: R-HSA-611105|Reactome: R-HSA-6799198|Reactome: R-HSA-77289	PF00550	TIGR00517	G3DSA:1.10.1200.10	NA	PS50075	NA	NA	NA	PS00012	NA	SignalP-TM	NA	MF_01217	NA	PD000887	NA
maker-NODE_60_length_150837_cov_45.855736-augustus-gene-0.95-mRNA-1	NA	IPR034964	SSF52121	NA	NA	PTHR21058	GO:0000906;GO:0009231;GO:0009349	KEGG: 00740+2.5.1.78|MetaCyc: PWY-6167|MetaCyc: PWY-6168	PF00885	TIGR00114	G3DSA:3.40.50.960	NA	NA	NA	NA	cd09209	NA	NA	NA	NA	MF_00178	NA	NA	NA
maker-NODE_46_length_170045_cov_47.017809-snap-gene-0.133-mRNA-1	NA	IPR036291	SSF51735	NA	NA	PTHR21363:SF0;PTHR21363	NA	NA	PF03807	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_163_length_32659_cov_42.403142-processed-gene-0.2-mRNA-1	NA	IPR003265	SSF48150;SSF55811	mobidb-lite	NA	PTHR42944	GO:0006284;GO:0003824;GO:0006281;GO:0051539;GO:0016787	Reactome: R-HSA-110357	PF00730;PF14815	NA	G3DSA:1.10.340.30;G3DSA:1.10.1670.10;G3DSA:3.90.79.10	NA	NA	SM00478;SM00525	NA	cd00056;cd03431	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_253474_cov_42.751148-processed-gene-1.50-mRNA-1	NA	IPR001147	SSF50104	NA	NA	PTHR20981	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01157	NA	G3DSA:2.30.30.70	NA	NA	NA	NA	NA	PS01171	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_375835_cov_47.427859-processed-gene-1.44-mRNA-1	NA	IPR005719	SSF51395	NA	NA	PTHR43517	GO:0004152;GO:0006207;GO:0016020;GO:0055114;GO:0003824;GO:0005737;GO:0016627	KEGG: 00240+1.3.5.2|MetaCyc: PWY-5686|Reactome: R-HSA-500753	PF01180	TIGR01036	G3DSA:3.20.20.70	NA	NA	NA	NA	cd04738	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_82_length_115983_cov_46.803126-processed-gene-0.14-mRNA-1	NA	IPR004136	SSF51412	NA	NA	PTHR32332;PTHR32332:SF27	GO:0018580;GO:0055114;GO:0003824	NA	PF03060	NA	G3DSA:3.20.20.70	NA	NA	NA	NA	cd04730	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_510266_cov_45.656092-processed-gene-2.27-mRNA-1	NA	IPR018625	NA	mobidb-lite	NA	PTHR33968	GO:0005739;GO:0033617	NA	PF09803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_153_length_37728_cov_42.848967-processed-gene-0.18-mRNA-1	TMhelix	NA	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR37919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_52_length_160205_cov_44.697666-snap-gene-0.114-mRNA-1	NA	IPR011603	SSF52518	mobidb-lite	NA	PTHR23152:SF4;PTHR23152	GO:0004591;GO:0006099;GO:0030976;GO:0055114;GO:0016624	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084	PF00676;PF02779;PF16870;PF16078	TIGR00239	G3DSA:1.10.287.1150;G3DSA:3.40.50.11610;G3DSA:3.40.50.970;G3DSA:3.40.50.12470	NA	NA	SM00861	NA	cd02016	NA	NA	SignalP-TM	PIRSF000157	NA	NA	NA	NA
maker-NODE_112_length_76130_cov_47.396734-snap-gene-0.71-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd11651	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_485167_cov_46.599687-snap-gene-3.117-mRNA-1	TMhelix	IPR029033	SSF53254	NA	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN	PTHR11567:SF142;PTHR11567	NA	NA	NA	NA	G3DSA:3.40.50.1240	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_189_length_19641_cov_33.849441-processed-gene-0.0-mRNA-1	NA	IPR007715	NA	NA	NA	PTHR12922;PTHR12922:SF7	GO:0006744;GO:0005743	NA	PF05019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03111	NA	NA	NA
maker-NODE_80_length_118422_cov_45.835462-snap-gene-0.94-mRNA-1	NA	IPR001830	SSF53756	mobidb-lite	NA	PTHR10788:SF71;PTHR10788	GO:0003824;GO:0005992	KEGG: 00500+2.4.1.15	PF00982	NA	G3DSA:3.40.50.2000	NA	NA	NA	NA	cd03788	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_103_length_84421_cov_47.178791-snap-gene-0.30-mRNA-1	NA	IPR013087	NA	mobidb-lite	NA	PTHR35391:SF3;PTHR35391	GO:0003676	NA	NA	NA	NA	Coil	NA	SM00355	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_56_length_155100_cov_45.537765-processed-gene-0.104-mRNA-1	NA	IPR011335	SSF52980	mobidb-lite	NA	PTHR13451;PTHR13451:SF0	GO:0003677;GO:0004518	Reactome: R-HSA-6783310	PF02732	NA	G3DSA:3.40.50.10130	NA	NA	SM00891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_375835_cov_47.427859-processed-gene-2.121-mRNA-1	NA	IPR000058	SSF118310	NA	NA	PTHR14677:SF20;PTHR14677	GO:0008270	NA	PF01428	NA	G3DSA:4.10.1110.10	NA	PS51039	SM00154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_459376_cov_47.460123-processed-gene-2.73-mRNA-1	NA	IPR028095	NA	mobidb-lite	NA	NA	NA	NA	PF14475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_75_length_122785_cov_47.688443-snap-gene-0.29-mRNA-1	NA	IPR025676	NA	mobidb-lite	NA	PTHR38788	NA	NA	PF14420	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_6_length_459376_cov_47.460123-processed-gene-2.39-mRNA-1	NA	IPR009288	SSF110857	NA	NA	PTHR31544:SF2;PTHR31544	NA	NA	PF06094	NA	G3DSA:3.10.490.10	NA	NA	NA	NA	cd06661	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_108_length_81047_cov_37.982958-processed-gene-0.54-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_96_length_97337_cov_46.673624-processed-gene-0.28-mRNA-1	NA	IPR038089	NA	mobidb-lite	NA	PTHR13186	GO:0003712;GO:0006355;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	PF05669	NA	G3DSA:1.10.10.1340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_122047_cov_50.615912-snap-gene-0.5-mRNA-1	NA	IPR000132	SSF56317	NA	NA	PTHR23088:SF2;PTHR23088	GO:0016810;GO:0006807	NA	PF00795	NA	G3DSA:3.60.110.10	NA	PS50263	NA	NA	cd07564	PS00921;PS00920	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_85_length_108394_cov_48.624401-processed-gene-0.56-mRNA-1	NA	IPR012947	SSF50447;SSF55186	NA	NA	PTHR43462:SF2;PTHR43462	GO:0004812;GO:0005524;GO:0043039;GO:0000166;GO:0003676;GO:0004813;GO:0006419	KEGG: 00970+6.1.1.7	PF07973	NA	G3DSA:2.40.30.130;G3DSA:3.30.980.10	NA	PS50860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_168_length_29858_cov_36.153678-snap-gene-0.0-mRNA-1	NA	IPR013026	SSF81901	NA	NA	NA	GO:0005515	NA	PF13432	NA	G3DSA:1.25.40.10	NA	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_485698_cov_44.640333-processed-gene-3.57-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_208333_cov_45.525086-augustus-gene-0.58-mRNA-1	TMhelix	NA	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23033:SF33;PTHR23033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_186416_cov_45.355448-processed-gene-0.84-mRNA-1	NA	IPR013870	NA	NA	NA	PTHR28595		Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF08561	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_42_length_188626_cov_46.042069-augustus-gene-0.144-mRNA-1	NA	IPR005574	SSF47819	mobidb-lite	NA	PTHR21297:SF0;PTHR21297	GO:0006352;GO:0030880;GO:0000166;GO:0003824;GO:0044237	NA	PF03874	NA	G3DSA:1.20.1250.40	Coil	NA	SM00657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_17_length_310219_cov_46.891864-processed-gene-1.65-mRNA-1	NA	IPR016197	SSF54160	mobidb-lite	NA	PTHR10880;PTHR10880:SF15	GO:0005634;GO:0006325;GO:0006355	NA	PF05712	NA	G3DSA:1.10.274.30;G3DSA:2.30.30.140	NA	PS51640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_167_length_30899_cov_53.555375-processed-gene-0.11-mRNA-1	NA	NA	NA	NA	NA	PTHR31845	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_280240_cov_48.570655-augustus-gene-1.125-mRNA-1	NA	IPR006671	SSF47954	mobidb-lite	NA	PTHR10026:SF51;PTHR10026	NA	NA	PF00134	NA	G3DSA:1.10.472.10	NA	NA	SM00385	NA	cd00043	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_67_length_141435_cov_43.624147-processed-gene-0.85-mRNA-1	NA	IPR029058	SSF53474	NA	NA	PTHR23024:SF248;PTHR23024	GO:0016787	NA	PF07859	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_243189_cov_46.787314-snap-gene-1.19-mRNA-1	NA	IPR011990	SSF48452	NA	NA	PTHR17204;PTHR17204:SF5	GO:0005515;GO:0006396	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	SM00386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_3_length_510266_cov_45.656092-processed-gene-2.14-mRNA-1	NA	NA	SSF50960	NA	NA	PTHR16220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_253829_cov_47.498589-snap-gene-0.69-mRNA-1	NA	IPR022783	NA	mobidb-lite	NA	PTHR23329:SF1;PTHR23329	GO:0003676	Reactome: R-HSA-72163	PF07842;PF12457;PF01585	NA	NA	NA	PS50174	SM00443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_655175_cov_46.306011-processed-gene-4.61-mRNA-1	NA	IPR014752	NA	mobidb-lite	NA	PTHR11188:SF78;PTHR11188	NA	NA	NA	NA	G3DSA:2.60.40.640	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
