Gene	interpro	Pfam	MobiDBLite	SMART	Gene3D	SUPERFAMILY	PRINTS	GO	CDD	PIRSF	Coils	PATHWAY	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	SFLD
ETS03055.1	IPR019519	PF10483	mobidb-lite	NA	G3DSA:3.40.50.300	NA	NA	GO:0002098;GO:0033588	NA	NA	Coil	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA
ETS00533.1	IPR022780	PF05783	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98178.1	IPR013866	PF00487;PF08557	mobidb-lite	SM01269	NA	NA	NA	GO:0006629;GO:0016021;GO:0030148;GO:0042284	cd03508	PIRSF017228	NA	KEGG: 00600+1.14.19.17|MetaCyc: PWY-5129|Reactome: R-HSA-1660661	NA	NA	NA	NA	NA
ETR99331.1	IPR036291	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	PR00081;PR00080	GO:0016491	cd05233	NA	NA	NA	NA	PS00061	NA	NA	NA
ETR99328.1	IPR017853	NA	mobidb-lite	NA	G3DSA:3.20.20.80	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05499.1	IPR019529	PF10496	mobidb-lite	NA	NA	NA	NA		NA	NA	Coil	Reactome: R-HSA-6811434	NA	NA	NA	NA	NA
ETS03403.1	IPR019191	PF09811	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97073.1	IPR000163	PF01145	NA	SM00244	NA	SSF117892	PR00679	GO:0016020	cd03401	NA	Coil	Reactome: R-HSA-8949664	NA	NA	NA	NA	NA
ETS00195.1	IPR024626	PF12936;PF05178	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR98808.1	IPR019734	PF13432;PF06424;PF14559	mobidb-lite	SM00028;SM00386	G3DSA:1.25.40.10	SSF48452	NA	GO:0005515;GO:0000398;GO:0006396	NA	NA	Coil	Reactome: R-HSA-72163|Reactome: R-HSA-72165	PS50293;PS50005	NA	NA	NA	NA
ETS04288.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98146.1	IPR002468	PF00557	mobidb-lite	NA	G3DSA:1.10.10.10;G3DSA:3.90.230.10	SSF55920;SSF46785	PR00599	GO:0004177;GO:0006508;GO:0008235	cd01088	NA	NA	MetaCyc: PWY-7799|MetaCyc: PWY-7800|Reactome: R-HSA-2514859	NA	PS01202	TIGR00501	MF_03175	NA
ETS05175.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98376.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07090.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97166.1	IPR021858	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99318.1	IPR036372	PF14844;PF13385;PF02138	mobidb-lite	SM01026;SM00320	G3DSA:1.10.1540.10;G3DSA:2.130.10.10;G3DSA:2.60.120.200	SSF81837;SSF50729;SSF50978;SSF49899	NA	GO:0005515	cd01201;cd06071	NA	NA	NA	PS51783;PS50197;PS50082;PS50294	NA	NA	NA	NA
ETS00569.1	IPR014472	PF01066	NA	NA	G3DSA:1.20.120.1760	NA	NA	GO:0008654;GO:0016020;GO:0016780	NA	PIRSF015665	NA	NA	NA	PS00379	NA	NA	NA
ETR98261.1	IPR005829	PF00083	NA	NA	G3DSA:1.20.1250.20	SSF103473	PR00171	GO:0016021;GO:0022857;GO:0055085;GO:0016020	cd17356	NA	NA	Reactome: R-HSA-189200	PS50850	PS00217;PS00216	TIGR00879	NA	NA
ETS02954.1	IPR031348	PF17111	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS05273.1	IPR001452	PF14604	mobidb-lite	SM00326	G3DSA:2.30.30.40	SSF50044	NA	GO:0005515	cd11854	NA	NA	NA	PS50002	NA	NA	NA	NA
ETR99228.1	IPR027534	PF00428	mobidb-lite	NA	G3DSA:1.10.10.1410	NA	NA	GO:0003735;GO:0005840;GO:0006414	cd05833	NA	Coil	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	MF_01478	NA
ETS01536.1	IPR018552	PF09415	mobidb-lite	NA	G3DSA:1.10.20.10	NA	NA	GO:0006281;GO:0051382;GO:0046982	NA	NA	NA	Reactome: R-HSA-606279|Reactome: R-HSA-6783310	NA	NA	NA	NA	NA
ETS06656.1	IPR023753	PF07992;PF02852	NA	NA	G3DSA:3.30.390.30;G3DSA:3.50.50.60	SSF55424;SSF51905	PR00411;PR00368	GO:0016491;GO:0055114;GO:0050660;GO:0004362;GO:0006749;GO:0050661;GO:0009055;GO:0045454;GO:0016668	NA	PIRSF000350	NA	KEGG: 00480+1.8.1.7|MetaCyc: PWY-4081|Reactome: R-HSA-2408550|Reactome: R-HSA-3299685|Reactome: R-HSA-499943|Reactome: R-HSA-5628897	NA	PS00076	TIGR01421	NA	NA
ETS06772.1	IPR000210	PF00651	NA	SM00225	G3DSA:3.30.710.10	SSF54695	NA	GO:0005515	cd18186	NA	NA	NA	PS50097	NA	NA	NA	NA
ETR99250.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00418.1	IPR008266	PF17667	mobidb-lite	NA	G3DSA:1.10.510.10	SSF56112	NA	GO:0004672;GO:0006468	NA	NA	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	PS00109	NA	NA	NA
ETS01837.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05630.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06390.1	IPR019786	PF00628;PF13639	mobidb-lite	SM00249;SM00184	G3DSA:3.30.40.10	SSF57850;SSF57903	NA	NA	cd15545	NA	NA	NA	PS50089;PS50016	PS01359	NA	NA	NA
ETR98478.1	IPR036396	PF00067	NA	NA	G3DSA:1.10.630.10	SSF48264	PR00465	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99333.1	IPR015943	PF10282	NA	NA	G3DSA:2.130.10.10	SSF50974	NA	GO:0005515	NA	NA	NA	Reactome: R-HSA-114608	NA	NA	NA	NA	NA
ETS06519.1	IPR002745	PF01885	mobidb-lite	NA	G3DSA:3.20.170.30;G3DSA:1.10.10.970	SSF56399	NA	GO:0006388;GO:0016772	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99139.1	IPR019446	PF10354	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01777.1	IPR003226	PF03690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03093.1	IPR041492	PF13419	NA	NA	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	SSF56784	NA	GO:0016787	cd07505	NA	NA	NA	NA	NA	TIGR01509	NA	SFLDG01129;SFLDS00003
ETS05585.1	IPR032717	PF13824	NA	NA	NA	SSF144232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97192.1	IPR024711	PF00199	NA	SM01060	G3DSA:2.40.180.10	SSF56634	PR00067	GO:0004096;GO:0006979;GO:0020037;GO:0055114	cd08157	PIRSF038928	NA	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241|Reactome: R-HSA-9615017	PS51402	PS00438;PS00437	NA	NA	NA
ETR98579.1	IPR014612	PF12328	mobidb-lite	NA	G3DSA:3.30.110.20	NA	NA	GO:0004526;GO:0005634;GO:0008033;GO:0003676	NA	NA	NA	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA
ETS01845.1	IPR024652	PF06330	NA	NA	G3DSA:1.10.600.10	SSF48576	NA	GO:0016838	NA	NA	NA	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	PS51257	NA	NA	NA	SFLDG01021;SFLDS00005
ETS02291.1	IPR000504	PF00076	mobidb-lite	SM00360	G3DSA:3.30.70.330	SSF54928	NA	GO:0003676	NA	NA	NA	NA	PS50102	NA	NA	NA	NA
ETS05296.1	IPR037516	PF09794	mobidb-lite	NA	NA	NA	NA		NA	NA	Coil	Reactome: R-HSA-8876198	PS50211	NA	NA	NA	NA
ETR99816.1	IPR029058	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98991.1	IPR029063	PF13489	NA	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03829.1	IPR001114	PF00709	NA	SM00788	G3DSA:1.10.300.10;G3DSA:3.90.170.10;G3DSA:3.40.440.10	SSF52540	NA	GO:0004019;GO:0005525;GO:0006164	cd03108	NA	NA	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	NA	PS00513;PS01266	TIGR00184	MF_00011	NA
ETS06387.1	IPR003734	PF02582	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00036.1	IPR011564	PF02765	mobidb-lite	SM00976	G3DSA:2.40.50.140	SSF50249	NA	GO:0000723;GO:0000784;GO:0003677	cd04497	NA	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	NA	NA	NA	NA	NA
ETS05748.1	IPR020630	PF00763;PF02882	NA	NA	G3DSA:3.40.50.720;G3DSA:3.40.50.10860	SSF51735;SSF53223	PR00085	GO:0004488;GO:0055114	cd01079	NA	NA	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	NA	NA	NA	NA	NA
ETR99601.1	IPR007219	PF04082	NA	NA	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETS02809.1	IPR036477	PF01842;PF00551	NA	NA	G3DSA:3.30.70.260;G3DSA:3.40.50.170	SSF53328;SSF55021	PR01575	GO:0009058;GO:0016742;GO:0006189;GO:0008864	cd08648;cd04875	PIRSF036480	NA	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	PS51671	NA	TIGR00655	MF_01927	NA
ETS04797.1	IPR006186	PF00149	NA	SM00156	G3DSA:3.60.21.10	SSF56300	PR00114	GO:0016787	cd07415	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	PS00125	NA	NA	NA
ETS01726.1	IPR013087	NA	mobidb-lite	SM00355	G3DSA:3.30.160.60	SSF57667	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01908.1	IPR016439	PF08390;PF03798	mobidb-lite	SM00724	NA	NA	NA	GO:0016021	NA	PIRSF005225	NA	Reactome: R-HSA-1660661	PS50922	NA	NA	NA	NA
ETS03141.1	IPR013865	PF08555	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS06328.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07224.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98332.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98912.1	IPR003593	PF00004	mobidb-lite	SM00382	G3DSA:3.40.50.300;G3DSA:1.10.8.60	SSF52540	NA	GO:0005524	cd00009	NA	Coil	NA	NA	NA	NA	NA	NA
ETR99059.1	IPR013745	PF08539	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS06512.1	IPR013078	PF00300	NA	NA	G3DSA:3.40.50.1240	SSF53254	NA	NA	cd07067	NA	NA	NA	NA	NA	NA	NA	NA
ETS01711.1	IPR000890	PF00871	NA	NA	G3DSA:3.30.420.40	SSF53067	PR00471	GO:0016301;GO:0016310;GO:0016774;GO:0006082	NA	PIRSF000722	NA	KEGG: 00430+2.7.2.1|KEGG: 00620+2.7.2.1|KEGG: 00640+2.7.2.1|KEGG: 00680+2.7.2.1|KEGG: 00720+2.7.2.1|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-8015	NA	PS01075;PS01076	TIGR00016	MF_00020	NA
ETS06303.1	IPR027925	PF14551;PF00493;PF17855;PF17207	mobidb-lite	SM00350	G3DSA:2.40.50.140;G3DSA:3.40.50.300;G3DSA:2.20.28.10;G3DSA:3.30.1640.10	SSF52540;SSF50249	PR01660;PR01657	GO:0003677;GO:0005524;GO:0006260;GO:0006270;GO:0003678;GO:0042555	cd17755	NA	NA	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS50051	PS00847	NA	NA	NA
ETR97484.1	IPR029058	PF00135	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	PS00122	NA	NA	NA
ETR99013.1	IPR016066	PF02878;PF00408	NA	NA	G3DSA:3.30.310.50;G3DSA:1.10.490.170;G3DSA:3.40.120.10	SSF53738;SSF55957	NA	GO:0000287;GO:0005975;GO:0016868;GO:0071704;GO:0004610	cd03086	PIRSF016408	NA	KEGG: 00520+5.4.2.10|MetaCyc: PWY-6749	NA	PS00710	NA	NA	NA
ETS02488.1	IPR019261	PF10021	NA	NA	G3DSA:3.40.220.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06822.1	IPR036705	PF03747	NA	NA	G3DSA:1.10.4080.10	SSF101478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06982.1	IPR000727	PF05739;PF00804	mobidb-lite	SM00397	G3DSA:1.20.58.70	SSF47661	NA	GO:0016020;GO:0016192	cd15849	NA	NA	NA	PS50192	NA	NA	NA	NA
ETS04768.1	IPR005719	PF01180	mobidb-lite	NA	G3DSA:3.20.20.70	SSF51395	NA	GO:0004152;GO:0006207;GO:0016020;GO:0055114;GO:0003824;GO:0005737;GO:0016627	cd04738	NA	NA	KEGG: 00240+1.3.5.2|MetaCyc: PWY-5686|Reactome: R-HSA-500753	NA	NA	TIGR01036	NA	NA
ETS03889.1	IPR029481	PF14510;PF00005;PF01061;PF06422	mobidb-lite	SM00382	G3DSA:3.40.50.300	SSF52540	NA	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	cd03232;cd03233	NA	NA	Reactome: R-HSA-1369062	PS50893	PS00211	NA	NA	NA
ETR96733.1	IPR020846	PF07690	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085;GO:0016021;GO:0022857	cd17323	NA	NA	NA	PS50850	PS00216	NA	NA	NA
ETS03836.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03331.1	IPR019826	PF00135	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	PS00122;PS00941	NA	NA	NA
ETS00275.1	IPR001398	PF01187	mobidb-lite	NA	G3DSA:3.30.429.10	SSF55331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02327.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00565.1	IPR042097	NA	mobidb-lite	NA	G3DSA:1.10.390.60	SSF63737;SSF55486	NA	NA	cd09839	NA	Coil	NA	NA	NA	NA	NA	NA
ETS06356.1	IPR022764	PF01694	mobidb-lite	NA	G3DSA:1.20.1540.10	SSF144091	NA	GO:0004252;GO:0016021	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR98415.1	IPR029058	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05348.1	IPR013149	PF00107;PF08240	NA	SM00829	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF50129;SSF51735	NA	GO:0055114;GO:0016491	cd08249	NA	NA	NA	NA	NA	NA	NA	NA
ETR98011.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00546.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97362.1	IPR001128	PF00067	NA	NA	G3DSA:1.10.630.10	SSF48264	PR00463;PR00385	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	NA	NA	PS00086	NA	NA	NA
ETS05727.1	IPR007941	PF05277	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS00822.1	IPR004113	PF02913;PF01565	mobidb-lite	NA	G3DSA:1.10.45.10;G3DSA:3.30.70.2740;G3DSA:3.30.465.40	SSF56176;SSF55103	NA	GO:0003824;GO:0050660;GO:0071949;GO:0016491;GO:0055114	NA	NA	NA	NA	PS51387	NA	NA	NA	NA
ETS07220.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01132.1	IPR000571	NA	mobidb-lite	NA	NA	NA	NA	GO:0046872	NA	NA	NA	NA	PS50103	NA	NA	NA	NA
ETS05356.1	IPR011701	PF07690;PF03727;PF00349	mobidb-lite	NA	G3DSA:1.20.1250.20;G3DSA:3.40.367.20;G3DSA:1.20.1720.10;G3DSA:3.30.420.40	SSF53067;SSF103473	PR00475	GO:0055085;GO:0001678;GO:0004396;GO:0005524;GO:0005536;GO:0005975;GO:0016773;GO:0016021;GO:0022857	cd00012;cd17502	NA	NA	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	PS51748;PS50850	PS00216	NA	NA	NA
ETR98133.1	IPR034085	PF03810;PF13513	NA	SM01349;SM00913	NA	SSF48371	NA	GO:0006886;GO:0008536	NA	NA	NA	NA	PS50077;PS50166	NA	NA	NA	NA
ETS06617.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02930.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98832.1	IPR000860	PF01379;PF03900	NA	NA	G3DSA:3.40.190.10;G3DSA:3.30.160.40	SSF54782;SSF53850	PR00151	GO:0004418;GO:0033014;GO:0018160	NA	PIRSF001438	NA	KEGG: 00860+2.5.1.61|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	NA	PS00533	TIGR00212	NA	NA
ETS00703.1	IPR010730	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06551.1	IPR007941	PF05277	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01811.1	IPR036812	PF00248	NA	NA	G3DSA:3.20.20.100	SSF51430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05219.1	IPR033917	PF02221	NA	SM00737	G3DSA:2.60.40.770	SSF81296	NA	GO:0032366	cd00917	NA	NA	NA	NA	NA	NA	NA	NA
ETR98588.1	IPR013251	PF08287	NA	NA	NA	NA	NA	GO:0005876;GO:0008608;GO:0042729	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR98447.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01511.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00542.1	IPR036236	PF00096	mobidb-lite	SM00355	G3DSA:3.30.160.60	SSF57667	NA	GO:0003676	NA	NA	NA	NA	PS50157	PS00028	NA	NA	NA
ETS04833.1	IPR036188	PF01494	NA	NA	G3DSA:3.50.50.60	SSF51905	PR00420	GO:0071949	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05457.1	IPR002347	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03756.1	IPR000845	PF01048	mobidb-lite	NA	NA	SSF53167	NA	GO:0003824;GO:0009116	cd09008	NA	NA	NA	NA	NA	NA	NA	NA
ETS07076.1	IPR013057	PF01490	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00766.1	IPR006015	PF00582	mobidb-lite	NA	NA	SSF52402	PR01438	NA	cd00293	NA	NA	NA	NA	NA	NA	NA	NA
ETR99132.1	IPR006595	PF10607	NA	SM00668;SM00757	NA	NA	NA	GO:0005515	NA	NA	NA	NA	PS51867;PS50897;PS50896	NA	NA	NA	NA
ETS06951.1	IPR008701	PF05630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03100.1	IPR032710	PF13577	NA	NA	G3DSA:3.10.450.50	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01197.1	IPR000245	PF00137	NA	NA	G3DSA:1.20.120.610	SSF81333	PR00122	GO:0015078;GO:0033179;GO:1902600;GO:0033177	cd18176;cd18175	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	NA	NA	TIGR01100	NA	NA
ETS01444.1	IPR004299	PF03062	mobidb-lite	NA	NA	NA	NA	GO:0008374	NA	PIRSF000439	NA	NA	NA	NA	NA	NA	NA
ETS04442.1	IPR001752	PF00225	mobidb-lite	SM00129	G3DSA:3.40.850.10	SSF52540	PR00380	GO:0003777;GO:0005524;GO:0007018;GO:0008017	cd06503	NA	Coil	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS50067	PS00411	NA	NA	NA
ETR99944.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS07092.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS03072.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98845.1	IPR036396	PF00067	NA	NA	G3DSA:1.10.630.10	SSF48264	PR00463;PR00385	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97137.1	IPR036259	PF07690	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17323	NA	NA	NA	NA	NA	NA	NA	NA
ETR99972.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99381.1	IPR036259	PF00083	NA	NA	G3DSA:1.20.1250.20	SSF103473	PR00171	GO:0016021;GO:0022857;GO:0055085;GO:0016020	cd17356	NA	NA	Reactome: R-HSA-189200	PS50850	PS00216;PS00217	TIGR00879	NA	NA
ETS02732.1	IPR027417	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	cd17933	NA	NA	NA	NA	NA	NA	NA	NA
ETS03732.1	IPR013087	PF00096;PF04082	mobidb-lite	SM00355	G3DSA:3.30.160.60	SSF57667	NA	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	Coil	NA	PS50157	PS00028	NA	NA	NA
ETS01332.1	IPR028896	PF08669;PF01571	NA	NA	G3DSA:3.30.70.1400;G3DSA:4.10.1250.10;G3DSA:3.30.1360.120;G3DSA:2.40.30.110	SSF103025;SSF101790	NA	GO:0004047;GO:0006546;GO:0005515	NA	PIRSF006487	NA	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	NA	NA	TIGR00528	NA	NA
ETR98300.1	IPR001138	PF00172;PF11951	NA	SM00066	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	NA	NA	NA	PS50048	PS00463	NA	NA	NA
ETR99875.1	IPR036291	PF08240;PF00107	NA	SM00829	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF51735;SSF50129	NA	GO:0055114;GO:0016491	cd05276	NA	NA	Reactome: R-HSA-6803205	NA	NA	TIGR02824	NA	NA
ETS01018.1	IPR008972	NA	NA	NA	G3DSA:2.60.40.420	SSF49503	NA	NA	cd00920	NA	NA	NA	NA	NA	NA	NA	NA
ETR97302.1	IPR029058	PF12697	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98134.1	IPR008010	PF05346	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99879.1	IPR036236	PF06220	NA	NA	G3DSA:3.30.160.60	SSF57667	NA	GO:0008270;GO:0003676;GO:0005634	NA	NA	NA	NA	PS50171	NA	NA	NA	NA
ETR98510.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR97983.1	IPR003140	PF02230	mobidb-lite	NA	NA	SSF53474	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02461.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97988.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98662.1	IPR021833	PF11905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98526.1	IPR008972	NA	mobidb-lite	NA	G3DSA:2.60.40.420	SSF49503	NA	NA	cd00920	NA	NA	NA	NA	NA	NA	NA	NA
ETS02472.1	IPR001251	PF03765;PF00650	NA	SM01100;SM00516	G3DSA:3.40.525.10;G3DSA:1.10.8.20	SSF46938;SSF52087	PR00180	NA	cd00170	NA	NA	NA	PS50191	NA	NA	NA	NA
