Gene	interpro	GO	ProSiteProfiles	MobiDBLite	Pfam	PATHWAY	SMART	PANTHER	Coils	Phobius	TMHMM	ProSitePatterns	CDD	PRINTS	Gene3D	SUPERFAMILY	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	SFLD	Hamap	PIRSF	ProDom
augustus_masked-NQYR01000018.1-processed-gene-0.9-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR42088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-24.16-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-15.12-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000007.1-augustus-gene-26.14-mRNA-1	IPR007955		NA	mobidb-lite	PF05291	Reactome: R-HSA-6791226	NA	PTHR12821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-8.3-mRNA-1	IPR033481	GO:0016020;GO:0032220;GO:0000753	NA	NA	PF12351	NA	NA	PTHR28092	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF007138	NA
augustus_masked-NQYR01000005.1-processed-gene-0.31-mRNA-1	IPR013946	NA	NA	NA	PF08637	NA	NA	PTHR28234	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-15.15-mRNA-1	IPR036291	GO:0080019	NA	NA	PF07993	Reactome: R-HSA-8848584	NA	PTHR11011	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-10.42-mRNA-1	IPR007763	GO:0008137;GO:0009055;GO:0016020	NA	NA	PF05071	Reactome: R-HSA-6799198	NA	PTHR12910;PTHR12910:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-13.16-mRNA-1	IPR037507	GO:0003735;GO:0005762	NA	NA	PF18126	NA	NA	PTHR28041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000010.1-processed-gene-5.23-mRNA-1	IPR013024	GO:0003839;GO:0006751	NA	NA	PF04752	KEGG: 00480+4.3.2.7|MetaCyc: PWY-7942|Reactome: R-HSA-174403	NA	PTHR12192:SF2;PTHR12192	NA	NA	NA	NA	cd06661	NA	G3DSA:3.10.490.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000018.1-augustus-gene-0.42-mRNA-1	IPR029058	NA	NA	mobidb-lite	PF00135	NA	NA	PTHR11559;PTHR11559:SF240	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-46.27-mRNA-1	IPR029068	NA	NA	NA	PF13468	NA	NA	PTHR40265	NA	NA	NA	NA	NA	NA	G3DSA:3.10.180.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-6.1-mRNA-1	IPR014013	GO:0005524;GO:0003676;GO:0006139;GO:0008026;GO:0016818;GO:0003677;GO:0004003	PS51193	mobidb-lite	PF06733;PF13307	NA	SM00491;SM00488	PTHR11472;PTHR11472:SF41	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-5.25-mRNA-1	IPR036188	NA	NA	NA	PF13450	NA	NA	PTHR43734;PTHR43734:SF4	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	SSF51971	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-6.21-mRNA-1	IPR011425	GO:0003712;GO:0006357;GO:0016592	NA	mobidb-lite	PF07544	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-6.10-mRNA-1	IPR020993	GO:0005634;GO:0051382	NA	mobidb-lite	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	PTHR14401	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-25.33-mRNA-1	IPR018606	GO:0031047;GO:0033167	NA	mobidb-lite	PF09692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-9.28-mRNA-1	IPR009053	NA	NA	NA	PF02996	NA	NA	PTHR12674:SF2;PTHR12674	Coil	NA	NA	NA	NA	NA	G3DSA:1.10.287.370	SSF46579	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-30.39-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-4.22-mRNA-1	IPR004977		NA	mobidb-lite	PF03297	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PTHR12850:SF5;PTHR12850	NA	NA	NA	NA	NA	NA	G3DSA:1.10.10.2780	SSF46785	NA	NA	NA	NA	NA	NA	NA	PD012268
augustus_masked-NQYR01000006.1-processed-gene-24.1-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-4.9-mRNA-1	IPR005123	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	PS51471	mobidb-lite	PF13640	NA	SM00702	PTHR10869;PTHR10869:SF86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-4.39-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR40623;PTHR40623:SF2	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-6.14-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-9.19-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-4.23-mRNA-1	IPR003819	GO:0016491;GO:0055114	NA	NA	PF02668	Reactome: R-HSA-71262	NA	PTHR10696;PTHR10696:SF15	NA	NA	NA	NA	NA	NA	G3DSA:3.60.130.10	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000018.1-augustus-gene-1.27-mRNA-1	IPR015424	GO:0003824;GO:0009058;GO:0030170	NA	mobidb-lite	PF00155	NA	NA	PTHR43807;PTHR43807:SF20	Coil	NA	NA	NA	cd00609	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-12.29-mRNA-1	IPR040059	GO:0003723	PS50303	mobidb-lite	PF08144	NA	SM00025	PTHR13389	NA	NA	NA	NA	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-3.13-mRNA-1	IPR018565	GO:0000776	NA	NA	PF09447	NA	NA	PTHR28064	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000014.1-augustus-gene-4.31-mRNA-1	IPR018136	GO:0003994;GO:0006099;GO:0051539	NA	NA	PF00694;PF00330	KEGG: 00290+4.2.1.33	NA	PTHR43160:SF3;PTHR43160	NA	NA	NA	PS00450;PS01244	cd01584	PR00415	G3DSA:3.30.499.10;G3DSA:3.20.19.10;G3DSA:3.40.1060.10	SSF53732;SSF52016	TIGR01340	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-10.37-mRNA-1	IPR036291	NA	NA	NA	PF00106	NA	NA	PTHR43544:SF7;PTHR43544	NA	NA	NA	NA	NA	PR00081	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000007.1-augustus-gene-21.11-mRNA-1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	NA	NA	PTHR24279;PTHR24279:SF75	NA	NA	NA	PS00086	NA	PR00385;PR00463	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000002.1-augustus-gene-0.7-mRNA-1	IPR008576	GO:0006480;GO:0008168	NA	NA	PF05891	NA	NA	PTHR12753;PTHR12753:SF0	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	SSF53335	NA	NA	NA	NA	NA	NA	PIRSF016958	NA
maker-NQYR01000008.1-augustus-gene-11.35-mRNA-1	IPR018247	GO:0005509	PS50222	NA	NA	NA	NA	PTHR19237:SF20;PTHR19237	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	PS00018	NA	NA	G3DSA:1.10.238.10	SSF47473	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-39.12-mRNA-1	IPR013087	GO:0003676	NA	mobidb-lite	NA	NA	NA	PTHR11850:SF204;PTHR11850	NA	NA	NA	PS00028	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-13.7-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-5.39-mRNA-1	IPR010730	NA	NA	NA	PF06985	NA	NA	PTHR10622;PTHR10622:SF10	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-15.8-mRNA-1	IPR004000	NA	NA	NA	PF00022	NA	SM00268	PTHR11937:SF278;PTHR11937	NA	NA	NA	PS00432;PS01132;PS00406	cd00012	PR00190	G3DSA:3.30.420.40;G3DSA:3.90.640.10	SSF53067	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-5.12-mRNA-1	IPR016722	GO:0003677;GO:0003887;GO:0006260	NA	NA	PF04042;PF08418	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	PTHR23061	Coil	NA	NA	NA	NA	NA	G3DSA:3.60.21.60	NA	NA	NA	NA	NA	NA	NA	PIRSF018300	NA
maker-NQYR01000008.1-augustus-gene-3.0-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-4.8-mRNA-1	IPR000608		PS50127	NA	PF00179	Reactome: R-HSA-983168	SM00212	PTHR24068:SF119;PTHR24068	NA	NA	NA	NA	cd00195	NA	G3DSA:3.10.110.10	SSF54495	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-17.10-mRNA-1	IPR000424	GO:0003697	NA	NA	PF00436	Reactome: R-HSA-2151201	NA	NA	NA	NA	NA	NA	cd04496	NA	G3DSA:2.40.50.140	SSF50249	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-10.8-mRNA-1	IPR016181	NA	PS51186	NA	PF00583	NA	NA	PTHR23091;PTHR23091:SF66	NA	NA	NA	NA	cd04301	NA	G3DSA:3.40.630.30	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-12.46-mRNA-1	IPR010684	GO:0005634;GO:0006357;GO:0070449	NA	mobidb-lite	PF06881	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-75955	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-3.30-mRNA-1	IPR029058	NA	NA	NA	NA	NA	NA	PTHR17630;PTHR17630:SF73	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820;G3DSA:1.20.1440.110	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000011.1-processed-gene-5.7-mRNA-1	IPR007034	GO:0042254	NA	mobidb-lite	PF04950	Reactome: R-HSA-6791226	SM01362	PTHR12858:SF1;PTHR12858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-17.25-mRNA-1	IPR002634	NA	NA	mobidb-lite	PF01722	NA	NA	PTHR12735;PTHR12735:SF20	NA	NA	NA	NA	NA	NA	G3DSA:3.30.300.90	SSF82657	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-2.25-mRNA-1	IPR009668	GO:0003677;GO:0003899;GO:0005634;GO:0006351	NA	mobidb-lite	PF06870	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	PTHR14440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-4.40-mRNA-1	IPR003213	GO:0005739	NA	mobidb-lite	PF02297	NA	NA	PTHR11387:SF20;PTHR11387	NA	NA	NA	NA	NA	NA	NA	SSF47694	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-20.7-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000002.1-augustus-gene-0.13-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-24.0-mRNA-1	IPR006674	GO:0002953	NA	mobidb-lite	PF13023	KEGG: 00240+3.1.3.89	NA	PTHR11845;PTHR11845:SF13	NA	NA	NA	NA	NA	NA	G3DSA:1.10.3210.10	SSF109604	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-26.16-mRNA-1	IPR015222	GO:0004605;GO:0032049	NA	mobidb-lite	PF09139	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	NA	PTHR13619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028840	NA
augustus_masked-NQYR01000001.1-processed-gene-31.31-mRNA-1	IPR002035	NA	PS50234	mobidb-lite	PF00092	NA	SM00327	PTHR34706:SF1;PTHR34706	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.410	SSF53300	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-8.51-mRNA-1	IPR038633	GO:0005634;GO:0005737	NA	mobidb-lite	PF04683	Reactome: R-HSA-5689603|Reactome: R-HSA-5689880	NA	PTHR12225	NA	NA	NA	NA	NA	NA	G3DSA:2.30.29.70	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-21.44-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-0.34-mRNA-1	IPR027479	GO:0016787	NA	NA	PF06032;PF01968;PF05378	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	PTHR11365;PTHR11365:SF10	NA	NA	NA	NA	NA	NA	G3DSA:3.40.1610.10	SSF53067;SSF160991	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-5.6-mRNA-1	IPR002767	NA	NA	NA	PF01910	NA	NA	PTHR33777;PTHR33777:SF1	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.930	SSF89957	TIGR00106	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-20.19-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000007.1-augustus-gene-21.9-mRNA-1	IPR006886	GO:0003899;GO:0005634;GO:0006351	NA	mobidb-lite	PF04801	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	PTHR12069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000013.1-augustus-gene-11.10-mRNA-1	IPR002872	GO:0004657;GO:0006562	NA	mobidb-lite	PF01619	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	PTHR13914:SF6;PTHR13914	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.220	SSF51730	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-26.4-mRNA-1	IPR029044	NA	NA	NA	PF03452	NA	NA	PTHR43083:SF4;PTHR43083	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	G3DSA:3.90.550.10	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-6.31-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR13271:SF76;PTHR13271	NA	NA	NA	NA	NA	NA	G3DSA:3.90.1410.10	SSF82199	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000011.1-processed-gene-11.1-mRNA-1	IPR027417	GO:0004140;GO:0005524;GO:0015937	PS51219	NA	PF01121	KEGG: 00770+2.7.1.24|MetaCyc: PWY-7851	NA	PTHR10695;PTHR10695:SF35	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	cd02022	NA	G3DSA:3.40.50.300	SSF52540	TIGR00152	NA	NA	NA	NA	MF_00376	NA	NA
augustus_masked-NQYR01000006.1-processed-gene-2.29-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000010.1-processed-gene-10.15-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR40621	Coil	NA	NA	NA	cd14688	NA	G3DSA:1.20.5.170	SSF57959	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-11.24-mRNA-1	IPR007708	GO:0006397;GO:0016788	NA	mobidb-lite	PF05011	NA	SM01124	PTHR12849	NA	NA	NA	NA	cd00844	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000010.1-processed-gene-14.1-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-3.19-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-15.37-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NQYR01000012.1-processed-gene-3.16-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR42084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-19.24-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.170.270.10	SSF82199	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-6.0-mRNA-1	IPR036431	GO:0003677	NA	mobidb-lite	NA	NA	NA	PTHR13964;PTHR13964:SF27	NA	NA	NA	NA	NA	NA	NA	SSF46774	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-19.3-mRNA-1	IPR016024	NA	NA	mobidb-lite	PF11707;PF16201	NA	NA	PTHR13500	Coil	NA	NA	NA	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-14.51-mRNA-1	IPR000608		PS50127	NA	PF00179	Reactome: R-HSA-983168	SM00212	PTHR44158	NA	NA	NA	NA	cd00195	NA	G3DSA:3.10.110.10	SSF54495	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000015.1-augustus-gene-0.23-mRNA-1	IPR019084	GO:0003723	NA	mobidb-lite	PF09598	Reactome: R-HSA-5689880	SM01233	PTHR12299:SF17;PTHR12299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-21.13-mRNA-1	IPR037278	GO:0005096	PS50115	mobidb-lite	PF01412	NA	SM00105	PTHR23180:SF391;PTHR23180	NA	NA	NA	NA	NA	PR00405	G3DSA:3.30.40.160	SSF57863	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-23.35-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR40368	NA	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-6.2-mRNA-1	IPR002347	NA	NA	NA	PF13561	NA	NA	PTHR43296	NA	NA	NA	NA	cd05369	PR00081	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-10.10-mRNA-1	IPR023395	NA	NA	mobidb-lite	PF00153	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-41.8-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000007.1-processed-gene-2.23-mRNA-1	IPR027843	NA	NA	NA	PF14534	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	G3DSA:3.10.450.50	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000014.1-augustus-gene-9.33-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	mobidb-lite	NA	NA	SM00220	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.510.10	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000008.1-processed-gene-8.8-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-3.28-mRNA-1	IPR011333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.710.10	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-28.13-mRNA-1	IPR036629	NA	NA	mobidb-lite	PF05532	NA	NA	PTHR40460	NA	NA	NA	NA	NA	NA	NA	SSF69047	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-6.42-mRNA-1	IPR021346	NA	NA	NA	PF11176	NA	NA	PTHR13349	NA	NA	NA	NA	NA	NA	G3DSA:1.20.1440.170	NA	NA	NA	NA	NA	NA	NA	NA	NA
