Gene	MobiDBLite	interpro	Pfam	CDD	ProSiteProfiles	GO	SUPERFAMILY	SMART	Gene3D	PANTHER	PATHWAY	PIRSF	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	Hamap	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	TIGRFAM	ProDom	SFLD
snap_masked-NODE_48_length_96003_cov_37.663524-processed-gene-0.44-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_230_length_42176_cov_34.297486-processed-gene-0.82-mRNA-1	mobidb-lite	IPR005654	PF03969	NA	NA	GO:0005524	SSF52540	NA	G3DSA:3.40.50.300	PTHR12169:SF2;PTHR12169	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_185330_cov_37.016922-snap-gene-0.18-mRNA-1	NA	IPR026891	PF14310;PF00933;PF01915	NA	NA	GO:0004553;GO:0005975	SSF51445;SSF52279	SM01217	G3DSA:3.20.20.300;G3DSA:3.40.50.1700;G3DSA:2.60.40.10	PTHR42715:SF11;PTHR42715	NA	NA	PS00775	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	PR00133	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
snap_masked-NODE_132_length_60848_cov_33.530163-processed-gene-0.91-mRNA-1	mobidb-lite	IPR012942	PF07985	NA	NA	NA	NA	NA	NA	PTHR42080;PTHR42080:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_764_length_4367_cov_22.435613-augustus-gene-0.7-mRNA-1	mobidb-lite	IPR000757	PF00722	NA	PS51762	GO:0004553;GO:0005975	SSF49899	NA	NA	PTHR10963;PTHR10963:SF28	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_249_length_40381_cov_35.993144-snap-gene-0.121-mRNA-1	NA	IPR010730	PF06985	NA	NA	NA	NA	NA	NA	PTHR24148;PTHR24148:SF57	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_97825_cov_33.821788-snap-gene-0.3-mRNA-1	NA	IPR006680	PF01979	NA	NA	GO:0016787;GO:0016810;GO:0006147;GO:0008270;GO:0008892	SSF51556;SSF51338	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	PTHR11271;PTHR11271:SF6	KEGG: 00230+3.5.4.3|MetaCyc: PWY-5497|MetaCyc: PWY-6606|MetaCyc: PWY-6608|MetaCyc: PWY-7442|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR02967	NA	NA
maker-NODE_272_length_37297_cov_31.366774-snap-gene-0.26-mRNA-1	NA	IPR029057	PF13793;PF14572	cd06223	NA	GO:0009116;GO:0000287;GO:0004749;GO:0009156;GO:0044249;GO:0009165	SSF53271	SM01400	G3DSA:3.40.50.2020	PTHR10210;PTHR10210:SF48	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1|Reactome: R-HSA-73843	NA	PS00114	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01251	NA	NA
augustus_masked-NODE_25_length_117599_cov_37.425037-processed-gene-0.84-mRNA-1	NA	IPR005720	PF01180	cd04738	NA	GO:0005737;GO:0016627;GO:0055114;GO:0004152;GO:0006207;GO:0016020;GO:0003824	SSF51395	NA	G3DSA:3.20.20.70	PTHR43517	KEGG: 00240+1.3.5.2|MetaCyc: PWY-5686|Reactome: R-HSA-500753	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TIGR01036	NA	NA
maker-NODE_40_length_100013_cov_37.675901-augustus-gene-0.288-mRNA-1	NA	IPR006694	PF04116	NA	NA	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	PTHR11863;PTHR11863:SF22	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_69_length_82678_cov_21.843321-processed-gene-0.91-mRNA-1	mobidb-lite	IPR024991	PF12861	NA	NA	GO:0004842;GO:0005680	SSF57850	NA	G3DSA:3.30.40.10	PTHR11210;PTHR11210:SF21	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_126_length_63219_cov_37.588094-snap-gene-0.89-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PTHR31986;PTHR31986:SF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_185330_cov_37.016922-snap-gene-0.13-mRNA-1	mobidb-lite	IPR014729	PF01507	NA	NA	GO:0003824	SSF52402	NA	G3DSA:3.40.50.620	PTHR23293;PTHR23293:SF9	Reactome: R-HSA-196843	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_598_length_8990_cov_26.855579-snap-gene-0.0-mRNA-1	NA	IPR000719	PF00069	cd13993	PS50011	GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	G3DSA:1.10.510.10	PTHR24343;PTHR24343:SF181	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_165666_cov_36.479669-processed-gene-0.47-mRNA-1	mobidb-lite	IPR011021	PF00339	NA	NA	NA	NA	NA	NA	PTHR11188:SF17;PTHR11188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_175564_cov_39.171309-augustus-gene-0.333-mRNA-1	NA	IPR001077	PF00891	NA	PS51683	GO:0008171;GO:0008168	SSF53335;SSF46785	NA	G3DSA:3.40.50.150;G3DSA:1.10.10.10	PTHR43712:SF5;PTHR43712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_158_length_55356_cov_36.171196-snap-gene-0.144-mRNA-1	NA	IPR009939	PF07335	NA	NA	GO:0016977	NA	NA	NA	PTHR42061:SF2;PTHR42061	KEGG: 00520+3.2.1.132	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_50_length_94374_cov_35.168090-processed-gene-0.28-mRNA-1	NA	IPR002786	PF01931	NA	NA	NA	SSF52972	NA	G3DSA:3.90.950.10	PTHR34699	NA	NA	NA	NA	NA	NA	NA	MF_00648	NA	NA	NA	NA	NA	NA
snap_masked-NODE_257_length_39480_cov_35.304856-processed-gene-0.6-mRNA-1	NA	IPR014830	PF08718	NA	NA	GO:0005737;GO:0120009;GO:0120013	SSF110004	NA	G3DSA:1.10.3520.10	PTHR10219;PTHR10219:SF25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_94_length_72257_cov_35.359836-snap-gene-0.126-mRNA-1	NA	IPR013087	NA	NA	NA	GO:0003676	NA	SM00355	G3DSA:3.30.160.60	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_413_length_21819_cov_34.634197-snap-gene-0.41-mRNA-1	mobidb-lite	IPR013960	PF08651	NA	NA	GO:0000278;GO:0042729;GO:0072686	NA	NA	NA	PTHR28216	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_158_length_55356_cov_36.171196-augustus-gene-0.3-mRNA-1	NA	IPR027417	PF00071	NA	PS51420	GO:0003924;GO:0005525;GO:0005622;GO:0007264	SSF52540	SM00173;SM00175;SM00174	G3DSA:3.40.50.300	PTHR24072;PTHR24072:SF186	Reactome: R-HSA-194840	NA	NA	NA	NA	PR00449	NA	NA	NA	NA	NA	TIGR00231	NA	NA
maker-NODE_44_length_96935_cov_25.111675-snap-gene-0.95-mRNA-1	mobidb-lite	IPR018936	PF00454	NA	NA	GO:0016301;GO:0004430	NA	NA	NA	PTHR12865;PTHR12865:SF1	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352|Reactome: R-HSA-1660499|Reactome: R-HSA-1660514|Reactome: R-HSA-1660516	NA	PS00916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_48_length_96003_cov_37.663524-processed-gene-0.9-mRNA-1	mobidb-lite	IPR014752	NA	NA	NA	NA	NA	NA	G3DSA:2.60.40.640	PTHR11188;PTHR11188:SF78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_241248_cov_39.503158-processed-gene-0.18-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_110449_cov_36.295200-processed-gene-0.21-mRNA-1	mobidb-lite	IPR035186	PF17233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_61_length_87448_cov_39.348805-snap-gene-0.314-mRNA-1	NA	IPR001810	PF12937	NA	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_66_length_84628_cov_38.759151-processed-gene-0.44-mRNA-1	NA	IPR016084	NA	NA	NA		SSF48613	NA	G3DSA:1.20.910.10	PTHR41813	Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_331_length_29903_cov_34.627082-processed-gene-0.19-mRNA-1	NA	IPR038906	NA	NA	NA	NA	NA	NA	NA	PTHR21405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_238_length_41575_cov_34.644711-augustus-gene-0.3-mRNA-1	NA	IPR001680	PF00400	NA	PS50294;PS50082	GO:0005515	SSF50978	SM00320	G3DSA:2.130.10.10	PTHR18763:SF0;PTHR18763	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_206_length_45508_cov_36.845222-processed-gene-0.75-mRNA-1	NA	IPR024461	PF07798	NA	NA	NA	NA	NA	NA	PTHR14360;PTHR14360:SF1	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_221_length_43061_cov_35.045395-snap-gene-0.1-mRNA-1	NA	IPR001602	PF01894	NA	NA	NA	SSF111038	NA	G3DSA:2.60.120.460	PTHR30615;PTHR30615:SF10	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA	NA	TIGR00149	NA	NA
maker-NODE_759_length_4544_cov_26.657007-snap-gene-0.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR39460	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_116_length_65058_cov_35.206342-processed-gene-0.40-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_41_length_99902_cov_32.107001-processed-gene-0.150-mRNA-1	NA	IPR000504	PF00076	NA	NA	GO:0003676	SSF54928	NA	G3DSA:3.30.70.330	PTHR12785;PTHR12785:SF7	Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_3_length_213125_cov_36.036690-processed-gene-1.259-mRNA-1	NA	IPR007312	PF04185	NA	NA	GO:0016788;GO:0003824	NA	NA	G3DSA:3.40.720.10	PTHR31956;PTHR31956:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_237_length_41870_cov_33.024459-processed-gene-0.23-mRNA-1	NA	IPR009053	PF01920	NA	NA	GO:0006457;GO:0016272;GO:0051082	SSF46579	NA	G3DSA:1.10.287.370	PTHR13303	Reactome: R-HSA-389957	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_142_length_58255_cov_38.505522-processed-gene-0.82-mRNA-1	mobidb-lite	IPR025202	PF13091	cd00138	PS50035	GO:0003824	SSF56024	NA	G3DSA:3.30.870.10	PTHR21248	Reactome: R-HSA-1483148|Reactome: R-HSA-1483166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_64_length_86306_cov_39.345084-processed-gene-0.259-mRNA-1	NA	IPR000682	PF01135	cd02440	NA	GO:0004719;GO:0006464	SSF53335	NA	G3DSA:3.40.50.150	PTHR11579;PTHR11579:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_72_length_82137_cov_32.758554-processed-gene-0.13-mRNA-1	NA	IPR015943	NA	NA	NA	GO:0005515	SSF82171	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_68_length_83308_cov_36.269593-processed-gene-0.23-mRNA-1	NA	IPR007229	PF17767;PF04095	NA	NA	GO:0004514;GO:0009435	SSF51690;SSF54675	NA	G3DSA:3.20.140.10	PTHR11098;PTHR11098:SF1	KEGG: 00760+6.3.4.21|MetaCyc: PWY-5381|Reactome: R-HSA-197264	PIRSF000484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_476_length_16295_cov_37.032843-augustus-gene-0.24-mRNA-1	NA	IPR036928	PF01425	NA	NA	GO:0004040	SSF75304	NA	G3DSA:3.90.1300.10	PTHR11895;PTHR11895:SF44	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_394_length_23709_cov_34.978119-augustus-gene-0.2-mRNA-1	NA	IPR036291	PF01073	NA	NA	GO:0003854;GO:0006694;GO:0016616;GO:0055114	SSF51735	NA	G3DSA:3.40.50.720	PTHR10366:SF242;PTHR10366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_79483_cov_38.097964-augustus-gene-0.132-mRNA-1	NA	IPR029069	PF13622	cd03445;cd03444	NA	GO:0006637;GO:0047617	SSF54637	NA	NA	PTHR11066;PTHR11066:SF34	Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_355_length_27644_cov_31.426427-processed-gene-0.39-mRNA-1	NA	IPR013810	PF00333	NA	PS50881	GO:0003723;GO:0003735;GO:0005840;GO:0006412	SSF54768	NA	G3DSA:3.30.160.20	PTHR13718:SF61;PTHR13718	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_166_length_53865_cov_23.477762-processed-gene-0.0-mRNA-1	mobidb-lite	IPR036612	PF17903	NA	NA	GO:0003723	SSF54791	NA	G3DSA:3.30.1370.10	PTHR12826;PTHR12826:SF13	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_208_length_45317_cov_34.764815-processed-gene-0.29-mRNA-1	mobidb-lite	IPR001849	PF15406	cd00821	PS50003	NA	SSF50729	SM00233	G3DSA:2.30.29.30	PTHR42073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_457_length_18030_cov_34.884935-augustus-gene-0.18-mRNA-1	mobidb-lite	IPR032675	NA	NA	NA	NA	SSF52047	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_355_length_27644_cov_31.426427-processed-gene-0.10-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_246_length_40650_cov_35.025714-augustus-gene-0.84-mRNA-1	NA	IPR036317	PF00888;PF10557	NA	PS50069	GO:0006511;GO:0031625	SSF75632;SSF74788;SSF46785	SM00884;SM00182	G3DSA:1.20.1310.10;G3DSA:1.10.10.2620;G3DSA:1.10.10.10	PTHR11932;PTHR11932:SF126	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_320_length_30544_cov_34.139001-snap-gene-0.4-mRNA-1	mobidb-lite	IPR005606	PF03908	NA	NA		NA	NA	NA	PTHR12825;PTHR12825:SF0	Reactome: R-HSA-6811434	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_165666_cov_36.479669-processed-gene-0.87-mRNA-1	mobidb-lite	IPR011990	PF13432	NA	PS50005;PS50293	GO:0005515	SSF48452	SM00028	G3DSA:1.25.40.10	PTHR12558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_310_length_32283_cov_21.700491-augustus-gene-0.25-mRNA-1	NA	IPR002423	PF00118	cd03342	NA	GO:0005524;GO:0006457;GO:0051082	SSF48592;SSF54849;SSF52029	NA	G3DSA:3.50.7.10;G3DSA:1.10.560.10	PTHR11353;PTHR11353:SF21	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	NA	NA	NA	NA	PR00304	NA	NA	NA	NA	NA	TIGR02347	NA	NA
snap_masked-NODE_5_length_190499_cov_41.442738-processed-gene-0.264-mRNA-1	NA	IPR012312	PF01814	NA	NA		NA	NA	G3DSA:1.20.120.520	PTHR38048:SF2;PTHR38048	Reactome: R-HSA-390471|Reactome: R-HSA-8951664|Reactome: R-HSA-917937|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_111_length_68426_cov_37.661078-snap-gene-0.7-mRNA-1	mobidb-lite	IPR037393	PF09073	NA	NA	NA	NA	NA	NA	PTHR23325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_89_length_74334_cov_34.873166-processed-gene-0.99-mRNA-1	mobidb-lite	IPR038422	PF08559	NA	NA	GO:0005634;GO:0031144;GO:0071630	NA	NA	G3DSA:1.20.58.1590	PTHR28032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_323_length_30318_cov_31.024113-snap-gene-0.6-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_247_length_40606_cov_36.651869-augustus-gene-0.27-mRNA-1	mobidb-lite	NA	PF17733	NA	NA	NA	NA	NA	NA	PTHR36855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_167_length_53390_cov_35.081952-augustus-gene-0.3-mRNA-1	mobidb-lite	IPR036291	PF00106	NA	NA	GO:0016491	SSF51735	NA	G3DSA:3.40.50.720	PTHR42808:SF2;PTHR42808	NA	NA	PS00061	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_253_length_40043_cov_39.443306-snap-gene-0.87-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_41_length_99902_cov_32.107001-processed-gene-0.155-mRNA-1	mobidb-lite	IPR007149	PF04004	NA	NA	GO:0006368;GO:0016570;GO:0016593	NA	NA	NA	PTHR23146	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_394_length_23709_cov_34.978119-augustus-gene-0.3-mRNA-1	NA	IPR001353	PF00227	cd03760	PS51476	GO:0004298;GO:0005839;GO:0051603;GO:0004175	SSF56235	NA	G3DSA:3.60.20.10	PTHR11599;PTHR11599:SF5	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PIRSF001213	PS00854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_96_length_72015_cov_39.784248-protein2genome-gene-0.43-mRNA-1	NA	IPR016064	PF00781	NA	NA	GO:0016301;GO:0003951	SSF111331	NA	G3DSA:2.60.200.40;G3DSA:3.40.50.10330	PTHR12358:SF36;PTHR12358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_111880_cov_31.419201-snap-gene-0.3-mRNA-1	mobidb-lite	IPR022163	PF12471	NA	NA	NA	NA	NA	NA	PTHR21327;PTHR21327:SF16	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_526_length_12932_cov_33.928544-processed-gene-0.32-mRNA-1	NA	IPR002575	PF01636	NA	NA	NA	SSF56112	NA	G3DSA:3.90.1200.10	PTHR21310:SF8;PTHR21310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_83_length_76930_cov_36.995248-snap-gene-0.53-mRNA-1	mobidb-lite	IPR024763	PF12451;PF17122;PF00637	cd16688	PS50089;PS50236	GO:0005515;GO:0006886;GO:0016192	SSF48371;SSF50978	NA	G3DSA:1.25.40.10;G3DSA:3.30.40.10	PTHR23323;PTHR23323:SF24	NA	PIRSF007860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_123_length_63690_cov_33.893381-augustus-gene-0.151-mRNA-1	NA	IPR010530	PF06522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_108_length_69443_cov_39.214409-processed-gene-0.69-mRNA-1	NA	IPR006680	PF04909	NA	NA	GO:0016787;GO:0016831	SSF51556	NA	G3DSA:3.20.20.140	PTHR21240	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_148_length_57274_cov_39.533081-processed-gene-0.129-mRNA-1	mobidb-lite	IPR019039	PF09511;PF08302;PF08303	NA	NA	GO:0003972;GO:0005524;GO:0006388;GO:0008081;GO:0051730	SSF52540	NA	G3DSA:3.40.50.300	PTHR32004	NA	PIRSF019634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
