Gene	Gene3D	interpro	PIRSF	Pfam	CDD	MobiDBLite	GO	PATHWAY	SUPERFAMILY	TIGRFAM	ProSitePatterns	ProSiteProfiles	SMART	PRINTS	Coils	Hamap	SFLD
maker-WWCI01000001.1-snap-gene-22.40-mRNA-1	G3DSA:2.60.120.650;G3DSA:2.130.10.10;G3DSA:1.20.58.2110	IPR003347	NA	PF00400;PF13621	cd00200	mobidb-lite	GO:0005515	NA	SSF50978;SSF51197	NA	PS00678	PS51184;PS50082;PS50294	SM00320;SM00558	PR00320	Coil	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-25.32-mRNA-1	G3DSA:3.40.220.10	IPR019261	NA	PF10021	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-60.66-mRNA-1	NA	IPR018712	NA	PF09994	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-3.51-mRNA-1	G3DSA:2.40.50.140;G3DSA:3.40.50.300;G3DSA:1.10.8.60	IPR027417	NA	PF16450;PF17862;PF00004	cd00009	NA	GO:0005524;GO:0005737;GO:0016787;GO:0030163	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	SSF52540	TIGR01242	PS00674	NA	SM00382	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-24.9-mRNA-1	G3DSA:3.30.200.20;G3DSA:3.90.1200.10	IPR011009	NA	PF01633	cd05157	mobidb-lite	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-25.18-mRNA-1	G3DSA:3.40.50.720	IPR002347	NA	PF00106	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	PR00081	NA	NA	NA
maker-WWCI01000001.1-snap-gene-17.12-mRNA-1	G3DSA:3.40.190.80;G3DSA:3.30.540.10	IPR020583	NA	PF00459	cd01639	NA	GO:0046854;GO:0046855;GO:0008934	KEGG: 00521+3.1.3.25|KEGG: 00562+3.1.3.25|KEGG: 04070+3.1.3.25|MetaCyc: PWY-2301|MetaCyc: PWY-4702|MetaCyc: PWY-6363|Reactome: R-HSA-1855183	SSF56655	NA	PS00629;PS00630	NA	NA	PR00377	NA	NA	NA
maker-WWCI01000007.1-augustus-gene-12.32-mRNA-1	NA	IPR013272	NA	PF08265;PF05764	NA	mobidb-lite	GO:0005634;GO:0006338;GO:0006355;GO:0043486	Reactome: R-HSA-3214847	NA	NA	NA	NA	SM00993	NA	Coil	NA	NA
snap_masked-WWCI01000001.1-processed-gene-51.32-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-24.77-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-44.47-mRNA-1	NA	IPR029063	NA	NA	NA	NA	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-72.69-mRNA-1	G3DSA:3.60.110.10	IPR036526	NA	PF00795	cd07197	NA	GO:0006807	NA	SSF56317	NA	NA	PS50263	NA	NA	NA	NA	NA
maker-WWCI01000001.1-augustus-gene-4.80-mRNA-1	NA	IPR013940	NA	PF08631	NA	NA	GO:0051321;GO:0005515	NA	SSF48452	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-12.61-mRNA-1	NA	IPR009914	NA	PF07297	NA	NA	GO:0019348;GO:0030176;GO:0030234	Reactome: R-HSA-162699|Reactome: R-HSA-162710|Reactome: R-HSA-4717374|Reactome: R-HSA-4719360|Reactome: R-HSA-4719377	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-3.14-mRNA-1	G3DSA:1.20.1250.20	IPR011701	NA	PF07690	cd17323	mobidb-lite	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-34.13-mRNA-1	G3DSA:3.30.60.180;G3DSA:2.170.270.10;G3DSA:3.30.70.3410	IPR001214	NA	PF01753;PF00856	NA	NA	GO:0005515	NA	SSF82199;SSF144232	NA	PS01360	PS50280;PS50865	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-18.11-mRNA-1	G3DSA:3.40.1210.10;G3DSA:3.30.470.20	IPR004344	NA	PF03133;PF01975	NA	mobidb-lite	GO:0006464;GO:0016787	Reactome: R-HSA-8955332	SSF64167;SSF56059	TIGR00087	NA	PS51221	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-34.83-mRNA-1	G3DSA:2.60.120.260;G3DSA:2.60.40.10;G3DSA:3.20.20.80	IPR006103	NA	PF02836;PF00703;PF02837	NA	NA	GO:0004553;GO:0005975	Reactome: R-HSA-6798695	SSF49785;SSF51445;SSF49303	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-6.1-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-44.38-mRNA-1	G3DSA:3.30.429.10	IPR014347	NA	PF14832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-8.34-mRNA-1	NA	IPR009939	NA	PF07335	NA	NA	GO:0016977	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000005.1-processed-gene-1.78-mRNA-1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-44.24-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-47.65-mRNA-1	NA	IPR007632	NA	PF04547	NA	NA		Reactome: R-HSA-2672351	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-10.81-mRNA-1	G3DSA:2.20.70.10	IPR001202	NA	PF00397	cd00201	mobidb-lite	GO:0005515	NA	SSF51045	NA	PS01159	PS50020	SM00456	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-33.81-mRNA-1	G3DSA:2.70.160.11;G3DSA:3.40.50.150	IPR025799	NA	PF06325	cd02440	NA	GO:0006479;GO:0008168	NA	SSF53335	NA	NA	PS51678	NA	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-21.61-mRNA-1	G3DSA:2.30.29.90	IPR019160	NA	PF09763;PF15277	cd13315	mobidb-lite	GO:0000145;GO:0006887	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	SM01313	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-3.68-mRNA-1	G3DSA:3.90.550.50	IPR003378	NA	PF02434	NA	mobidb-lite	GO:0016020;GO:0016757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-augustus-gene-5.46-mRNA-1	G3DSA:3.30.200.60;G3DSA:1.20.1300.20	IPR042468	NA	PF10275	NA	mobidb-lite		Reactome: R-HSA-5689896	SSF54001	NA	NA	PS50802	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-2.64-mRNA-1	G3DSA:3.10.20.90	IPR019413	NA	PF10302;PF13373	NA	mobidb-lite	NA	NA	SSF54236	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-16.66-mRNA-1	NA	IPR004147	NA	PF03109	cd13971	NA	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-32.22-mRNA-1	G3DSA:3.40.50.10420	IPR024185	NA	PF01812	NA	NA	NA	NA	SSF100950	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-15.11-mRNA-1	G3DSA:1.20.1250.20	IPR011701	NA	PF07690	cd06178	NA	GO:0055085	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-65.0-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.10.20.140	IPR030666	PIRSF039110	PF01715	NA	mobidb-lite	GO:0005524;GO:0008033;GO:0052381	KEGG: 00908+2.5.1.75|MetaCyc: PWY-2781|Reactome: R-HSA-6782315|Reactome: R-HSA-6787450	SSF52540;SSF57667	TIGR00174	NA	NA	NA	NA	NA	MF_00185	NA
augustus_masked-WWCI01000002.1-processed-gene-32.75-mRNA-1	G3DSA:4.10.1000.10	IPR000571	NA	PF18044;PF00642	NA	mobidb-lite	GO:0046872	NA	SSF90229	NA	NA	PS50103	SM00356	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-40.69-mRNA-1	G3DSA:3.10.20.90;G3DSA:3.90.70.80	IPR003323	NA	PF02338	cd17059	NA	NA	NA	SSF54001	NA	NA	PS50802	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-26.4-mRNA-1	G3DSA:3.40.140.10	IPR037518	NA	PF01398	cd08065	NA	GO:0005515;GO:0003743;GO:0005737;GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	PS50249	SM00232	NA	NA	MF_03007	NA
augustus_masked-WWCI01000003.1-processed-gene-21.75-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.10.1780.10	IPR041546	NA	PF17871;PF02861;PF10431;PF00004;PF07724	cd00009	NA	GO:0019538;GO:0005524	NA	SSF52540;SSF81923	NA	PS00870;PS00871	NA	SM01086;SM00382	PR00300	Coil	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-4.24-mRNA-1	G3DSA:1.20.1740.10	IPR002293	PIRSF006060	PF13520	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-41.25-mRNA-1	G3DSA:3.40.50.150	IPR025714	NA	PF13847	cd02440	NA	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-47.52-mRNA-1	G3DSA:1.10.405.10;G3DSA:3.50.50.60;G3DSA:3.30.519.10	IPR036188	PIRSF037514	PF00996	NA	NA	GO:0005092;GO:0007264	Reactome: R-HSA-8876198	SSF51905	NA	NA	NA	NA	PR00891	NA	NA	NA
maker-WWCI01000005.1-snap-gene-12.20-mRNA-1	G3DSA:3.30.450.20	IPR000014	NA	PF13426	cd00130	NA	NA	NA	SSF55785	TIGR00229	NA	PS50112	NA	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-1.43-mRNA-1	G3DSA:3.20.20.80	IPR017853	NA	NA	NA	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-32.38-mRNA-1	G3DSA:3.50.50.60;G3DSA:3.30.9.50;G3DSA:3.40.30.20	IPR036188	NA	PF07976;PF01494	cd02979	mobidb-lite	GO:0071949	NA	SSF51905;SSF54373;SSF52833	NA	NA	NA	NA	PR00420	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-61.45-mRNA-1	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	IPR013328	NA	PF01232;PF08125	NA	NA	GO:0016491;GO:0055114;GO:0003824;GO:0008926;GO:0019594;GO:0050662	KEGG: 00051+1.1.1.17|MetaCyc: PWY-6531	SSF51735;SSF48179	NA	NA	NA	NA	PR00084	NA	MF_00196	NA
maker-WWCI01000004.1-snap-gene-37.14-mRNA-1	G3DSA:3.40.30.10	IPR008554	NA	PF05768	NA	NA	NA	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-30.55-mRNA-1	G3DSA:1.10.20.10;G3DSA:1.20.920.10	IPR018359	NA	PF07524;PF00439	cd05510	mobidb-lite	GO:0005515;GO:0046982	NA	SSF47370	NA	PS00633	PS50014	SM00297	PR00503	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-13.11-mRNA-1	NA	IPR025952	NA	PF13902	NA	mobidb-lite	GO:0003676	NA	SSF82708	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000007.1-snap-gene-27.17-mRNA-1	G3DSA:2.40.50.990;G3DSA:1.25.10.10;G3DSA:3.40.50.300;G3DSA:1.20.1390.20	IPR003439	NA	PF00005;PF17947	cd03221;cd18626	mobidb-lite	GO:0005524;GO:0016887	NA	SSF52540;SSF48371	NA	PS00211	PS50893;PS50077	SM00382;SM01349	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-30.53-mRNA-1	G3DSA:3.30.160.20	IPR000352	NA	PF00472	NA	mobidb-lite	GO:0003747;GO:0006415	NA	SSF110916	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-7.50-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172	cd00067;cd12148	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	SSF57701	NA	PS00463	PS50048	SM00906;SM00066	NA	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-29.0-mRNA-1	G3DSA:2.60.40.420	IPR008972	NA	PF07731;PF07732;PF00394	cd13910;cd13886;cd13857	mobidb-lite	GO:0005507;GO:0016491;GO:0055114	NA	SSF49503	NA	PS00079;PS00080	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-29.6-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-15.5-mRNA-1	G3DSA:2.40.70.10	IPR021109	NA	PF00026	cd05471	mobidb-lite	GO:0004190;GO:0006508	NA	SSF50630	NA	NA	PS51767	NA	PR00792	NA	NA	NA
maker-WWCI01000004.1-snap-gene-23.19-mRNA-1	G3DSA:3.30.70.1180;G3DSA:3.30.70.100;G3DSA:1.20.1460.10	IPR004907	NA	PF03223	cd14785	NA	GO:0015078;GO:0033180;GO:1902600	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	SSF118203	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-24.86-mRNA-1	G3DSA:3.40.250.10	IPR036873	NA	PF00581	cd01443	NA	NA	NA	SSF52821	NA	NA	PS50206	SM00450	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-6.31-mRNA-1	NA	IPR021833	NA	PF11905	cd14688	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-36.50-mRNA-1	G3DSA:3.40.50.1820	IPR000073	NA	PF00561	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	PR00111	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-3.52-mRNA-1	G3DSA:3.40.250.10	IPR001763	NA	PF00102;PF00581	cd18533;cd01446	mobidb-lite	GO:0004725;GO:0016311;GO:0006470;GO:0016791	NA	SSF52799;SSF52821	NA	PS00383	PS50206;PS50055;PS50056	SM00404;SM00450;SM00194	PR00700	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-37.37-mRNA-1	G3DSA:3.40.50.300	IPR027417	NA	PF14027;PF03215	NA	mobidb-lite	GO:0016491	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-29.49-mRNA-1	NA	IPR008426	NA	PF05837	NA	NA	GO:0000776;GO:0051382	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-19.70-mRNA-1	G3DSA:1.50.40.10	IPR023395	NA	PF00153	NA	mobidb-lite	NA	NA	SSF103506	NA	NA	PS50920	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-20.50-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-19.10-mRNA-1	G3DSA:1.20.58.280;G3DSA:1.10.510.10	IPR000719	NA	PF12063;PF00069	cd14009	mobidb-lite	GO:0004672;GO:0005524;GO:0006468;GO:0004674	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	SSF56112	NA	PS00107;PS00108	PS50011	SM00220	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-45.79-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-28.106-mRNA-1	G3DSA:2.40.37.10;G3DSA:3.20.20.10	IPR009006	NA	PF02784;PF00278	cd00622	NA	GO:0003824;GO:0006596	NA	SSF51419;SSF50621	NA	PS00878;PS00879	NA	NA	PR01179;PR01182	NA	NA	NA
snap_masked-WWCI01000003.1-processed-gene-4.21-mRNA-1	G3DSA:1.25.40.10;G3DSA:3.40.50.300	IPR011990	NA	PF00931;PF13424	NA	NA	GO:0005515;GO:0043531	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	SSF48452;SSF52540	NA	NA	PS50005;PS50293	SM00028	NA	Coil	NA	NA
maker-WWCI01000003.1-augustus-gene-29.0-mRNA-1	G3DSA:1.25.40.10;G3DSA:3.40.50.300	IPR011990	NA	PF13374;PF13424;PF00931	NA	NA	GO:0005515;GO:0043531	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	SSF52540;SSF48452	NA	NA	PS50293	SM00028	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-30.69-mRNA-1	NA	IPR022257	NA	PF12621;PF13967;PF02714;PF14703	NA	mobidb-lite	GO:0016020	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000006.1-processed-gene-61.22-mRNA-1	G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.50.12780	IPR009081	NA	PF07993;PF00501	cd05911;cd04433	NA	GO:0003824	Reactome: R-HSA-9640463	SSF47336;SSF56801;SSF51735	NA	PS00455	PS50075	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-59.16-mRNA-1	G3DSA:1.10.630.10	IPR036396	NA	PF00067	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	SSF48264	NA	PS00086	NA	NA	PR00385;PR00463	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-10.65-mRNA-1	G3DSA:1.20.1250.20	IPR011701	NA	PF07690	cd17476	mobidb-lite	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-8.2-mRNA-1	G3DSA:3.50.50.60	IPR036188	NA	PF01494	NA	NA	GO:0071949	NA	SSF51905	NA	NA	NA	NA	PR00420	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-21.75-mRNA-1	NA	IPR005828	NA	PF00083	cd17364	mobidb-lite	GO:0016021;GO:0022857;GO:0055085;GO:0005315;GO:0006817	NA	SSF103473	TIGR00887	PS00217	PS50850	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-48.15-mRNA-1	G3DSA:3.30.70.330	IPR012677	NA	PF00076	cd12335;cd12334	mobidb-lite	GO:0003676	Reactome: R-HSA-72163|Reactome: R-HSA-72165	SSF54928	NA	NA	PS50102	SM00360	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-18.25-mRNA-1	G3DSA:1.20.1050.120;G3DSA:3.10.129.10;G3DSA:3.30.70.2430;G3DSA:3.30.70.3320;G3DSA:3.40.366.10;G3DSA:1.20.930.70;G3DSA:3.10.129.50;G3DSA:3.30.1120.100;G3DSA:3.20.20.70;G3DSA:1.10.110.40	IPR016035	PIRSF005562	PF17951;PF17828;PF13452;PF16073;PF00698;PF08354;PF01575	cd03447	mobidb-lite	GO:0004318;GO:0055114;GO:0016740;GO:0004312;GO:0005835;GO:0006633;GO:0003824	KEGG: 00061+2.3.1.39+4.2.1.59+1.3.1.9+3.1.2.14|KEGG: 00780+4.2.1.59|MetaCyc: PWY-4381|MetaCyc: PWY-5142|MetaCyc: PWY-5147|MetaCyc: PWY-5366|MetaCyc: PWY-5367|MetaCyc: PWY-5966|MetaCyc: PWY-5971|MetaCyc: PWY-5973|MetaCyc: PWY-5989|MetaCyc: PWY-5994|MetaCyc: PWY-6113|MetaCyc: PWY-6282|MetaCyc: PWY-6519|MetaCyc: PWY-6799|MetaCyc: PWY-7388|MetaCyc: PWY-7663|MetaCyc: PWY-7664|MetaCyc: PWY-7723|MetaCyc: PWY-7746|MetaCyc: PWY-7858|MetaCyc: PWY-8012|MetaCyc: PWY-8047|MetaCyc: PWY-8049|MetaCyc: PWYG-321	SSF52151;SSF54637	NA	NA	NA	SM00827	PR01483	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-34.57-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000001.1-augustus-gene-11.71-mRNA-1	NA	IPR002523	NA	PF01544	NA	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000006.1-augustus-gene-31.38-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-24.76-mRNA-1	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	IPR015422	PIRSF017617	PF01212	cd06502	NA	GO:0003824;GO:0006520;GO:0016829	Reactome: R-HSA-6783984	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-46.73-mRNA-1	G3DSA:3.40.50.720	IPR002347	NA	PF00106	cd05325	NA	NA	NA	SSF51735	NA	NA	NA	NA	PR00081	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-46.6-mRNA-1	G3DSA:3.90.550.10;G3DSA:3.30.420.10;G3DSA:3.40.50.2300	IPR029044	NA	PF16486;PF02171;PF16488;PF08699;PF02170	cd04657;cd02846	mobidb-lite	GO:0005515;GO:0003676	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-8986944|Reactome: R-HSA-9018519|Reactome: R-HSA-9022692|Reactome: R-HSA-9029569	SSF53448;SSF53098;SSF101690	NA	NA	PS50821;PS50822	SM01163;SM00950	NA	Coil	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-14.53-mRNA-1	G3DSA:2.60.40.420	IPR008972	NA	NA	cd00920	mobidb-lite	NA	NA	SSF49503	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-snap-gene-10.23-mRNA-1	G3DSA:3.40.50.720	IPR002347	NA	PF13561	NA	NA	GO:0016491	NA	SSF51735	NA	PS00061	NA	SM00822	PR00081;PR00080	NA	NA	NA
maker-WWCI01000007.1-snap-gene-5.73-mRNA-1	G3DSA:3.40.50.10190	IPR036420	NA	PF12738	cd17731;cd18433;cd17740;cd17723	mobidb-lite	NA	NA	SSF52113	NA	NA	PS50172	SM00292	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-14.19-mRNA-1	G3DSA:2.60.40.1210	IPR015920	NA	PF03188;PF16010	cd09630;cd08760	mobidb-lite	NA	NA	SSF49344	NA	NA	NA	SM00665	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-33.7-mRNA-1	G3DSA:3.30.1330.40	IPR035959	NA	PF01042	cd06154	NA		Reactome: R-HSA-8849175	SSF55298	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-47.11-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-snap-gene-63.38-mRNA-1	G3DSA:3.10.129.110;G3DSA:3.40.50.150;G3DSA:3.40.50.720;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.90.180.10;G3DSA:3.30.70.250;G3DSA:1.10.1200.10;G3DSA:3.40.47.10	IPR032821	NA	PF16197;PF00550;PF14765;PF02801;PF08242;PF08659;PF13602;PF00109;PF00698;PF08240	cd02440;cd00833;cd05195	NA	GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	SSF47336;SSF55048;SSF53901;SSF51735;SSF50129;SSF52151;SSF53335	NA	PS00012	NA	SM00823;SM00827;SM00822;SM00829;SM00825;SM00826	NA	NA	NA	NA
