Gene	MobiDBLite	Phobius	interpro	Pfam	TMHMM	PANTHER	GO	Coils	Gene3D	CDD	PATHWAY	SUPERFAMILY	ProSiteProfiles	SFLD	PRINTS	TIGRFAM	ProSitePatterns	SMART	PIRSF	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom
maker-scaffold111-snap-gene-0.38-mRNA-1	NA	NA	IPR008949	NA	NA	NA	NA	NA	G3DSA:1.10.600.10	NA	NA	SSF48576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold191-snap-gene-0.113-mRNA-1	mobidb-lite	NA	IPR000873	PF00501	NA	PTHR43272;PTHR43272:SF17	GO:0003824	NA	G3DSA:3.40.50.12780	NA	NA	SSF56801	NA	NA	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA
maker-scaffold230-augustus-gene-0.79-mRNA-1	mobidb-lite	NA	IPR031838	PF16803;PF05093	NA	PTHR13273	GO:0005737;GO:0016226;GO:0051536	Coil	NA	NA	Reactome: R-HSA-2564830	NA	NA	NA	NA	NA	NA	NA	NA	MF_03115	NA	NA	NA	NA
augustus_masked-scaffold29-processed-gene-0.108-mRNA-1	NA	NA	IPR006813	PF04724	NA	PTHR12224:SF0;PTHR12224	GO:0003830;GO:0006487;GO:0016020	NA	NA	NA	KEGG: 00510+2.4.1.144|MetaCyc: PWY-7426|Reactome: R-HSA-975574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold58-processed-gene-0.251-mRNA-1	NA	NA	IPR008271	PF00069	NA	PTHR24056;PTHR24056:SF185	GO:0004672;GO:0006468;GO:0005524	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd07835	NA	SSF56112	PS50011	NA	NA	NA	PS00108;PS00107	SM00220	PIRSF000654	NA	NA	NA	NA	NA
augustus_masked-scaffold4-processed-gene-2.438-mRNA-1	NA	NA	IPR036812	PF00248	NA	PTHR43625:SF19;PTHR43625	NA	NA	G3DSA:3.20.20.100	cd06660	NA	SSF51430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold41-snap-gene-0.94-mRNA-1	NA	NA	IPR010920	PF01423	NA	PTHR10553;PTHR10553:SF2	GO:0000387;GO:0005681	NA	G3DSA:2.30.30.100	cd01719	NA	SSF50182	NA	NA	NA	NA	NA	SM00651	PIRSF037188	NA	NA	NA	NA	NA
snap_masked-scaffold94-processed-gene-0.198-mRNA-1	mobidb-lite	NA	IPR028094	PF14474	NA	PTHR41391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM01312	NA	NA	NA	NA	NA	NA
maker-scaffold241-protein2genome-gene-0.51-mRNA-1	NA	NA	IPR000719	PF17667	NA	PTHR38248	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:1.10.510.10	NA	NA	SSF56112	PS50011	NA	NA	NA	PS00109	NA	NA	NA	NA	NA	NA	NA
maker-scaffold121-augustus-gene-0.117-mRNA-1	mobidb-lite	NA	IPR029058	PF12697	NA	PTHR11614:SF113;PTHR11614	NA	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold22-processed-gene-0.36-mRNA-1	NA	NA	IPR015797	PF00293	NA	PTHR12992:SF12;PTHR12992	GO:0016787	NA	NA	NA	Reactome: R-HSA-2393930	SSF55811	PS51462	NA	PR00502	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold172-augustus-gene-0.128-mRNA-1	mobidb-lite	NA	IPR012677	NA	NA	NA	NA	NA	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold92-augustus-gene-0.7-mRNA-1	NA	NA	IPR013255	PF08234	NA	PTHR14281:SF0;PTHR14281		Coil	G3DSA:3.30.457.50	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold217-processed-gene-0.76-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold345-processed-gene-0.11-mRNA-1	mobidb-lite	NA	IPR037830	NA	NA	PTHR22705:SF0;PTHR22705		NA	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold23-augustus-gene-0.469-mRNA-1	mobidb-lite	NA	IPR013957	PF08648	NA	PTHR31077	GO:0008380	NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold269-snap-gene-0.14-mRNA-1	NA	NA	IPR000182	PF00583	NA	PTHR13355;PTHR13355:SF11	GO:0004343;GO:0006048	NA	G3DSA:3.40.630.30	cd04301	Reactome: R-HSA-446210	SSF55729	PS51186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold34-processed-gene-0.176-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold9-processed-gene-1.24-mRNA-1	mobidb-lite	NA	IPR016589	PF01974	NA	PTHR21227	GO:0000213;GO:0000214;GO:0006388;GO:0003676;GO:0004518	Coil	G3DSA:3.40.1350.10	NA	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	SSF53032	NA	NA	NA	NA	NA	NA	PIRSF011789	NA	NA	NA	NA	NA
maker-scaffold51-snap-gene-0.20-mRNA-1	NA	NA	IPR007535	PF04444;PF00775	NA	PTHR33711;PTHR33711:SF4	GO:0005506;GO:0009712;GO:0018576;GO:0055114;GO:0003824;GO:0006725;GO:0008199;GO:0016702	NA	G3DSA:2.60.130.10	cd03461	NA	SSF49482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold97-snap-gene-0.79-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold41-processed-gene-0.285-mRNA-1	mobidb-lite	NA	IPR008271	PF00069	NA	PTHR24056;PTHR24056:SF0	GO:0004672;GO:0006468;GO:0005524;GO:0005675;GO:0008353;GO:0070985	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd07841	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6807505|Reactome: R-HSA-69202|Reactome: R-HSA-69231|Reactome: R-HSA-69273|Reactome: R-HSA-69656|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8939236	SSF56112	PS50011	NA	NA	NA	PS00108;PS00107	SM00220	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold229-processed-gene-0.26-mRNA-1	mobidb-lite	NA	IPR024660	PF11701	NA	PTHR22904:SF490;PTHR22904	NA	NA	G3DSA:1.25.10.10	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold684-processed-gene-0.0-mRNA-1	NA	NA	IPR036779	NA	NA	PTHR34997	NA	NA	G3DSA:3.10.350.10	cd00118	NA	SSF54106	PS51782	NA	NA	NA	NA	SM00257	NA	NA	NA	NA	NA	NA
maker-scaffold58-snap-gene-0.28-mRNA-1	NA	NA	IPR036322	PF12894	NA	PTHR14107:SF16;PTHR14107	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	SSF50978	NA	NA	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA
maker-scaffold234-augustus-gene-0.53-mRNA-1	NA	NA	IPR023606	PF02515	NA	PTHR43949;PTHR43949:SF6	GO:0003824	NA	G3DSA:3.40.50.10540;G3DSA:3.30.1540.10	NA	NA	SSF89796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold66-processed-gene-0.267-mRNA-1	mobidb-lite	NA	NA	PF15365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold165-snap-gene-0.9-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE	IPR015943	NA	NA	PTHR11227;PTHR11227:SF17	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	SSF50978	NA	NA	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA
maker-scaffold14-augustus-gene-1.56-mRNA-1	NA	NA	IPR021665	PF11635	NA	PTHR13224	GO:0016592	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold194-processed-gene-0.17-mRNA-1	mobidb-lite	NA	IPR029033	NA	NA	NA	NA	NA	NA	NA	NA	SSF53254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold10-snap-gene-0.243-mRNA-1	NA	NA	IPR003680	PF02525	NA	PTHR30546:SF20;PTHR30546	GO:0003955;GO:0010181	NA	G3DSA:3.40.50.360	NA	KEGG: 00130+1.6.5.2|MetaCyc: PWY-7731|MetaCyc: PWY-7999	SSF52218	PS50902	NA	NA	TIGR01755	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold21-processed-gene-0.90-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold79-processed-gene-0.33-mRNA-1	NA	NA	IPR002347	PF13561	NA	PTHR43296;PTHR43296:SF3	NA	NA	G3DSA:3.40.50.720	cd05369	NA	SSF51735	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold230-augustus-gene-0.78-mRNA-1	NA	NA	IPR036282	PF13417	NA	NA	GO:0005515	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.110	cd00570	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold41-processed-gene-0.294-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR024382	PF12955	TMhelix	PTHR36853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold29-processed-gene-0.61-mRNA-1	NA	NA	IPR023375	NA	NA	PTHR40518		NA	G3DSA:2.40.400.10	NA	KEGG: 00072+4.1.1.4|KEGG: 00640+4.1.1.4|MetaCyc: PWY-5451|MetaCyc: PWY-6588|MetaCyc: PWY-6876|MetaCyc: PWY-7466	SSF160104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold41-snap-gene-0.90-mRNA-1	mobidb-lite	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	IPR005595	PF03896	TMhelix	PTHR12924	GO:0005789	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
augustus_masked-scaffold164-processed-gene-0.156-mRNA-1	NA	NA	IPR027417	PF10609	NA	PTHR23264;PTHR23264:SF19	GO:0016226;GO:0051536;GO:0051539	NA	G3DSA:3.40.50.300	cd02037	Reactome: R-HSA-2564830	SSF52540	NA	NA	NA	NA	NA	NA	NA	MF_03038;MF_02040	NA	NA	NA	NA
snap_masked-scaffold56-processed-gene-0.14-mRNA-1	mobidb-lite	NA	IPR008011	PF05347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold3-processed-gene-1.164-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR34414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold3-snap-gene-2.355-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR002994	PF02104	TMhelix	PTHR23427:SF2;PTHR23427	GO:0016020	NA	NA	cd06662	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	PS50895	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-scaffold23-snap-gene-0.419-mRNA-1	mobidb-lite	NA	IPR036291	PF01370	NA	PTHR12126;PTHR12126:SF1	GO:0003824;GO:0050662	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold39-augustus-gene-0.321-mRNA-1	mobidb-lite	NA	IPR008426	PF05837	NA	PTHR42116	GO:0000776;GO:0051382	Coil	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold224-processed-gene-0.137-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-scaffold136-augustus-gene-0.6-mRNA-1	mobidb-lite	NA	IPR000594	PF00899	NA	PTHR10953:SF162;PTHR10953	GO:0008641	NA	G3DSA:3.40.50.720	cd01492	NA	SSF69572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold77-processed-gene-0.26-mRNA-1	mobidb-lite	NA	IPR029052	PF00149	NA	PTHR12905:SF11;PTHR12905	GO:0016787	NA	G3DSA:3.60.21.10	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold81-processed-gene-0.129-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold115-processed-gene-0.26-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	IPR010729	PF06984	NA	PTHR21183	GO:0003735;GO:0005761;GO:0006412	NA	G3DSA:1.20.1280.190	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-scaffold283-processed-gene-0.18-mRNA-1	mobidb-lite	NA	IPR009401	PF06333;PF11597	NA	PTHR10791:SF30;PTHR10791	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold175-processed-gene-0.44-mRNA-1	NA	NA	IPR005135	PF03372	NA	PTHR12121:SF36;PTHR12121	NA	NA	G3DSA:3.60.10.10	cd09083	NA	SSF56219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold261-snap-gene-0.48-mRNA-1	NA	NA	IPR005336	PF03650	NA	PTHR14154;PTHR14154:SF3	GO:0005743;GO:0006850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold9-processed-gene-0.62-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold66-protein2genome-gene-0.129-mRNA-1	mobidb-lite	NA	IPR018608	PF09729	NA	PTHR28027;PTHR28027:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold96-processed-gene-0.270-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	IPR026569	PF00830	NA	PTHR13528;PTHR13528:SF2	GO:0003735	NA	G3DSA:2.30.170.40	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	SSF143800	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-scaffold10-processed-gene-1.467-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
snap_masked-scaffold91-processed-gene-0.160-mRNA-1	NA	NA	IPR019770	PF01652	NA	PTHR11960:SF8;PTHR11960	GO:0003723;GO:0003743;GO:0005737;GO:0006413	NA	G3DSA:3.30.760.10	NA	NA	SSF55418	NA	NA	NA	NA	PS00813	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold344-processed-gene-0.5-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold41-snap-gene-0.82-mRNA-1	NA	NA	IPR011990	PF14559	NA	PTHR12760	GO:0005515	NA	NA	NA	NA	SSF48452	PS50293;PS50005	NA	NA	NA	NA	SM00028	NA	NA	NA	NA	NA	NA
snap_masked-scaffold4-processed-gene-2.102-mRNA-1	NA	NA	IPR009215	PF09370	NA	PTHR45568:SF2;PTHR45568	GO:0003824	NA	G3DSA:3.20.20.70	NA	NA	SSF51621	NA	NA	NA	NA	NA	NA	PIRSF034452	NA	NA	NA	NA	NA
maker-scaffold39-snap-gene-0.205-mRNA-1	mobidb-lite	NA	IPR013907	PF08598	NA	PTHR21964;PTHR21964:SF25	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	SM01401	NA	NA	NA	NA	NA	NA
snap_masked-scaffold78-processed-gene-0.64-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR038659	PF01786	TMhelix	PTHR31803:SF3;PTHR31803	GO:0009916;GO:0055114	NA	G3DSA:1.20.1260.140	cd01053	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005229	NA	NA	NA	NA	NA
maker-scaffold25-augustus-gene-0.48-mRNA-1	NA	NA	IPR029058	PF03959	NA	PTHR22778;PTHR22778:SF0	NA	NA	G3DSA:3.40.50.1820	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold42-snap-gene-0.39-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold183-snap-gene-0.116-mRNA-1	NA	NA	IPR002677	PF01783	NA	PTHR21026	GO:0003735;GO:0006412;GO:0015934	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	SSF57829	NA	NA	NA	TIGR01031	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold292-processed-gene-0.19-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	IPR026591	PF02146	NA	PTHR43688	GO:0070403	NA	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10	NA	NA	SSF52467	PS50305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold24-snap-gene-0.304-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR35392;PTHR35392:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold201-processed-gene-0.15-mRNA-1	NA	NA	IPR000719	PF00069	NA	PTHR24056	GO:0004672;GO:0005524;GO:0006468	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	SSF56112	PS50011	NA	NA	NA	NA	SM00220	NA	NA	NA	NA	NA	NA
maker-scaffold270-augustus-gene-0.18-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR020999	PF12273	TMhelix	PTHR28187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold207-snap-gene-0.58-mRNA-1	NA	NA	IPR032790	PF06202;PF14701;PF14699;PF14702	NA	PTHR10569	GO:0003824;GO:0004134;GO:0004135;GO:0005978;GO:0005980	NA	G3DSA:3.20.20.80	cd11327	KEGG: 00500+2.4.1.25|MetaCyc: PWY-5941|MetaCyc: PWY-6724|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-6798695|Reactome: R-HSA-70221	SSF48208;SSF51445	NA	NA	NA	TIGR01531	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold109-augustus-gene-0.61-mRNA-1	mobidb-lite	NA	IPR037650	NA	NA	PTHR28028	GO:0003729;GO:0042273	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold35-processed-gene-0.34-mRNA-1	NA	NA	IPR008704	PF05551	NA	NA	NA	NA	G3DSA:3.90.75.10	NA	NA	SSF54060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold209-snap-gene-0.5-mRNA-1	mobidb-lite	NA	IPR000554	PF01251	NA	PTHR11278:SF0;PTHR11278	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	PS00948	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold28-processed-gene-0.9-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
augustus_masked-scaffold256-processed-gene-0.31-mRNA-1	mobidb-lite	NA	IPR013241	PF08228	NA	PTHR28272	GO:0006364;GO:0008033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold3-snap-gene-1.142-mRNA-1	mobidb-lite	NA	IPR036691	PF03372	NA	PTHR22748:SF4;PTHR22748	GO:0003677;GO:0004519;GO:0005622;GO:0006281;GO:0004518	NA	G3DSA:3.60.10.10	NA	Reactome: R-HSA-110357|Reactome: R-HSA-110362|Reactome: R-HSA-110373|Reactome: R-HSA-5651801|Reactome: R-HSA-73930|Reactome: R-HSA-73933	SSF56219	PS51435	NA	NA	NA	PS00726;PS00728	NA	NA	NA	NA	NA	NA	NA
maker-scaffold283-snap-gene-0.1-mRNA-1	mobidb-lite	NA	IPR004136	PF03060	NA	PTHR32332:SF28;PTHR32332	GO:0018580;GO:0055114;GO:0003824	NA	G3DSA:3.20.20.70	cd04730	NA	SSF51412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold6-augustus-gene-0.185-mRNA-1	NA	NA	IPR016135	PF00179	NA	PTHR24067:SF3;PTHR24067		NA	G3DSA:3.10.110.10	cd00195	MetaCyc: PWY-7511|Reactome: R-HSA-983168	SSF54495	PS50127	NA	NA	NA	PS00183	SM00212	NA	NA	NA	NA	NA	NA
maker-scaffold38-augustus-gene-0.4-mRNA-1	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR036636	PF02935	TMhelix	PTHR13313	GO:0004129	NA	G3DSA:4.10.49.10	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	SSF81427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold62-processed-gene-0.33-mRNA-1	mobidb-lite	NA	IPR027312	PF08158;PF05285	NA	PTHR12730	GO:0000055;GO:0030036;GO:0042273	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold195-processed-gene-0.77-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold168-snap-gene-0.23-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
