Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
snap_masked-RZGP01000002.1-processed-gene-49.188-mRNA-1	IPR001841	SSF57850	PTHR22937;PTHR22937:SF95	G3DSA:3.30.40.10	PS50089	NA	NA	NA	PF13639	NA	NA	NA	NA	NA	mobidb-lite	SM00184	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-10.42-mRNA-1	IPR040165	SSF56176	PTHR10801;PTHR10801:SF3	G3DSA:3.30.465.10	PS51387	GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	NA	PF01565	NA	KEGG: 00100+1.3.1.72|Reactome: R-HSA-6807047|Reactome: R-HSA-6807062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-27.191-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-51.6-mRNA-1	IPR007219	SSF57701	PTHR31313;PTHR31313:SF4	G3DSA:4.10.240.10	PS50048	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	cd12148;cd00067	PF04082;PF00172	PS00463	NA	NA	NA	NA	mobidb-lite	SM00066	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-7.77-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-49.12-mRNA-1	IPR021109	SSF50630	PTHR13683:SF416;PTHR13683	G3DSA:2.40.70.10	PS51767	GO:0004190;GO:0006508	NA	NA	PF00026	PS00141	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	PR00792	NA	NA
snap_masked-RZGP01000002.1-processed-gene-41.223-mRNA-1	IPR012340	SSF50249	PTHR10744:SF1;PTHR10744	G3DSA:2.40.50.140	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	PF00366	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PD001295
maker-RZGP01000006.1-snap-gene-43.62-mRNA-1	IPR029058	SSF53474	PTHR42654:SF1;PTHR42654	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-39.144-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000004.1-snap-gene-6.41-mRNA-1	IPR008030	SSF51735	PTHR42748;PTHR42748:SF15	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA		NA	cd05251	PF05368	NA	Reactome: R-HSA-70635	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-29.23-mRNA-1	IPR034444	NA	PTHR42100	NA	NA	GO:0005739;GO:0055114	NA	NA	NA	NA	KEGG: 00190+1.6.99.3	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-18.8-mRNA-1	IPR001138	SSF57701;SSF57667	PTHR40626	G3DSA:3.30.160.60;G3DSA:4.10.240.10	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	cd12148;cd00067	PF04082;PF00172	PS00463	NA	NA	NA	NA	mobidb-lite	SM00066	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-37.175-mRNA-1	IPR029062	SSF52317	PTHR43130:SF1;PTHR43130	G3DSA:3.40.50.880	NA		NA	cd03139	PF01965	NA	Reactome: R-HSA-3899300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000006.1-processed-gene-12.3-mRNA-1	IPR009305	NA	PTHR28026:SF4;PTHR28026	NA	NA	NA	NA	NA	PF06127	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000001.1-processed-gene-4.27-mRNA-1	IPR013083	SSF57850	PTHR11685:SF217;PTHR11685	G3DSA:3.30.40.10	PS50089	GO:0004842;GO:0016567	NA	NA	PF01485	NA	NA	NA	NA	Coil	NA	SM00647	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-0.12-mRNA-1	IPR007219	NA	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-17.19-mRNA-1	IPR001841	SSF57850	PTHR12683;PTHR12683:SF13	G3DSA:3.30.40.10	PS50089	GO:0005675;GO:0006289;GO:0045737;GO:0061575	NA	NA	PF17121;PF06391	PS00518	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-69202|Reactome: R-HSA-69231|Reactome: R-HSA-69273|Reactome: R-HSA-69656|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075|Reactome: R-HSA-8939236	SignalP-TM	TIGR00570	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-42.31-mRNA-1	IPR013595	SSF53474	PTHR43487	NA	NA	NA	NA	NA	PF08386	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-17.122-mRNA-1	IPR010730	NA	PTHR33112	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-58.23-mRNA-1	IPR015424	SSF53383	PTHR11999:SF137;PTHR11999	G3DSA:3.90.1150.170;G3DSA:3.40.640.10	NA	GO:0003824;GO:0016831;GO:0019752;GO:0030170	NA	NA	PF00282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-63.1-mRNA-1	IPR013094	SSF53474	PTHR23024;PTHR23024:SF103	G3DSA:3.40.50.1820	NA	GO:0016787	NA	NA	PF07859	PS01173	Reactome: R-HSA-163560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-3.157-mRNA-1	IPR036291	SSF51735	PTHR10366:SF562;PTHR10366	G3DSA:3.40.50.720	NA	GO:0003824;GO:0050662	NA	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-22.164-mRNA-1	IPR027795	SSF55021	PTHR31131:SF6;PTHR31131	G3DSA:3.30.2130.10	NA	NA	NA	NA	PF13840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-28.94-mRNA-1	IPR027417	SSF52540	PTHR12847;PTHR12847:SF5	G3DSA:3.40.50.300	PS50893	GO:0005524;GO:0016887	NA	cd00267	PF00005	NA	NA	NA	NA	NA	NA	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000004.1-processed-gene-14.30-mRNA-1	IPR003817	NA	PTHR10067:SF2;PTHR10067	NA	NA	GO:0004609;GO:0008654	NA	NA	PF02666	NA	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-30.23-mRNA-1	IPR025337	NA	PTHR35870:SF5;PTHR35870	NA	NA	GO:0016491	NA	NA	PF14027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-13.144-mRNA-1	IPR013922	NA	PTHR15615:SF27;PTHR15615	G3DSA:1.10.472.10	NA	GO:0000079;GO:0019901	NA	NA	PF08613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-24.253-mRNA-1	IPR002298	SSF158702	PTHR10133;PTHR10133:SF42	G3DSA:1.10.3380.20	NA	GO:0003887;GO:0006261	NA	NA	NA	NA	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-20.167-mRNA-1	IPR036980	SSF101744	PTHR13348	G3DSA:2.30.30.210	NA	GO:0003723;GO:0004540;GO:0008033;GO:0030677;GO:0006396	NA	NA	PF01868	NA	Reactome: R-HSA-6784531	NA	NA	NA	mobidb-lite	SM00538	NA	NA	PIRSF027081	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-17.3-mRNA-1	IPR009542	NA	PTHR13202	NA	NA	GO:0005787;GO:0006465;GO:0008233;GO:0016021	NA	NA	PF06645	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-42.100-mRNA-1	IPR017853	SSF51445	PTHR11177:SF182;PTHR11177	NA	NA	GO:0008061;GO:0005975	NA	NA	PF00704	NA	NA	NA	NA	NA	NA	SM00636	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-44.136-mRNA-1	IPR001328	SSF53178	PTHR17224;PTHR17224:SF1	G3DSA:3.40.50.1470	NA	GO:0004045	NA	cd00462	PF01195	PS01196	MetaCyc: PWY-6308	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-6.157-mRNA-1	IPR000182	SSF55729	PTHR42791;PTHR42791:SF3	G3DSA:3.40.630.30	PS51186	NA	NA	cd04301	PF13508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-31.200-mRNA-1	IPR017105	SSF48371	PTHR22781	NA	NA	GO:0015031;GO:0030123;GO:0006886;GO:0016192;GO:0030117	NA	NA	PF01602	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	PIRSF037092	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-3.167-mRNA-1	IPR029063	SSF53335	PTHR43591:SF10;PTHR43591	G3DSA:3.40.50.150	NA	NA	NA	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-7.82-mRNA-1	IPR027531	NA	PTHR10540:SF6;PTHR10540	G3DSA:3.40.140.10	PS50249	GO:0003743;GO:0005737;GO:0005852;GO:0005515	NA	cd08064	PF01398;PF13012	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	mobidb-lite	SM00232	NA	NA	NA	NA	NA	NA	MF_03005	NA
maker-RZGP01000003.1-augustus-gene-35.168-mRNA-1	NA	NA	PTHR43337:SF3;PTHR43337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-42.8-mRNA-1	IPR029052	SSF56300;SSF55816	PTHR11575;PTHR11575:SF22	G3DSA:3.60.21.10;G3DSA:3.90.780.10	NA	GO:0016787;GO:0009166	NA	cd07407	PF00149	NA	Reactome: R-HSA-196807|Reactome: R-HSA-73621|Reactome: R-HSA-74259	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	PIRSF017316	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000007.1-snap-gene-42.209-mRNA-1	IPR015889	SSF49482	PTHR33711;PTHR33711:SF6	G3DSA:2.60.130.10	NA	GO:0005506;GO:0016702;GO:0055114;GO:0009712;GO:0018576;GO:0003824;GO:0006725;GO:0008199	NA	NA	PF04444;PF00775	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-15.6-mRNA-1	IPR002575	SSF56112	NA	G3DSA:3.90.1200.10	NA	NA	NA	NA	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-2.15-mRNA-1	NA	SSF159245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-25.161-mRNA-1	IPR000626	SSF54236	PTHR10562:SF30;PTHR10562	G3DSA:3.10.20.90	PS50053	GO:0005515;GO:0016925	NA	cd01763	PF11976	NA	NA	NA	NA	NA	mobidb-lite	SM00213	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000011.1-processed-gene-4.139-mRNA-1	NA	NA	NA	G3DSA:3.30.420.470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-42.128-mRNA-1	IPR038071	SSF51726	PTHR30519:SF10;PTHR30519	G3DSA:3.20.20.210	NA		NA	NA	NA	NA	Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-4.64-mRNA-1	IPR021765	NA	PTHR33365:SF10;PTHR33365	NA	NA	GO:0043386	NA	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-26.38-mRNA-1	IPR012578	NA	PTHR28003	NA	NA	NA	NA	NA	PF08058	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000001.1-processed-gene-6.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-34.34-mRNA-1	IPR015419	NA	PTHR31283:SF5;PTHR31283	G3DSA:3.30.310.50	NA	NA	NA	NA	PF09341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-14.109-mRNA-1	NA	NA	PTHR42089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-16.0-mRNA-1	IPR014030	SSF53901	PTHR43775	G3DSA:3.40.47.10	NA	GO:0003824	NA	cd00833	PF00109	PS00606	NA	NA	NA	NA	NA	SM00825	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-9.3-mRNA-1	IPR008698	NA	PTHR20900	NA	NA	GO:0003954;GO:0005739;GO:0008137	NA	NA	PF05676	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-44.91-mRNA-1	IPR029058	SSF53474;SSF48371;SSF52540	PTHR24106:SF249;PTHR24106	G3DSA:1.25.10.10;G3DSA:3.40.50.1820;G3DSA:3.40.50.300	PS50837	NA	NA	NA	PF05729;PF13646;PF17776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-38.17-mRNA-1	IPR036838	SSF54999	PTHR11700;PTHR11700:SF9	G3DSA:3.30.70.600	NA	GO:0003735;GO:0005840;GO:0006412	NA	NA	PF00338	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	SM01403	NA	NA	NA	NA	NA	NA	MF_00508	NA
augustus_masked-RZGP01000008.1-processed-gene-1.126-mRNA-1	IPR023346	SSF53955	NA	G3DSA:1.10.530.10	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-36.80-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-11.155-mRNA-1	IPR032742	NA	NA	NA	NA	GO:0005634;GO:0006338;GO:0031011	NA	NA	PF14612	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-13.119-mRNA-1	IPR037033	SSF64484	PTHR20856:SF8;PTHR20856	G3DSA:2.40.270.10;G3DSA:3.90.1800.10;G3DSA:3.90.1070.20;G3DSA:3.90.1100.10;G3DSA:3.90.1110.10;G3DSA:2.40.50.150	NA	GO:0003677;GO:0003899;GO:0006351;GO:0032549	NA	cd00653	PF04567;PF04563;PF04561;PF04566;PF00562;PF04565;PF04560	PS01166	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-32.74-mRNA-1	IPR000182	SSF55729	NA	G3DSA:3.40.630.30	NA	NA	NA	NA	PF00583	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-exonerate_protein2genome-gene-10.154-mRNA-1	IPR013893	NA	PTHR15396	NA	NA		NA	NA	PF08584	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-40.48-mRNA-1	IPR029056	SSF53613	PTHR10534;PTHR10534:SF2	G3DSA:3.40.1190.20	NA	GO:0008478;GO:0009443	NA	cd01173	PF08543	NA	KEGG: 00750+2.7.1.35|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-6798695|Reactome: R-HSA-964975	NA	TIGR00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-74.49-mRNA-1	IPR040025	SSF57667	PTHR13182	NA	NA	GO:0003676;GO:0008270	NA	NA	PF12756	NA	NA	NA	NA	Coil	mobidb-lite	SM00451	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000004.1-processed-gene-5.64-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-exonerate_protein2genome-gene-22.145-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000009.1-augustus-gene-1.8-mRNA-1	IPR007533	SSF110111	PTHR21320;PTHR21320:SF3	G3DSA:2.60.370.10	NA	GO:0005507	NA	NA	PF04442	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	MF_00155	NA
snap_masked-RZGP01000004.1-processed-gene-0.198-mRNA-1	IPR019339	NA	PTHR22093	NA	NA	NA	NA	NA	PF10197	NA	NA	NA	NA	Coil	mobidb-lite	SM01083	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-36.1-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000007.1-processed-gene-41.125-mRNA-1	NA	NA	PTHR40462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-32.28-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-30.132-mRNA-1	IPR005301	SSF101152	PTHR22599:SF1;PTHR22599	G3DSA:1.20.140.30	NA	NA	NA	NA	PF03637	NA	NA	NA	NA	NA	mobidb-lite	SM01388	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-11.117-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-44.58-mRNA-1	IPR001138	NA	PTHR31944;PTHR31944:SF88	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-40.187-mRNA-1	IPR006785	NA	PTHR23058:SF5;PTHR23058	G3DSA:1.10.10.10	NA	GO:0005515;GO:0005778;GO:0016560	NA	NA	PF04695	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-46.148-mRNA-1	IPR001731	SSF51569	PTHR11458	G3DSA:3.20.20.70	NA	GO:0004655;GO:0033014;GO:0046872;GO:0003824	NA	NA	PF00490	NA	KEGG: 00860+4.2.1.24|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451|Reactome: R-HSA-6798695	NA	NA	NA	NA	SM01004	NA	NA	PIRSF001415	NA	NA	PR00144	NA	NA
maker-RZGP01000003.1-snap-gene-42.94-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-RZGP01000006.1-snap-gene-9.135-mRNA-1	IPR001915	NA	PTHR22726;PTHR22726:SF1	NA	NA	GO:0004222;GO:0006508	NA	cd07331	PF01435	NA	NA	SignalP-TM	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-37.206-mRNA-1	IPR015889	SSF49482	PTHR33711;PTHR33711:SF4	G3DSA:2.60.130.10	NA	GO:0005506;GO:0016702;GO:0055114;GO:0003824;GO:0006725;GO:0008199;GO:0009712;GO:0018576	NA	cd03461	PF00775;PF04444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000003.1-processed-gene-44.13-mRNA-1	IPR016087	SSF54626	PTHR28039;PTHR28039:SF6	NA	NA	GO:0016872	NA	NA	PF16035	NA	NA	SignalP-TM	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
