Gene	interpro	SMART	CDD	SUPERFAMILY	Pfam	GO	ProSiteProfiles	MobiDBLite	Coils	PANTHER	ProSitePatterns	Gene3D	PATHWAY	TIGRFAM	PRINTS	TMHMM	Phobius	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	Hamap	ProDom
KOS20971.1	IPR020915	NA	NA	NA	PF11578	NA	NA	mobidb-lite	NA	PTHR37315	NA	G3DSA:2.40.160.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16756.1	IPR036967	NA	NA	SSF53137	PF00411	GO:0003735;GO:0005840;GO:0006412	NA	mobidb-lite	NA	PTHR11759:SF11;PTHR11759	PS00054	G3DSA:3.30.420.80	NA	NA	NA	NA	NA	PIRSF002131	NA	NA	NA	NA	MF_01310	NA
KOS17211.1	IPR013970	NA	NA	SSF50249	PF08661	GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310	NA	mobidb-lite	NA	NA	NA	G3DSA:2.40.50.140	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174437|Reactome: R-HSA-176187|Reactome: R-HSA-3371453|Reactome: R-HSA-3371511|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-5696395|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6783310|Reactome: R-HSA-6804756|Reactome: R-HSA-68962|Reactome: R-HSA-69166|Reactome: R-HSA-69473|Reactome: R-HSA-912446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16836.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16662.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16647.1	IPR036412	NA	NA	SSF56784	NA	GO:0000287;GO:0019509;GO:0043874	NA	NA	NA	PTHR20371	NA	G3DSA:1.10.720.60;G3DSA:3.40.50.1000	KEGG: 00270+3.1.3.77|Reactome: R-HSA-1237112	TIGR01691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17005.1	IPR015797	NA	NA	SSF55811	PF11788	GO:0016787;GO:0003735	NA	NA	NA	PTHR13124	NA	G3DSA:3.90.79.10	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17255.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR14614	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20303.1	IPR006708	NA	NA	NA	PF04614	GO:0005777	NA	mobidb-lite	NA	PTHR12774	NA	G3DSA:1.20.120.900	Reactome: R-HSA-1369062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17291.1	IPR000836	NA	cd06223	SSF53271	PF14681	GO:0009116	NA	NA	NA	PTHR10285:SF90;PTHR10285	NA	G3DSA:3.40.50.2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19667.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19544.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19837.1	IPR036823	NA	cd14868	SSF47973	PF00177	GO:0006412	NA	mobidb-lite	Coil	PTHR11205:SF19;PTHR11205	NA	G3DSA:1.10.455.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21676.1	IPR036322	NA	NA	SSF50978	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22661.1	IPR033140	NA	NA	SSF53474	PF07859	GO:0016787	NA	mobidb-lite	NA	PTHR43494:SF10;PTHR43494	PS01174;PS01173	G3DSA:3.40.50.1820	Reactome: R-HSA-163560	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS19885.1	IPR036396	NA	NA	SSF48264	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	NA	PTHR24279;PTHR24279:SF87	PS00086	G3DSA:1.10.630.10	NA	NA	PR00465	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18398.1	IPR019564	NA	cd03078	NA	PF10568	GO:0001401	NA	mobidb-lite	NA	PTHR12289;PTHR12289:SF41	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
KOS17171.1	IPR019165	NA	NA	NA	PF09768	GO:0004222	NA	mobidb-lite	NA	PTHR21711;PTHR21711:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20443.1	NA	NA	cd07389	NA	NA	NA	NA	mobidb-lite	NA	PTHR10351;PTHR10351:SF51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23398.1	IPR013726	NA	NA	NA	PF08520	NA	NA	NA	NA	PTHR28075	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21154.1	IPR008831	NA	NA	NA	PF05669	GO:0003712;GO:0006355;GO:0016592	NA	mobidb-lite	NA	PTHR13186	NA	G3DSA:1.10.10.1340	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18900.1	IPR040457	NA	NA	NA	PF04130;PF17681	GO:0043015;GO:0000226;GO:0000922;GO:0005815;GO:0007020	NA	NA	NA	PTHR19302:SF33;PTHR19302	NA	G3DSA:1.20.120.1900	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19957.1	IPR002594	NA	NA	SSF49899	PF01670	GO:0000272;GO:0008810;GO:0004553	NA	NA	NA	PTHR34002	NA	G3DSA:2.60.120.180	MetaCyc: PWY-6717|MetaCyc: PWY-6784	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
KOS19984.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23339.1	IPR028566	NA	NA	NA	PF12231		NA	mobidb-lite	NA	PTHR22928	NA	NA	Reactome: R-HSA-5693571	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS17786.1	IPR005123	NA	NA	SSF51197	PF06839;PF13532	GO:0016491;GO:0055114;GO:0008270;GO:0006281;GO:0006307;GO:0035552;GO:0051213	PS51471	mobidb-lite	NA	PTHR31212	NA	G3DSA:2.60.120.590	Reactome: R-HSA-112126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19187.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21760.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18761.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS19421.1	IPR015813	NA	NA	SSF51621	PF03328	GO:0003824	NA	NA	NA	PTHR32308:SF0;PTHR32308	NA	G3DSA:3.20.20.60	NA	NA	NA	NA	NA	PIRSF015582	NA	NA	NA	NA	NA	NA
KOS19702.1	IPR009348	NA	NA	NA	PF06218	NA	NA	NA	NA	PTHR12991	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS17562.1	IPR018556	NA	NA	NA	PF09431		NA	mobidb-lite	NA	PTHR13357;PTHR13357:SF1	NA	NA	Reactome: R-HSA-2029482|Reactome: R-HSA-5663213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22147.1	IPR003767	NA	NA	SSF89733	PF02615	GO:0016491;GO:0055114	NA	NA	NA	PTHR11091;PTHR11091:SF0	NA	G3DSA:1.10.1530.10;G3DSA:3.30.1370.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21475.1	IPR029058	NA	NA	SSF53474	PF07859	GO:0016787	NA	NA	NA	PTHR23024;PTHR23024:SF245	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21242.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22349.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17650.1	IPR000424	NA	cd04496	SSF50249	PF00436	GO:0003697;GO:0006260	PS50935	NA	NA	PTHR10302:SF0;PTHR10302	NA	G3DSA:2.40.50.140	Reactome: R-HSA-2151201	NA	NA	NA	NA	PIRSF002070	SignalP-TM	NA	NA	NA	NA	NA
KOS23253.1	IPR029058	NA	NA	SSF53474	PF05577	GO:0006508;GO:0008236	NA	NA	NA	PTHR11010:SF23;PTHR11010	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS17438.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18084.1	IPR015943	NA	NA	SSF50978	NA	GO:0005515	NA	mobidb-lite	NA	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22830.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18486.1	IPR024826	NA	NA	NA	PF04042;PF18018	GO:0003677;GO:0003887;GO:0006260	NA	NA	NA	PTHR10416	NA	G3DSA:3.60.21.50;G3DSA:2.40.50.430	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22584.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21362.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21799.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20517.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17283.1	IPR001764	NA	NA	SSF51445;SSF55729	PF00933	GO:0004553;GO:0005975	NA	NA	NA	PTHR30480:SF8;PTHR30480	NA	G3DSA:3.20.20.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17001.1	IPR011990	NA	NA	NA	NA	GO:0005515	NA	mobidb-lite	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20299.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17809.1	IPR007740	NA	NA	NA	PF05046	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	PTHR13477	NA	G3DSA:3.30.780.10	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA
KOS17702.1	IPR036188	NA	NA	SSF51905	PF01266	GO:0016491;GO:0055114	NA	NA	NA	PTHR13847:SF213;PTHR13847	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23165.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR10730:SF43;PTHR10730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22105.1	IPR013965	NA	NA	NA	PF08656	GO:0008608;GO:0042729;GO:0072686	NA	NA	Coil	PTHR28017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21542.1	IPR038986	NA	NA	NA	PF10383	GO:0006342;GO:0070824	NA	mobidb-lite	NA	PTHR38046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17375.1	NA	NA	cd12148	NA	NA	NA	NA	mobidb-lite	NA	PTHR31944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23145.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17197.1	IPR031488	NA	NA	SSF50978	PF17034	GO:0005515	NA	mobidb-lite	NA	PTHR16453:SF9;PTHR16453	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20248.1	IPR013087	NA	NA	SSF57667	NA	GO:0003676	PS50157	mobidb-lite	NA	NA	PS00028	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20348.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17218.1	IPR007062	NA	NA	NA	PF04979	GO:0004864;GO:0009966;GO:0043666	NA	mobidb-lite	NA	PTHR12398;PTHR12398:SF20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17025.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS20999.1	IPR014717	NA	cd15465	SSF54995	PF01250	GO:0003735;GO:0005840;GO:0006412;GO:0019843	NA	NA	NA	PTHR21011	NA	G3DSA:3.30.70.60	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23002.1	NA	NA	NA	SSF81995	NA	NA	NA	mobidb-lite	NA	PTHR37014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22398.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS17095.1	IPR013783	NA	cd02859	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20866.1	IPR012882	NA	NA	SSF52833	PF07955	GO:0005739;GO:0016491;GO:0055114	NA	NA	NA	PTHR28071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16938.1	IPR006565	SM00576	NA	NA	PF07524	GO:0046982	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.10.20.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19306.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22868.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19069.1	IPR029044	NA	NA	SSF53448	PF04488	GO:0000009	NA	NA	NA	PTHR31834:SF8;PTHR31834	NA	G3DSA:3.90.550.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22122.1	IPR019098	SM01082	NA	NA	PF09649	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20984.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	PTHR34992;PTHR34992:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21274.1	IPR000630	NA	NA	SSF56047	PF00410	GO:0003735;GO:0005840;GO:0006412	NA	NA	NA	PTHR11758:SF16;PTHR11758	PS00053	G3DSA:3.30.1490.10;G3DSA:3.30.1370.30	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21106.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23338.1	IPR016024	NA	NA	SSF48371	PF10165	NA	NA	NA	NA	PTHR12425:SF5;PTHR12425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19390.1	IPR019095	NA	NA	NA	PF09637	GO:0003712;GO:0006357;GO:0016592	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22103.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18320.1	IPR029026	NA	NA	SSF75217	PF03587	GO:0008168	NA	mobidb-lite	NA	PTHR12636:SF5;PTHR12636	NA	G3DSA:3.40.1280.10	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20122.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20331.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS18601.1	IPR020796	NA	NA	NA	PF14630;PF09462	GO:0000808;GO:0005634;GO:0006260;GO:0006281;GO:0006974;GO:0031297	NA	NA	NA	PTHR12705	NA	G3DSA:3.40.50.300	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17952.1	IPR036906	NA	NA	SSF159468	PF01990	GO:0034220;GO:0015991;GO:0033180;GO:0046961	NA	NA	NA	PTHR13861	NA	G3DSA:3.40.50.10580	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	TIGR01101	NA	NA	NA	PIRSF015945	NA	NA	NA	NA	NA	NA
KOS17469.1	IPR025151	NA	NA	NA	PF13934		NA	NA	NA	PTHR21583	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20889.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20516.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17862.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23148.1	IPR013087	SM00355	NA	NA	PF00096	GO:0003676	PS50157	mobidb-lite	Coil	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19566.1	IPR038753	NA	NA	NA	NA	GO:0007249	NA	NA	Coil	PTHR15263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21088.1	IPR037175	NA	NA	SSF102198	PF04199	GO:0004061;GO:0019441	NA	NA	NA	PTHR34861:SF6;PTHR34861	NA	G3DSA:3.50.30.50	KEGG: 00380+3.5.1.9|KEGG: 00630+3.5.1.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7733|MetaCyc: PWY-7734|MetaCyc: PWY-7765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19217.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21587.1	IPR029063	NA	NA	SSF53335	PF10294	NA	NA	mobidb-lite	NA	PTHR14614;PTHR14614:SF63	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23434.1	NA	NA	cd06167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19833.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	PTHR42345;PTHR42345:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22550.1	IPR011992	SM00164	NA	SSF47473;SSF47923	PF00566	NA	PS50086	mobidb-lite	Coil	PTHR22957;PTHR22957:SF289	NA	G3DSA:1.10.472.80;G3DSA:1.10.8.270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21263.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23034.1	IPR014746	NA	NA	SSF55931	PF03074	GO:0003824;GO:0004357;GO:0006750	NA	mobidb-lite	NA	PTHR11164	NA	G3DSA:3.30.590.50;G3DSA:1.10.8.960	KEGG: 00270+6.3.2.2|KEGG: 00480+6.3.2.2|MetaCyc: PWY-6840|MetaCyc: PWY-7255|Reactome: R-HSA-174403|Reactome: R-HSA-5578999	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS16639.1	IPR027417	NA	cd02021	SSF52540	PF01202	GO:0005975;GO:0016301	NA	NA	NA	PTHR43442;PTHR43442:SF3	NA	G3DSA:3.40.50.300	KEGG: 00030+2.7.1.12|MetaCyc: PWY-5530	TIGR01313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22008.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19638.1	IPR007526	NA	NA	SSF46689	PF04433	GO:0005515;GO:0003677	PS50934	mobidb-lite	NA	PTHR12374;PTHR12374:SF21	NA	G3DSA:1.10.10.780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20382.1	IPR005326	NA	NA	NA	PF03501	NA	NA	mobidb-lite	NA	PTHR12146	NA	G3DSA:1.10.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22719.1	IPR036396	NA	NA	SSF48264	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	PTHR24305:SF149;PTHR24305	NA	G3DSA:1.10.630.10	NA	NA	PR00463	NA	NA	NA	NA	NA	NA	NA	NA	NA
