Gene	MobiDBLite	Coils	PANTHER	interpro	GO	Pfam	Gene3D	TMHMM	Phobius	ProSiteProfiles	SMART	ProSitePatterns	SUPERFAMILY	CDD	PATHWAY	SignalP_EUK	SignalP_GRAM_POSITIVE	PRINTS	TIGRFAM	PIRSF	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
maker-NQYS01000003.1-augustus-gene-10.18-mRNA-1	mobidb-lite	Coil	PTHR10019;PTHR10019:SF9	IPR006939	GO:0000228;GO:0006338	PF04855	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000008.1-processed-gene-6.21-mRNA-1	mobidb-lite	Coil	PTHR39145	IPR034455	GO:0031083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-19.35-mRNA-1	mobidb-lite	NA	PTHR14094	IPR031545	GO:0006614;GO:0005515;GO:0008312;GO:0048500	PF17004;PF08492	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	SSF48452	NA	Reactome: R-HSA-1799339	NA	NA	NA	NA	PIRSF038922	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-2.13-mRNA-1	NA	NA	PTHR11825;PTHR11825:SF69	IPR001544	GO:0003824;GO:0004084;GO:0009081	PF01063	G3DSA:3.20.10.10;G3DSA:3.30.470.10	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	PS00770	SSF56752	cd01557	Reactome: R-HSA-70895	NA	NA	NA	NA	PIRSF006468	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-31.34-mRNA-1	mobidb-lite	NA	NA	IPR014720	NA	NA	NA	NA	NA	NA	NA	NA	SSF54768	cd00048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-55.15-mRNA-1	mobidb-lite	NA	PTHR36182	NA	NA	NA	G3DSA:2.70.50.70	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-46.45-mRNA-1	NA	Coil	PTHR28017	IPR013965	GO:0008608;GO:0042729;GO:0072686	PF08656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-21.38-mRNA-1	mobidb-lite	NA	NA	IPR039436	NA	PF12813	NA	NA	NA	NA	NA	NA	SSF88723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-23.16-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-2.43-mRNA-1	mobidb-lite	Coil	PTHR39597:SF2;PTHR39597	IPR003903	NA	NA	NA	NA	NA	PS50330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-23.29-mRNA-1	NA	NA	PTHR38643	IPR009486	GO:0055085	PF06516	G3DSA:3.40.50.1580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF013171	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-32.22-mRNA-1	mobidb-lite	NA	PTHR14237;PTHR14237:SF23	IPR005302	GO:0003824;GO:0030151;GO:0030170	PF03473;PF03476	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PS51340	NA	NA	SSF50800	NA	KEGG: 00790+2.8.1.9|MetaCyc: PWY-5963	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-8.2-mRNA-1	mobidb-lite	NA	PTHR11089:SF63;PTHR11089	IPR027417	NA	NA	NA	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-11.37-mRNA-1	mobidb-lite	NA	PTHR12321;PTHR12321:SF68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-1.29-mRNA-1	NA	NA	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-1.50-mRNA-1	NA	NA	PTHR43247;PTHR43247:SF1	IPR000192	GO:0003824;GO:0004648;GO:0006564	PF00266	G3DSA:3.90.1150.10	NA	NA	NA	NA	NA	SSF53383	NA	KEGG: 00260+2.6.1.52|KEGG: 00680+2.6.1.52|KEGG: 00750+2.6.1.52|MetaCyc: PWY-8010|Reactome: R-HSA-977347	NA	NA	NA	NA	NA	NA	MF_00160	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-11.27-mRNA-1	NA	NA	NA	IPR022025	NA	PF12224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-25.8-mRNA-1	NA	NA	PTHR20275;PTHR20275:SF6	IPR017437	GO:0003951;GO:0019674;GO:0006741	PF01513	G3DSA:2.60.200.30;G3DSA:3.40.50.12540	NA	NA	NA	NA	NA	SSF111331	NA	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	NA	NA	NA	NA	NA	NA	MF_00361	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-49.23-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-21.17-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-35.18-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-5.21-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-17.27-mRNA-1	NA	NA	PTHR28288:SF2;PTHR28288	IPR037045		PF05922	G3DSA:3.30.70.80	NA	NA	NA	NA	NA	SSF54897	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000009.1-augustus-gene-5.63-mRNA-1	mobidb-lite	NA	PTHR33840:SF2;PTHR33840	IPR018712	NA	PF09994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-21.31-mRNA-1	mobidb-lite	NA	PTHR24089;PTHR24089:SF653	IPR040062	GO:0022857	PF00153	G3DSA:1.50.40.10	NA	NA	PS50920	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-0.8-mRNA-1	NA	NA	PTHR28180	IPR029032		NA	G3DSA:1.20.1290.10	NA	NA	NA	NA	NA	SSF69118	NA	Reactome: R-HSA-5628897	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-48.19-mRNA-1	NA	NA	PTHR43487;PTHR43487:SF2	IPR029058	NA	PF00561;PF08386	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SSF53474	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-34.9-mRNA-1	NA	NA	PTHR13355;PTHR13355:SF8	IPR016181	GO:0004343;GO:0006048	NA	NA	NA	NA	NA	NA	NA	SSF55729	cd04301	Reactome: R-HSA-446210	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000009.1-augustus-gene-4.10-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-21.10-mRNA-1	NA	NA	NA	IPR001214	GO:0005515	PF00856	NA	NA	NA	PS50280	NA	NA	SSF82199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-41.21-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-12.17-mRNA-1	mobidb-lite	NA	PTHR13082	IPR010516		PF06487	G3DSA:3.10.20.550	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-3214815|Reactome: R-HSA-427413	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-33.31-mRNA-1	NA	NA	PTHR15615;PTHR15615:SF27	IPR013922	GO:0000079;GO:0019901	PF08613	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-35.5-mRNA-1	NA	NA	PTHR43090	IPR013785	GO:0003824;GO:0000105;GO:0003949	PF00977	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	SSF51366	cd04723	KEGG: 00340+5.3.1.16	NA	NA	NA	TIGR02129	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-11.8-mRNA-1	mobidb-lite	NA	PTHR37014	NA	NA	NA	NA	NA	NA	NA	NA	NA	SSF81995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-54.20-mRNA-1	mobidb-lite	NA	NA	IPR007175		PF04032	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6784531|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-27.43-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-6.24-mRNA-1	NA	NA	PTHR40978:SF6;PTHR40978	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-56.31-mRNA-1	NA	NA	PTHR21024	IPR008011	NA	PF05347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-14.16-mRNA-1	NA	NA	PTHR14986	IPR015221	GO:0005737;GO:0034227	PF09138	G3DSA:3.10.20.30	NA	NA	NA	NA	NA	SSF54285	NA	Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	MF_03048	NA	NA
maker-NQYS01000002.1-augustus-gene-37.31-mRNA-1	mobidb-lite	NA	PTHR14614:SF94;PTHR14614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-18.26-mRNA-1	mobidb-lite	NA	PTHR33788;PTHR33788:SF1	IPR039713		PF04419;PF12907	G3DSA:4.10.1050.10	NA	NA	NA	NA	NA	SSF118359	NA	Reactome: R-HSA-212436	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-15.36-mRNA-1	NA	NA	PTHR10801;PTHR10801:SF3	IPR040165	GO:0016491;GO:0050660;GO:0055114;GO:0071949	PF01565	G3DSA:3.30.465.10	NA	NA	PS51387	NA	NA	SSF56176	NA	KEGG: 00100+1.3.1.72|Reactome: R-HSA-6807047|Reactome: R-HSA-6807062	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-10.1-mRNA-1	mobidb-lite	NA	NA	IPR013942	GO:0003712;GO:0006357;GO:0016592	PF08633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-16.12-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-0.18-mRNA-1	mobidb-lite	NA	NA	IPR016197	NA	PF00385	G3DSA:2.40.50.40	NA	NA	PS50013	SM00298	NA	SSF54160	cd00024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-4.10-mRNA-1	NA	NA	PTHR35020	IPR022036	NA	PF12239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-27.8-mRNA-1	NA	NA	PTHR42735;PTHR42735:SF4	IPR015424	GO:0003824;GO:0016831;GO:0019752;GO:0030170	PF00282	G3DSA:3.40.640.10	NA	NA	NA	NA	NA	SSF53383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-17.20-mRNA-1	NA	NA	PTHR32440;PTHR32440:SF0	IPR004843	GO:0016787	PF00149	G3DSA:3.60.21.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF56300	cd07383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-10.25-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-15.6-mRNA-1	mobidb-lite	NA	PTHR22624;PTHR22624:SF34	IPR005078		PF03416	NA	NA	NA	NA	NA	NA	SSF54001	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-41.15-mRNA-1	NA	NA	PTHR24068:SF119;PTHR24068	IPR016135		PF00179	G3DSA:3.10.110.10	NA	NA	PS50127	SM00212	NA	SSF54495	cd00195	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-2.25-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-14.16-mRNA-1	mobidb-lite	NA	PTHR23509:SF6;PTHR23509	IPR004177	GO:0046872	PF02862	NA	NA	NA	PS51043	SM01127	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-41.4-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-3.9-mRNA-1	mobidb-lite	NA	PTHR37781	IPR031349	NA	PF17110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-17.16-mRNA-1	NA	NA	PTHR13360	IPR009210		PF10469	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	Reactome: R-HSA-112126	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-43.89-mRNA-1	NA	NA	PTHR31313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-31.11-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-41.7-mRNA-1	NA	NA	PTHR43398	IPR001173	GO:0016740	PF00535	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	SSF53448	cd06442	Reactome: R-HSA-913709	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-12.6-mRNA-1	mobidb-lite	NA	PTHR28232	IPR039602	GO:0016575	PF08595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-11.10-mRNA-1	mobidb-lite	Coil	PTHR13239;PTHR13239:SF4	IPR040185	NA	PF11882;PF07923	NA	NA	NA	NA	SM01293;SM01292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-12.24-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-33.39-mRNA-1	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000007.1-processed-gene-11.1-mRNA-1	NA	NA	PTHR28144	IPR018937		PF10270	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-25.14-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-16.45-mRNA-1	NA	NA	PTHR10644	IPR015943	GO:0005515	PF10433	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-23.13-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-6.30-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-23.10-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-40.43-mRNA-1	NA	NA	PTHR16184	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-32.7-mRNA-1	NA	NA	PTHR37450	IPR022234	NA	PF12585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-18.27-mRNA-1	NA	NA	PTHR11271;PTHR11271:SF6	IPR006680	GO:0016787;GO:0016810;GO:0006147;GO:0008270;GO:0008892	PF01979	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	NA	NA	NA	SSF51556;SSF51338	NA	KEGG: 00230+3.5.4.3|MetaCyc: PWY-5497|MetaCyc: PWY-6606|MetaCyc: PWY-6608|MetaCyc: PWY-7442|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-11.39-mRNA-1	NA	NA	PTHR21091:SF2;PTHR21091	IPR006361	GO:0004853;GO:0006779	PF01208	G3DSA:3.20.20.210	NA	NA	NA	NA	PS00906;PS00907	SSF51726	cd00717	KEGG: 00860+4.1.1.37|MetaCyc: PWY-5531|MetaCyc: PWY-7159|MetaCyc: PWY-7766|Reactome: R-HSA-189451	NA	NA	NA	TIGR01464	NA	NA	MF_00218	NA	NA
maker-NQYS01000001.1-augustus-gene-7.17-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-19.0-mRNA-1	mobidb-lite	NA	PTHR35332	IPR009784	NA	PF07081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-2.15-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-16.14-mRNA-1	mobidb-lite	NA	PTHR31576	IPR021752	GO:0001164;GO:0001188;GO:0006360;GO:0070860	PF11781	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-427359|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-30.10-mRNA-1	mobidb-lite	NA	PTHR10728:SF33;PTHR10728	IPR002642	GO:0004620;GO:0009395	PF01735	G3DSA:3.40.1090.10	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS51210	SM00022	NA	SSF52151	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-11.27-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-32.32-mRNA-1	NA	NA	PTHR13748;PTHR13748:SF31	IPR003495	NA	PF02492	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-3.18-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-1.10-mRNA-1	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-6.27-mRNA-1	NA	NA	PTHR23413	IPR001515	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF01655	NA	NA	NA	NA	SM01393	NA	SSF52042	cd00513	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	PD003823
augustus_masked-NQYS01000004.1-processed-gene-21.18-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000006.1-processed-gene-14.25-mRNA-1	NA	NA	PTHR24351;PTHR24351:SF160	IPR035965	NA	PF13426	G3DSA:3.30.450.20	NA	NA	NA	NA	NA	SSF55785	cd00130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000007.1-augustus-gene-12.28-mRNA-1	mobidb-lite	NA	PTHR12399	IPR007783	GO:0003743;GO:0005737;GO:0005852	PF05091	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	PIRSF016281	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-39.34-mRNA-1	NA	NA	PTHR12403:SF11;PTHR12403	IPR011012	GO:0005622;GO:0006888	PF04628	NA	NA	NA	NA	NA	NA	SSF64356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000008.1-processed-gene-5.13-mRNA-1	mobidb-lite	NA	PTHR24390:SF46;PTHR24390	IPR013087	GO:0003676	PF00096	G3DSA:3.30.160.60	NA	NA	PS50157	SM00355	PS00028	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
