Gene	MobiDBLite	Phobius	Gene3D	interpro	ProSiteProfiles	Pfam	PANTHER	SUPERFAMILY	CDD	GO	PATHWAY	Coils	ProDom	SMART	TMHMM	ProSitePatterns	SignalP_GRAM_NEGATIVE	SignalP_EUK	SignalP_GRAM_POSITIVE	SFLD	PRINTS	Hamap	PIRSF	TIGRFAM
augustus_masked-NQYQ01000004.1-processed-gene-4.18-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000008.1-augustus-gene-0.33-mRNA-1	NA	NA	G3DSA:3.50.80.10	IPR003732	NA	PF02580	PTHR10472;PTHR10472:SF5	SSF69500	NA	GO:0002161;GO:0005737;GO:0051499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00518	NA	TIGR00256
maker-NQYQ01000001.1-augustus-gene-16.15-mRNA-1	NA	NA	G3DSA:3.30.70.890	IPR016005	NA	PF08544;PF00288	PTHR31814;PTHR31814:SF2	SSF55060;SSF54211	NA	GO:0004631;GO:0005524	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017288	NA
augustus_masked-NQYQ01000001.1-processed-gene-2.4-mRNA-1	mobidb-lite	NA	NA	IPR007019	NA	PF04935;PF15459	PTHR14369	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000002.1-processed-gene-5.7-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR018830	NA	PF10361	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000028.1-processed-gene-0.30-mRNA-1	mobidb-lite	NA	NA	IPR037518	PS50249	PF05020;PF05021	PTHR12710	NA	cd08061	GO:0006511	Reactome: R-HSA-110320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF010052	NA
maker-NQYQ01000039.1-augustus-gene-0.55-mRNA-1	mobidb-lite	NA	G3DSA:1.25.40.1010;G3DSA:1.25.40.1040	IPR019734	PS50005;PS50293	PF12569;PF13414	PTHR22767;PTHR22767:SF2	SSF48452	NA	GO:0005515	NA	Coil	NA	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000422	NA
maker-NQYQ01000024.1-augustus-gene-1.6-mRNA-1	mobidb-lite	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	IPR000719	PS50011	PF00069	PTHR12984:SF6;PTHR12984	SSF48371;SSF56112	cd14011	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	SM00220	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-0.25-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR007241	NA	PF04109	PTHR13038:SF10;PTHR13038	NA	NA		Reactome: R-HSA-1632852	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-13.19-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR029063	PS51620	NA	PTHR12133;PTHR12133:SF1	SSF53335	NA	GO:0016429;GO:0030488;GO:0031515	MetaCyc: PWY-6829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-0.0-mRNA-1	NA	NA	G3DSA:3.30.930.10;G3DSA:1.10.287.40	IPR010978	NA	NA	PTHR11778:SF7;PTHR11778	SSF46589;SSF55681	NA	GO:0000166;GO:0004828;GO:0005524;GO:0006434	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-1.43-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-1.0-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000016.1-augustus-gene-4.3-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	IPR018305	NA	PF10501	NA	NA	NA	GO:0005739	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000025.1-augustus-gene-1.42-mRNA-1	mobidb-lite	NA	G3DSA:2.130.10.10	IPR015943	NA	NA	PTHR15052	SSF50978	NA	GO:0005515	NA	Coil	NA	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-11.29-mRNA-1	mobidb-lite	NA	G3DSA:1.10.1000.11;G3DSA:2.30.29.30	IPR000904	PS50190;PS50003	PF01369	PTHR10663:SF311;PTHR10663	SSF48425;SSF50729	NA	GO:0005086;GO:0032012	NA	NA	NA	SM00222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000042.1-augustus-gene-0.37-mRNA-1	mobidb-lite	NA	G3DSA:1.10.150.20;G3DSA:3.40.50.10130	IPR010994	NA	PF03834	PTHR12749	SSF47781;SSF52980	NA	GO:0003684;GO:0004519;GO:0005634;GO:0006281	Reactome: R-HSA-5685938|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6783310	Coil	PD013585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00597
augustus_masked-NQYQ01000045.1-processed-gene-0.14-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR007219	NA	PF04082	PTHR31313:SF66;PTHR31313	NA	cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	SM00906	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000015.1-processed-gene-5.68-mRNA-1	mobidb-lite	NA	NA	IPR018555	NA	PF09428	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-12.2-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	IPR019740	NA	PF01243;PF10590	PTHR10851:SF0;PTHR10851	SSF50475	NA	GO:0016638;GO:0055114;GO:0004733;GO:0008615;GO:0010181	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	NA	NA	NA	NA	PS01064	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-8.5-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.300;G3DSA:3.30.70.1620;G3DSA:1.20.1060.20;G3DSA:1.20.5.340	IPR027417	NA	PF06470;PF02463	PTHR43939:SF1;PTHR43939	SSF52540;SSF75553	cd03274	GO:0005515;GO:0005524;GO:0005694;GO:0051276	NA	Coil	NA	SM00968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000009.1-augustus-gene-2.0-mRNA-1	mobidb-lite	NA	G3DSA:1.10.8.10;G3DSA:3.40.30.10	IPR009060	NA	PF00789;PF14555	PTHR23322;PTHR23322:SF1	SSF46934;SSF52833;SSF54236	NA	GO:0005515	NA	Coil	NA	SM00594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000021.1-processed-gene-3.18-mRNA-1	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.50.720	IPR002347	NA	PF00106	PTHR43008;PTHR43008:SF7	SSF51735	cd05233	GO:0016491	NA	Coil	NA	NA	NA	PS00061	NA	NA	NA	NA	PR00081	NA	NA	NA
augustus_masked-NQYQ01000005.1-processed-gene-6.20-mRNA-1	mobidb-lite	NA	G3DSA:1.10.30.10	IPR009071	PS50118	PF00505	PTHR13711:SF302;PTHR13711	SSF47095	cd01390	NA	NA	NA	NA	SM00398	NA	NA	NA	NA	NA	NA	PR00886	NA	NA	NA
augustus_masked-NQYQ01000144.1-processed-gene-0.0-mRNA-1	NA	NA	NA	IPR007111	NA	PF05729	PTHR10039;PTHR10039:SF5	NA	NA	GO:0032126;GO:0070941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000044.1-processed-gene-0.33-mRNA-1	NA	NA	G3DSA:1.10.10.850	IPR015813	NA	PF00463	PTHR21631:SF13;PTHR21631	SSF51621	NA	GO:0003824;GO:0004451;GO:0019752	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969	NA	NA	NA	NA	PS00161	NA	NA	NA	NA	NA	NA	PIRSF001362	TIGR01346
augustus_masked-NQYQ01000002.1-processed-gene-1.5-mRNA-1	mobidb-lite	NA	G3DSA:1.20.1270.60	IPR004148	PS51021	PF03114	PTHR43965	SSF103657	NA	GO:0005515;GO:0005737;GO:0006897	Reactome: R-HSA-182971|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360	Coil	NA	SM00721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000005.1-processed-gene-8.22-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR024316	NA	PF12716	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000010.1-processed-gene-1.16-mRNA-1	NA	NA	G3DSA:3.30.465.10;G3DSA:3.30.43.10	IPR016169	PS51387	PF01565;PF04030	PTHR43762;PTHR43762:SF1	SSF56176	NA	GO:0016491;GO:0050660;GO:0055114;GO:0003885;GO:0016020;GO:0016899;GO:0071949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000136	TIGR01678
maker-NQYQ01000001.1-augustus-gene-12.12-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.40.50.1460	IPR028361	NA	PF01650	PTHR12000:SF1;PTHR12000	NA	NA	GO:0003923;GO:0016255;GO:0042765;GO:0006508;GO:0008233	Reactome: R-HSA-162791	Coil	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	PR00776	NA	NA	NA
maker-NQYQ01000010.1-augustus-gene-6.17-mRNA-1	mobidb-lite	NA	NA	IPR005612	NA	PF03914	PTHR12048	SSF48371	NA	GO:0042254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000003.1-processed-gene-2.27-mRNA-1	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000031.1-processed-gene-1.44-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.20.80.10	IPR000582	PS51228	PF00887	PTHR23310:SF75;PTHR23310	SSF47027	NA	GO:0000062	NA	Coil	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000007.1-augustus-gene-7.26-mRNA-1	mobidb-lite	NA	G3DSA:1.20.58.480	IPR037217	NA	PF01231	PTHR28657:SF3;PTHR28657	SSF140959	NA	GO:0019441;GO:0020037;GO:0046872	KEGG: 00380+1.13.11.11|Reactome: R-HSA-71240	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-3.10-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-23.32-mRNA-1	mobidb-lite	NA	G3DSA:2.30.29.30	IPR016024	NA	PF04802	PTHR23318;PTHR23318:SF0	SSF48371;SSF50729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000002.1-processed-gene-11.30-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000005.1-processed-gene-10.25-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.10.720.150;G3DSA:1.10.472.10;G3DSA:2.130.10.10	IPR027106	PS50294;PS50082	PF00134;PF00400;PF08799	PTHR19846	SSF50978;SSF158230;SSF47954	cd00043;cd00200	GO:0005515	Reactome: R-HSA-72163	NA	NA	SM00385;SM00500;SM00320	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-10.30-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-12.7-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR21535:SF85;PTHR21535	SSF144083	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-2.15-mRNA-1	mobidb-lite	NA	G3DSA:3.10.350.10	IPR018392	PS51782	PF01476	PTHR34997	SSF54106	cd00118	NA	NA	Coil	NA	SM00257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000011.1-processed-gene-1.16-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	IPR002889	PS51212	PF01822	PTHR43662;PTHR43662:SF3	NA	NA	NA	NA	NA	NA	SM00321	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000016.1-augustus-gene-3.28-mRNA-1	mobidb-lite	NA	G3DSA:3.30.420.10;G3DSA:3.90.70.10;G3DSA:2.130.10.10	IPR013520	PS50235	PF00929;PF13423	PTHR15728	SSF50978;SSF54001;SSF53098	cd06143	GO:0005515;GO:0003676;GO:0000289;GO:0004535;GO:0006397;GO:0031251	Reactome: R-HSA-429947	NA	NA	SM00479	NA	NA	NA	NA	NA	NA	NA	MF_03182	NA	NA
augustus_masked-NQYQ01000008.1-processed-gene-6.0-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.30.40.10	IPR001841	PS50089	PF13639	PTHR22765:SF27;PTHR22765	SSF57850	cd16454	NA	NA	NA	NA	SM00184	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-10.3-mRNA-1	mobidb-lite	NA	NA	IPR006849	NA	PF04762	PTHR12747	SSF82171	NA	GO:0002098;GO:0033588	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF017233	NA
maker-NQYQ01000018.1-augustus-gene-4.70-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.300	IPR026300	NA	PF13086;PF16399;PF13087	PTHR10887;PTHR10887:SF5	SSF52540	NA	GO:0000398;GO:0005681	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF038901	NA
augustus_masked-NQYQ01000004.1-processed-gene-1.21-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.10330;G3DSA:2.60.200.30	IPR002504	NA	PF01513	PTHR20275:SF0;PTHR20275	SSF111331	NA	GO:0003951;GO:0006741;GO:0019674	KEGG: 00760+2.7.1.23|MetaCyc: PWY-5083|MetaCyc: PWY-7268|MetaCyc: PWY-7269|Reactome: R-HSA-196807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_00361	NA	NA
maker-NQYQ01000013.1-augustus-gene-0.20-mRNA-1	mobidb-lite	NA	G3DSA:4.10.240.10	IPR036864	PS50048	PF00172;PF04082	PTHR31313	SSF57701	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	NA	SM00066	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000017.1-augustus-gene-0.12-mRNA-1	mobidb-lite	NA	NA	IPR013640	NA	PF08432	PTHR28218	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000017.1-augustus-gene-1.42-mRNA-1	NA	NA	G3DSA:3.20.170.20	IPR009297	NA	PF06108	PTHR34129	SSF56399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-16.23-mRNA-1	mobidb-lite	NA	G3DSA:3.30.160.60	IPR013087	PS50157	PF00096	PTHR44237;PTHR44237:SF3	SSF57667	NA	GO:0003676	NA	NA	NA	SM00355	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-1.34-mRNA-1	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	IPR006598	NA	PF05686	PTHR12203;PTHR12203:SF54	NA	NA	NA	NA	Coil	NA	SM00672	TMhelix	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-10.11-mRNA-1	mobidb-lite	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40	IPR027664	NA	PF00022	PTHR11937:SF16;PTHR11937	SSF53067	NA		Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	Coil	NA	SM00268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-0.17-mRNA-1	NA	NA	G3DSA:1.10.287.370	IPR016661	NA	PF01920	PTHR21100	SSF46579	NA	GO:0006457;GO:0016272;GO:0051082	Reactome: R-HSA-389957	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016477	NA
maker-NQYQ01000011.1-augustus-gene-4.12-mRNA-1	mobidb-lite	NA	G3DSA:3.90.360.10;G3DSA:3.40.630.30	IPR017380	NA	PF10394	PTHR12046	SSF55729	NA	GO:0004402;GO:0005634;GO:0006348;GO:0016573;GO:0006325	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF038084	NA
augustus_masked-NQYQ01000039.1-processed-gene-0.28-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000013.1-processed-gene-2.11-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000019.1-processed-gene-2.21-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:3.20.20.190	IPR017946	NA	NA	PTHR13593:SF74;PTHR13593	SSF51695	NA	GO:0006629;GO:0008081	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000007.1-processed-gene-0.35-mRNA-1	mobidb-lite	NA	NA	IPR024624	NA	PF12766	PTHR28243	SSF50475	NA	GO:0010181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000011.1-processed-gene-2.16-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.1820	IPR000073	NA	PF00561;PF08386	PTHR43487:SF2;PTHR43487	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000008.1-augustus-gene-2.35-mRNA-1	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR000612	NA	PF01679	PTHR21659:SF54;PTHR21659	NA	NA	GO:0016021	NA	NA	NA	NA	TMhelix	PS01309	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000002.1-processed-gene-10.26-mRNA-1	mobidb-lite	NA	G3DSA:3.40.250.10	IPR036873	PS50206	PF00581	PTHR11364;PTHR11364:SF13	SSF52821	cd01449;cd01448	NA	NA	NA	NA	SM00450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000035.1-processed-gene-1.28-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.300;G3DSA:1.10.150.20	IPR033925	PS50162;PS50163	PF08423	PTHR22942;PTHR22942:SF39	SSF47794;SSF52540	cd01123	GO:0003677;GO:0000166;GO:0000150;GO:0000724;GO:0003690;GO:0003697;GO:0008094;GO:1990426;GO:0005524;GO:0006281;GO:0006259	Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579	NA	NA	SM00382	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005856	TIGR02239
augustus_masked-NQYQ01000004.1-processed-gene-12.5-mRNA-1	mobidb-lite	NA	NA	IPR029056	NA	PF00294	PTHR10584;PTHR10584:SF206	SSF53613	cd01943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000029.1-processed-gene-1.18-mRNA-1	mobidb-lite	NA	NA	IPR005037	NA	PF03371	PTHR23142	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000006.1-processed-gene-5.31-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.580.10	IPR019810	NA	PF00285	PTHR11739;PTHR11739:SF15	SSF48256	NA	GO:0006099;GO:0046912	Reactome: R-HSA-1268020|Reactome: R-HSA-71403	NA	NA	NA	NA	PS00480	NA	NA	NA	NA	PR00143	NA	NA	NA
augustus_masked-NQYQ01000027.1-processed-gene-2.11-mRNA-1	mobidb-lite	NA	NA	IPR022024	NA	PF12223	PTHR34693:SF2;PTHR34693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-0.13-mRNA-1	NA	NA	G3DSA:1.10.10.580	IPR006909	NA	PF04824;PF04825	PTHR12585;PTHR12585:SF29	SSF46785	NA	GO:0005515;GO:0007062;GO:0008278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000033.1-augustus-gene-0.18-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	IPR000873	NA	PF00501;PF13193	PTHR43201:SF9;PTHR43201	SSF56801	cd05917	GO:0003824	NA	NA	NA	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-1.15-mRNA-1	NA	NA	G3DSA:3.10.150.10;G3DSA:3.10.150.20;G3DSA:3.40.1190.20	IPR022649	NA	PF02747;PF00705;PF08543	PTHR11352;PTHR11352:SF0	SSF55979;SSF53613	cd00577;cd01173	GO:0003677;GO:0006275;GO:0030337;GO:0008478;GO:0009443	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-539107|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-8866654	NA	NA	NA	NA	PS01251	NA	NA	NA	NA	PR00339	MF_00317	NA	TIGR00590;TIGR00687
augustus_masked-NQYQ01000036.1-processed-gene-1.46-mRNA-1	NA	NA	G3DSA:4.10.1110.10	IPR035896	PS51039	PF01428	PTHR14677:SF20;PTHR14677	SSF118310	NA	GO:0008270	NA	NA	NA	SM00154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000035.1-augustus-gene-0.21-mRNA-1	mobidb-lite	NA	G3DSA:4.10.240.10	IPR001138	PS50048	PF00172	NA	SSF57701	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	SM00066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
