Gene	interpro	GO	PATHWAY	Pfam	MobiDBLite	Gene3D	PANTHER	Coils	ProSiteProfiles	SMART	ProSitePatterns	CDD	SUPERFAMILY	Phobius	TMHMM	PRINTS	ProDom	TIGRFAM	Hamap	SignalP_GRAM_POSITIVE	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD
augustus_masked-NODE_187_length_73439_cov_37.678293-processed-gene-0.4-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_193_length_72035_cov_43.906937-processed-gene-0.0-mRNA-1	IPR013945	GO:0070072	NA	PF08636	mobidb-lite	NA	PTHR28251	Coil	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_386071_cov_40.578874-processed-gene-2.21-mRNA-1	IPR002347	NA	NA	PF00106	mobidb-lite	G3DSA:3.40.50.720	PTHR24320:SF54;PTHR24320	Coil	NA	NA	NA	NA	SSF51735	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_91_length_138862_cov_45.395401-augustus-gene-0.30-mRNA-1	IPR005052	GO:0016020	Reactome: R-HSA-204005|Reactome: R-HSA-5694530	PF03388	mobidb-lite	G3DSA:2.60.120.200	PTHR12223;PTHR12223:SF26	Coil	PS51328	NA	NA	NA	SSF49899	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_163_length_83586_cov_43.166225-processed-gene-0.9-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_47_length_198375_cov_37.931495-processed-gene-0.24-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
maker-NODE_85_length_147426_cov_41.959090-augustus-gene-0.4-mRNA-1	IPR003877	GO:0005515;GO:0048188;GO:0051568	Reactome: R-HSA-201722|Reactome: R-HSA-3214841|Reactome: R-HSA-3769402|Reactome: R-HSA-5617472|Reactome: R-HSA-8936459	NA	mobidb-lite	NA	PTHR10598	NA	PS50188	SM00449	NA	cd12872	SSF49899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_179_length_77029_cov_41.516046-augustus-gene-0.3-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	mobidb-lite	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PTHR24361:SF633;PTHR24361	Coil	PS50011	SM00220	PS00107	cd06609	SSF56112	NA	NA	NA	NA	NA	NA	NA	PIRSF000615	NA	NA	NA
augustus_masked-NODE_297_length_37172_cov_41.805723-processed-gene-0.5-mRNA-1	IPR035994	GO:0003824;GO:0009116	NA	NA	mobidb-lite	NA	PTHR21234:SF16;PTHR21234	NA	NA	NA	NA	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_289_length_38772_cov_41.896416-processed-gene-0.8-mRNA-1	IPR013120	GO:0080019	Reactome: R-HSA-8848584	PF07993	NA	G3DSA:3.40.50.720	PTHR11011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_161_length_84379_cov_41.642026-processed-gene-0.24-mRNA-1	IPR000420	GO:0005199;GO:0005618	NA	PF00399	mobidb-lite	NA	PTHR23124;PTHR23124:SF121	NA	PS50256	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_87_length_145774_cov_43.447088-processed-gene-0.2-mRNA-1	IPR020103	GO:0001522;GO:0003723;GO:0009451;GO:0009982	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00849	mobidb-lite	G3DSA:3.30.2350.10	PTHR43994;PTHR43994:SF2	NA	PS50889	NA	PS01129	cd02557	SSF55120	NA	NA	NA	NA	TIGR00005	NA	NA	NA	NA	NA	NA
maker-NODE_163_length_83586_cov_43.166225-augustus-gene-0.23-mRNA-1	IPR024061	GO:0003677;GO:0003700;GO:0006355	NA	PF05224	mobidb-lite	G3DSA:2.60.40.1390	PTHR35144:SF2;PTHR35144	NA	PS51517	NA	NA	NA	SSF49417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_491_length_4384_cov_44.251351-augustus-gene-0.0-mRNA-1	IPR001229	NA	NA	PF01419;PF12044	mobidb-lite	G3DSA:2.100.10.30	PTHR21054	NA	PS51752	SM00915	NA	NA	SSF51101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_55_length_184469_cov_44.921499-processed-gene-0.25-mRNA-1	IPR012795	GO:0000166;GO:0005524;GO:0005737;GO:0008033;GO:0016879	Reactome: R-HSA-6782315	PF01171	NA	NA	PTHR43033;PTHR43033:SF4	NA	NA	NA	NA	cd01992	SSF52402	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	MF_01161	NA	NA	NA	SignalP-noTM	NA
maker-NODE_320_length_31650_cov_49.011547-augustus-gene-0.0-mRNA-1	IPR040049	GO:0003735;GO:0005739	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF05047	mobidb-lite	NA	PTHR13274	Coil	NA	SM00916	NA	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_70_length_166446_cov_42.056253-augustus-gene-0.0-mRNA-1	IPR021905	GO:0006511;GO:0036459;GO:0016579	NA	PF12030;PF00443	NA	G3DSA:3.90.70.10	PTHR44353:SF1;PTHR44353	NA	PS50235	NA	PS00973	NA	SSF54001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_162_length_83891_cov_44.416217-augustus-gene-0.1-mRNA-1	IPR039774	GO:0003714;GO:0006355	Reactome: R-HSA-400206|Reactome: R-HSA-427413|Reactome: R-HSA-8936459	PF08295;PF02671;PF16879	mobidb-lite	G3DSA:1.20.1160.11	PTHR12346;PTHR12346:SF0	NA	PS51477	SM00761	NA	NA	SSF47762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_186403_cov_37.739988-augustus-gene-0.11-mRNA-1	IPR013809	NA	NA	PF01417	mobidb-lite	G3DSA:1.25.40.90	PTHR12276;PTHR12276:SF45	Coil	PS50942	SM00273	NA	cd03571	SSF48464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_170_length_80800_cov_39.347663-processed-gene-0.3-mRNA-1	IPR001708	GO:0016021;GO:0032977	NA	NA	mobidb-lite	NA	PTHR12428:SF17;PTHR12428	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_121_length_110081_cov_41.377858-processed-gene-0.8-mRNA-1	IPR000909	GO:0006629;GO:0008081	NA	NA	mobidb-lite	G3DSA:3.20.20.190	PTHR13593:SF43;PTHR13593	NA	PS50007	SM00148	NA	cd08586	SSF51695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_254_length_50326_cov_45.805693-processed-gene-0.11-mRNA-1	IPR027417	GO:0005524;GO:0016887	NA	PF00005	mobidb-lite	G3DSA:3.40.50.300	PTHR12847:SF5;PTHR12847	NA	PS50893	SM00382	NA	cd00267	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_55_length_184469_cov_44.921499-augustus-gene-0.15-mRNA-1	IPR006849	GO:0002098;GO:0033588;GO:0005515	Reactome: R-HSA-3214847	PF04762	mobidb-lite	G3DSA:2.130.10.10	PTHR12747	NA	NA	NA	NA	NA	SSF82171	NA	NA	NA	NA	NA	NA	NA	PIRSF017233	NA	NA	NA
augustus_masked-NODE_415_length_15492_cov_52.467166-processed-gene-0.5-mRNA-1	IPR001650	GO:0004386	NA	PF07717;PF00271;PF04408	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	PTHR18934;PTHR18934:SF83	Coil	PS51194;PS51192	SM00487;SM00490;SM00847	PS00690	cd00046;cd00079	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_114_length_116814_cov_45.725274-processed-gene-0.38-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_422_length_14185_cov_45.691635-processed-gene-0.3-mRNA-1	IPR029063	NA	NA	PF13489	NA	G3DSA:3.40.50.150	PTHR43591;PTHR43591:SF3	NA	NA	NA	NA	cd02440	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_243_length_52285_cov_40.479543-processed-gene-0.2-mRNA-1	IPR036770	NA	NA	NA	mobidb-lite	G3DSA:1.25.40.20	NA	NA	NA	NA	NA	NA	SSF48403	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_5_length_445051_cov_35.338130-processed-gene-0.19-mRNA-1	IPR010614	GO:0003677;GO:0004003;GO:0005524;GO:0003676;GO:0006139;GO:0008026;GO:0016818;GO:0005634;GO:0006289	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-2564830|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	PF06733;PF13307;PF06777	mobidb-lite	G3DSA:3.40.50.300	PTHR11472;PTHR11472:SF1	Coil	PS51193	SM00488;SM00491	NA	cd00046	SSF52540	NA	NA	PR00852	NA	TIGR00604	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_166_length_82612_cov_41.423798-processed-gene-0.11-mRNA-1	IPR019261	NA	NA	PF10021	NA	G3DSA:3.40.220.10	PTHR35596:SF2;PTHR35596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_445051_cov_35.338130-augustus-gene-0.6-mRNA-1	IPR017986	GO:0005515;GO:0016226;GO:0097361	Reactome: R-HSA-2564830	PF00400	mobidb-lite	NA	PTHR19920	NA	PS50294;PS50082	SM00320	PS00678	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_221_length_60925_cov_46.384404-augustus-gene-0.8-mRNA-1	IPR008972	NA	NA	NA	mobidb-lite	G3DSA:2.60.40.420	PTHR34883;PTHR34883:SF3	NA	NA	NA	NA	cd00920	SSF49503	TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_20_length_286098_cov_42.192198-processed-gene-1.11-mRNA-1	IPR016624	NA	NA	PF10022	NA	NA	PTHR35339:SF4;PTHR35339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF014753	NA	NA	NA
maker-NODE_67_length_169658_cov_42.682217-augustus-gene-0.36-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	mobidb-lite	G3DSA:3.30.200.20	PTHR24055;PTHR24055:SF337	NA	PS50011	SM00220	PS00107;PS00108	cd14136	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_201_length_67888_cov_37.938682-augustus-gene-0.6-mRNA-1	IPR040062	GO:0022857	NA	PF00153	NA	G3DSA:1.50.40.10	PTHR24089;PTHR24089:SF344	NA	PS50920	NA	NA	NA	SSF103506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_144_length_92890_cov_43.754590-processed-gene-0.25-mRNA-1	IPR013217	NA	NA	PF08242	NA	G3DSA:3.40.50.150	PTHR42912	NA	NA	NA	NA	cd02440	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_215932_cov_41.055295-processed-gene-0.7-mRNA-1	IPR004827	GO:0003700;GO:0006355	NA	PF00170	mobidb-lite	G3DSA:1.20.5.170	PTHR13301;PTHR13301:SF78	Coil	PS50217	SM00338	NA	cd14686	SSF57959	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_796642_cov_41.286555-processed-gene-2.2-mRNA-1	IPR003594	GO:0016310;GO:0016772;GO:0004672	Reactome: R-HSA-70895	PF02518;PF10436	mobidb-lite	G3DSA:1.20.140.20	PTHR11947:SF20;PTHR11947	NA	PS50109	SM00387	NA	cd00075	SSF55874;SSF69012	NA	NA	PR00344	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_79_length_154138_cov_46.235938-processed-gene-0.19-mRNA-1	IPR006439	GO:0016787	NA	PF13419	NA	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	PTHR18901:SF38;PTHR18901	NA	NA	NA	NA	NA	SSF56784	NA	NA	NA	NA	TIGR01509	NA	NA	NA	NA	NA	SFLDG01129;SFLDS00003
maker-NODE_145_length_92092_cov_43.743348-augustus-gene-0.16-mRNA-1	IPR000182	GO:0004343;GO:0006048	Reactome: R-HSA-446210	PF00583	NA	G3DSA:3.40.630.30	PTHR13355:SF11;PTHR13355	NA	PS51186	NA	NA	cd04301	SSF55729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_144_length_92890_cov_43.754590-processed-gene-0.17-mRNA-1	IPR000836	GO:0009116;GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	PF13793;PF14572	NA	G3DSA:3.40.50.2020	PTHR10210;PTHR10210:SF48	NA	NA	SM01400	PS00114	cd06223	SSF53271	NA	NA	NA	NA	TIGR01251	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_100_length_131857_cov_44.196493-processed-gene-0.8-mRNA-1	IPR027417	GO:0005524	NA	PF00004	NA	G3DSA:3.40.50.300	PTHR23077:SF121;PTHR23077	NA	NA	NA	NA	cd00009	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_409_length_16064_cov_36.841940-processed-gene-0.0-mRNA-1	IPR001289	GO:0003700;GO:0006355	Reactome: R-HSA-1989781|Reactome: R-HSA-2426168|Reactome: R-HSA-380994|Reactome: R-HSA-381183	PF02045	mobidb-lite	NA	PTHR12632;PTHR12632:SF6	NA	PS51152	SM00521	NA	NA	NA	NA	NA	PR00616	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_107_length_124630_cov_43.228300-processed-gene-0.15-mRNA-1	IPR001199	GO:0020037	NA	PF00173	NA	G3DSA:3.10.120.10	PTHR19359;PTHR19359:SF68	NA	PS50255	SM01117	PS00191	NA	SSF55856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_165_length_83091_cov_46.255231-processed-gene-0.1-mRNA-1	IPR029063	NA	NA	PF13489	mobidb-lite	G3DSA:3.40.50.150	PTHR13090;PTHR13090:SF1	NA	NA	NA	NA	cd02440	SSF53335	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_2_length_544021_cov_44.932404-processed-gene-4.17-mRNA-1	IPR029675	NA	NA	PF04666	mobidb-lite	NA	PTHR31410	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_251594_cov_40.499505-processed-gene-1.2-mRNA-1	IPR015418	GO:0000123;GO:0016573	Reactome: R-HSA-3214847|Reactome: R-HSA-6804758	PF09340	mobidb-lite	NA	PTHR13476;PTHR13476:SF0	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_239508_cov_44.600256-augustus-gene-0.31-mRNA-1	IPR038988	GO:0033255;GO:0016573	NA	PF15460	mobidb-lite	NA	PTHR38422	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_796642_cov_41.286555-augustus-gene-2.22-mRNA-1	IPR001763	NA	NA	PF00581	mobidb-lite	G3DSA:3.40.250.10	PTHR44086	NA	PS50206	SM00450	NA	cd01519	SSF52821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_172866_cov_45.128124-augustus-gene-0.6-mRNA-1	IPR015931	GO:0003861;GO:0009098;GO:0051539;GO:0009316	KEGG: 00290+4.2.1.33	PF00330;PF00694	mobidb-lite	G3DSA:3.30.499.10;G3DSA:3.30.499.20;G3DSA:3.20.19.10	PTHR43822:SF3;PTHR43822	NA	NA	NA	PS01244;PS00450	cd01583;cd01577	SSF52016;SSF53732	NA	NA	PR00415	NA	TIGR00170;TIGR00171	MF_01026;MF_01031	NA	NA	NA	NA	NA
maker-NODE_161_length_84379_cov_41.642026-augustus-gene-0.0-mRNA-1	IPR001494	GO:0006886;GO:0008536;GO:0006606	NA	PF13513;PF03810	NA	G3DSA:1.25.10.10	PTHR10527:SF6;PTHR10527	NA	PS50166;PS50077	SM01349;SM00913	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_186403_cov_37.739988-processed-gene-0.45-mRNA-1	IPR005101		Reactome: R-HSA-400253	PF03441;PF00875	mobidb-lite	G3DSA:1.10.579.10;G3DSA:3.40.50.620;G3DSA:1.25.40.80	PTHR11455:SF18;PTHR11455	Coil	PS51645	NA	PS00394;PS00691	NA	SSF48173;SSF52425	NA	NA	PR00147	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_99142_cov_40.933535-augustus-gene-0.22-mRNA-1	IPR011047	GO:0005515	NA	PF00400	mobidb-lite	G3DSA:2.130.10.10	PTHR44007	Coil	PS50082;PS50294	SM00320	PS00678	NA	SSF50998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_241_length_52392_cov_44.087860-augustus-gene-0.14-mRNA-1	IPR023213	GO:0004149;GO:0006099;GO:0045252;GO:0016746	Reactome: R-HSA-389661	PF00364;PF00198	mobidb-lite	G3DSA:3.30.559.10	PTHR43416:SF5;PTHR43416	NA	NA	NA	NA	cd06849	SSF51230;SSF52777	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	TIGR01347	NA	NA	NA	NA	NA	NA
maker-NODE_185_length_75098_cov_35.984341-augustus-gene-0.9-mRNA-1	IPR010920	GO:0000387;GO:0005681;GO:0000398;GO:0005732	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-77588	PF01423	NA	G3DSA:2.30.30.100	PTHR11021;PTHR11021:SF0	NA	NA	SM00651	NA	cd01722	SSF50182	NA	NA	NA	NA	NA	NA	NA	PIRSF006609	NA	NA	NA
augustus_masked-NODE_110_length_119480_cov_40.655434-processed-gene-0.36-mRNA-1	IPR000456	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF01196	NA	G3DSA:3.90.1030.10	PTHR14413:SF16;PTHR14413	NA	NA	NA	NA	NA	SSF64263	NA	NA	NA	NA	TIGR00059	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_170454_cov_34.390649-augustus-gene-0.20-mRNA-1	IPR000782	NA	NA	PF02469	mobidb-lite	G3DSA:2.30.180.10	PTHR10900	NA	PS50213;PS51257	SM00554	NA	NA	SSF82153	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_72_length_162633_cov_39.346289-processed-gene-0.30-mRNA-1	IPR012334	NA	NA	NA	NA	G3DSA:2.160.20.10	PTHR42970	NA	NA	NA	NA	NA	SSF51126	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	SignalP-noTM	NA
augustus_masked-NODE_93_length_138598_cov_44.456897-processed-gene-0.11-mRNA-1	IPR029058	GO:0003847;GO:0016042	KEGG: 00565+3.1.1.47	PF12740	NA	NA	PTHR10272:SF15;PTHR10272	NA	NA	NA	NA	NA	SSF53474	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
maker-NODE_76_length_158028_cov_43.019804-augustus-gene-0.12-mRNA-1	IPR001680	GO:0005515	NA	PF12265;PF00400	NA	G3DSA:2.130.10.10	PTHR22850;PTHR22850:SF90	NA	PS50082;PS50294	SM00320	PS00678	NA	SSF50978	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_329_length_29633_cov_45.921779-augustus-gene-0.7-mRNA-1	IPR000672	GO:0004488;GO:0055114;GO:0003824;GO:0004329;GO:0005524	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	PF01268;PF02882;PF00763	NA	G3DSA:3.40.50.10860;G3DSA:3.40.50.720;G3DSA:3.10.410.10;G3DSA:1.10.8.770	PTHR43274	NA	NA	NA	PS00767;PS00722;PS00721;PS00766	cd00477;cd01080	SSF53223;SSF51735;SSF52540	NA	NA	PR00085	NA	NA	MF_01576;MF_01543	NA	NA	NA	NA	NA
maker-NODE_17_length_294554_cov_39.447357-augustus-gene-0.30-mRNA-1	IPR008427	NA	NA	PF05730	mobidb-lite	NA	PTHR35607;PTHR35607:SF5	NA	NA	SM00747	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
maker-NODE_92_length_138825_cov_44.010375-augustus-gene-0.14-mRNA-1	IPR002376	GO:0009058;GO:0016742	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	PF00551	mobidb-lite	G3DSA:3.40.50.170	PTHR11138;PTHR11138:SF0	Coil	NA	NA	NA	cd08646	SSF53328	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_54_length_184649_cov_45.277224-processed-gene-0.1-mRNA-1	IPR037431	GO:0006364;GO:0008408;GO:0003676	NA	PF00929	mobidb-lite	G3DSA:3.30.420.10	PTHR12801;PTHR12801:SF108	NA	NA	SM00479	NA	cd06144	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_345_length_26226_cov_42.920265-augustus-gene-0.5-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	PTHR42345:SF1;PTHR42345	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_376_length_20145_cov_48.063793-processed-gene-0.8-mRNA-1	IPR040151	NA	NA	NA	NA	NA	PTHR28083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
