Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
maker-scaffold47-snap-gene-0.165-mRNA-1	mobidb-lite	TMhelix	IPR018812	NA	PF10307	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR42677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold45-augustus-gene-0.145-mRNA-1	mobidb-lite	NA	IPR007134		PF03986;PF03987	NA	NA	PTHR12866:SF2;PTHR12866	G3DSA:3.30.1460.50	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA
maker-scaffold208-snap-gene-0.7-mRNA-1	mobidb-lite	TMhelix	IPR010989	GO:0016020;GO:0016192	PF05739	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF47661	PTHR19957:SF3;PTHR19957	G3DSA:1.20.58.70	NA	NA	SM00397	PS50192	cd15844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold223-snap-gene-0.0-mRNA-1	NA	NA	IPR034100	GO:0000387;GO:0005681;GO:0000398;GO:0005732	PF01423	NA	SSF50182	PTHR11021:SF0;PTHR11021	G3DSA:2.30.30.100	NA	NA	SM00651	NA	cd01722	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-77588	NA	NA	PIRSF006609	NA	NA	NA	NA
augustus_masked-scaffold150-processed-gene-0.102-mRNA-1	NA	NA	IPR017390	GO:0004843;GO:0016579;GO:0005622;GO:0006511	PF01088;PF18031	NA	SSF54001	PTHR10589:SF16;PTHR10589	G3DSA:3.40.532.10	NA	PR00707	NA	NA	cd09617	NA	NA	Reactome: R-HSA-2173788|Reactome: R-HSA-5689603	NA	NA	PIRSF038120	NA	NA	NA	NA
snap_masked-scaffold153-processed-gene-0.30-mRNA-1	mobidb-lite	NA	IPR000089	GO:0016746	PF02817;PF00364	NA	SSF51230;SSF47005	PTHR23151;PTHR23151:SF82	G3DSA:4.10.320.10;G3DSA:2.40.50.100	PS00189	NA	NA	PS50968;PS51826	cd06849	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA
maker-scaffold398-snap-gene-0.3-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	PTHR21107;PTHR21107:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold583-processed-gene-0.2-mRNA-1	mobidb-lite	NA	IPR000868	GO:0003824;GO:0016491;GO:0055114	PF00857;PF13532	NA	SSF52499;SSF51197	PTHR11080;PTHR11080:SF33	G3DSA:3.40.50.850;G3DSA:2.60.120.590	NA	NA	NA	PS51471	cd00431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold29-snap-gene-0.142-mRNA-1	NA	NA	IPR002347	GO:0016491	PF00106	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	SSF51735	PTHR42760;PTHR42760:SF33	G3DSA:3.40.50.720	PS00061	PR00081;PR00080	SM00822	NA	cd05233	Coil	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-scaffold269-snap-gene-0.79-mRNA-1	NA	NA	IPR000014	NA	PF13426	NA	SSF55785	PTHR24351;PTHR24351:SF160	G3DSA:3.30.450.20	NA	NA	NA	PS50112	cd00130	NA	TIGR00229	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold288-processed-gene-0.12-mRNA-1	mobidb-lite	NA	IPR000717	NA	PF18055;PF01399;PF18503	NA	SSF46785	PTHR10678;PTHR10678:SF2	G3DSA:1.25.40.570	NA	NA	SM00088;SM00753	PS50250	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold260-snap-gene-0.1-mRNA-1	NA	TMhelix	IPR029058	GO:0006508;GO:0008236	PF05577	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF53474	PTHR11010:SF23;PTHR11010	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	SignalP-noTM	NA
maker-scaffold538-snap-gene-0.4-mRNA-1	mobidb-lite	TMhelix	IPR008979	GO:0004553;GO:0005975	PF13364;PF10435;PF01301;PF13363	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SSF49785;SSF117100;SSF51445;SSF51011	PTHR23421:SF64;PTHR23421	G3DSA:2.60.120.260;G3DSA:3.20.20.80;G3DSA:2.60.390.10;G3DSA:2.102.20.10	PS01182	PR00742	SM01029	NA	NA	NA	NA	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA
maker-scaffold203-snap-gene-0.142-mRNA-1	mobidb-lite	TMhelix	IPR019433	NA	PF10333	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	PTHR28022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
augustus_masked-scaffold506-processed-gene-0.11-mRNA-1	mobidb-lite	NA	IPR027437	GO:0003723;GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003676	PF00416	NA	SSF46946	PTHR10871;PTHR10871:SF19	G3DSA:4.10.910.10	PS00646	NA	NA	PS50159	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	PIRSF002134	NA	NA	NA	NA
maker-scaffold267-snap-gene-0.19-mRNA-1	mobidb-lite	NA	IPR006620	GO:0005506;GO:0016705;GO:0031418;GO:0055114;GO:0016491	PF13640	NA	NA	PTHR10869;PTHR10869:SF80	G3DSA:2.60.120.620	NA	NA	SM00702	PS51471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold26-snap-gene-0.13-mRNA-1	NA	NA	IPR036291	GO:0003824;GO:0031177;GO:0004043;GO:0009085;GO:0000776	PF00550;PF00501;PF07993;PF09447	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF51735;SSF47336;SSF56801	PTHR44845;PTHR44845:SF1	G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.30.300.30	PS00455	NA	SM00823	PS50075	cd05930;cd05235	Coil	TIGR01733;TIGR01746;TIGR03443	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	PIRSF001617	NA	NA	NA	NA
augustus_masked-scaffold110-processed-gene-0.28-mRNA-1	mobidb-lite	TMhelix	IPR021765	GO:0043386	PF11807	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	PTHR33365:SF10;PTHR33365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold221-snap-gene-0.82-mRNA-1	NA	NA	IPR026904	GO:0006904;GO:0016192;GO:0008033;GO:0050660;GO:0002098	PF13932;PF01134;PF00995	NA	SSF56815;SSF51905	PTHR11806;PTHR11806:SF0	G3DSA:3.90.830.10;G3DSA:1.10.150.570;G3DSA:3.40.50.1910;G3DSA:3.40.50.2060;G3DSA:1.25.40.60;G3DSA:3.50.50.60	PS01280;PS01281	NA	SM01228	NA	NA	NA	TIGR00136	Reactome: R-HSA-6787450	MF_00129	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold2-processed-gene-0.115-mRNA-1	NA	NA	IPR017926	NA	PF00117	NA	SSF52317	PTHR42695	G3DSA:3.40.50.880	NA	NA	NA	PS51273	cd01741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold53-augustus-gene-0.21-mRNA-1	mobidb-lite	NA	IPR032742	GO:0005634;GO:0006338;GO:0031011	PF14612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold495-augustus-gene-0.11-mRNA-1	NA	NA	IPR036641	GO:0000160	PF01627	NA	SSF47226	PTHR28242;PTHR28242:SF9	G3DSA:1.20.120.160	NA	NA	NA	PS50894	cd00088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold308-processed-gene-0.79-mRNA-1	NA	NA	IPR017986	GO:0005515;GO:0016226;GO:0097361	PF00400	NA	SSF50978	PTHR19920	G3DSA:2.130.10.10	NA	NA	SM00320	PS50294;PS50082	NA	NA	NA	Reactome: R-HSA-2564830	MF_03037	NA	NA	NA	NA	NA	NA
maker-scaffold135-snap-gene-0.87-mRNA-1	NA	NA	IPR036928	GO:0004040	PF01425	NA	SSF75304	PTHR11895;PTHR11895:SF4	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	NA	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	PIRSF001221	NA	NA	NA	NA
snap_masked-scaffold95-processed-gene-0.35-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
maker-scaffold2-snap-gene-0.4-mRNA-1	mobidb-lite	NA	IPR001650	NA	PF00271	NA	SSF52540	PTHR10799	G3DSA:3.40.50.300	NA	NA	SM00490	NA	cd00079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold40-processed-gene-0.228-mRNA-1	NA	NA	IPR018108	GO:0022857;GO:0055085	PF00153	NA	SSF103506	PTHR24089:SF168;PTHR24089	G3DSA:1.50.40.10	NA	PR00926	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold12-processed-gene-0.258-mRNA-1	mobidb-lite	NA	IPR007150	GO:0000077;GO:0030896;GO:0005730	PF04005	NA	NA	PTHR12900;PTHR12900:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF011312	NA	NA	NA	NA
maker-scaffold51-snap-gene-0.53-mRNA-1	mobidb-lite	NA	IPR002641	GO:0006629	PF01734	NA	SSF52151	PTHR10622;PTHR10622:SF13	G3DSA:3.40.1090.10	NA	NA	NA	PS51635	cd07216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold124-exonerate_protein2genome-gene-0.1-mRNA-1	NA	TMhelix	IPR001457	GO:0008137;GO:0055114	PF00499	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR33269;PTHR33269:SF4	G3DSA:1.20.120.1200	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA
maker-scaffold6-snap-gene-0.207-mRNA-1	NA	NA	IPR027417	GO:0005525;GO:0003924	PF01031;PF00350	NA	SSF52540	PTHR11566:SF129;PTHR11566	G3DSA:3.40.50.300	NA	PR00195	SM00053	PS51388	cd08771	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold106-snap-gene-0.100-mRNA-1	mobidb-lite	NA	IPR001356	GO:0003677	PF00046	NA	SSF46689	PTHR24326:SF511;PTHR24326	G3DSA:1.10.10.60	NA	NA	SM00389	PS50071	cd00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold148-snap-gene-0.23-mRNA-1	NA	NA	IPR018103	NA	PF00838	NA	SSF51316	PTHR11991;PTHR11991:SF0	G3DSA:2.170.150.10	PS01003	PR01653	NA	PS51797	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold32-augustus-gene-0.6-mRNA-1	NA	NA	IPR015424	GO:0003824	PF00266	NA	SSF53383	PTHR43092;PTHR43092:SF2	G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold6-processed-gene-0.311-mRNA-1	NA	NA	IPR003819	GO:0016491;GO:0055114	PF02668	NA	SSF51197	PTHR30468;PTHR30468:SF19	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold247-processed-gene-0.58-mRNA-1	NA	NA	IPR015712	GO:0003899;GO:0006351;GO:0032549;GO:0003677	PF00562;PF04565;PF04560;PF04563;PF04561;PF04567;PF04566	NA	SSF64484	PTHR20856:SF8;PTHR20856	G3DSA:2.40.270.10;G3DSA:3.90.1070.20;G3DSA:3.90.1800.10;G3DSA:3.90.1110.10;G3DSA:2.40.50.150;G3DSA:3.90.1100.10	PS01166	NA	NA	NA	cd00653	NA	NA	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA
maker-scaffold44-snap-gene-0.220-mRNA-1	mobidb-lite	NA	IPR039796	GO:0016226	PF01883	NA	SSF117916	PTHR12377:SF0;PTHR12377	G3DSA:3.30.300.130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold349-processed-gene-0.8-mRNA-1	mobidb-lite	NA	IPR036599	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0071897;GO:0003909;GO:0051103	PF04679;PF04675;PF01068	NA	SSF50249;SSF56091;SSF117018	PTHR10459:SF10;PTHR10459	G3DSA:1.10.3260.10;G3DSA:3.30.1490.70;G3DSA:2.40.50.140	PS00333	NA	NA	PS50160	cd07900;cd07969	NA	TIGR00574	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold70-processed-gene-0.131-mRNA-1	mobidb-lite	NA	IPR011598	GO:0046983;GO:0006355	PF00010	NA	SSF47459	PTHR12565;PTHR12565:SF290	G3DSA:4.10.280.10	NA	NA	SM00353	PS50888	cd00083	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold540-augustus-gene-0.3-mRNA-1	mobidb-lite	NA	IPR000210	GO:0005515	PF00651;PF13418;PF13854	NA	SSF117281;SSF54695	PTHR23244;PTHR23244:SF354	G3DSA:2.120.10.80	NA	NA	SM00225	PS50097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold571-processed-gene-0.26-mRNA-1	mobidb-lite	NA	IPR008220	GO:0009058;GO:0016747	PF00561	NA	SSF53474	PTHR42886;PTHR42886:SF6	NA	NA	NA	NA	NA	NA	NA	TIGR01392	NA	MF_00296	NA	PIRSF000443	NA	NA	NA	NA
maker-scaffold24-snap-gene-0.149-mRNA-1	mobidb-lite	NA	IPR001650	GO:0003676;GO:0005524	PF00270;PF00271	NA	SSF52540	PTHR24031:SF331;PTHR24031	G3DSA:3.40.50.300	NA	NA	SM00490;SM00487	PS51194;PS51192;PS51195	cd00079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold284-processed-gene-0.10-mRNA-1	mobidb-lite	NA	IPR011513	GO:0006281;GO:0030915	PF07574;PF08746	NA	NA	PTHR20973	G3DSA:3.30.40.10;G3DSA:1.10.10.10	NA	NA	NA	NA	cd16493	NA	NA	MetaCyc: PWY-7511|Reactome: R-HSA-3108214	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold105-processed-gene-0.90-mRNA-1	mobidb-lite	NA	IPR004154	GO:0005737	PF03129;PF13393	NA	SSF55681;SSF52954	PTHR11476	G3DSA:3.30.930.10;G3DSA:3.40.50.800	NA	NA	NA	PS50862	cd00859;cd00773	Coil	NA	KEGG: 00970+6.1.1.21	NA	NA	PIRSF001549	NA	NA	NA	NA
maker-scaffold14-augustus-gene-0.284-mRNA-1	mobidb-lite	TMhelix	IPR007568	GO:0016021	PF04479	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR31465;PTHR31465:SF8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold22-snap-gene-0.73-mRNA-1	NA	NA	IPR012577	NA	PF07978	NA	SSF54909	PTHR21017;PTHR21017:SF17	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold196-processed-gene-0.92-mRNA-1	mobidb-lite	TMhelix	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR21521	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold144-processed-gene-0.144-mRNA-1	mobidb-lite	NA	IPR034646	NA	PF09751;PF03109	NA	SSF56112	PTHR43851;PTHR43851:SF3	NA	NA	NA	NA	NA	cd13970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold294-processed-gene-0.22-mRNA-1	NA	NA	IPR005121	GO:0000049;GO:0004812;GO:0005524;GO:0043039;GO:0000166;GO:0004826;GO:0005737;GO:0006432	PF03147;PF01409	NA	SSF54991;SSF55681	PTHR11538:SF41;PTHR11538	G3DSA:3.30.930.10;G3DSA:3.30.70.380	NA	NA	SM00896	PS51447;PS50862	cd00496	NA	TIGR00469	KEGG: 00970+6.1.1.20	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold273-processed-gene-0.91-mRNA-1	mobidb-lite	NA	IPR036910	NA	PF10263	NA	SSF47095	PTHR23099	G3DSA:1.10.30.10	NA	NA	NA	NA	cd01390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold173-augustus-gene-0.9-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold44-processed-gene-0.41-mRNA-1	mobidb-lite	NA	IPR036412	NA	PF12710	NA	SSF56784	PTHR43344:SF2;PTHR43344	G3DSA:3.40.50.1000	NA	NA	NA	NA	cd07500	NA	TIGR01488;TIGR00338	NA	NA	SFLDS00003;SFLDF00029	NA	NA	NA	NA	NA
snap_masked-scaffold211-processed-gene-0.31-mRNA-1	mobidb-lite	NA	IPR001810	GO:0005515	PF12014;PF12937	NA	SSF81383	PTHR22990;PTHR22990:SF27	G3DSA:1.20.1280.50	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold3-processed-gene-0.106-mRNA-1	NA	NA	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF48264	PTHR24287;PTHR24287:SF5	G3DSA:1.10.630.10	PS00086	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold324-snap-gene-0.15-mRNA-1	mobidb-lite	NA	IPR032675	NA	NA	NA	SSF52047	NA	G3DSA:3.80.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold59-processed-gene-0.47-mRNA-1	NA	NA	IPR023534	GO:0003723;GO:0004540;GO:0006396;GO:0030677;GO:0008033	PF01868	NA	SSF101744	PTHR13348	G3DSA:2.30.30.210	NA	NA	SM00538	NA	NA	NA	NA	Reactome: R-HSA-6784531	NA	NA	PIRSF027081	NA	NA	NA	NA
maker-scaffold30-augustus-gene-0.0-mRNA-1	NA	NA	IPR000533		PF12718	NA	SSF57997	PTHR19269;PTHR19269:SF45	G3DSA:1.20.5.340	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-390522|Reactome: R-HSA-445355	NA	NA	NA	NA	NA	NA	NA
maker-scaffold1-snap-gene-1.251-mRNA-1	mobidb-lite	NA	IPR035901	GO:0006281;GO:0017108;GO:0033557	PF01541	NA	SSF82771	PTHR20208	G3DSA:3.40.1440.10;G3DSA:3.30.40.10	NA	NA	NA	PS50164	cd10455	NA	NA	Reactome: R-HSA-5693568|Reactome: R-HSA-6783310	MF_03100	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold150-processed-gene-0.103-mRNA-1	mobidb-lite	NA	IPR017927	GO:0016491;GO:0055114	PF00667;PF00175	NA	SSF52343;SSF63380	PTHR19384:SF84;PTHR19384	G3DSA:1.20.990.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	NA	PR00371	NA	PS51384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold115-snap-gene-0.9-mRNA-1	NA	TMhelix	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold341-processed-gene-0.29-mRNA-1	NA	NA	IPR002108	GO:0003779;GO:0005622	PF00241	NA	SSF55753	PTHR10829;PTHR10829:SF29	G3DSA:3.40.20.10	NA	NA	SM00102	PS51263	cd11282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold157-snap-gene-0.5-mRNA-1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	SSF57701	PTHR31313:SF25;PTHR31313	G3DSA:4.10.240.10	PS00463	NA	SM00066	PS50048	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold210-processed-gene-0.75-mRNA-1	mobidb-lite	NA	IPR008271	GO:0004672;GO:0006468;GO:0005524	PF00069	NA	SSF56112	PTHR43671;PTHR43671:SF19	G3DSA:1.10.510.10	PS00108;PS00107	NA	SM00220	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold37-processed-gene-0.85-mRNA-1	NA	NA	IPR016193	GO:0003824;GO:0002100;GO:0008251	PF14437	NA	SSF53927	PTHR11079:SF149;PTHR11079	G3DSA:3.40.140.10	NA	NA	NA	PS51747	cd01285	NA	NA	Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold180-processed-gene-0.15-mRNA-1	mobidb-lite	NA	IPR004353		PF03164	NA	NA	PTHR13027;PTHR13027:SF7	NA	NA	PR01546	NA	NA	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold295-processed-gene-0.7-mRNA-1	mobidb-lite	TMhelix	IPR011016	GO:0008270	PF12906	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF57850	PTHR23012:SF155;PTHR23012	G3DSA:3.30.40.10	NA	NA	SM00744	PS51292	cd16495	NA	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold246-processed-gene-0.2-mRNA-1	mobidb-lite	NA	IPR011051	NA	PF06172	NA	SSF51182	PTHR33387;PTHR33387:SF3	G3DSA:2.60.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold578-processed-gene-0.0-mRNA-1	NA	NA	IPR024655	NA	PF11790	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SSF51445	PTHR34154;PTHR34154:SF2	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
maker-scaffold295-augustus-gene-0.97-mRNA-1	mobidb-lite	NA	IPR012952	GO:0005515	PF08149;PF00400	NA	SSF50978	PTHR14085	G3DSA:2.130.10.10	PS00678	NA	SM01033;SM00320	PS50294;PS50082	NA	Coil	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	PD023243
augustus_masked-scaffold506-processed-gene-0.7-mRNA-1	mobidb-lite	NA	IPR037188	GO:0042256;GO:0042254	PF01172;PF09377	NA	SSF109728;SSF89895	PTHR10927;PTHR10927:SF1	G3DSA:1.10.10.900;G3DSA:3.30.70.240;G3DSA:3.30.1250.10	NA	NA	NA	NA	NA	NA	TIGR00291	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold39-processed-gene-0.143-mRNA-1	mobidb-lite	NA	IPR029058	GO:0006470;GO:0008138;GO:0016311;GO:0016791;GO:0004725	PF12697;PF00782	NA	SSF53474;SSF52799	PTHR10367:SF6;PTHR10367	G3DSA:3.90.190.10;G3DSA:3.40.50.1820	PS00383	NA	SM00195;SM00404	PS50056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold114-snap-gene-0.7-mRNA-1	mobidb-lite	NA	IPR005556	NA	PF03856	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	PTHR31316:SF0;PTHR31316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
maker-scaffold98-snap-gene-0.107-mRNA-1	NA	NA	IPR001216	GO:0006535	PF00291	NA	SSF53686	PTHR10314:SF159;PTHR10314	G3DSA:3.40.50.1100	PS00901	NA	NA	NA	cd01561	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
