Gene	interpro	GO	SUPERFAMILY	Pfam	PANTHER	Gene3D	SignalP_GRAM_POSITIVE	CDD	MobiDBLite	SMART	ProSiteProfiles	Phobius	ProSitePatterns	Coils	TMHMM	PATHWAY	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	TIGRFAM	Hamap	ProDom	PIRSF	SFLD
maker-NODE_15_length_474549_cov_63.245189-augustus-gene-1.10-mRNA-1	NA	NA	NA	NA	PTHR37852	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_391651_cov_54.823929-processed-gene-2.41-mRNA-1	NA	NA	NA	NA	PTHR12652;PTHR12652:SF25	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-6.17-mRNA-1	NA	NA	SSF82199	NA	PTHR13271:SF49;PTHR13271	G3DSA:3.90.1410.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_103_length_48221_cov_33.320788-augustus-gene-0.0-mRNA-1	IPR002317	GO:0000166;GO:0004828;GO:0005524;GO:0006434	SSF55681	NA	PTHR11778;PTHR11778:SF7	G3DSA:3.30.930.10	NA	NA	NA	NA	NA	NA	NA	Coil	NA	KEGG: 00970+6.1.1.11|MetaCyc: PWY-6281	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_981360_cov_65.668740-augustus-gene-3.32-mRNA-1	IPR026872	GO:0005965;GO:0018343;GO:0003824	SSF48239	PF00432	PTHR11774;PTHR11774:SF6	G3DSA:1.50.10.20	NA	cd02893	NA	NA	NA	NA	NA	NA	NA	KEGG: 00900+2.5.1.58|Reactome: R-HSA-2514859	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_458646_cov_62.714747-augustus-gene-0.2-mRNA-1	IPR008979	GO:0005680;GO:0031145	SSF49785	PF03256	PTHR12936	G3DSA:2.60.120.260	NA	cd08366	mobidb-lite	SM01337	PS51284	NA	NA	NA	NA	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_184844_cov_65.641565-processed-gene-0.80-mRNA-1	IPR006735	GO:1902979	SSF57850	PF04641	PTHR12775	G3DSA:3.30.40.10	NA	cd16653	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_768202_cov_65.452000-augustus-gene-0.34-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	PTHR31845:SF14;PTHR31845	NA	NA	NA	mobidb-lite	NA	NA	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_245411_cov_62.928797-processed-gene-1.6-mRNA-1	NA	NA	NA	NA	PTHR42053	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_423208_cov_63.707385-processed-gene-3.11-mRNA-1	IPR011425	GO:0003712;GO:0006357;GO:0016592	NA	PF07544	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_99_length_50446_cov_70.745444-augustus-gene-0.15-mRNA-1	NA	NA	NA	NA	PTHR30344;PTHR30344:SF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_61_length_137559_cov_59.310939-processed-gene-0.11-mRNA-1	IPR005197	GO:0016787	NA	PF03659	PTHR43173:SF10;PTHR43173	G3DSA:3.20.20.80	NA	cd11577	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1091443_cov_63.945247-augustus-gene-3.38-mRNA-1	IPR034660	NA	SSF109854	PF09351	PTHR36922	G3DSA:1.20.120.450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_449563_cov_64.535306-processed-gene-2.30-mRNA-1	IPR023577	GO:0050333;GO:0006772	SSF55154	PF01928	PTHR14586	G3DSA:2.40.320.10	NA	cd07758	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-196819	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_361630_cov_63.766165-processed-gene-1.16-mRNA-1	IPR036291	NA	SSF51735	NA	PTHR42748;PTHR42748:SF12	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_67_length_121491_cov_57.880764-augustus-gene-0.4-mRNA-1	IPR012349	GO:0048037;GO:0010181	SSF50475	PF01613	PTHR33798	G3DSA:2.30.110.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_925979_cov_65.326036-augustus-gene-3.30-mRNA-1	IPR037177	GO:0007017;GO:0030286;GO:0005875	SSF54648	PF01221	PTHR11886	G3DSA:3.30.740.10	NA	NA	mobidb-lite	SM01375	NA	NA	PS01239	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-1632852|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-5620924|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_619819_cov_63.830454-augustus-gene-0.4-mRNA-1	IPR022896	GO:0004807;GO:0006096;GO:0003824	SSF51351	PF00121	PTHR21139:SF15;PTHR21139	G3DSA:3.20.20.70	NA	cd00311	NA	NA	PS51440	NA	PS00171	NA	NA	KEGG: 00010+5.3.1.1|KEGG: 00051+5.3.1.1|KEGG: 00562+5.3.1.1|KEGG: 00710+5.3.1.1|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7003|Reactome: R-HSA-70171|Reactome: R-HSA-70263	NA	NA	NA	TIGR00419	MF_00147_B	NA	NA	NA
maker-NODE_40_length_245411_cov_62.928797-augustus-gene-1.40-mRNA-1	IPR000086	GO:0016787	SSF55811	PF00293	PTHR12992;PTHR12992:SF0	G3DSA:3.90.79.10	NA	cd03426	mobidb-lite	NA	PS51462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_260034_cov_65.474450-processed-gene-1.14-mRNA-1	IPR001351	GO:0003735;GO:0005840;GO:0006412;GO:0003723;GO:0015935	SSF54814;SSF54821	PF00189;PF07650	PTHR11760;PTHR11760:SF20	G3DSA:3.30.300.20;G3DSA:3.30.1140.32	NA	cd02413	mobidb-lite	NA	PS50823	NA	PS00548	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	TIGR01008	NA	NA	NA	NA
augustus_masked-NODE_35_length_281661_cov_61.178106-processed-gene-0.15-mRNA-1	IPR020850	NA	NA	NA	PTHR11566;PTHR11566:SF135	NA	NA	NA	mobidb-lite	NA	PS51388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_260034_cov_65.474450-augustus-gene-1.67-mRNA-1	IPR000504	GO:0003676	SSF54928	PF00076	PTHR44160;PTHR44160:SF3	G3DSA:3.30.70.330	NA	cd12619;cd12622;cd12614	mobidb-lite	SM00360;SM00361	PS50102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_536238_cov_57.715738-processed-gene-1.47-mRNA-1	IPR007955		NA	PF05291	PTHR12821	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_536238_cov_57.715738-processed-gene-4.16-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_527745_cov_64.590967-processed-gene-4.48-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_263057_cov_61.801365-processed-gene-0.5-mRNA-1	IPR025390	NA	SSF54236	PF13373;PF10302	PTHR12943;PTHR12943:SF36	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_84_length_76232_cov_64.357388-processed-gene-0.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-5.4-mRNA-1	IPR018819	NA	NA	PF10332	PTHR28293	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_449563_cov_64.535306-processed-gene-3.24-mRNA-1	IPR036457	GO:0043169;GO:0003824;GO:0004722;GO:0006470	SSF81606	PF00481	PTHR13832:SF529;PTHR13832	G3DSA:3.60.40.10	NA	cd00143	mobidb-lite	SM00332	PS51746	NA	PS01032	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_177865_cov_65.219587-processed-gene-0.12-mRNA-1	IPR036704	NA	SSF89562	PF03737	PTHR33254;PTHR33254:SF4	G3DSA:3.50.30.100	NA	cd16841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_245411_cov_62.928797-processed-gene-1.11-mRNA-1	IPR016654	GO:0006397	SSF50182	PF01423	PTHR13829	G3DSA:2.30.30.100	NA	cd01725	NA	SM00651	NA	NA	NA	Coil	NA	Reactome: R-HSA-430039|Reactome: R-HSA-72163|Reactome: R-HSA-72165	NA	NA	NA	NA	NA	NA	PIRSF016394	NA
maker-NODE_17_length_449563_cov_64.535306-augustus-gene-3.5-mRNA-1	IPR005024	GO:0007034	NA	PF03357	PTHR22761;PTHR22761:SF10	G3DSA:1.10.287.1060	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_886839_cov_63.192135-augustus-gene-6.5-mRNA-1	IPR010458	GO:0016106;GO:0045482;GO:0016838	SSF48576	PF06330	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	NA	NA	NA	NA	NA	NA	PIRSF001388	SFLDS00005;SFLDG01021
maker-NODE_27_length_355571_cov_60.543135-augustus-gene-2.4-mRNA-1	IPR021917	NA	NA	PF12044	PTHR21054	NA	NA	NA	mobidb-lite	NA	PS51752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-3.25-mRNA-1	IPR000297	GO:0003755	SSF54534	PF13616	PTHR10657:SF25;PTHR10657	G3DSA:3.10.50.40	NA	NA	NA	NA	PS50198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_515982_cov_63.869335-processed-gene-1.10-mRNA-1	IPR023753	GO:0016491;GO:0055114	SSF51905	PF07992	PTHR43706;PTHR43706:SF11	G3DSA:3.50.50.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-3.28-mRNA-1	IPR032465	GO:0016831;GO:0016787	SSF51556	PF04909	PTHR21240;PTHR21240:SF18	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_515982_cov_63.869335-augustus-gene-4.19-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_244374_cov_61.795191-augustus-gene-0.33-mRNA-1	NA	NA	NA	NA	PTHR39597;PTHR39597:SF1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_263057_cov_61.801365-processed-gene-1.33-mRNA-1	IPR032710	NA	SSF54427	NA	PTHR32083;PTHR32083:SF41	G3DSA:3.10.450.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_388669_cov_60.231074-augustus-gene-2.9-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_87_length_70434_cov_52.044434-processed-gene-0.6-mRNA-1	IPR002016	GO:0004601;GO:0006979;GO:0020037;GO:0055114;GO:0004096	SSF48113	PF00141	PTHR30555;PTHR30555:SF0	G3DSA:1.10.420.10;G3DSA:1.10.420.20;G3DSA:1.10.520.10	NA	cd00649;cd08200	NA	NA	PS50873	NA	PS00436;PS00435	NA	NA	KEGG: 00360+1.11.1.21|KEGG: 00380+1.11.1.21|KEGG: 00940+1.11.1.21|KEGG: 00983+1.11.1.21|MetaCyc: PWY-5506	PR00458;PR00460	NA	NA	TIGR00198	MF_01961	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-2.1-mRNA-1	IPR011009	GO:0004672;GO:0005524;GO:0006468	SSF56112	PF00069	PTHR11909;PTHR11909:SF298	G3DSA:1.10.510.10	NA	cd14016	NA	SM00220	PS50011	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_390111_cov_61.126862-augustus-gene-2.14-mRNA-1	IPR016024	GO:0006606;GO:0006886;GO:0008536	SSF48371	PF13513;PF03810	PTHR10527;PTHR10527:SF6	NA	NA	NA	NA	SM01349	PS50166;PS50077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_108_length_44645_cov_66.303068-processed-gene-0.2-mRNA-1	IPR018108	GO:0017119	SSF103506	PF00153;PF04124	PTHR21311	G3DSA:1.50.40.10	NA	NA	NA	NA	PS50920	NA	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_71_length_104112_cov_67.682839-processed-gene-0.3-mRNA-1	IPR029045	NA	SSF52096	NA	PTHR37049:SF2;PTHR37049	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_177865_cov_65.219587-processed-gene-0.21-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_981360_cov_65.668740-processed-gene-2.14-mRNA-1	IPR002842	GO:0015991;GO:0033178;GO:0046961	SSF160527	PF01991	PTHR12317;PTHR12317:SF29	G3DSA:3.30.2320.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	NA	NA	MF_00311	NA	NA	NA
maker-NODE_3_length_925979_cov_65.326036-augustus-gene-4.7-mRNA-1	IPR006811	GO:0004721;GO:0005634;GO:0006397	NA	PF04722	PTHR20383;PTHR20383:SF9	G3DSA:3.40.50.2300	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|Reactome: R-HSA-6807505	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_981360_cov_65.668740-processed-gene-8.35-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_388669_cov_60.231074-augustus-gene-2.17-mRNA-1	IPR037651	GO:0000812;GO:0006338;GO:0043486	SSF81995	NA	PTHR28108	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-5.35-mRNA-1	IPR016635	GO:0015031;GO:0008565;GO:0030122	SSF64356	PF01217	PTHR11753;PTHR11753:SF6	G3DSA:3.30.450.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-167590|Reactome: R-HSA-177504|Reactome: R-HSA-182218|Reactome: R-HSA-2132295|Reactome: R-HSA-3928665|Reactome: R-HSA-416993|Reactome: R-HSA-437239|Reactome: R-HSA-5099900|Reactome: R-HSA-5140745|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8866427|Reactome: R-HSA-8964038	NA	NA	NA	NA	NA	NA	PIRSF015588	NA
augustus_masked-NODE_63_length_132141_cov_64.118457-processed-gene-0.26-mRNA-1	IPR005301	NA	SSF101152	PF03637	PTHR22599;PTHR22599:SF8	G3DSA:1.20.140.30	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_515982_cov_63.869335-processed-gene-4.55-mRNA-1	NA	NA	NA	NA	PTHR39474	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_299942_cov_60.100205-augustus-gene-1.47-mRNA-1	IPR037104	GO:0005509;GO:0005544	SSF47874	PF00191	PTHR10502;PTHR10502:SF107	G3DSA:1.10.220.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-3.11-mRNA-1	IPR037738	NA	NA	NA	PTHR36826	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_260034_cov_65.474450-processed-gene-1.8-mRNA-1	IPR036010	GO:0009055;GO:0051536;GO:0051537;GO:0006099;GO:0016491;GO:0055114	SSF54292;SSF46548	PF13534;PF13085	PTHR11921:SF29;PTHR11921	G3DSA:1.10.1060.10;G3DSA:3.10.20.30	NA	cd00207	mobidb-lite	NA	PS51379;PS51085	NA	PS00198;PS00197	NA	NA	KEGG: 00020+1.3.5.1|KEGG: 00190+1.3.5.1|KEGG: 00650+1.3.5.1|KEGG: 00720+1.3.5.1|MetaCyc: PWY-3781|MetaCyc: PWY-4302|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7279|Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	TIGR00384	NA	NA	NA	NA
augustus_masked-NODE_5_length_868829_cov_62.810630-processed-gene-7.23-mRNA-1	IPR011042	GO:0004064	NA	PF01731	PTHR11799:SF2;PTHR11799	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	KEGG: 00363+3.1.1.2|Reactome: R-HSA-2142688	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_712399_cov_64.450715-augustus-gene-1.32-mRNA-1	IPR026873	GO:0004663;GO:0018344;GO:0003824	SSF48239	PF00432	PTHR11774;PTHR11774:SF11	G3DSA:1.50.10.20	NA	cd02894	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6803205|Reactome: R-HSA-8873719	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_515982_cov_63.869335-augustus-gene-1.4-mRNA-1	IPR010961	GO:0003870;GO:0030170;GO:0033014;GO:0016740;GO:0009058;GO:0003824	SSF53383	PF00155	PTHR13693:SF57;PTHR13693	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SignalP-TM	cd06454	mobidb-lite	NA	NA	NA	PS00599	NA	NA	KEGG: 00260+2.3.1.37|KEGG: 00860+2.3.1.37|MetaCyc: PWY-5189|MetaCyc: PWY-7536|Reactome: R-HSA-189451	NA	NA	NA	TIGR01821	NA	NA	NA	NA
augustus_masked-NODE_7_length_845801_cov_64.679335-processed-gene-1.23-mRNA-1	IPR011989	GO:0003682;GO:0010468	SSF48371	PF12830;PF12765	PTHR21704;PTHR21704:SF18	G3DSA:1.25.10.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-2470946	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-5.1-mRNA-1	IPR019384	NA	SSF81995;SSF48371	PF10257	PTHR21705;PTHR21705:SF5	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-7.24-mRNA-1	IPR029033	NA	SSF53254	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_221422_cov_64.839789-processed-gene-1.39-mRNA-1	IPR007242	GO:0000045;GO:0005737	SSF54236	PF04110	PTHR13385	G3DSA:3.10.20.90	NA	cd01612	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_845801_cov_64.679335-processed-gene-2.35-mRNA-1	IPR000783	GO:0003677;GO:0003899;GO:0006351;GO:0005634	SSF53036;SSF55287	PF01191;PF03871	PTHR10535	G3DSA:3.40.1340.10;G3DSA:3.90.940.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-452723|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	MF_00025	PD005155	PIRSF000747	NA
maker-NODE_1_length_1091443_cov_63.945247-augustus-gene-3.30-mRNA-1	IPR029045	GO:0003824	SSF52096	PF00378	PTHR11941;PTHR11941:SF105	G3DSA:3.90.226.10	NA	cd06558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_107_length_46298_cov_54.795824-augustus-gene-0.3-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_285491_cov_61.729170-processed-gene-1.28-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_645185_cov_64.840346-processed-gene-5.9-mRNA-1	IPR014461	GO:0015031;GO:0030904;GO:0042147;GO:0035091	SSF64268	PF00787;PF09325	PTHR10555;PTHR10555:SF136	G3DSA:1.20.1270.60;G3DSA:3.30.1520.10	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF011791	NA
