Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
snap_masked-NODE_27_length_330426_cov_57.138596-processed-gene-2.269-mRNA-1	PTHR12112;PTHR12112:SF22	NA	IPR004097	GO:0005737;GO:0016462	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807	PF02833	NA	NA	NA	NA	NA	G3DSA:3.90.1640.10;G3DSA:3.10.310.20	SSF64182	NA	SM01131	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-3.326-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_414607_cov_57.056676-snap-gene-3.252-mRNA-1	PTHR13600;PTHR13600:SF30	NA	IPR040212	GO:0018423;GO:0005515	NA	PF13418	NA	NA	NA	NA	NA	G3DSA:3.40.50.150;G3DSA:2.120.10.80	SSF53335;SSF117281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_345928_cov_56.170083-processed-gene-2.342-mRNA-1	PTHR39142	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	IPR024338	GO:0005262;GO:0098703	NA	PF12929	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA	NA
snap_masked-NODE_10_length_512366_cov_57.665072-processed-gene-0.112-mRNA-1	PTHR11926:SF747;PTHR11926	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd03784	G3DSA:3.40.50.2000	SSF53756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_3_length_752009_cov_57.006766-processed-gene-4.173-mRNA-1	PTHR11134:SF3;PTHR11134	NA	IPR016024	GO:0006886;GO:0016192;GO:0030117;GO:0015031;GO:0030276	NA	PF01602	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002291	NA
maker-NODE_4_length_718053_cov_59.395713-snap-gene-1.205-mRNA-1	PTHR11365:SF10;PTHR11365	NA	IPR002821	GO:0016787	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	PF01968;PF06032;PF05378	NA	mobidb-lite	NA	NA	NA	G3DSA:3.30.420.40;G3DSA:3.40.1610.10	SSF160991;SSF53067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_639344_cov_58.481605-snap-gene-5.259-mRNA-1	NA	NA	IPR001810	GO:0005515	NA	PF00646	NA	mobidb-lite	NA	NA	NA	G3DSA:1.20.1280.50	SSF81383	PS50181	SM00256	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_511883_cov_58.263260-augustus-gene-0.125-mRNA-1	PTHR38049;PTHR38049:SF1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
snap_masked-NODE_83_length_63689_cov_52.619521-processed-gene-0.100-mRNA-1	NA	NA	IPR039470	NA	NA	PF15891	NA	NA	NA	NA	NA	G3DSA:3.40.50.450	SSF52309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_399495_cov_56.963753-snap-gene-2.303-mRNA-1	PTHR10270;PTHR10270:SF243	NA	IPR036910	NA	NA	PF00505	NA	mobidb-lite	Coil	NA	cd01389	G3DSA:1.10.30.10	SSF47095	PS50118	SM00398	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_21_length_380954_cov_56.979182-processed-gene-1.223-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR011990	GO:0005515	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_409824_cov_57.109259-processed-gene-3.238-mRNA-1	PTHR13282;PTHR13282:SF6	NA	IPR013865	NA	NA	PF08555	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_72_length_89575_cov_49.024204-processed-gene-0.46-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_370437_cov_58.723945-processed-gene-0.164-mRNA-1	PTHR12430;PTHR12430:SF0	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR023392	GO:0005742;GO:0006605;GO:0006886	NA	PF02064	TMhelix	NA	NA	NA	NA	G3DSA:1.20.960.10	SSF47157	NA	NA	PR00351	NA	NA	NA	NA	NA	NA	PIRSF037707	NA
augustus_masked-NODE_5_length_639344_cov_58.481605-processed-gene-3.166-mRNA-1	PTHR20941	NA	IPR000489	GO:0042558;GO:0044237	Reactome: R-HSA-156581|Reactome: R-HSA-1614635|Reactome: R-HSA-196741|Reactome: R-HSA-3359467|Reactome: R-HSA-3359469	PF00809	NA	NA	NA	NA	NA	G3DSA:3.20.20.20	SSF51717	PS50972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_149878_cov_57.089161-snap-gene-0.366-mRNA-1	PTHR10061	NA	IPR029058	GO:0018738;GO:0046294	Reactome: R-HSA-156590	PF00756	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	TIGR02821	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_126088_cov_56.581196-snap-gene-0.0-mRNA-1	PTHR18804	NA	IPR000473	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00444	NA	NA	NA	NA	NA	NA	SSF57840	NA	NA	NA	NA	TIGR01022	NA	NA	NA	MF_00251	NA	PD002101
maker-NODE_60_length_127260_cov_57.881667-snap-gene-0.232-mRNA-1	PTHR11064;PTHR11064:SF9	NA	IPR003958	GO:0046982;GO:0005634;GO:0006355;GO:0043565	Reactome: R-HSA-1989781|Reactome: R-HSA-2426168|Reactome: R-HSA-380994|Reactome: R-HSA-381183	PF00808	NA	mobidb-lite	NA	PS00685	NA	G3DSA:1.10.20.10	SSF47113	NA	NA	PR00615	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_237138_cov_60.081954-augustus-gene-1.306-mRNA-1	PTHR11188;PTHR11188:SF84	NA	IPR014752	NA	NA	PF00339	NA	mobidb-lite	NA	NA	NA	G3DSA:2.60.40.640	SSF81296	NA	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_426026_cov_57.133846-processed-gene-3.39-mRNA-1	PTHR10934;PTHR10934:SF5	NA	IPR000039	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF17135	NA	mobidb-lite	NA	PS01106	NA	G3DSA:3.100.10.10	SSF52080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_399495_cov_56.963753-processed-gene-1.39-mRNA-1	PTHR22629	NA	IPR008384	GO:0005885;GO:0015629;GO:0030041;GO:0034314;GO:0030833	Reactome: R-HSA-2029482|Reactome: R-HSA-3928662|Reactome: R-HSA-5663213|Reactome: R-HSA-8856828	PF05856	NA	NA	NA	NA	NA	G3DSA:3.30.1460.20	SSF69645	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF039100	NA
maker-NODE_29_length_304748_cov_57.569130-snap-gene-1.35-mRNA-1	PTHR15348:SF0;PTHR15348	NA	IPR001606	GO:0003677;GO:0006355	NA	PF01388	NA	mobidb-lite	NA	NA	NA	G3DSA:3.30.160.60;G3DSA:1.10.150.60	SSF48371;SSF46774	PS51526;PS51011	SM00501;SM01014	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_56_length_143953_cov_48.658316-processed-gene-0.5-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_146_length_21571_cov_46.341214-processed-gene-0.34-mRNA-1	PTHR12418;PTHR12418:SF45	NA	IPR006683		Reactome: R-HSA-77289	PF03061	NA	NA	NA	NA	cd03443	G3DSA:3.10.129.10	SSF54637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_61_length_126232_cov_55.567186-snap-gene-0.271-mRNA-1	NA	NA	IPR013859	NA	NA	PF08549	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_199_length_13859_cov_46.259540-snap-gene-0.25-mRNA-1	PTHR12743	NA	IPR000511	GO:0004408;GO:0005739	KEGG: 00860+4.4.1.17	PF01265	NA	mobidb-lite	NA	PS00821;PS00822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_413467_cov_55.970450-snap-gene-0.116-mRNA-1	PTHR13349	NA	IPR038356	NA	NA	PF11176	NA	NA	NA	NA	NA	G3DSA:1.20.1440.170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_387202_cov_58.679540-processed-gene-1.64-mRNA-1	PTHR13348	NA	IPR016848	GO:0003723;GO:0004540;GO:0006396;GO:0008033;GO:0030677	Reactome: R-HSA-6784531	PF01868	NA	mobidb-lite	NA	NA	NA	G3DSA:2.30.30.210	SSF101744	NA	SM00538	NA	NA	NA	NA	NA	NA	NA	PIRSF027081	NA
augustus_masked-NODE_10_length_512366_cov_57.665072-processed-gene-2.206-mRNA-1	PTHR43898:SF1;PTHR43898	NA	IPR000608		Reactome: R-HSA-983168	PF00179	NA	mobidb-lite	Coil	NA	NA	G3DSA:3.10.110.10	SSF54495	PS50127	SM00212	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_414607_cov_57.056676-protein2genome-gene-1.206-mRNA-1	PTHR15892	NA	IPR036919	GO:0003735;GO:0006412;GO:0015934	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00327	NA	NA	NA	PS00634	cd01658	G3DSA:3.30.1390.20	SSF55129	NA	NA	NA	NA	TIGR01308	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_752009_cov_57.006766-augustus-gene-1.16-mRNA-1	PTHR12341;PTHR12341:SF7	NA	IPR027073	GO:0000956;GO:0008409;GO:0003676;GO:0004527	Reactome: R-HSA-430039|Reactome: R-HSA-450385|Reactome: R-HSA-450513	PF17846;PF18332;PF18334;PF18129;PF03159	NA	mobidb-lite	NA	NA	NA	G3DSA:3.40.50.12390;G3DSA:2.30.30.750;G3DSA:3.30.110.100;G3DSA:2.30.30.30;G3DSA:2.170.260.40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006743	NA
snap_masked-NODE_52_length_158164_cov_57.275227-processed-gene-0.345-mRNA-1	NA	NA	IPR009069		Reactome: R-HSA-1268020	PF08991	NA	NA	NA	NA	NA	G3DSA:1.10.287.1130	SSF47072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_160537_cov_57.630279-snap-gene-0.103-mRNA-1	PTHR11224;PTHR11224:SF10	NA	IPR000571	GO:0046872	NA	PF00642	NA	mobidb-lite	NA	NA	NA	G3DSA:4.10.1000.10	SSF90229	PS50103	SM00356	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_399495_cov_56.963753-snap-gene-2.310-mRNA-1	PTHR45102	NA	IPR036028	GO:0005515	NA	PF00018	NA	mobidb-lite	NA	NA	cd00174	G3DSA:2.30.30.40	SSF50044	PS50002	SM00326	PR00452	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_8_length_558485_cov_55.498657-processed-gene-2.136-mRNA-1	PTHR10159:SF481;PTHR10159	NA	IPR029021	GO:0008138;GO:0016311;GO:0006470	NA	PF00782	NA	mobidb-lite	NA	NA	NA	G3DSA:3.90.190.10	SSF52799	NA	SM00195	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_140_length_23486_cov_59.653795-augustus-gene-0.1-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_252058_cov_61.114793-snap-gene-1.162-mRNA-1	PTHR13124	NA	IPR040008	GO:0003735	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF11788	NA	NA	NA	NA	NA	G3DSA:3.90.79.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_128_length_28406_cov_45.988472-processed-gene-0.16-mRNA-1	PTHR37017	NA	IPR029058	NA	NA	PF12697	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_48952_cov_55.278013-snap-gene-0.71-mRNA-1	PTHR31845	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_8_length_558485_cov_55.498657-processed-gene-4.355-mRNA-1	PTHR43248:SF2;PTHR43248	NA	IPR029058	GO:0006508;GO:0008233	KEGG: 00330+3.4.11.5	PF00561	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	PR00793	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_45_length_191285_cov_56.782782-processed-gene-0.13-mRNA-1	PTHR39290;PTHR39290:SF1	NA	IPR029063	NA	NA	NA	NA	NA	NA	NA	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_639344_cov_58.481605-processed-gene-1.19-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	SSF50729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_237138_cov_60.081954-snap-gene-1.341-mRNA-1	PTHR13094	NA	IPR020163		Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD069254
maker-NODE_44_length_193356_cov_56.935983-snap-gene-0.301-mRNA-1	PTHR13490	NA	IPR019349	GO:0003735;GO:0032543	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF10213	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_604053_cov_57.456056-augustus-gene-5.165-mRNA-1	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR022185	NA	NA	PF12505	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_372926_cov_58.633942-processed-gene-1.55-mRNA-1	PTHR39145	NA	IPR034455	GO:0031083	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_504385_cov_59.758304-processed-gene-0.130-mRNA-1	PTHR11237:SF4;PTHR11237	NA	IPR009078	GO:0006744;GO:0055114	Reactome: R-HSA-2142789	PF03232	NA	NA	NA	NA	cd01042	NA	SSF47240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_35_length_262196_cov_59.525049-snap-gene-1.112-mRNA-1	PTHR15728	NA	IPR015943	GO:0005515	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_752009_cov_57.006766-augustus-gene-5.60-mRNA-1	PTHR36959	NA	IPR036983	NA	NA	PF01987	NA	NA	NA	NA	NA	G3DSA:3.60.160.10	SSF51219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-8.89-mRNA-1	PTHR10099	NA	IPR036676	GO:0004642;GO:0006189	KEGG: 00230+6.3.5.3|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	PF18072;PF13507;PF18076;PF02769	NA	NA	NA	NA	cd01740;cd02204	G3DSA:3.90.650.10;G3DSA:3.30.1330.10;G3DSA:3.40.50.880;G3DSA:1.10.8.750	SSF56042;SSF109736;SSF52317;SSF82697;SSF55326	PS51273	SM01211	NA	NA	TIGR01735	NA	NA	NA	MF_00419	NA	NA
augustus_masked-NODE_66_length_112180_cov_60.511151-processed-gene-0.293-mRNA-1	PTHR38111	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_146565_cov_54.406336-augustus-gene-0.250-mRNA-1	PTHR12772	NA	IPR007257	GO:0005634;GO:0006260	Reactome: R-HSA-176974	PF05916	NA	mobidb-lite	NA	NA	cd11712	G3DSA:1.20.58.1020;G3DSA:3.40.5.50	SSF160059;SSF158573	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028998	NA
augustus_masked-NODE_10_length_512366_cov_57.665072-processed-gene-1.197-mRNA-1	PTHR13593;PTHR13593:SF74	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	IPR017946	GO:0006629;GO:0008081	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.190	SSF51695	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_21_length_380954_cov_56.979182-augustus-gene-1.231-mRNA-1	PTHR10252;PTHR10252:SF69	NA	IPR009072	GO:0046982	NA	PF00808	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.10.20.10	SSF47113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_361226_cov_55.322806-snap-gene-0.41-mRNA-1	PTHR21327:SF16;PTHR21327	NA	IPR022163	NA	NA	PF12471	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_134238_cov_49.218110-snap-gene-0.73-mRNA-1	PTHR38789	NA	IPR020100	NA	NA	PF11034	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD055894
maker-NODE_4_length_718053_cov_59.395713-snap-gene-5.177-mRNA-1	PTHR13155	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR016137	NA	NA	PF00615	TMhelix	mobidb-lite	NA	NA	cd07440	NA	SSF48097	PS50132	SM00315	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_38_length_240074_cov_56.736117-processed-gene-1.340-mRNA-1	PTHR13295	NA	IPR023210	GO:0006750;GO:0035226	Reactome: R-HSA-174403	PF00248	NA	NA	NA	NA	NA	G3DSA:3.20.20.100	SSF51430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_89340_cov_56.162062-snap-gene-0.218-mRNA-1	PTHR43579	NA	IPR027268	GO:0004222;GO:0006508	NA	PF01447;PF02889;PF02868	NA	NA	NA	NA	cd09597	G3DSA:1.10.3380.10;G3DSA:1.10.390.10;G3DSA:3.10.170.10	SSF55486;SSF158702	NA	SM00973	PR00730	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_63_length_121436_cov_57.503804-processed-gene-0.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_370437_cov_58.723945-processed-gene-1.238-mRNA-1	PTHR24073;PTHR24073:SF353	NA	IPR001806	GO:0003924;GO:0005525	NA	PF00071	NA	NA	NA	NA	cd00154	NA	SSF52540	PS51419	SM00174;SM00175;SM00173	PR00449	NA	TIGR00231	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-0.212-mRNA-1	NA	NA	IPR031342	NA	NA	PF17119	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-8.119-mRNA-1	PTHR22904	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	IPR011990	GO:0005515	NA	NA	NA	NA	Coil	NA	NA	G3DSA:1.25.40.10	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_333_length_6613_cov_21.408881-snap-gene-0.7-mRNA-1	NA	NA	IPR002912	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.260	SSF55021	PS51671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_345928_cov_56.170083-augustus-gene-2.6-mRNA-1	PTHR22781	NA	IPR017105	GO:0015031;GO:0030123;GO:0006886;GO:0016192;GO:0030117	NA	PF01602	NA	mobidb-lite	Coil	NA	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037092	NA
maker-NODE_11_length_511883_cov_58.263260-augustus-gene-1.75-mRNA-1	PTHR14068	NA	IPR011400	GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369;GO:0005515;GO:0003676	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	PF08662	NA	NA	NA	NA	NA	G3DSA:2.130.10.10;G3DSA:3.30.70.330	SSF82171;SSF54928	PS50102	NA	NA	NA	NA	NA	NA	NA	MF_03001	PIRSF036424	NA
augustus_masked-NODE_87_length_61055_cov_54.506532-processed-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_75_length_80554_cov_59.301603-snap-gene-0.13-mRNA-1	PTHR22684	NA	IPR006994	GO:0005515	NA	PF04910	NA	mobidb-lite	Coil	NA	NA	NA	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_98_length_46202_cov_34.239305-processed-gene-0.25-mRNA-1	PTHR42942	NA	IPR014048	GO:0003824;GO:0006281	Reactome: R-HSA-5657655	PF01035	NA	NA	NA	NA	cd06445	G3DSA:1.10.10.10	SSF46767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_46_length_189133_cov_58.105309-processed-gene-0.429-mRNA-1	PTHR10209:SF144;PTHR10209	NA	IPR027443	GO:0016491;GO:0055114	NA	PF03171	NA	NA	NA	NA	NA	G3DSA:2.60.120.330	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_16_length_414607_cov_57.056676-processed-gene-1.13-mRNA-1	PTHR31758	NA	IPR003131	GO:0051260	NA	PF02214	NA	mobidb-lite	NA	NA	NA	G3DSA:3.30.710.10	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_146565_cov_54.406336-processed-gene-0.325-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_28_length_307899_cov_56.759910-snap-gene-0.44-mRNA-1	PTHR43213:SF5;PTHR43213	NA	IPR003697	GO:0047429	NA	PF02545	NA	mobidb-lite	NA	NA	cd00555	G3DSA:3.90.950.10	SSF52972	NA	NA	NA	NA	TIGR00172	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_639344_cov_58.481605-augustus-gene-3.1-mRNA-1	PTHR23310	NA	IPR000582	GO:0000062	NA	PF00887	NA	NA	NA	NA	NA	G3DSA:1.20.80.10	SSF47027	PS51228	NA	PR00689	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_10_length_512366_cov_57.665072-processed-gene-4.34-mRNA-1	PTHR20883:SF19;PTHR20883	NA	IPR008775	NA	NA	PF05721	NA	NA	NA	NA	NA	G3DSA:2.60.120.620	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_278666_cov_58.460664-processed-gene-1.309-mRNA-1	PTHR31544:SF2;PTHR31544	NA	IPR036568	NA	NA	PF06094	NA	NA	NA	NA	cd06661	G3DSA:3.10.490.10	SSF110857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_413467_cov_55.970450-snap-gene-3.15-mRNA-1	PTHR34992:SF4;PTHR34992	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
