Gene	interpro	GO	PATHWAY	TIGRFAM	PRINTS	SUPERFAMILY	PANTHER	Gene3D	PIRSF	Hamap	Pfam	ProSitePatterns	CDD	MobiDBLite	SFLD	SMART	ProSiteProfiles	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Coils	SignalP_EUK	ProDom
OPB42024.1	IPR001680	GO:0005515	NA	NA	NA	SSF50978	PTHR10971:SF5;PTHR10971	G3DSA:2.130.10.10	NA	NA	PF00400	NA	NA	NA	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
OPB43677.1	IPR038305	NA	NA	NA	NA	NA	PTHR37542;PTHR37542:SF1	G3DSA:1.20.120.1020	NA	NA	PF14479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB44582.1	IPR037653	GO:0005739;GO:0034551;GO:0043022;GO:0070131	NA	NA	NA	NA	PTHR28250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36809.1	IPR026907	GO:0051726	NA	NA	NA	NA	PTHR15492	NA	NA	NA	PF13324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB36543.1	IPR036188	GO:0071949	NA	NA	PR00420	SSF51905	PTHR13789:SF258;PTHR13789	G3DSA:3.50.50.60	NA	NA	PF01494	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB39049.1	IPR011990	GO:0005515	NA	NA	NA	SSF48452	PTHR23004:SF7;PTHR23004	G3DSA:1.25.40.10;G3DSA:1.20.58.320	NA	NA	PF06041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41922.1	IPR012959	GO:0003723	NA	NA	NA	SSF48371	PTHR13389	NA	NA	NA	PF08144	NA	NA	mobidb-lite	NA	SM00025	PS50303	NA	NA	NA	NA	Coil	NA	NA
OPB40357.1	IPR031348	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF17111	NA	NA	mobidb-lite	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	Coil	NA	NA
OPB37767.1	IPR007832	GO:0005666;GO:0006383	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	SSF46785	PTHR12780	G3DSA:1.10.10.10	PIRSF028763	NA	PF05158	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43433.1	IPR002498	GO:0016307;GO:0046488	NA	NA	NA	SSF56104	PTHR23086:SF59;PTHR23086	G3DSA:3.30.800.10;G3DSA:3.30.810.10	NA	NA	PF01504	NA	NA	NA	NA	SM00330	PS51455	NA	NA	NA	NA	NA	NA	NA
OPB39263.1	IPR002509	GO:0005975;GO:0016810;GO:0003824	NA	NA	NA	SSF88713	PTHR10587	G3DSA:3.20.20.370	NA	NA	PF01522	NA	cd10958	NA	NA	NA	PS51677	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB39492.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6782315|Reactome: R-HSA-6804756	TIGR03724	NA	SSF56112	PTHR12209	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	PF00069	PS00109	cd00180	NA	NA	SM00220	PS50011	NA	NA	NA	NA	NA	NA	NA
OPB39453.1	NA	NA	NA	NA	NA	NA	PTHR22826;PTHR22826:SF194	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40693.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
OPB37294.1	IPR010730	NA	NA	NA	NA	NA	PTHR33112;PTHR33112:SF6	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43996.1	IPR013882	GO:0004519;GO:0006281	Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-8953750|Reactome: R-HSA-912446	NA	NA	NA	PTHR15107:SF0;PTHR15107	NA	NA	NA	PF08573	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43714.1	NA	NA	NA	NA	NA	NA	PTHR42068	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB41834.1	IPR002355	GO:0005507;GO:0016491;GO:0055114	NA	NA	NA	SSF49503	PTHR11709;PTHR11709:SF2	G3DSA:2.60.40.420	NA	NA	PF07731	PS00080	cd13889	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43755.1	IPR036526	GO:0016810;GO:0006807	NA	NA	NA	SSF56317	PTHR23088:SF22;PTHR23088	G3DSA:3.60.110.10	NA	NA	PF00795	PS00920	cd07564	mobidb-lite	NA	NA	PS50263	NA	NA	NA	NA	NA	NA	NA
OPB41508.1	IPR013744	NA	NA	NA	NA	SSF53474	PTHR31591;PTHR31591:SF1	G3DSA:3.40.50.1820	NA	NA	PF08538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42119.1	IPR016040	NA	NA	NA	NA	SSF51735	PTHR14194:SF87;PTHR14194	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	PF13460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43255.1	IPR025040	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF13136	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB46438.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42190.1	IPR007529	NA	NA	NA	NA	SSF144232	PTHR13483	G3DSA:3.30.60.190	NA	NA	PF04438	NA	NA	mobidb-lite	NA	NA	PS51083	NA	NA	NA	NA	NA	NA	NA
OPB44893.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45457.1	IPR029062	NA	NA	NA	NA	SSF52317	PTHR42695	G3DSA:3.40.50.880	NA	NA	PF00117	NA	cd01741	NA	NA	NA	PS51273	NA	NA	NA	NA	NA	NA	NA
OPB45368.1	NA	NA	NA	NA	NA	NA	PTHR37062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36364.1	IPR022085	NA	NA	NA	NA	NA	PTHR38797	NA	NA	NA	PF12311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB36486.1	IPR010233	GO:0006744;GO:0008425;GO:0008168	KEGG: 00130+2.1.1.222+2.1.1.64|MetaCyc: PWY-5855|MetaCyc: PWY-5856|MetaCyc: PWY-5857|MetaCyc: PWY-5870|MetaCyc: PWY-5871|MetaCyc: PWY-5872|MetaCyc: PWY-5873|MetaCyc: PWY-6708|MetaCyc: PWY-7230|MetaCyc: PWY-7233|Reactome: R-HSA-2142789	TIGR01983	NA	SSF53335	PTHR43464;PTHR43464:SF14	G3DSA:3.40.50.150	NA	MF_00472	PF08241	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40282.1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	NA	NA	PTHR11863:SF26;PTHR11863	NA	NA	NA	PF04116	NA	NA	mobidb-lite	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA
OPB39356.1	IPR022125		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	SSF48371	PTHR13457	G3DSA:1.25.10.10	NA	NA	PF12397;PF08146	NA	NA	mobidb-lite	NA	SM01036	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA
OPB37206.1	IPR015421	GO:0003824;GO:0008483;GO:0030170;GO:0003867;GO:0009448	KEGG: 00250+2.6.1.19|KEGG: 00410+2.6.1.19|KEGG: 00640+2.6.1.19|KEGG: 00650+2.6.1.19|MetaCyc: PWY-4321|MetaCyc: PWY-5022|MetaCyc: PWY-6535|MetaCyc: PWY-6536|MetaCyc: PWY-6537|Reactome: R-HSA-916853	TIGR00699	NA	SSF53383	PTHR43206;PTHR43206:SF1	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	PIRSF000521	NA	PF00202	PS00600	cd00610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38206.1	IPR004000		Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	NA	SSF53067	PTHR11937;PTHR11937:SF16	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	NA	PF00022	NA	cd00012	mobidb-lite	NA	SM00268	NA	NA	NA	NA	NA	Coil	NA	NA
OPB40545.1	IPR011032	NA	NA	NA	NA	SSF50129;SSF51735	PTHR45348	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA
OPB43685.1	NA	NA	NA	NA	NA	NA	PTHR40788:SF1;PTHR40788	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37519.1	IPR013262	GO:0005741	NA	NA	NA	NA	PTHR28241	NA	NA	NA	PF08219	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39540.1	IPR007252	GO:0005643;GO:0017056	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	NA	PTHR13003	G3DSA:1.10.3450.20;G3DSA:1.20.190.50	NA	NA	PF04121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40787.1	IPR007325	GO:0004061;GO:0019441	KEGG: 00380+3.5.1.9|KEGG: 00630+3.5.1.9|MetaCyc: PWY-5651|MetaCyc: PWY-6309|MetaCyc: PWY-7717|MetaCyc: PWY-7733|MetaCyc: PWY-7734|MetaCyc: PWY-7765	NA	NA	SSF102198	PTHR34861;PTHR34861:SF6	G3DSA:3.50.30.50	NA	NA	PF04199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB41556.1	IPR006722	GO:0005622;GO:0006888	NA	NA	NA	SSF64356	PTHR12403:SF1;PTHR12403	G3DSA:3.30.450.70	NA	NA	PF04628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42161.1	IPR021151	GO:0006261	Reactome: R-HSA-176974	NA	NA	SSF158573	PTHR21206	G3DSA:1.20.58.1030	PIRSF007764	NA	PF05916;PF16922	NA	cd11711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43501.1	IPR021740	NA	NA	NA	NA	NA	PTHR33572:SF2;PTHR33572	G3DSA:2.60.40.3960	NA	NA	PF11754	NA	NA	mobidb-lite	NA	NA	PS51821	NA	NA	NA	NA	NA	NA	NA
OPB41408.1	IPR002227	GO:0016491	Reactome: R-HSA-5662702	NA	PR00092	SSF48056	PTHR11474;PTHR11474:SF32	G3DSA:1.10.1280.10	NA	NA	PF00264;PF18132	PS00498;PS00497	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	NA	NA	SignalP-noTM	NA
OPB45042.1	IPR000692	GO:0003723;GO:0006364;GO:0008168	NA	NA	PR00052	SSF53335	PTHR10335:SF4;PTHR10335	G3DSA:3.30.200.20;G3DSA:3.40.50.150	PIRSF006540	MF_00351	PF01269	NA	cd02440	mobidb-lite	NA	SM01206	NA	NA	NA	NA	NA	NA	NA	NA
OPB42231.1	IPR007233	GO:0016192;GO:0030008	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	SSF64356	PTHR23249:SF16;PTHR23249	G3DSA:3.30.450.70	NA	NA	PF04099	NA	NA	NA	NA	SM01399	NA	NA	NA	NA	NA	NA	NA	NA
OPB41996.1	IPR012349	GO:0048037	NA	NA	NA	SSF50475	PTHR34071	G3DSA:2.30.110.10	NA	NA	PF12900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38977.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43513.1	IPR029071		Reactome: R-HSA-1632852	NA	NA	SSF54236	PTHR10969:SF39;PTHR10969	G3DSA:3.10.20.90	NA	NA	PF02991	NA	cd01611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44059.1	IPR029063	NA	NA	NA	NA	SSF53335	PTHR42912:SF8;PTHR42912	G3DSA:3.40.50.150	NA	NA	PF13489	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42332.1	IPR010730	NA	NA	NA	NA	NA	PTHR33112	NA	NA	NA	PF06985	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB46651.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42657.1	IPR036322	GO:0005515	NA	NA	NA	SSF50978	PTHR15052	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42839.1	IPR036188	GO:0016491;GO:0055114	NA	NA	NA	SSF51905	PTHR38663	G3DSA:3.50.50.60	NA	NA	PF07992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36396.1	IPR025784	NA	NA	NA	NA	SSF53335	PTHR14614:SF10;PTHR14614	G3DSA:3.40.50.150	NA	MF_03223	PF10294	NA	cd02440	NA	NA	NA	PS51560	NA	NA	NA	NA	NA	NA	NA
OPB36611.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40487.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39384.1	IPR036284	GO:0007186	Reactome: R-HSA-418594|Reactome: R-HSA-6814122	NA	NA	SSF48670	PTHR28189	NA	NA	NA	PF00631	NA	NA	mobidb-lite	NA	SM01224	NA	NA	NA	NA	NA	NA	NA	NA
OPB36093.1	IPR036928	GO:0004040	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	SSF75304	PTHR11895:SF137;PTHR11895	G3DSA:3.90.1300.10	NA	NA	PF01425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38535.1	IPR037344	GO:0032126;GO:0070941	NA	NA	NA	SSF53474	PTHR10039;PTHR10039:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46159.1	IPR001461	GO:0004190;GO:0006508	NA	NA	NA	SSF50630	PTHR13683;PTHR13683:SF412	G3DSA:2.40.70.10	NA	NA	PF00026	NA	cd05471	NA	NA	NA	PS51767	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA
OPB40196.1	IPR001731	GO:0004655;GO:0033014;GO:0046872;GO:0003824	KEGG: 00860+4.2.1.24|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451|Reactome: R-HSA-6798695	NA	PR00144	SSF51569	PTHR11458	G3DSA:3.20.20.70	PIRSF001415	NA	PF00490	PS00169	cd04824	NA	NA	SM01004	NA	NA	NA	NA	NA	NA	NA	NA
OPB47072.1	IPR038054	NA	NA	NA	NA	SSF143985	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36275.1	IPR004843	GO:0016787	NA	NA	NA	SSF56300	PTHR32440:SF11;PTHR32440	NA	NA	NA	PF00149	NA	cd07383	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB38144.1	IPR027417	GO:0005524	NA	NA	NA	SSF52540	PTHR12169:SF6;PTHR12169	G3DSA:3.40.50.300	NA	NA	PF03969	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42921.1	IPR013087	GO:0003676	NA	NA	NA	SSF57667	PTHR14596:SF60;PTHR14596	G3DSA:3.30.160.60	NA	NA	PF00096	PS00028	NA	mobidb-lite	NA	SM00355	PS50157	NA	NA	NA	NA	NA	NA	NA
OPB43318.1	IPR000058	GO:0008270	NA	NA	NA	SSF118310	PTHR14677;PTHR14677:SF20	G3DSA:4.10.1110.10	NA	NA	PF01428	NA	NA	NA	NA	SM00154	PS51039	NA	NA	NA	NA	NA	NA	NA
OPB40368.1	IPR021054	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF12296	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	NA	NA	SignalP-noTM	NA
OPB39938.1	IPR000533		Reactome: R-HSA-390522|Reactome: R-HSA-445355	NA	NA	SSF57997	PTHR19269;PTHR19269:SF45	G3DSA:1.20.5.340	NA	NA	PF12718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43484.1	IPR006977	GO:0016020	NA	NA	NA	NA	PTHR21236;PTHR21236:SF1	NA	NA	NA	PF04893	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB40612.1	IPR036188	NA	NA	NA	NA	SSF51905	PTHR42802	G3DSA:3.50.50.60	NA	NA	PF13434	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42835.1	IPR036444	GO:0004623;GO:0006644;GO:0050482	KEGG: 00564+3.1.1.4|KEGG: 00565+3.1.1.4|KEGG: 00590+3.1.1.4|KEGG: 00591+3.1.1.4|KEGG: 00592+3.1.1.4|MetaCyc: PWY-6803|MetaCyc: PWY-7409|MetaCyc: PWY-7416|MetaCyc: PWY-7417|MetaCyc: PWY-7783	NA	NA	SSF48619	PTHR40787:SF2;PTHR40787	G3DSA:1.20.90.10	NA	NA	PF09056	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	SignalP-TM	Coil	SignalP-noTM	NA
OPB37050.1	IPR011234	GO:0003824	NA	NA	NA	SSF56529	PTHR11820;PTHR11820:SF92	G3DSA:3.90.850.10	NA	NA	PF01557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39346.1	IPR019383	NA	NA	NA	NA	NA	PTHR13254:SF0;PTHR13254	NA	NA	NA	PF10256	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40400.1	IPR022093	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF12331	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43032.1	IPR016181	NA	NA	NA	NA	SSF55729	NA	NA	NA	NA	NA	NA	cd04301	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38399.1	IPR022775	GO:0008565;GO:0030122;GO:0015031	Reactome: R-HSA-167590|Reactome: R-HSA-177504|Reactome: R-HSA-182218|Reactome: R-HSA-2132295|Reactome: R-HSA-3928665|Reactome: R-HSA-416993|Reactome: R-HSA-437239|Reactome: R-HSA-5099900|Reactome: R-HSA-5140745|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8866427|Reactome: R-HSA-8964038	NA	NA	SSF64356	PTHR11753:SF6;PTHR11753	G3DSA:3.30.450.60	PIRSF015588	NA	PF01217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB39542.1	IPR022617	GO:0005515;GO:0016925	NA	NA	NA	SSF54236	PTHR10562:SF30;PTHR10562	G3DSA:3.10.20.90	NA	NA	PF11976	NA	cd01763	mobidb-lite	NA	SM00213	PS50053	NA	NA	NA	NA	NA	NA	NA
OPB40736.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38511.1	IPR032710	NA	NA	NA	NA	SSF54427	NA	G3DSA:3.10.450.50	NA	NA	PF12680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43489.1	IPR036188	GO:0016491;GO:0055114	Reactome: R-HSA-196108|Reactome: R-HSA-211976|Reactome: R-HSA-2395516|Reactome: R-HSA-5579026	NA	PR00419	SSF51905	PTHR11938;PTHR11938:SF91	G3DSA:3.40.50.720;G3DSA:3.50.50.60	PIRSF000362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44960.1	IPR003480	GO:0016747	Reactome: R-HSA-389661	NA	NA	NA	PTHR31642	G3DSA:3.30.559.10	NA	NA	PF02458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43093.1	IPR007512	GO:0005743;GO:0061617	Reactome: R-HSA-8949613	NA	NA	NA	PTHR21304;PTHR21304:SF0	NA	NA	NA	PF04418	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36188.1	IPR011042	NA	NA	NA	NA	SSF63829	PTHR42060	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB42289.1	IPR002889	NA	NA	NA	NA	NA	PTHR43662:SF3;PTHR43662	NA	NA	NA	PF01822;PF09362	NA	NA	mobidb-lite	NA	SM00321	PS51212	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	SignalP-TM	NA	NA	NA
OPB41254.1	IPR016161	GO:0016491;GO:0055114;GO:0016620	NA	NA	NA	SSF53720	PTHR43720:SF1;PTHR43720	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	NA	PF00171	PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40875.1	IPR036291	GO:0003824;GO:0050662	NA	NA	NA	SSF51735	PTHR10366:SF502;PTHR10366	G3DSA:3.40.50.720	NA	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45602.1	IPR036188	GO:0071949	NA	NA	PR00420	SSF51905	PTHR13789:SF174;PTHR13789	G3DSA:3.50.50.60	NA	NA	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44701.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	SSF57701	PTHR31263:SF4;PTHR31263	G3DSA:4.10.240.10	NA	NA	PF00172	PS00463	cd00067	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	SignalP-TM	NA	NA	NA
OPB45426.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB37856.1	IPR000717	NA	NA	NA	NA	NA	PTHR15350:SF5;PTHR15350	G3DSA:1.25.40.570	NA	NA	PF01399	NA	NA	mobidb-lite	NA	SM00753;SM00088	PS50250	NA	NA	NA	NA	Coil	NA	NA
