Gene	interpro	ProSitePatterns	Coils	SUPERFAMILY	GO	Pfam	PANTHER	MobiDBLite	Phobius	TMHMM	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	CDD	Hamap	Gene3D	PRINTS	PATHWAY	ProSiteProfiles	ProDom	SMART	PIRSF	TIGRFAM	SFLD
PTB43381.1	IPR027413	PS00296	NA	SSF48592;SSF54849;SSF52029	GO:0005524;GO:0005737;GO:0042026;GO:0006457	PF00118	PTHR11353:SF64;PTHR11353	NA	NA	NA	NA	NA	NA	cd03344	MF_00600	G3DSA:1.10.560.10;G3DSA:3.30.260.10;G3DSA:3.50.7.10	PR00298	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	NA	NA	NA	NA	TIGR02348	NA
PTB45855.1	IPR019772	PS00534	NA	SSF53800	GO:0004325;GO:0006783	PF00762	PTHR11108:SF1;PTHR11108	mobidb-lite	NA	NA	NA	NA	NA	cd03411;cd00419	MF_00323	G3DSA:3.40.50.1400	NA	KEGG: 00860+4.99.1.1|Reactome: R-HSA-189451	NA	NA	NA	NA	TIGR00109	NA
PTB36829.1	IPR007751	NA	NA	SSF53474	NA	PF05057	PTHR11440;PTHR11440:SF73	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
PTB40825.1	IPR016135	PS00183	Coil	SSF54495		PF00179	PTHR43953:SF2;PTHR43953	mobidb-lite	NA	NA	NA	NA	NA	cd00195	NA	G3DSA:3.10.110.10	NA	Reactome: R-HSA-983168	PS50127	NA	SM00212	NA	NA	NA
PTB44312.1	IPR033756	NA	NA	SSF52540	NA	PF10609	PTHR42961	NA	NA	NA	NA	NA	NA	cd02037	MF_02040	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
PTB39966.1	IPR004886	NA	NA	SSF51445	NA	PF03198	PTHR31468:SF8;PTHR31468	mobidb-lite	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA
PTB46802.1	IPR027235	NA	Coil	SSF46579	GO:0006457;GO:0016272;GO:0051082	PF01920	PTHR13303	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.287.370	NA	Reactome: R-HSA-389957	NA	NA	NA	NA	NA	NA
PTB35232.1	IPR016084	NA	NA	NA		PF14518	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	G3DSA:1.20.910.10	NA	Reactome: R-HSA-189483|Reactome: R-HSA-917937	NA	NA	SM01236	NA	NA	NA
PTB38872.1	NA	NA	NA	NA	NA	NA	PTHR23033;PTHR23033:SF34	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.90.550.50	NA	NA	NA	NA	NA	NA	NA	NA
PTB37510.1	IPR029063	NA	NA	SSF53335	NA	PF13489;PF11899	PTHR42912;PTHR42912:SF28	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA
PTB38018.1	IPR029068	NA	Coil	SSF54593	NA	NA	PTHR36503;PTHR36503:SF2	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.10.180.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB39529.1	IPR003673	NA	NA	SSF89796	GO:0003824	PF02515	PTHR43949:SF6;PTHR43949	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.1540.10;G3DSA:3.40.50.10540	NA	NA	NA	NA	NA	NA	NA	NA
PTB35944.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36752.1	IPR000086	NA	NA	SSF55811	GO:0016787	PF00293	PTHR12629:SF0;PTHR12629	mobidb-lite	NA	NA	NA	NA	NA	cd04666	NA	G3DSA:3.90.79.10	NA	NA	PS51462	NA	NA	NA	NA	NA
PTB39518.1	IPR015421	NA	NA	SSF53383	GO:0003824	PF00266	PTHR43769:SF2;PTHR43769	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB40293.1	IPR027417	NA	Coil	SSF52540	NA	PF05729;PF17109	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
PTB40516.1	IPR003347	NA	NA	SSF51197		PF02373	PTHR10694	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.120.650	NA	Reactome: R-HSA-3214842	PS51184;PS51183	NA	SM00558	NA	NA	NA
PTB42420.1	IPR029058	NA	NA	SSF53474	NA	PF08386	PTHR43487:SF2;PTHR43487	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36839.1	IPR040213	NA	Coil	SSF54495	GO:0005515	PF05773	PTHR12292	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.10.110.10	NA	NA	PS50908	NA	SM00591	NA	NA	NA
PTB38794.1	IPR000447	PS00978	NA	SSF51905;SSF54373	GO:0004368;GO:0006072;GO:0009331;GO:0055114;GO:0016491	PF16901;PF01266	PTHR11985;PTHR11985:SF15	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	NA	NA	NA	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60;G3DSA:1.10.8.870	PR01001	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	NA	NA	NA	NA	NA	NA
PTB42485.1	IPR003480	NA	Coil	NA	GO:0016747	PF02458	PTHR31642:SF70;PTHR31642	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.559.10	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA
PTB44451.1	IPR006439	NA	NA	SSF56784	GO:0016787;GO:0019120	NA	PTHR12725:SF58;PTHR12725	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	PR00413	KEGG: 00361+3.8.1.2|KEGG: 00625+3.8.1.2|MetaCyc: PWY-7425	NA	NA	NA	NA	TIGR01428;TIGR01493	SFLDG01129;SFLDS00003
PTB40387.1	IPR022198	NA	Coil	NA	NA	PF12520	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36784.1	IPR036188	NA	NA	SSF51905	GO:0016491;GO:0055114	PF01593	PTHR42923:SF16;PTHR42923	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.90.660.10;G3DSA:1.10.405.10;G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA
PTB44191.1	IPR002777	NA	Coil	SSF46579	GO:0006457;GO:0016272;GO:0051082	PF01920	PTHR21431	NA	NA	NA	NA	NA	NA	cd00632	NA	G3DSA:1.10.287.370	NA	Reactome: R-HSA-389957	NA	NA	NA	NA	NA	NA
PTB35092.1	NA	NA	NA	SSF52058	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36307.1	IPR013226	NA	Coil	NA	NA	PF08316	PTHR28307:SF2;PTHR28307	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46872.1	IPR015414	NA	NA	NA	GO:0016021	PF09335	PTHR12677;PTHR12677:SF24	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39175.1	IPR021648	NA	NA	SSF50729;SSF90209;SSF46785	GO:0032266;GO:0043130;GO:0000814;GO:0032509	PF04157;PF16988;PF11605	PTHR13128	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.20.28.140;G3DSA:1.10.10.10;G3DSA:2.30.29.30	NA	Reactome: R-HSA-917729	PS51495	NA	SM00547	NA	NA	NA
PTB45012.1	IPR018464	NA	Coil	NA	GO:0000776;GO:0034508	PF09496	PTHR14582	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA
PTB38302.1	IPR002840	NA	NA	SSF52016	NA	PF01989;PF04412	PTHR36577	NA	NA	NA	NA	NA	NA	cd01356;cd01355	NA	G3DSA:3.50.30.10	NA	NA	NA	NA	NA	PIRSF036630	NA	NA
PTB43848.1	IPR027417	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
PTB47166.1	IPR036396	PS00086	NA	SSF48264	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	PTHR24287:SF5;PTHR24287	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
PTB43042.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46837.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44510.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42017.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39580.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39220.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36103.1	IPR029058	NA	NA	SSF53474	NA	PF12697	PTHR43798	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
PTB46020.1	IPR019009	NA	NA	SSF52540		PF09439	PTHR11485:SF34;PTHR11485	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA
PTB35394.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38379.1	IPR025340	NA	NA	NA	NA	PF14033	PTHR33119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43898.1	IPR036962	NA	NA	SSF51445;SSF52279	GO:0004553;GO:0005975	PF14310;PF01915;PF00933	PTHR30620;PTHR30620:SF37	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.300;G3DSA:3.40.50.1700;G3DSA:2.60.40.10	PR00133	NA	PS51820	NA	SM01217	NA	NA	NA
PTB40796.1	IPR033744	NA	NA	SSF54928	GO:0003729;GO:0003676;GO:0003723;GO:0005634;GO:0005737;GO:0006396	PF00076	PTHR23139;PTHR23139:SF24	mobidb-lite	NA	NA	NA	NA	NA	cd12324	NA	G3DSA:3.30.70.330	PR01738	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	PS50102	NA	SM00360	NA	NA	NA
PTB41793.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35449.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38583.1	IPR002347	PS00061	NA	SSF51735	GO:0016491	PF00106	PTHR44169;PTHR44169:SF2	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA
PTB42309.1	NA	NA	NA	NA	NA	NA	PTHR34992:SF5;PTHR34992	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35686.1	IPR029044	NA	NA	SSF53448	GO:0000009	PF04488	PTHR31834	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	G3DSA:3.90.550.20	NA	NA	NA	NA	NA	NA	NA	NA
PTB43010.1	IPR000387	PS00383	NA	SSF52799	GO:0016311;GO:0016791;GO:0004725;GO:0004721;GO:0006470;GO:0007096;GO:0008138	PF00782;PF14671	PTHR23339:SF27;PTHR23339	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.90.190.10	NA	NA	PS50056	NA	SM00195;SM00404	NA	NA	NA
PTB37395.1	IPR011024	NA	NA	SSF49695	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37257.1	IPR001466	NA	NA	SSF56601	NA	PF00144	PTHR43283:SF3;PTHR43283	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB40836.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39505.1	IPR030384	NA	NA	SSF53335	GO:0008168;GO:0006694	PF08241;PF08498	PTHR44068;PTHR44068:SF1	NA	NA	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	NA	NA	PS51685	NA	NA	NA	NA	NA
PTB37611.1	IPR000682	NA	NA	SSF53335	GO:0004719;GO:0006464	PF01135	PTHR11579;PTHR11579:SF0	NA	NA	NA	NA	NA	NA	cd02440	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA
PTB36448.1	IPR027417	NA	NA	SSF52540	NA	NA	PTHR11825;PTHR11825:SF40	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA
PTB41696.1	IPR021833	PS00036	NA	SSF57959	GO:0003700;GO:0006355	PF11905	PTHR38116;PTHR38116:SF3	mobidb-lite	NA	NA	NA	NA	NA	cd14688	NA	G3DSA:1.20.5.170	NA	NA	NA	NA	NA	NA	NA	NA
PTB35289.1	NA	NA	NA	NA	NA	PF15365	PTHR33670	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB34869.1	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38753.1	IPR001138	NA	Coil	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31668:SF10;PTHR31668	NA	NA	NA	NA	NA	NA	cd00067;cd12148	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB41766.1	IPR007466	NA	NA	SSF55909	GO:0004668;GO:0009446	PF04371	PTHR31377	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.75.10.10	NA	KEGG: 00330+3.5.3.12|MetaCyc: PWY-43	NA	NA	NA	NA	NA	NA
PTB45144.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31313;PTHR31313:SF55	NA	NA	NA	NA	NA	NA	cd12148;cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB41548.1	IPR023298	NA	NA	SSF81665		NA	PTHR42861;PTHR42861:SF42	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	TMhelix	SignalP-TM	SignalP-TM	SignalP-TM	NA	NA	NA	NA	Reactome: R-HSA-936837	NA	NA	NA	NA	NA	NA
PTB42131.1	IPR016722	NA	NA	NA	GO:0003677;GO:0003887;GO:0006260	PF08418;PF04042	PTHR23061	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.60.21.60	NA	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	PIRSF018300	NA	NA
PTB46044.1	IPR025870	NA	NA	NA	NA	PF13468	PTHR40265	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.10.180.10	NA	NA	NA	NA	NA	NA	NA	NA
PTB45770.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42624.1	IPR035810	NA	NA	SSF49777	GO:0003735;GO:0005762	PF01161	PTHR11362;PTHR11362:SF25	NA	NA	NA	NA	NA	NA	cd00866	NA	G3DSA:3.90.280.10;G3DSA:1.20.58.1180	NA	NA	NA	NA	NA	NA	NA	NA
PTB38911.1	IPR000555	NA	NA	NA	GO:0005515;GO:0003743;GO:0005737;GO:0005852	PF13012;PF01398	PTHR10540:SF6;PTHR10540	mobidb-lite	NA	NA	NA	NA	NA	cd08064	MF_03005	G3DSA:3.40.140.10	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	PS50249	NA	SM00232	NA	NA	NA
PTB41311.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PTHR31263;PTHR31263:SF7	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd00067	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066	NA	NA	NA
PTB40437.1	NA	NA	NA	NA	NA	NA	PTHR28051:SF1;PTHR28051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45294.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43103.1	IPR036915	NA	NA	SSF47954	NA	PF00134	PTHR10026;PTHR10026:SF79	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd00043	NA	G3DSA:1.10.472.10	NA	NA	NA	NA	SM00385	NA	NA	NA
PTB39070.1	IPR032675	NA	NA	SSF52047;SSF81383;SSF48452	GO:0005515	PF00646	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.80.10.10;G3DSA:1.20.1280.50;G3DSA:1.25.40.10	NA	NA	PS50181;PS50293	NA	NA	NA	NA	NA
PTB37637.1	IPR002403	NA	NA	SSF48264	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	PTHR24279;PTHR24279:SF70	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	PR00465	NA	NA	NA	NA	NA	NA	NA
PTB36873.1	NA	NA	Coil	NA	NA	NA	PTHR40788;PTHR40788:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36953.1	IPR035490	NA	NA	SSF56235;SSF53697	GO:0097367;GO:1901135	PF13522;PF01380	PTHR10937;PTHR10937:SF10	NA	NA	NA	NA	NA	NA	cd05009;cd00714;cd05008	NA	G3DSA:3.40.50.10490	NA	KEGG: 00250+2.6.1.16|KEGG: 00520+2.6.1.16|MetaCyc: PWY-6749|MetaCyc: PWY-8013|Reactome: R-HSA-446210	PS51464;PS51278	NA	NA	NA	NA	NA
PTB46944.1	IPR002076	NA	NA	NA	GO:0016021	PF01151	PTHR11157:SF12;PTHR11157	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	KEGG: 00062+2.3.1.199|MetaCyc: PWY-5080|MetaCyc: PWY-5972|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-7036|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|Reactome: R-HSA-75876	NA	NA	NA	NA	NA	NA
PTB36973.1	IPR000608	NA	Coil	SSF54495		PF00179	PTHR44465	mobidb-lite	NA	NA	NA	NA	NA	cd00195	NA	G3DSA:3.10.110.10	NA	Reactome: R-HSA-983168	PS50127	NA	SM00212	NA	NA	NA
PTB35020.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42549.1	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42703.1	IPR029058	NA	NA	SSF53474	NA	PF12697	PTHR17630:SF74;PTHR17630	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.10.800;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
PTB43158.1	IPR029756	NA	NA	SSF89957	NA	PF01910	PTHR33777;PTHR33777:SF1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.930	NA	NA	NA	NA	NA	NA	TIGR00106	NA
PTB45596.1	NA	NA	Coil	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43604.1	IPR006674	NA	NA	SSF109604	NA	PF01966	PTHR33594	NA	NA	NA	NA	NA	NA	cd00077	NA	G3DSA:1.10.3210.50	NA	NA	NA	NA	SM00471	NA	NA	NA
PTB44860.1	IPR001830	NA	NA	SSF53756	GO:0003824;GO:0005992	PF00982	PTHR10788:SF6;PTHR10788	mobidb-lite	NA	NA	NA	NA	NA	cd03788	NA	G3DSA:3.40.50.2000	NA	KEGG: 00500+2.4.1.15	NA	NA	NA	NA	NA	NA
PTB47119.1	IPR013766	NA	NA	SSF52833	GO:0045454;GO:0009055;GO:0015035	PF00085;PF00462	PTHR10293:SF40;PTHR10293	mobidb-lite	NA	NA	NA	NA	NA	cd03028;cd02984	NA	G3DSA:3.40.30.10	NA	NA	PS51352;PS51354	NA	NA	NA	NA	NA
PTB46079.1	IPR003767	NA	NA	SSF89733	GO:0016491;GO:0055114	PF02615	PTHR11091;PTHR11091:SF0	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.1530.10;G3DSA:3.30.1370.60	NA	NA	NA	NA	NA	NA	NA	NA
PTB45956.1	IPR015659	NA	Coil	SSF51730	GO:0004657;GO:0006562	PF01619	PTHR13914;PTHR13914:SF6	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.220	NA	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	NA	NA	NA	NA	NA
