Gene	Phobius	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	CDD	TMHMM	Coils	MobiDBLite	PATHWAY	ProSitePatterns	SMART	Gene3D	PIRSF	PRINTS	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
EGR45967.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50970.1	NA	IPR035812	SSF51735;SSF53223	PTHR10025;PTHR10025:SF5	GO:0004488;GO:0055114	PF02882;PF00763	NA	cd01079	NA	NA	NA	KEGG: 00670+1.5.1.15|MetaCyc: PWY-2201	NA	NA	G3DSA:3.40.50.720;G3DSA:3.40.50.10860	NA	PR00085	NA	NA	NA	NA	NA	NA	NA
EGR49200.1	NA	IPR003428	SSF54529	PTHR10826:SF1;PTHR10826	GO:0005759	PF02330	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-140837	NA	NA	G3DSA:3.10.280.10	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR44182.1	NA	IPR036188	SSF54373;SSF51905	PTHR13789:SF215;PTHR13789	GO:0071949	PF01494	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
EGR53058.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44926.1	NA	IPR015422	SSF53383	PTHR43094	GO:0003824;GO:0008483;GO:0030170	PF00202	NA	cd00610	NA	NA	NA	NA	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	PIRSF000521	NA	NA	NA	NA	NA	NA	NA	NA
EGR47329.1	NA	IPR040451	NA	PTHR31983:SF9;PTHR31983	GO:0052861	PF03639;PF17652	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.70.98.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52831.1	NA	IPR027410	SSF52029;SSF48592;SSF54849	PTHR11353:SF64;PTHR11353	GO:0005737;GO:0042026;GO:0005524;GO:0006457	PF00118	NA	cd03344	NA	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	PS00296	NA	G3DSA:3.30.260.10;G3DSA:3.50.7.10;G3DSA:1.10.560.10	NA	PR00298	TIGR02348	NA	NA	NA	MF_00600	NA	NA
EGR48110.1	NA	IPR006569	SSF54928;SSF48464	PTHR23189:SF41;PTHR23189	GO:0003676	PF00076;PF04818	PS51391;PS50102	NA	NA	NA	mobidb-lite	NA	NA	SM00360;SM00582	G3DSA:3.30.70.330;G3DSA:1.25.40.90	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48287.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52169.1	NA	IPR013024	SSF110857	PTHR31544;PTHR31544:SF2	NA	PF06094	NA	cd06661	NA	NA	NA	NA	NA	NA	G3DSA:3.10.490.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51922.1	NA	IPR016135	SSF54495	PTHR43898:SF6;PTHR43898		PF00179	PS50127	cd00195	NA	NA	NA	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PS00183	SM00212	G3DSA:3.10.110.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49007.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44986.1	NA	IPR005321	SSF56266	PTHR36512		PF03576	NA	NA	NA	NA	mobidb-lite	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	NA	G3DSA:3.60.70.12	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45617.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR47884.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR039632	SSF103481	PTHR31965	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52205.1	NA	IPR013785	SSF51395	PTHR10578:SF86;PTHR10578	GO:0003824;GO:0016491;GO:0010181;GO:0055114	PF01070	PS51349	NA	NA	NA	NA	Reactome: R-HSA-9033241	PS00557	NA	G3DSA:3.20.20.70	PIRSF000138	NA	NA	NA	NA	NA	NA	NA	NA
EGR50167.1	NA	IPR005123	SSF51197	PTHR10209;PTHR10209:SF361	GO:0016491;GO:0055114	PF03171;PF14226	PS51471	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.60.120.330	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49648.1	NA	IPR000198	SSF48350	PTHR23176;PTHR23176:SF94	GO:0007165	PF00620	PS50238	cd00159	NA	NA	mobidb-lite	Reactome: R-HSA-194840	NA	SM00324	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR48646.1	NA	IPR016534	SSF50969	PTHR12811	GO:0006886;GO:0007033;GO:0005515;GO:0005737	PF04840;PF04841	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.130.10.10;G3DSA:1.10.150.780	PIRSF007949	NA	NA	NA	NA	NA	NA	NA	NA
EGR48805.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	PTHR41390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46188.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR015797	SSF55811;SSF55931	PTHR43785;PTHR43785:SF1	GO:0016787;GO:0004356;GO:0006807;GO:0003824	PF00120;PF00293	PS51462	cd03424	TMhelix	NA	NA	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964	PS00893	SM01230	G3DSA:3.90.79.10;G3DSA:3.30.590.10	NA	PR00502	NA	NA	NA	NA	NA	NA	NA
EGR44125.1	NA	IPR029045	SSF52096	PTHR11941:SF103;PTHR11941	GO:0003824	PF00378	NA	cd06558	NA	NA	NA	NA	NA	NA	G3DSA:3.90.226.10;G3DSA:1.10.12.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47916.1	NA	IPR007557	NA	PTHR43830:SF3;PTHR43830	NA	PF04468	PS51411	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48467.1	NA	IPR009486	NA	PTHR38643	GO:0055085	PF06516	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF013171	NA	NA	NA	NA	NA	NA	NA	NA
EGR47317.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR001841	SSF57850	PTHR22765;PTHR22765:SF64	NA	PF13639	PS50089	cd16454	TMhelix	NA	mobidb-lite	NA	NA	SM00184	G3DSA:3.30.40.10	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR51577.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	PTHR42024	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52256.1	NA	IPR002876	SSF75625	PTHR12532;PTHR12532:SF0		PF01709	NA	NA	NA	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	G3DSA:3.30.70.980;G3DSA:1.10.10.200	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR52730.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA	NA
EGR46002.1	NA	IPR001578	SSF54001	PTHR10589:SF41;PTHR10589	GO:0004843;GO:0005622;GO:0006511	PF01088	NA	cd09616	NA	NA	NA	Reactome: R-HSA-5689603	NA	NA	G3DSA:3.40.532.10	NA	PR00707	NA	NA	NA	NA	NA	NA	NA
EGR47353.1	NA	IPR006148	SSF100950	PTHR11280:SF17;PTHR11280	GO:0005975;GO:0004342;GO:0006044	PF01182	NA	cd01399	NA	NA	mobidb-lite	KEGG: 00520+3.5.99.6|MetaCyc: PWY-5514|MetaCyc: PWY-6855|MetaCyc: PWY-6906	PS01161	NA	G3DSA:3.40.50.1360	NA	NA	TIGR00502	NA	NA	NA	MF_01241	NA	NA
EGR51754.1	NA	NA	NA	PTHR40640	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51847.1	NA	IPR036393	NA	PTHR23342:SF4;PTHR23342	GO:0004042	PF04768	PS51731	NA	NA	NA	NA	KEGG: 00220+2.3.1.1|MetaCyc: PWY-5154|Reactome: R-HSA-70635	NA	NA	G3DSA:3.40.1160.10;G3DSA:3.40.630.30	PIRSF007892	NA	NA	NA	NA	NA	NA	NA	NA
EGR51816.1	NA	IPR001608	SSF51419	PTHR10146;PTHR10146:SF5	GO:0030170	PF01168	NA	cd06822	NA	NA	NA	KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383	NA	NA	G3DSA:3.20.20.10	PIRSF004848	NA	TIGR00044	NA	NA	NA	MF_02087	NA	NA
EGR49435.1	NA	NA	NA	PTHR35391;PTHR35391:SF1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51606.1	NA	IPR036188	SSF51905;SSF51735	PTHR43539;PTHR43539:SF11	NA	PF13738	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	NA	PR00411	NA	NA	NA	NA	NA	NA	NA
EGR50360.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51859.1	NA	IPR009057	SSF46689	PTHR21717:SF9;PTHR21717	GO:0003677	PF00249	PS51294;PS50090	cd11660	NA	NA	mobidb-lite	NA	NA	SM00717	G3DSA:1.10.10.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45080.1	NA	IPR024084	SSF53659	PTHR11822	GO:0016616;GO:0055114;GO:0004450;GO:0006102;GO:0000287;GO:0051287	PF00180	NA	NA	NA	NA	NA	Reactome: R-HSA-71403	PS00470	SM01329	G3DSA:3.40.718.10	PIRSF000108	NA	TIGR00127	NA	NA	NA	NA	NA	NA
EGR48379.1	NA	IPR038110	SSF55021;SSF53686	PTHR43714	GO:0006520;GO:0030170;GO:0004794;GO:0009097	PF00291;PF00585	PS51672	cd01562;cd04907;cd04906	NA	NA	NA	KEGG: 00260+4.3.1.19|KEGG: 00290+4.3.1.19	PS00165	NA	G3DSA:3.40.1020.10;G3DSA:3.40.50.1100	NA	NA	TIGR01124	NA	NA	NA	NA	NA	NA
EGR51520.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR022185	NA	PTHR35895	NA	PF12505	NA	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52290.1	NA	IPR000195	SSF47923	PTHR22957:SF337;PTHR22957	NA	PF00566	PS50086	NA	NA	NA	mobidb-lite	NA	NA	SM00164	G3DSA:1.10.472.80	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48842.1	NA	IPR011009	SSF56112	PTHR24343:SF218;PTHR24343	GO:0004672;GO:0006468;GO:0005524	PF00069	PS50011	cd13993	NA	NA	NA	NA	PS00108	SM00220	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46456.1	NA	IPR033877	SSF55469	PTHR43035:SF2;PTHR43035	GO:0016657;GO:0034599;GO:0016491	PF00881	NA	cd02140	NA	NA	NA	Reactome: R-HSA-209968	NA	NA	G3DSA:3.40.109.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49157.1	NA	IPR001199	SSF55856;SSF47203;SSF56645	PTHR43604:SF4;PTHR43604	GO:0016627;GO:0055114;GO:0050660	PF00173;PF02771;PF00441;PF02770	PS50255	NA	NA	NA	mobidb-lite	NA	NA	SM01117	G3DSA:1.20.140.10;G3DSA:2.40.110.10;G3DSA:1.10.540.10;G3DSA:3.10.120.10	NA	PR00363	NA	NA	NA	NA	NA	NA	NA
EGR47826.1	NA	IPR002110	SSF48403	PTHR45454	GO:0005515	PF12796	PS50088;PS50297	cd00204	NA	NA	NA	NA	NA	SM00248	G3DSA:1.25.40.20	NA	PR01415	NA	NA	NA	NA	NA	NA	NA
EGR44952.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.530.10	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR48889.1	NA	IPR013929	NA	PTHR21483	GO:0006366	PF08620;PF08621	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44309.1	NA	IPR015943	SSF50978	NA	GO:0005515	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50884.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
EGR44635.1	NA	IPR009215	SSF51621	PTHR45568:SF2;PTHR45568	GO:0003824	PF09370	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.20.20.70	PIRSF034452	NA	NA	NA	NA	NA	NA	NA	NA
EGR44805.1	NA	IPR003819	SSF51197	PTHR30468;PTHR30468:SF19	GO:0016491;GO:0055114	PF02668	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44571.1	NA	IPR036188	SSF51905	PTHR13847:SF213;PTHR13847	GO:0016491;GO:0055114	PF01266	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51400.1	NA	IPR000504	SSF54928	PTHR43955;PTHR43955:SF1	GO:0003676	PF00076	PS50102	cd12611;cd12613;cd12346	NA	NA	mobidb-lite	NA	NA	SM00360	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51282.1	NA	IPR004038	SSF55315	PTHR23105:SF38;PTHR23105	GO:0003723;GO:0005730;GO:0042254;GO:1990904	PF01248	NA	NA	NA	Coil	NA	Reactome: R-HSA-6790901	PS01082	NA	G3DSA:3.30.1330.30	NA	PR00881;PR00883	NA	NA	NA	NA	NA	NA	NA
EGR44353.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46300.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	IPR036195	SSF110221;SSF49899	PTHR39447	GO:0046373;GO:0046556;GO:0031221;GO:0019566	PF05270;PF09206	NA	NA	NA	NA	NA	KEGG: 00520+3.2.1.55	NA	NA	G3DSA:2.80.10.50;G3DSA:2.60.120.200	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR52641.1	NA	IPR007185	NA	PTHR10416	GO:0003677;GO:0003887;GO:0006260	PF18018;PF04042	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	G3DSA:2.40.50.430;G3DSA:3.60.21.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49914.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR007219	NA	PTHR31001	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	cd12148	NA	NA	mobidb-lite	NA	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51925.1	NA	IPR007064	NA	PTHR12746	GO:0043023	PF04981	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47002.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	IPR036318	SSF56176	PTHR42973;PTHR42973:SF8	GO:0050660;GO:0071949;GO:0016491;GO:0055114	PF08031;PF01565	PS51387	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.465.40;G3DSA:3.40.462.20	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR51094.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	IPR011059	SSF51338;SSF51556	PTHR43135	GO:0016810;GO:0016787	PF01979	PS51257	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.20.58.520;G3DSA:2.30.40.10;G3DSA:3.30.110.90;G3DSA:3.40.50.10910	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
EGR51623.1	NA	IPR001650	SSF52540	PTHR24031:SF204;PTHR24031	GO:0003676;GO:0005524	PF00271;PF00270	PS51194;PS51192;PS51195	cd00268;cd00079	NA	Coil	NA	NA	NA	SM00490;SM00487	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52199.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR005606	NA	PTHR12825;PTHR12825:SF0		PF03908	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48107.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48059.1	NA	IPR037353	SSF49899	PTHR10598	GO:0048188;GO:0051568;GO:0005515	NA	PS50188	cd12872	NA	NA	mobidb-lite	Reactome: R-HSA-201722|Reactome: R-HSA-3214841|Reactome: R-HSA-3769402|Reactome: R-HSA-5617472|Reactome: R-HSA-8936459	NA	SM00449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50269.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR017849	NA	PTHR31956:SF1;PTHR31956	GO:0003824;GO:0016788	PF04185	NA	cd16014	NA	NA	NA	NA	NA	NA	G3DSA:3.40.720.10	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR52710.1	NA	IPR036249	SSF52833;SSF51905;SSF54373	PTHR43004:SF4;PTHR43004	GO:0071949	PF07976;PF01494	NA	cd02979	NA	NA	NA	NA	NA	NA	G3DSA:3.30.9.50;G3DSA:3.50.50.60;G3DSA:3.40.30.20	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
EGR51411.1	NA	IPR037171	SSF100950	PTHR43475:SF1;PTHR43475	GO:0044237;GO:0044249	PF01008	NA	NA	NA	Coil	NA	KEGG: 00270+5.3.1.23|MetaCyc: PWY-4361|MetaCyc: PWY-7174	NA	NA	G3DSA:3.40.50.10470;G3DSA:1.20.120.1840	NA	NA	TIGR00524;TIGR00512	NA	NA	NA	MF_01678	NA	NA
EGR44056.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
EGR51659.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR009060	SSF46934	PTHR44317	GO:0005515	PF02845	PS51140	cd14424	TMhelix	NA	mobidb-lite	NA	NA	SM00546	G3DSA:1.10.8.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51232.1	NA	IPR014722	SSF50104	PTHR10715:SF0;PTHR10715	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF01159	NA	cd13156	NA	NA	mobidb-lite	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS01170	NA	G3DSA:2.30.30.30	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49025.1	NA	IPR006219	SSF51569	PTHR21225;PTHR21225:SF8	GO:0003849;GO:0009073;GO:0009058;GO:0003824	PF00793	NA	NA	NA	NA	NA	KEGG: 00400+2.5.1.54|MetaCyc: PWY-6164	NA	NA	G3DSA:3.20.20.70	PIRSF001361	NA	TIGR00034	NA	NA	NA	NA	NA	NA
EGR49280.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	IPR006913	SSF51316	NA	GO:0016846	PF04828	NA	NA	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
EGR50294.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	IPR023346	SSF53955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.10.530.10	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
EGR45588.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR029063	SSF53335	PTHR42912;PTHR42912:SF20	NA	PF13489	NA	cd02440	TMhelix	NA	NA	NA	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44352.1	NA	IPR011989	SSF48371	PTHR12363;PTHR12363:SF34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52353.1	NA	IPR019734	SSF48452	PTHR16193	GO:0005515	PF13432	PS50005;PS50293	NA	NA	NA	mobidb-lite	NA	NA	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50383.1	NA	IPR011009	SSF56112	PTHR24359;PTHR24359:SF1	GO:0004672;GO:0005524;GO:0006468	PF00069	PS50011	cd00180	NA	NA	NA	NA	NA	SM00220	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51029.1	NA	IPR036864	SSF57701	PTHR31263;PTHR31263:SF23	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	PS50048	cd00067	NA	NA	mobidb-lite	NA	PS00463	SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52634.1	NA	IPR007174	NA	PTHR15002		PF04031	NA	NA	NA	NA	mobidb-lite	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47397.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44413.1	NA	IPR036250	SSF47203;SSF56645;SSF55856	PTHR43604:SF3;PTHR43604	GO:0016627;GO:0055114;GO:0020037;GO:0050660;GO:0003995	PF00441;PF00173;PF02770;PF02771	PS50255	NA	NA	NA	NA	NA	PS00191;PS00072	SM01117	G3DSA:2.40.110.10;G3DSA:1.20.140.10;G3DSA:3.10.120.10;G3DSA:1.10.540.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47745.1	NA	IPR001138	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	PS50048	cd00067	NA	NA	mobidb-lite	NA	NA	SM00066	G3DSA:4.10.240.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48336.1	NA	IPR010730	NA	PTHR24148;PTHR24148:SF57	NA	PF06985	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48919.1	NA	IPR000836	SSF53271	PTHR42946;PTHR42946:SF4	GO:0009116	PF00156	NA	cd06223	NA	Coil	NA	NA	NA	NA	G3DSA:3.40.50.2020	NA	NA	NA	NA	NA	NA	NA	NA	NA
