Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB54930.1	IPR029184	PF15460	NA	NA	NA	PTHR38422	mobidb-lite	NA	Coil	GO:0016573;GO:0033255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49723.1	IPR031568	PF15786	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR28163	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB53169.1	IPR001214	PF00856	NA	SSF82199	NA	PTHR13271:SF49;PTHR13271	NA	G3DSA:3.90.1410.10	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51324.1	IPR004104	PF02894;PF01408	NA	SSF55347;SSF51735	NA	PTHR43708:SF5;PTHR43708	mobidb-lite	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51528.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58325.1	IPR007219	PF00172;PF04082	NA	SSF57701	NA	PTHR31313:SF43;PTHR31313	NA	G3DSA:4.10.240.10	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SM00906;SM00066	NA	NA	PS00463	cd00067;cd12148	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB50221.1	IPR036318	PF04030;PF01565	NA	SSF56176	NA	PTHR43762:SF1;PTHR43762	NA	G3DSA:3.30.465.10;G3DSA:3.30.43.10	NA	GO:0050660;GO:0016491;GO:0055114;GO:0016899;GO:0071949;GO:0003885;GO:0016020	NA	NA	NA	PS00862	NA	PS51387	NA	PIRSF000136	NA	TIGR01678	NA	NA	NA	NA
PTB58861.1	IPR001790	PF17777;PF00466	NA	SSF160369	NA	PTHR21141;PTHR21141:SF37	NA	G3DSA:3.90.105.20;G3DSA:3.30.70.1730	NA	GO:0005622;GO:0042254;GO:0000027	NA	NA	NA	NA	cd05796	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51463.1	IPR036291	PF00106	NA	SSF51735	NA	PTHR24320;PTHR24320:SF106	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53557.1	IPR021858	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50823.1	IPR035309	PF16507;PF16547;PF11919	NA	SSF48371	NA	PTHR32170;PTHR32170:SF3	NA	NA	NA	GO:0016504;GO:0070577;GO:0070628	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52361.1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59840.1	IPR023696	PF00850	NA	SSF52768	NA	PTHR10625:SF132;PTHR10625	mobidb-lite	G3DSA:3.40.800.20	Coil	GO:0004407;GO:0016575	NA	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	PR01270;PR01271	NA	NA	NA	NA	PIRSF037913	NA	NA	NA	NA	NA	NA
PTB58703.1	IPR002777	PF01920	NA	SSF46579	NA	PTHR13303	NA	G3DSA:1.10.287.370	Coil	GO:0006457;GO:0016272;GO:0051082	NA	Reactome: R-HSA-389957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58952.1	IPR031238	PF06472;PF00005	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF52540	NA	PTHR11384:SF36;PTHR11384	NA	G3DSA:3.40.50.300	Coil	GO:0005779;GO:0042626;GO:1902001;GO:0005524;GO:0016021;GO:0055085;GO:0016887	SM00382	NA	NA	NA	cd03223	PS50893	NA	NA	NA	NA	NA	NA	NA	NA
PTB59589.1	IPR013149	PF00107;PF08240	NA	SSF50129;SSF51735	NA	PTHR42940:SF4;PTHR42940	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	GO:0055114;GO:0008270;GO:0016491	SM00829	Reactome: R-HSA-71384	NA	PS00059	cd08296	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55356.1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB54828.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60562.1	IPR010730	PF06985	NA	NA	NA	PTHR33112:SF6;PTHR33112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59953.1	IPR036291	PF00106	NA	SSF51735	NA	PTHR24320:SF106;PTHR24320	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49076.1	IPR002110	PF12796	NA	SSF48403	NA	PTHR42652;PTHR42652:SF2	NA	G3DSA:1.25.40.20	NA	GO:0005515	SM00248	NA	PR01415	NA	cd00204	PS50297;PS50088	NA	NA	NA	NA	NA	NA	NA	NA
PTB50818.1	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB49839.1	IPR029058	PF07859	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF53474	NA	PTHR23024;PTHR23024:SF237	NA	G3DSA:3.40.50.1820	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49659.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55465.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49117.1	IPR010730	PF06985	NA	NA	NA	PTHR33112;PTHR33112:SF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54498.1	IPR003333	PF02353	NA	SSF53335	NA	PTHR42912:SF25;PTHR42912	NA	G3DSA:3.40.50.150	NA	GO:0008610	SM00828	NA	NA	NA	cd02440	NA	NA	PIRSF003085	NA	NA	NA	NA	NA	NA
PTB58997.1	IPR027437	PF00416	NA	SSF46946	NA	PTHR10871;PTHR10871:SF18	mobidb-lite	G3DSA:4.10.910.10;G3DSA:1.10.8.50	NA	GO:0003723;GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003676	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00646	NA	PS50159	NA	PIRSF002134	MF_01315	NA	NA	NA	NA	NA
PTB52196.1	IPR016163	PF00171	NA	SSF53720	NA	PTHR43353;PTHR43353:SF5	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	GO:0016491;GO:0016620;GO:0055114;GO:0009013;GO:0009450	NA	Reactome: R-HSA-916853	NA	PS00070;PS00687	cd07103	NA	NA	NA	NA	TIGR01780	NA	NA	NA	NA
PTB56408.1	NA	NA	NA	NA	NA	PTHR38702	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47706.1	IPR023828	PF00082;PF06280	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF52743	NA	PTHR43399	NA	G3DSA:3.40.50.200	NA	GO:0004252;GO:0006508;GO:0005618;GO:0016020	NA	NA	PR00723	PS00138;PS00136	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB54565.1	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49159.1	IPR032387	PF16177;PF13193;PF00501	NA	SSF56801	NA	PTHR42921;PTHR42921:SF3	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	Coil	GO:0006629;GO:0030729;GO:0003824	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	NA	PS00455	NA	NA	NA	NA	NA	TIGR01217	NA	NA	NA	NA
PTB58567.1	IPR008972	PF00394;PF07731;PF07732	NA	SSF49503	NA	PTHR11709:SF131;PTHR11709	NA	G3DSA:2.60.40.420	NA	GO:0055114;GO:0005507;GO:0016491	NA	NA	NA	PS00079;PS00080	cd13886;cd13910	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53526.1	IPR011032	PF00107;PF08240	NA	SSF50129;SSF51735	NA	PTHR42813:SF2;PTHR42813	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	GO:0055114;GO:0008270;GO:0016491	NA	Reactome: R-HSA-71384	NA	PS00059	cd08284	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51664.1	IPR036322	NA	NA	SSF50978	NA	PTHR13257	NA	NA	Coil	GO:0005515;GO:0000055;GO:0000056;GO:0006913;GO:0017056	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53451.1	IPR000132	PF00795	NA	SSF56317	NA	PTHR23088:SF2;PTHR23088	NA	G3DSA:3.60.110.10	NA	GO:0016810;GO:0006807	NA	NA	NA	PS00920;PS00921	cd07564	PS50263	NA	NA	NA	NA	NA	NA	NA	NA
PTB49923.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57047.1	IPR002347	PF13561	NA	SSF51735	NA	PTHR42760	NA	G3DSA:3.40.50.720	NA	GO:0016491	SM00822	NA	PR00081;PR00080	PS00061	cd05233	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47843.1	IPR036663	PF01557	NA	SSF56529	NA	PTHR11820:SF91;PTHR11820	NA	G3DSA:3.90.850.10	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58033.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56470.1	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB48155.1	IPR027537	PF10296	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PTHR13466:SF5;PTHR13466	mobidb-lite	NA	NA	GO:0007005;GO:0032865;GO:0008289	NA	NA	NA	NA	NA	PS51847	NA	NA	MF_03103	NA	NA	NA	NA	NA
PTB59558.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51663.1	IPR012677	PF00076	NA	SSF54928	NA	PTHR18847	mobidb-lite	G3DSA:3.30.70.330	NA	GO:0003676;GO:0000339;GO:0005846;GO:0045292	SM00360	NA	NA	NA	cd12240	PS50102	NA	NA	NA	NA	NA	NA	NA	NA
PTB55153.1	IPR036117	PF02734;PF02733	NA	SSF101473;SSF82549	NA	PTHR28629;PTHR28629:SF3	NA	G3DSA:3.40.50.10440;G3DSA:1.25.40.340;G3DSA:3.30.1180.20	NA	GO:0004371;GO:0006071;GO:0005524	SM01120	Reactome: R-HSA-168928|Reactome: R-HSA-70350	NA	NA	NA	PS51481;PS51480	NA	NA	NA	TIGR02361	NA	NA	NA	NA
PTB58819.1	IPR001948	PF02127	NA	SSF53187;SSF101821	NA	PTHR28570;PTHR28570:SF3	NA	G3DSA:2.30.250.10;G3DSA:3.40.630.10	NA	GO:0004177;GO:0006508;GO:0008270	NA	NA	PR00932	NA	cd05658	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59472.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB52071.1	IPR029063	PF13649	NA	SSF53335	NA	PTHR43861;PTHR43861:SF4	NA	G3DSA:3.40.50.150;G3DSA:1.10.150.290	NA	GO:0030798	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56800.1	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56599.1	IPR022671	PF03947;PF00181	NA	SSF50104;SSF50249	NA	PTHR13691;PTHR13691:SF16	NA	G3DSA:2.40.50.140;G3DSA:4.10.950.10;G3DSA:2.30.30.30	NA	GO:0003735;GO:0005840;GO:0006412	SM01382;SM01383	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00467	NA	NA	NA	PIRSF002158	NA	NA	NA	NA	NA	NA
PTB52351.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PTHR37062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55449.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53752.1	IPR006032	PF00164	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF50249	NA	PTHR11652;PTHR11652:SF1	mobidb-lite	G3DSA:2.40.50.140	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015935	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PR01034	NA	cd03368	NA	SignalP-TM	NA	NA	TIGR00981	NA	NA	NA	NA
PTB51084.1	IPR036236	NA	NA	SSF57667	NA	NA	mobidb-lite	G3DSA:3.30.160.60	NA	GO:0003676	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61260.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51171.1	IPR019404	PF10280	NA	NA	NA	PTHR22890	NA	NA	NA	GO:0003712;GO:0006357;GO:0016592	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59670.1	IPR024326	PF12923;PF17799	NA	NA	NA	PTHR13191	mobidb-lite	G3DSA:3.30.70.330	Coil		NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	cd12950	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59080.1	IPR000727	PF00787	NA	SSF64268;SSF58038	NA	PTHR19957:SF119;PTHR19957	mobidb-lite	G3DSA:1.20.5.110;G3DSA:3.30.1520.10	NA	GO:0035091	SM00397;SM00312	NA	NA	NA	cd15858;cd06897	PS50192;PS50195	NA	NA	NA	NA	NA	NA	NA	NA
PTB49562.1	IPR035994	PF01048;PF17107	NA	SSF53167	NA	PTHR21234:SF16;PTHR21234	mobidb-lite	NA	NA	GO:0003824;GO:0009116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49623.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53612.1	IPR001670	PF00465	NA	SSF56796	NA	PTHR11496:SF93;PTHR11496	NA	G3DSA:1.20.1090.10;G3DSA:3.40.50.1970	NA	GO:0016491;GO:0046872;GO:0055114	NA	Reactome: R-HSA-880009	NA	NA	cd08177	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51006.1	IPR004046	PF00043;PF02798	NA	SSF47616;SSF52833	NA	PTHR43900;PTHR43900:SF3	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	GO:0005515	NA	NA	NA	NA	cd03057	PS50405;PS50404	NA	NA	NA	NA	NA	NA	SFLDS00019	NA
PTB60486.1	IPR011419	PF07542	NA	SSF160909	NA	PTHR21013	NA	G3DSA:1.10.3580.10;G3DSA:3.30.2180.30	NA	GO:0043461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52456.1	IPR005645	PF03959	NA	SSF53474	NA	PTHR22778;PTHR22778:SF0	mobidb-lite	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60467.1	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52023.1	IPR036188	PF01494	NA	SSF54373;SSF51905	NA	PTHR13789;PTHR13789:SF215	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	GO:0071949	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50843.1	IPR016024	PF03810;PF13513	NA	SSF48371	NA	PTHR10527;PTHR10527:SF6	NA	NA	NA	GO:0006606;GO:0006886;GO:0008536	SM01349;SM00913	NA	NA	NA	NA	PS50077;PS50166	NA	NA	NA	NA	NA	NA	NA	NA
PTB51281.1	IPR004886	PF03198;PF07983	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE	SSF51445	NA	PTHR31468:SF2;PTHR31468	NA	G3DSA:1.20.58.1040;G3DSA:3.20.20.80	NA	NA	SM00768	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB57619.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51984.1	IPR032466	PF00962	NA	SSF51556	NA	PTHR11409;PTHR11409:SF37	NA	G3DSA:3.20.20.140	Coil	GO:0019239	NA	Reactome: R-HSA-74217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58213.1	IPR000719	PF00069	NA	SSF56112	NA	PTHR43671	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	GO:0004672;GO:0005524;GO:0006468	SM00220	NA	NA	PS00108	cd00180	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB59967.1	IPR020683	PF12796;PF00023	NA	SSF48403	NA	PTHR44294	NA	G3DSA:1.25.40.20	NA	GO:0005515	SM00248	NA	NA	NA	cd00204	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA	NA
PTB54638.1	IPR021858	PF11951	NA	NA	NA	PTHR38111	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55039.1	IPR000644	PF00571;PF00478	NA	SSF54631;SSF51412	NA	PTHR11911:SF111;PTHR11911	NA	G3DSA:3.20.20.70	NA	GO:0003938;GO:0006164;GO:0055114;GO:0016491;GO:0003824	SM00116;SM01240	KEGG: 00230+1.1.1.205|KEGG: 00983+1.1.1.205|MetaCyc: PWY-5695|MetaCyc: PWY-6596|MetaCyc: PWY-7221|Reactome: R-HSA-6798695|Reactome: R-HSA-73817	NA	PS00487	cd04602;cd00381	PS51371	NA	PIRSF000130	MF_01964	TIGR01302	NA	NA	NA	NA
PTB51590.1	IPR038089	PF05669	NA	NA	NA	PTHR13186	mobidb-lite	G3DSA:1.10.10.1340	NA	GO:0003712;GO:0006355;GO:0016592	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52368.1	IPR020683	PF12796	NA	SSF48403	NA	PTHR44139	NA	G3DSA:1.25.40.20	NA	GO:0005515	NA	NA	NA	NA	cd00204	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA	NA
PTB60244.1	IPR040115	PF10058	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PTHR22166;PTHR22166:SF12	mobidb-lite	NA	Coil	GO:0071786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56263.1	IPR025066	PF13300	NA	NA	NA	PTHR15885	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58255.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56943.1	IPR038903	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	PTHR42039	mobidb-lite	NA	NA	GO:0005576;GO:0019863	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB48406.1	IPR039096	PF08450	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	SSF63829	TMhelix	PTHR10907;PTHR10907:SF67	NA	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA
