Gene	Phobius	PRINTS	interpro	GO	ProSiteProfiles	PANTHER	TMHMM	SFLD	Gene3D	PATHWAY	TIGRFAM	CDD	SUPERFAMILY	ProSitePatterns	Pfam	MobiDBLite	SMART	Coils	PIRSF	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Hamap	ProDom
EHK42044.1	NA	NA	IPR006762	GO:0005525	NA	PTHR11259;PTHR11259:SF1	NA	NA	G3DSA:3.30.450.190;G3DSA:3.40.50.300	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724	NA	cd11384	SSF52540	NA	PF04670	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47232.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd14688	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48210.1	NA	NA	NA	NA	NA	PTHR31606;PTHR31606:SF1	NA	NA	NA	NA	NA	cd13214	SSF50729	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK50779.1	NA	PR00081	IPR002347	NA	NA	PTHR43544	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47332.1	NA	PR00412	IPR000073	GO:0003824	NA	PTHR43329:SF22;PTHR43329	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PF00561	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EHK41940.1	NA	NA	IPR019341	NA	NA	PTHR14659	NA	NA	G3DSA:3.40.50.11960	NA	NA	NA	NA	NA	PF10199	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK48578.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50878.1	NA	NA	IPR011009	NA	NA	NA	NA	NA	G3DSA:3.90.1200.10	NA	NA	NA	SSF56112	NA	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47653.1	NA	NA	IPR002765	NA	NA	PTHR34068	NA	NA	G3DSA:3.30.110.70	NA	NA	NA	SSF117782	NA	PF01906	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45132.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
EHK43615.1	NA	PR00412	IPR000073	GO:0018786;GO:0003824	NA	PTHR43329;PTHR43329:SF18	NA	NA	G3DSA:3.40.50.1820	KEGG: 00361+3.8.1.5|KEGG: 00625+3.8.1.5	NA	NA	SSF53474	NA	PF00561	NA	NA	NA	NA	NA	NA	NA	MF_01231	NA
EHK50363.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49031.1	NA	NA	IPR011107	GO:0004865;GO:0032515	NA	PTHR20835;PTHR20835:SF0	NA	NA	NA	NA	NA	NA	NA	NA	PF07491	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45375.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK51068.1	NA	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PTHR31313:SF35;PTHR31313	NA	NA	NA	NA	NA	cd12148	NA	NA	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49858.1	NA	NA	IPR020617	GO:0016747;GO:0003824	NA	PTHR43853;PTHR43853:SF8	NA	NA	G3DSA:3.40.47.10	NA	TIGR01930	cd00751	SSF53901	PS00098;PS00737	PF02803;PF00108	NA	NA	NA	PIRSF000429	NA	NA	NA	NA	NA
EHK48511.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42166.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR35186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46743.1	NA	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PTHR38791	NA	NA	G3DSA:4.10.240.10	NA	NA	cd00067	SSF57701	PS00463	PF00172;PF11951	NA	SM00066	NA	NA	NA	NA	NA	NA	NA
EHK46195.1	NA	NA	IPR029058	GO:0016787	NA	PTHR10655:SF35;PTHR10655	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PF02230	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK51097.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR021765	GO:0043386	NA	PTHR33365:SF11;PTHR33365	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF11807	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39971.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK46638.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	TMhelix	NA	G3DSA:2.120.10.70	NA	NA	NA	SSF89372	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43425.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
EHK47223.1	NA	NA	IPR029058	NA	NA	PTHR43329	NA	NA	NA	NA	NA	NA	SSF53474	NA	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45103.1	NA	NA	IPR011332	GO:0006412;GO:0003735;GO:0005622;GO:0005840	NA	PTHR10369	NA	NA	G3DSA:3.10.450.80	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	SSF57829	PS01172	PF00935	NA	NA	NA	NA	NA	NA	NA	NA	PD002841
EHK42955.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR001349	GO:0004129;GO:0005743;GO:0005751	NA	PTHR11504;PTHR11504:SF0	TMhelix	NA	G3DSA:4.10.95.10	NA	NA	NA	SSF81411	PS01329	PF02046	NA	NA	NA	PIRSF000277	NA	NA	NA	NA	PD006036
EHK50141.1	NA	NA	IPR005123	GO:0016491;GO:0055114	PS51471	PTHR13069;PTHR13069:SF8	NA	NA	G3DSA:2.60.120.590	NA	NA	NA	SSF51197	NA	PF13532	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43041.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44266.1	NA	NA	IPR014041	GO:0000814;GO:0071985	NA	PTHR13149	NA	NA	G3DSA:1.10.10.570;G3DSA:1.10.10.10	Reactome: R-HSA-917729	NA	NA	SSF46785	NA	PF05871	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41455.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK46659.1	NA	NA	IPR029069	GO:0006637;GO:0047617	NA	PTHR11066	NA	NA	G3DSA:3.10.129.90	Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241	NA	cd03445;cd03444	SSF54637	NA	PF13622	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48115.1	NA	NA	IPR015419	NA	NA	PTHR31283:SF5;PTHR31283	NA	NA	G3DSA:3.30.310.50	NA	NA	NA	NA	NA	PF09341	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48514.1	NA	NA	IPR036465	NA	NA	PTHR34706;PTHR34706:SF2	NA	NA	NA	NA	NA	NA	SSF53300	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40875.1	NA	NA	IPR013126		NA	PTHR19375;PTHR19375:SF213	NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	Reactome: R-HSA-3371453	NA	cd10229	SSF53067	NA	PF00012	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48088.1	NA	PR00081	IPR002347	NA	NA	PTHR43157;PTHR43157:SF1	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42354.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK47386.1	NA	NA	IPR029063	NA	NA	PTHR39290:SF1;PTHR39290	NA	NA	NA	NA	NA	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42964.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47141.1	NA	NA	NA	NA	NA	PTHR11129;PTHR11129:SF3	NA	NA	G3DSA:1.25.40.120	NA	NA	NA	SSF48439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46422.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44123.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK47779.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
EHK41307.1	NA	NA	NA	NA	NA	PTHR35391:SF1;PTHR35391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42953.1	NA	NA	IPR009071	NA	PS50118	PTHR10270:SF243;PTHR10270	NA	NA	G3DSA:1.10.30.10	NA	NA	cd01389	SSF47095	NA	PF00505	mobidb-lite	SM00398	NA	NA	NA	NA	NA	NA	NA
EHK42156.1	NA	NA	IPR011990	GO:0005515	NA	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	SSF48452	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40649.1	NA	NA	IPR013947	GO:0003712;GO:0006357;GO:0016592	NA	PTHR12809	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	PF08638	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46554.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45876.1	NA	NA	IPR013900	NA	NA	PTHR28081	NA	NA	NA	NA	NA	NA	NA	NA	PF08591	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39387.1	NA	NA	IPR036188	NA	NA	PTHR42716;PTHR42716:SF1	NA	NA	NA	NA	NA	NA	SSF51905	NA	PF12831	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41266.1	NA	NA	IPR006357	GO:0016791	NA	PTHR19288;PTHR19288:SF6	NA	NA	G3DSA:3.40.50.1000	NA	TIGR01460;TIGR01452	NA	SSF56784	NA	PF13344;PF13242	NA	NA	NA	PIRSF000915	NA	NA	NA	NA	NA
EHK46768.1	NA	NA	IPR000182	NA	PS51186	PTHR21471:SF52;PTHR21471	NA	NA	G3DSA:3.40.630.30	NA	NA	cd04301	SSF55729	NA	PF18014;PF00583	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46980.1	NA	NA	IPR007361	NA	NA	PTHR34310:SF5;PTHR34310	NA	NA	G3DSA:2.170.150.40	NA	NA	NA	NA	NA	PF04248	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47090.1	NA	NA	IPR021858	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PTHR31069:SF7;PTHR31069	NA	NA	G3DSA:4.10.240.10	NA	NA	cd00067	SSF57701	NA	PF11951;PF00172	NA	SM00066	NA	NA	NA	NA	NA	NA	NA
EHK41902.1	NA	NA	IPR032675	NA	NA	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	SSF52047	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK43242.1	NA	NA	IPR005303	GO:0003824;GO:0030151;GO:0030170	PS51340	PTHR14237:SF34;PTHR14237	NA	NA	NA	KEGG: 00790+2.8.1.9|MetaCyc: PWY-5963	NA	NA	SSF50800;SSF141673	NA	PF03476;PF03473	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41743.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK48276.1	NA	NA	IPR003382	GO:0003824	NA	PTHR14359:SF21;PTHR14359	NA	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.1950	Reactome: R-HSA-196783	NA	NA	SSF52507;SSF140860	NA	PF02441	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49623.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
EHK42806.1	NA	NA	IPR006913	GO:0016846	NA	PTHR33337;PTHR33337:SF4	NA	NA	G3DSA:2.170.150.70	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	SSF51316	NA	PF04828	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50507.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41823.1	NA	NA	IPR016580	GO:0000077;GO:0005730;GO:0030896	NA	PTHR12900;PTHR12900:SF0	NA	NA	NA	NA	NA	NA	NA	NA	PF04005	NA	NA	NA	PIRSF011312	NA	NA	NA	NA	NA
EHK42569.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41243.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK50218.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44683.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49183.1	NA	NA	IPR013087	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00028	NA	mobidb-lite	SM00355	NA	NA	NA	NA	NA	NA	NA
EHK40671.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	IPR022158	GO:0042578	PS51791;PS50275	PTHR11200;PTHR11200:SF251	NA	NA	NA	NA	NA	NA	NA	NA	PF12456;PF02383	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42833.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39663.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49715.1	NA	NA	IPR006569	NA	PS51391	PTHR12460:SF0;PTHR12460	NA	NA	G3DSA:1.25.40.90	NA	NA	NA	SSF48464	NA	PF04818	mobidb-lite	SM00582	NA	NA	NA	NA	NA	NA	NA
EHK48603.1	NA	NA	IPR036919	NA	NA	PTHR11524;PTHR11524:SF16	NA	NA	G3DSA:3.30.1390.20;G3DSA:1.10.15.30	NA	TIGR01310	cd01657	SSF55129	NA	PF08079;PF00327	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44168.1	NA	NA	IPR021858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF11951	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK49553.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42832.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK42179.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA
EHK45824.1	NA	NA	IPR038305	NA	NA	PTHR37542;PTHR37542:SF1	NA	NA	G3DSA:1.20.120.1020	NA	NA	NA	NA	NA	PF14479;PF11558	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41084.1	NA	NA	IPR036812	NA	NA	PTHR43625;PTHR43625:SF14	NA	NA	G3DSA:3.20.20.100	NA	NA	cd06660	SSF51430	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48626.1	NA	NA	IPR024652	GO:0016838	NA	NA	NA	SFLDG01021;SFLDS00005	G3DSA:1.10.600.10	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	NA	NA	SSF48576	NA	PF06330	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39606.1	NA	NA	IPR011059	GO:0016810;GO:0016787	NA	PTHR11271:SF37;PTHR11271	NA	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	SSF51338;SSF51556	NA	PF01979	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40177.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45413.1	NA	NA	NA	NA	NA	PTHR42055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44588.1	NA	NA	IPR032345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PF16155	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42171.1	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PTHR38791;PTHR38791:SF5	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41892.1	NA	NA	IPR016292	GO:0033961	NA	PTHR21661;PTHR21661:SF63	NA	NA	G3DSA:3.40.50.1820	Reactome: R-HSA-211945	NA	NA	SSF53474	NA	PF06441	NA	NA	NA	PIRSF001112	NA	NA	NA	NA	NA
EHK46164.1	NA	NA	IPR015813	GO:0003824	NA	PTHR43577	NA	NA	G3DSA:3.20.20.60	NA	NA	cd00377	SSF51621	NA	PF13714	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48055.1	SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK42682.1	NA	NA	IPR036928	GO:0004040	NA	PTHR11895:SF104;PTHR11895	NA	NA	G3DSA:3.90.1300.10	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	SSF75304	NA	PF01425	NA	NA	NA	PIRSF001221	NA	NA	NA	NA	NA
EHK49264.1	NA	NA	IPR012338	NA	NA	PTHR43283;PTHR43283:SF7	NA	NA	G3DSA:3.40.710.10	NA	NA	NA	SSF56601	NA	PF00144	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47387.1	NA	NA	IPR029063	NA	NA	PTHR43591;PTHR43591:SF12	NA	NA	G3DSA:3.40.50.150	NA	NA	cd02440	SSF53335	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39737.1	NA	NA	IPR013149	GO:0055114;GO:0008270;GO:0016491	NA	PTHR43161:SF9;PTHR43161	NA	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	Reactome: R-HSA-71384	NA	cd05285	SSF51735;SSF50129	PS00059	PF00107;PF08240	NA	SM00829	NA	NA	NA	NA	NA	NA	NA
EHK47481.1	NA	NA	IPR016340	NA	NA	PTHR28271	NA	NA	NA	NA	NA	NA	NA	NA	PF09784	NA	NA	NA	PIRSF002216	NA	NA	NA	NA	NA
EHK46055.1	NA	NA	IPR002925	GO:0016787	NA	PTHR17630;PTHR17630:SF44	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PF01738	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50926.1	NA	NA	IPR008949	GO:0000287;GO:0010333;GO:0016829	NA	NA	NA	SFLDG01020;SFLDS00005	G3DSA:1.10.600.10	NA	NA	NA	SSF48576	NA	PF03936	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50457.1	NA	NA	IPR013216	GO:0008168;GO:0016435;GO:0070476	NA	PTHR12734	NA	NA	G3DSA:3.40.50.150	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	cd02440	SSF53335	NA	PF08241;PF12589	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41325.1	NA	NA	IPR016024	NA	NA	PTHR20959	NA	NA	NA	NA	NA	NA	SSF48371	NA	PF10304;PF10363	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40301.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
EHK40558.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK42230.1	NA	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PTHR31001	NA	NA	G3DSA:3.30.429.10	NA	NA	cd12148	SSF55331	NA	PF04082;PF14832	NA	SM00906	NA	NA	NA	NA	NA	NA	NA
EHK42151.1	NA	NA	IPR010730	NA	NA	PTHR24148;PTHR24148:SF57	NA	NA	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49998.1	NA	NA	IPR027417	GO:0005515	NA	PTHR19959:SF205;PTHR19959	NA	NA	G3DSA:3.40.50.300;G3DSA:1.25.40.10	NA	NA	NA	SSF52540;SSF48452	NA	PF13424;PF13374	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49794.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK40193.1	NA	NA	IPR039143	GO:0004343;GO:0006048	PS51186	PTHR13355;PTHR13355:SF11	NA	NA	G3DSA:3.40.630.30	Reactome: R-HSA-446210	NA	cd04301	SSF55729	NA	PF00583	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42283.1	NA	PR00420	IPR036188	GO:0071949	NA	PTHR43004:SF10;PTHR43004	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.50;G3DSA:3.40.30.20	NA	NA	cd02979	SSF51905;SSF52833;SSF54373	NA	PF01494;PF07976	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50594.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43445.1	NA	NA	IPR003347	NA	PS51184	PTHR12461:SF55;PTHR12461	NA	NA	G3DSA:2.60.120.650	NA	NA	NA	SSF51197	NA	PF13621	mobidb-lite	SM00558	NA	NA	NA	NA	NA	NA	NA
EHK42818.1	NA	NA	IPR036291	GO:0016491;GO:0055114	NA	PTHR42683:SF20;PTHR42683	NA	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	SSF51735;SSF50129	NA	PF00107	NA	SM00829	NA	NA	NA	NA	NA	NA	NA
EHK47656.1	NA	NA	IPR019240	NA	NA	PTHR40069	NA	NA	NA	NA	TIGR03833	NA	NA	NA	PF09962	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK40230.1	NA	NA	IPR027417	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
