Gene	Phobius	TMHMM	MobiDBLite	interpro	GO	Pfam	TIGRFAM	PANTHER	SUPERFAMILY	Coils	Gene3D	ProDom	ProSiteProfiles	PATHWAY	ProSitePatterns	SMART	PRINTS	CDD	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	PIRSF	SignalP_GRAM_POSITIVE	Hamap
EHK18622.1	NA	NA	NA	IPR036291		PF05368	NA	PTHR42748:SF1;PTHR42748	SSF51735	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18074.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23368.1	NA	NA	NA	IPR006175		PF01042	TIGR00004	PTHR11803;PTHR11803:SF22	SSF55298	NA	G3DSA:3.30.1330.40	NA	NA	Reactome: R-HSA-8849175	NA	NA	NA	cd00448	NA	NA	NA	NA	NA	NA
EHK16919.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR011555	GO:0015078;GO:0015991;GO:0033179;GO:0033177	PF00137	TIGR01100	PTHR10263;PTHR10263:SF8	SSF81333	NA	G3DSA:1.20.120.610	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-6798695|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	PR00122	NA	NA	NA	NA	NA	NA	NA
EHK23073.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK16205.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	IPR016040	NA	PF13460	NA	PTHR14097:SF7;PTHR14097	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20636.1	NA	NA	NA	NA	NA	NA	NA	PTHR34598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25882.1	NA	NA	NA	IPR032710	NA	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15336.1	NA	NA	NA	IPR002882	NA	PF01933	NA	PTHR31240	SSF142338	NA	NA	NA	NA	NA	NA	NA	NA	cd07187	NA	NA	NA	NA	NA	NA
EHK20720.1	NA	NA	NA	IPR014748	GO:0003824	PF00378	NA	PTHR11941;PTHR11941:SF103	SSF52096	NA	G3DSA:3.90.226.10;G3DSA:1.10.12.10	NA	NA	NA	NA	NA	NA	cd06558	NA	NA	NA	NA	NA	NA
EHK27312.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25176.1	NA	NA	NA	IPR016161	GO:0016491;GO:0055114;GO:0016620	PF00171	NA	PTHR43353;PTHR43353:SF6	SSF53720	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	NA	NA	PS00687	NA	NA	cd07105	NA	NA	NA	NA	NA	NA
EHK18702.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK27360.1	NA	NA	NA	IPR029056	GO:0016773	PF00294	NA	PTHR43085:SF1;PTHR43085	SSF53613	NA	G3DSA:3.40.1190.20	NA	NA	NA	PS00584	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25525.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19980.1	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF13450;PF00743	NA	PTHR43539;PTHR43539:SF6	SSF51905	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21632.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	NA	PTHR31263:SF24;PTHR31263	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067	NA	NA	NA	NA	NA	NA
EHK21919.1	NA	NA	NA	IPR036291		PF05368	NA	PTHR42748;PTHR42748:SF14	SSF51735	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18029.1	NA	NA	mobidb-lite	IPR019190	GO:0045145	PF09810	NA	PTHR14464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20844.1	NA	NA	NA	IPR021833	NA	PF11905	NA	PTHR38116:SF3;PTHR38116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24450.1	NA	NA	mobidb-lite	IPR040049	GO:0003735;GO:0005739	PF05047	NA	PTHR13274	SSF52833	Coil	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20620.1	NA	NA	mobidb-lite	IPR003703	GO:0006637;GO:0047617	PF13622	NA	PTHR11066;PTHR11066:SF34	SSF54637	NA	G3DSA:3.10.129.90	NA	NA	Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241	NA	NA	NA	cd03444	NA	NA	NA	NA	NA	NA
EHK26879.1	NA	NA	NA	IPR001077	GO:0008171;GO:0008168	PF00891	NA	PTHR43712:SF5;PTHR43712	SSF53335	Coil	G3DSA:3.40.50.150	NA	PS51683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22135.1	NA	NA	mobidb-lite	IPR011993	GO:0000145;GO:0006887	PF16528;PF08700	NA	PTHR21426;PTHR21426:SF12	SSF50729;SSF74788	Coil	G3DSA:2.30.29.30;G3DSA:1.20.58.1220;G3DSA:1.20.58.1210	NA	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16250.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24683.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24830.1	NA	NA	NA	IPR000073	NA	PF12697	NA	PTHR43798;PTHR43798:SF11	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19290.1	NA	NA	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	NA	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067	NA	NA	NA	NA	NA	NA
EHK26939.1	NA	NA	NA	IPR008427	NA	PF05730	NA	PTHR35607	NA	NA	NA	NA	NA	NA	NA	SM00747	NA	NA	NA	NA	NA	NA	NA	NA
EHK17654.1	NA	NA	NA	IPR012312		PF01814	NA	PTHR38048;PTHR38048:SF1	NA	NA	G3DSA:1.20.120.520	NA	NA	Reactome: R-HSA-390471|Reactome: R-HSA-8951664|Reactome: R-HSA-917937|Reactome: R-HSA-983168	NA	NA	NA	cd12108	NA	NA	NA	NA	NA	NA
EHK19603.1	NA	NA	mobidb-lite	IPR016181	NA	PF13673	NA	PTHR42791	SSF55729	NA	G3DSA:3.40.630.30	NA	PS51186	NA	NA	NA	NA	cd04301	NA	NA	NA	NA	NA	NA
EHK21737.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23300.1	NA	NA	mobidb-lite	IPR018812	NA	PF10307	NA	PTHR42677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21676.1	NA	NA	NA	IPR029062		PF01965	NA	PTHR43130	SSF52317	NA	G3DSA:3.40.50.880	NA	NA	Reactome: R-HSA-3899300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17588.1	NA	NA	NA	IPR012951	GO:0016491;GO:0050660;GO:0055114;GO:0071949	PF08031;PF01565	NA	PTHR13878:SF70;PTHR13878	SSF56176	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23428.1	NA	NA	mobidb-lite	IPR019261	NA	PF10021	NA	PTHR35596:SF2;PTHR35596	NA	NA	G3DSA:3.40.220.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25517.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15682.1	NA	NA	NA	IPR003439	GO:0005524;GO:0016887	PF00005	NA	PTHR19248	SSF52540	NA	G3DSA:3.40.50.300	NA	PS50893	Reactome: R-HSA-909733	PS00211	SM00382	PR01868	NA	NA	NA	NA	NA	NA	NA
EHK21471.1	NA	NA	NA	NA	NA	NA	NA	PTHR33047;PTHR33047:SF10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21467.1	NA	NA	NA	NA	NA	NA	NA	PTHR33047;PTHR33047:SF10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21463.1	NA	NA	NA	NA	NA	NA	NA	PTHR33047;PTHR33047:SF10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21459.1	NA	NA	NA	NA	NA	NA	NA	PTHR33047;PTHR33047:SF10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21475.1	NA	NA	NA	NA	NA	NA	NA	PTHR33047;PTHR33047:SF10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25110.1	NA	NA	NA	IPR002935	GO:0008171	PF01596	NA	PTHR10509;PTHR10509:SF49	SSF53335	NA	G3DSA:3.40.50.150	NA	PS51682	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA
EHK24226.1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR21581:SF6;PTHR21581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16796.1	NA	NA	mobidb-lite	IPR006840	GO:0003839;GO:0006751	PF04752	NA	PTHR12192;PTHR12192:SF2	SSF110857	NA	G3DSA:3.10.490.10	NA	NA	KEGG: 00480+4.3.2.7|MetaCyc: PWY-7942|Reactome: R-HSA-174403	NA	NA	NA	cd06661	NA	NA	NA	NA	NA	NA
EHK24070.1	NA	NA	NA	IPR029068	NA	NA	NA	NA	SSF54593	NA	G3DSA:3.10.180.10	NA	PS51819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18772.1	NA	NA	NA	IPR035985	GO:0008641;GO:0006464	PF00899	NA	PTHR10953:SF162;PTHR10953	SSF69572	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR01849	cd01492	NA	NA	NA	NA	NA	NA
EHK23039.1	NA	NA	NA	IPR010730	NA	PF06985	NA	PTHR10622:SF10;PTHR10622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26820.1	NA	NA	NA	IPR001451	GO:0009058;GO:0016779	PF00132;PF00483	NA	PTHR22572;PTHR22572:SF104	SSF53448;SSF51161	NA	G3DSA:2.160.10.10	NA	NA	NA	NA	NA	NA	cd06428	NA	NA	NA	NA	NA	NA
EHK17066.1	NA	NA	NA	IPR036705	NA	PF03747	NA	PTHR16222	SSF101478	NA	G3DSA:1.10.4080.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23392.1	NA	NA	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	PTHR31944	NA	NA	NA	NA	NA	NA	NA	SM00906	NA	cd12148	NA	NA	NA	NA	NA	NA
EHK23032.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	IPR036188	GO:0016491;GO:0055114	PF07992	NA	PTHR43706:SF15;PTHR43706	SSF51905	NA	G3DSA:3.50.50.100	NA	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA	NA	NA	NA	NA
EHK23976.1	NA	NA	NA	IPR008000	GO:0016857	PF05336	NA	PTHR34389	SSF54909	NA	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17987.1	NA	NA	NA	IPR008922	GO:0016491	PF00264	NA	PTHR11474	SSF48056	NA	G3DSA:1.10.1280.10	NA	NA	Reactome: R-HSA-5662702	PS00498	NA	PR00092	NA	NA	NA	NA	NA	NA	NA
EHK24878.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20669.1	NA	NA	mobidb-lite	IPR031353	NA	PF17106;PF17107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24720.1	NA	NA	NA	IPR016156	GO:0016491;GO:0050660;GO:0055114;GO:0016668;GO:0004362;GO:0006749;GO:0050661;GO:0009055;GO:0045454	PF07992;PF02852	TIGR01421	PTHR42737	SSF55424;SSF51905	Coil	G3DSA:3.50.50.60;G3DSA:3.30.390.30	NA	NA	KEGG: 00480+1.8.1.7|MetaCyc: PWY-4081|Reactome: R-HSA-2408550|Reactome: R-HSA-3299685|Reactome: R-HSA-499943|Reactome: R-HSA-5628897	PS00076	NA	PR00411;PR00368	NA	NA	NA	NA	PIRSF000350	NA	NA
EHK26847.1	NA	NA	NA	IPR029058	NA	PF00561	NA	PTHR43798;PTHR43798:SF11	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	PR00111	NA	NA	NA	NA	NA	NA	NA
EHK19411.1	NA	NA	NA	IPR001005	GO:0003677	PF00249	NA	PTHR10641	SSF46689	NA	G3DSA:1.10.10.60	NA	PS50090;PS51294	NA	NA	SM00717	NA	cd00167	NA	NA	NA	NA	NA	NA
EHK20128.1	NA	NA	NA	IPR023631	GO:0004040	PF01425	NA	PTHR11895:SF142;PTHR11895	SSF75304	NA	NA	NA	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21985.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	NA	PTHR24305:SF113;PTHR24305	SSF48264	NA	G3DSA:1.10.630.10	NA	NA	NA	PS00086	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
EHK25914.1	NA	NA	NA	IPR010730	NA	PF06985	NA	PTHR33112;PTHR33112:SF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23383.1	NA	NA	NA	IPR029063	NA	PF13649	NA	PTHR42912	SSF53335	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	PIRSF011491	NA	NA
EHK20993.1	NA	NA	NA	IPR002562	GO:0003676;GO:0006139;GO:0008408	PF01612	NA	PTHR43040	SSF53098	NA	G3DSA:3.30.420.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20167.1	NA	NA	NA	IPR016067	GO:0004014;GO:0008295;GO:0006597	PF01536	TIGR00535	PTHR11570:SF0;PTHR11570	SSF56276	NA	G3DSA:3.60.90.10	NA	NA	KEGG: 00270+4.1.1.50|KEGG: 00330+4.1.1.50|MetaCyc: PWY-6834|Reactome: R-HSA-351202	PS01336	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15929.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23732.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK17402.1	NA	NA	NA	IPR002347	NA	PF00106	NA	PTHR24320;PTHR24320:SF106	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
EHK23585.1	NA	NA	NA	NA	NA	NA	NA	PTHR35391:SF1;PTHR35391	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18140.1	NA	NA	mobidb-lite	IPR027417	GO:0005524	PF00176	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25732.1	NA	NA	NA	IPR004000	GO:0005869	PF00022	NA	PTHR11937;PTHR11937:SF46	SSF53067	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	Reactome: R-HSA-2132295	PS01132	SM00268	PR00190	cd00012	NA	NA	NA	NA	NA	NA
EHK24587.1	NA	NA	NA	IPR040008	GO:0003735	PF11788	NA	PTHR13124	NA	NA	G3DSA:3.90.79.10	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK16473.1	NA	NA	mobidb-lite	IPR036047	GO:0005515	NA	NA	NA	SSF81383	NA	G3DSA:1.20.1280.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20326.1	NA	NA	mobidb-lite	IPR027417	NA	NA	NA	PTHR23389:SF3;PTHR23389	SSF52540	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18081.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24554.1	NA	NA	mobidb-lite	IPR000297	GO:0003755	PF13616	NA	PTHR10657:SF25;PTHR10657	SSF54534	NA	G3DSA:3.10.50.40	NA	PS50198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25711.1	NA	NA	NA	IPR011990	GO:0005515	PF12770	NA	NA	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22991.1	NA	NA	NA	IPR004753	GO:0000902	NA	NA	PTHR42749;PTHR42749:SF1	SSF53067	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18714.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21067.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23114.1	NA	NA	NA	IPR036928		PF01425	NA	PTHR42678;PTHR42678:SF4	SSF75304	NA	G3DSA:3.90.1300.10	NA	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21997.1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK16365.1	NA	NA	mobidb-lite	IPR013665	NA	PF08457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25596.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR006629	NA	PF10601	NA	NA	NA	NA	NA	NA	PS51837	NA	NA	SM00714	NA	NA	NA	NA	NA	NA	NA	NA
EHK22463.1	NA	NA	NA	IPR036318	GO:0050660;GO:0003824;GO:0016491;GO:0055114;GO:0071949	PF02913;PF01565	NA	PTHR11748;PTHR11748:SF83	SSF56176;SSF55103	NA	G3DSA:1.10.45.10;G3DSA:3.30.70.2740;G3DSA:3.30.465.40	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26401.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK15968.1	NA	NA	NA	IPR002125	GO:0003824	PF00383	NA	PTHR44418	SSF53927	NA	NA	NA	PS51747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17421.1	NA	NA	mobidb-lite	IPR003123	GO:0005515	PF02845;PF18151;PF02204	NA	PTHR23101:SF25;PTHR23101	SSF46934;SSF109993	NA	G3DSA:1.20.1050.80;G3DSA:1.10.8.10;G3DSA:1.10.246.120	NA	PS51205;PS51140	Reactome: R-HSA-8876198	NA	SM00546;SM00167	NA	cd14369	NA	NA	NA	NA	NA	NA
EHK15466.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR024242	GO:0009306	PF11654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23535.1	NA	NA	mobidb-lite	IPR000648	NA	PF01237	NA	PTHR10972;PTHR10972:SF65	SSF144000	Coil	G3DSA:2.40.160.120;G3DSA:1.20.120.1290	NA	NA	NA	PS01013	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20868.1	NA	NA	NA	IPR008949	NA	NA	NA	NA	SSF48576	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21734.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	IPR001261	GO:0006508;GO:0008237;GO:0016787;GO:0004181	PF01546;PF07687	NA	PTHR11014:SF16;PTHR11014	SSF53187;SSF55031	NA	G3DSA:3.40.630.10	NA	NA	NA	PS00758	NA	NA	cd05674	SignalP-noTM	SignalP-noTM	NA	PIRSF037217	SignalP-TM	NA
EHK19144.1	NA	NA	mobidb-lite	IPR013536	NA	PF08325	NA	PTHR23153;PTHR23153:SF37	NA	NA	NA	NA	PS51397;PS50199	NA	PS01358	NA	NA	cd07344	NA	NA	NA	NA	NA	NA
EHK21718.1	NA	NA	mobidb-lite	IPR029058	GO:0016787	PF07859	NA	PTHR23024;PTHR23024:SF334	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24820.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	PTHR35392:SF3;PTHR35392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22906.1	NA	NA	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	PTHR31944;PTHR31944:SF88	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd12148;cd00067	NA	NA	NA	NA	NA	NA
EHK15783.1	NA	NA	mobidb-lite	IPR009003	NA	NA	NA	NA	SSF50494	NA	G3DSA:2.40.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19874.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18555.1	NA	NA	mobidb-lite	IPR013640	NA	PF08432	NA	PTHR28218	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26925.1	NA	NA	mobidb-lite	IPR008580	NA	PF05903	NA	PTHR12378;PTHR12378:SF10	NA	NA	G3DSA:3.90.1720.30	NA	NA	NA	NA	SM01179	NA	NA	NA	NA	NA	NA	NA	NA
EHK26852.1	NA	NA	NA	IPR002328	GO:0008270;GO:0016491;GO:0055114	PF08240;PF00107	NA	PTHR42683:SF18;PTHR42683	SSF50129;SSF51735	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	Reactome: R-HSA-71384	PS00059	SM00829	NA	cd05283	NA	NA	NA	NA	NA	NA
EHK19395.1	NA	NA	NA	IPR002347	NA	PF00106	NA	PTHR24320:SF106;PTHR24320	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
