Gene	interpro	SUPERFAMILY	PANTHER	GO	Pfam	PATHWAY	CDD	Gene3D	TMHMM	Phobius	ProSitePatterns	PIRSF	MobiDBLite	PRINTS	SMART	ProSiteProfiles	Coils	ProDom	TIGRFAM	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	Hamap
PON25773.1	IPR002740	SSF88697	PTHR14087	NA	PF01878	NA	NA	G3DSA:3.10.590.10	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21978.1	IPR036291	SSF51735	PTHR42748;PTHR42748:SF14		PF05368	Reactome: R-HSA-70635	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23481.1	IPR000652	SSF51351	PTHR21139;PTHR21139:SF2	GO:0004807;GO:0003824	PF00121	KEGG: 00010+5.3.1.1|KEGG: 00051+5.3.1.1|KEGG: 00562+5.3.1.1|KEGG: 00710+5.3.1.1|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7003|Reactome: R-HSA-70171|Reactome: R-HSA-70263	cd00311	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	NA	PS51440	NA	NA	NA	NA	NA	NA	NA	NA
PON22264.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23715.1	IPR036899	SSF52161	PTHR11545;PTHR11545:SF2	GO:0003735;GO:0005840;GO:0006412	PF00572	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	cd00392	G3DSA:3.90.1180.10	NA	NA	NA	PIRSF002181	NA	NA	NA	NA	NA	NA	TIGR01066	NA	NA	NA	NA	MF_01366
PON20821.1	IPR036928	SSF75304	PTHR42678:SF4;PTHR42678		PF01425	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	G3DSA:3.90.1300.10	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PON23786.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28857.1	IPR036291	SSF51735	PTHR10366:SF561;PTHR10366	GO:0003824;GO:0050662	PF01370	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25762.1	IPR009770	NA	PTHR39479	NA	PF07063	NA	cd16348	G3DSA:3.10.180.80	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SM01150	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26949.1	IPR016624	NA	PTHR35339;PTHR35339:SF4	NA	PF10022	NA	NA	NA	NA	NA	NA	PIRSF014753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22005.1	IPR002838	SSF51219	PTHR36959	NA	PF01987	NA	NA	G3DSA:3.60.160.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30668.1	IPR036291	SSF51735	PTHR43349;PTHR43349:SF6	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23120.1	IPR023210	SSF51430	PTHR43364;PTHR43364:SF4	NA	PF00248	NA	cd06660	G3DSA:3.20.20.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22037.1	IPR000873	SSF52777;SSF56801	PTHR43201	GO:0003824	PF00501;PF13193	NA	NA	G3DSA:3.30.300.30;G3DSA:3.30.559.30;G3DSA:3.40.50.12780	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON31026.1	IPR013810	SSF54768;SSF54211	PTHR13718:SF79;PTHR13718	GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0015935	PF03719;PF00333	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-3214858|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-8876725|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	G3DSA:3.30.160.770;G3DSA:3.30.230.10	NA	NA	PS00585	NA	mobidb-lite	NA	NA	PS50881	NA	NA	TIGR01020	NA	NA	NA	NA	NA
PON20241.1	IPR036397	SSF53098	PTHR44486	GO:0003676;GO:0004523	NA	NA	cd09276	G3DSA:3.30.420.10	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50879	NA	NA	NA	NA	NA	NA	NA	NA
PON22800.1	IPR039507	SSF53756	PTHR12526:SF232;PTHR12526	GO:0000506;GO:0006506;GO:0017176	PF00534;PF08288	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	cd03796	G3DSA:3.40.50.2000	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30796.1	IPR013658	SSF63829	PTHR10907:SF67;PTHR10907	NA	PF08450	NA	NA	G3DSA:2.120.10.30	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30051.1	IPR036188	SSF55424;SSF51905	PTHR43014;PTHR43014:SF2	GO:0016491;GO:0055114;GO:0050660;GO:0045454	PF07992;PF02852	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	PR00411;PR00368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25428.1	NA	NA	PTHR34598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30771.1	IPR036770	SSF52743	PTHR43806	GO:0004252;GO:0006508	PF00082	NA	cd00204	G3DSA:1.25.40.20;G3DSA:3.40.50.200	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28465.1	IPR000845	SSF53167	PTHR21234:SF16;PTHR21234	GO:0003824;GO:0009116	PF01048	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22148.1	IPR008030	SSF51735	PTHR42748:SF17;PTHR42748		PF05368	Reactome: R-HSA-70635	cd05251	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22226.1	IPR032710	SSF54427	NA	NA	NA	NA	NA	G3DSA:3.10.450.50	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON20164.1	IPR020241	NA	PTHR28256	GO:0004526;GO:0005634;GO:0008033;GO:0003676	PF12328	Reactome: R-HSA-6784531	NA	G3DSA:3.30.110.20	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PD085500	NA	NA	NA	NA	NA	NA
PON26207.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28875.1	IPR036812	SSF51430	PTHR43625:SF21;PTHR43625	NA	PF00248	NA	cd06660	G3DSA:3.20.20.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20923.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PON25286.1	IPR017943	SSF55394	PTHR31138;PTHR31138:SF4	GO:0008289	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27289.1	IPR036236	SSF57667	PTHR40626:SF4;PTHR40626	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0003676	PF04082;PF00096	NA	NA	G3DSA:3.30.160.60	NA	NA	PS00028	NA	NA	NA	NA	PS50157	NA	NA	NA	NA	NA	NA	NA	NA
PON25950.1	IPR036113	SSF141000	PTHR15004	GO:0006450	PF02686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON30992.1	IPR029058	SSF53474	PTHR12277:SF64;PTHR12277	NA	NA	NA	NA	G3DSA:3.40.50.1820	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22698.1	IPR036691	SSF56219	PTHR22748:SF4;PTHR22748	GO:0003677;GO:0004519;GO:0005622;GO:0006281;GO:0004518	PF03372	Reactome: R-HSA-110357|Reactome: R-HSA-110362|Reactome: R-HSA-110373|Reactome: R-HSA-5651801|Reactome: R-HSA-73930|Reactome: R-HSA-73933	cd09088	G3DSA:3.60.10.10	NA	NA	PS00726;PS00728	NA	mobidb-lite	NA	NA	PS51435	NA	NA	NA	NA	NA	NA	NA	NA
PON21315.1	IPR006186	SSF56300	PTHR11668:SF22;PTHR11668	GO:0016787	PF00149	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	cd07415	NA	NA	NA	PS00125	PIRSF033096	mobidb-lite	PR00114	SM00156	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27912.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24964.1	IPR002347	SSF51735	PTHR24320:SF144;PTHR24320	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21197.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30687.1	IPR018109	SSF53244;SSF53623	PTHR11136;PTHR11136:SF5	GO:0004326;GO:0005524;GO:0009396;GO:0009058;GO:0016874	NA	Reactome: R-HSA-196757	NA	G3DSA:3.40.1190.10;G3DSA:3.90.190.20	NA	NA	PS01012	PIRSF038895	NA	NA	NA	NA	Coil	NA	TIGR01499	NA	NA	NA	NA	NA
PON25070.1	IPR000300	SSF56219	PTHR11200;PTHR11200:SF185	GO:0046856	PF03372	NA	NA	G3DSA:3.60.10.10;G3DSA:2.60.40.10	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	SM00128	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON22017.1	IPR007320	NA	PTHR12298;PTHR12298:SF18	GO:0005737	PF04194	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22331.1	NA	NA	PTHR33112:SF6;PTHR33112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28184.1	NA	NA	PTHR35896;PTHR35896:SF3	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29727.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22812.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21132.1	IPR029063	SSF53335	PTHR43591:SF12;PTHR43591	NA	PF13489	NA	cd02440	G3DSA:3.40.50.150	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON24774.1	IPR016024	SSF48371	PTHR13109	NA	PF05536	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26817.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29241.1	IPR020895	SSF55387	PTHR16821;PTHR16821:SF2	GO:0008199;GO:0016226;GO:0004322;GO:0005739;GO:0055114	PF01491	Reactome: R-HSA-1268020|Reactome: R-HSA-1362409	NA	G3DSA:3.30.920.10	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PS01344	NA	NA	PR00904	SM01219	PS50810	NA	NA	TIGR03421;TIGR03422	NA	NA	NA	NA	NA
PON27569.1	IPR028098	SSF53756	PTHR12526;PTHR12526:SF372		PF13579;PF00534	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	cd03814	G3DSA:3.40.50.2000	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24321.1	IPR023375	SSF160104	PTHR40518		NA	KEGG: 00072+4.1.1.4|KEGG: 00640+4.1.1.4|MetaCyc: PWY-5451|MetaCyc: PWY-6588|MetaCyc: PWY-6876|MetaCyc: PWY-7466	NA	G3DSA:2.40.400.10	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON19991.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON29822.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20151.1	IPR013083	SSF57850	NA	NA	NA	NA	NA	G3DSA:3.30.40.10	NA	NA	NA	NA	NA	NA	NA	PS50089	NA	NA	NA	NA	NA	NA	NA	NA
PON20125.1	IPR002347	SSF51735	PTHR43157;PTHR43157:SF1	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27040.1	IPR007817	SSF51197	PTHR37285:SF2;PTHR37285	GO:0016491;GO:0055114	PF02668;PF05141	Reactome: R-HSA-71262	NA	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30023.1	IPR002634	SSF82657	PTHR12735:SF19;PTHR12735	NA	PF01722	NA	NA	G3DSA:3.30.300.90	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON22836.1	IPR010487	NA	PTHR13475	NA	PF06413	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20539.1	IPR013087	SSF57667	PTHR23057	GO:0003676	NA	NA	NA	G3DSA:3.30.160.60	NA	NA	PS00028	NA	mobidb-lite	NA	SM00355	PS50157	NA	NA	NA	NA	NA	NA	NA	NA
PON21733.1	IPR001138	NA	PTHR31944:SF88;PTHR31944	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	cd00067;cd12148	NA	NA	NA	NA	NA	mobidb-lite	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24407.1	IPR036291	SSF51735;SSF50129	PTHR45348	GO:0016491;GO:0055114	PF08240	NA	cd08249	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21551.1	IPR029062	SSF52317	PTHR43130;PTHR43130:SF7		PF01965	Reactome: R-HSA-3899300	cd03139	G3DSA:3.40.50.880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23933.1	IPR022185	NA	PTHR35895	NA	PF12505	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23027.1	IPR036291	SSF51735	PTHR43647;PTHR43647:SF3	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29994.1	IPR036318	SSF56176	PTHR42973;PTHR42973:SF17	GO:0050660;GO:0071949;GO:0016491;GO:0055114	PF01565;PF08031	NA	NA	G3DSA:3.40.462.20;G3DSA:3.30.465.40	NA	NA	PS00862	NA	NA	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA
PON28657.1	IPR002347	SSF51735	PTHR42760:SF69;PTHR42760	GO:0016491	PF00106	NA	NA	NA	NA	NA	PS00061	NA	NA	PR00080;PR00081	SM00822	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21632.1	IPR012674	SSF50814	PTHR38115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25393.1	IPR036770	SSF48403	NA	GO:0005515	NA	NA	cd00204	G3DSA:1.25.40.20	NA	NA	NA	NA	NA	NA	SM00248	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA	NA
PON28367.1	IPR006846	NA	PTHR12650;PTHR12650:SF15	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF04758	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24928.1	IPR029045	SSF52096	PTHR43802	GO:0003824	PF00378	NA	cd06558	G3DSA:3.90.226.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25734.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26874.1	IPR012476	NA	PTHR12960	GO:0005643;GO:0016973	PF07817	Reactome: R-HSA-159236	NA	G3DSA:1.25.40.510	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON22764.1	IPR002168	SSF53474	PTHR43494:SF9;PTHR43494	GO:0016787	PF07859	Reactome: R-HSA-163560	NA	G3DSA:3.40.50.1820	NA	NA	PS01173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21355.1	NA	NA	PTHR21535;PTHR21535:SF85	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON22910.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON21731.1	IPR036291	SSF51735	PTHR42748:SF9;PTHR42748		PF05368	Reactome: R-HSA-70635	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23039.1	IPR022074	NA	NA	NA	PF12294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30901.1	IPR001138	SSF57701	PTHR31313;PTHR31313:SF43	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	NA	cd12148	G3DSA:4.10.240.10	NA	NA	PS00463	NA	NA	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON21910.1	IPR006439	SSF56784	PTHR43316	GO:0016787	PF13419	NA	NA	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	PR00413	NA	NA	NA	NA	TIGR01549;TIGR01509;TIGR01493	SFLDS00003;SFLDG01129	SignalP-noTM	NA	NA	NA
PON22062.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30943.1	IPR029058	SSF53474	PTHR37471	NA	NA	NA	NA	G3DSA:3.40.50.1820	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29967.1	IPR029055	SSF56235	PTHR43881	NA	PF01019	NA	NA	G3DSA:1.10.246.130;G3DSA:3.60.20.40	NA	NA	NA	NA	NA	PR01210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27583.1	IPR001790	SSF160369	PTHR11560;PTHR11560:SF8	GO:0005622;GO:0042254	NA	NA	NA	G3DSA:3.30.70.1730	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD968187	NA	NA	NA	SignalP-TM	NA	NA
PON23097.1	IPR008030	SSF51735	PTHR14194;PTHR14194:SF58		PF05368	Reactome: R-HSA-70635	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23899.1	IPR039993	NA	PTHR13094		NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD069254	NA	NA	NA	NA	NA	NA
PON24151.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27052.1	IPR019128	NA	NA	GO:0007064;GO:0031390	PF09724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20489.1	IPR006600	SSF46689	PTHR44198	GO:0003677	PF03221;PF04218	NA	NA	G3DSA:1.10.10.60	NA	NA	NA	NA	mobidb-lite	NA	SM00674	PS51253	NA	NA	NA	NA	NA	NA	NA	NA
PON20473.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON30815.1	IPR040009	NA	PTHR39468	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23889.1	IPR018502	SSF47874	PTHR10502;PTHR10502:SF102	GO:0005509;GO:0005544	PF00191	NA	NA	G3DSA:1.10.220.10	NA	NA	PS00223	NA	mobidb-lite	PR01813;PR00196	SM00335	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29127.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21133.1	IPR029063	SSF53335	PTHR39290;PTHR39290:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24265.1	IPR005123	SSF51197	PTHR10869:SF86;PTHR10869	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	PF13640	NA	NA	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	SM00702	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON28820.1	IPR005123	NA	PTHR10869;PTHR10869:SF126	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	PF13640	NA	NA	G3DSA:2.60.120.620	TMhelix	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SM00702	PS51471	NA	NA	NA	NA	NA	NA	NA	NA
PON23541.1	IPR001138	NA	PTHR35392;PTHR35392:SF2	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	cd00067	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24551.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON19956.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30651.1	IPR038469	NA	PTHR12729;PTHR12729:SF6	GO:0000287;GO:0006400;GO:0008193	PF04446;PF14413	Reactome: R-HSA-6782315	NA	G3DSA:3.30.70.3000	NA	NA	NA	PIRSF028980	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
