Gene	interpro	GO	ProSiteProfiles	Phobius	SMART	TMHMM	SUPERFAMILY	Gene3D	PATHWAY	Pfam	PANTHER	CDD	Coils	ProSitePatterns	MobiDBLite	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	PIRSF	TIGRFAM	Hamap	SFLD	ProDom
PTB62664.1	IPR009939	GO:0016977	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	KEGG: 00520+3.2.1.132	PF07335	PTHR42061;PTHR42061:SF2	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB67469.1	IPR009567	GO:0030176;GO:2001256	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	PF06682	PTHR15929	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB69497.1	IPR027795	NA	NA	NA	NA	NA	SSF55021	G3DSA:3.30.2130.10	NA	PF13840	PTHR31131:SF6;PTHR31131	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64831.1	IPR011993	GO:0006897;GO:0016020	NA	NA	NA	NA	SSF50729	G3DSA:2.30.29.30	Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	PF07933	PTHR12847:SF3;PTHR12847	cd13228	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61912.1	IPR040203	GO:0006270	NA	NA	NA	NA	NA	G3DSA:1.10.10.1460	NA	PF11719	PTHR28124	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66365.1	IPR007512	GO:0005743;GO:0061617	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	Reactome: R-HSA-8949613	PF04418	PTHR21304;PTHR21304:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65492.1	IPR008979	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	SSF49785	G3DSA:2.60.120.260	NA	PF17132	PTHR36848	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB62511.1	IPR000717		PS50250	NA	SM00753;SM00088	NA	SSF46785	G3DSA:1.25.40.570	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF01399;PF18261	PTHR10539;PTHR10539:SF0	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62506.1	IPR026825	GO:0006661;GO:0070772	PS50077	NA	NA	NA	SSF48371	G3DSA:1.25.10.10	Reactome: R-HSA-1660514|Reactome: R-HSA-1660516|Reactome: R-HSA-1660517	PF11916;PF12755	PTHR16023	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68691.1	IPR013175	GO:0006338;GO:0031011	NA	NA	NA	NA	NA	NA	NA	PF08193	PTHR28061	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64592.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF48264	G3DSA:1.10.630.10	NA	PF00067	PTHR24279:SF85;PTHR24279	NA	NA	PS00086	NA	PR00465	NA	NA	NA	NA	NA	NA	NA	NA
PTB65794.1	IPR003593	GO:0005524	NA	NA	SM00382	NA	SSF52540	G3DSA:3.40.50.300	NA	PF00004	PTHR23077:SF91;PTHR23077	cd00009	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70609.1	IPR036188	GO:0016491;GO:0055114	NA	NA	NA	NA	SSF51905	G3DSA:3.30.9.10;G3DSA:3.50.50.60	NA	PF01266	PTHR43104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62672.1	IPR015500	GO:0004252;GO:0006508	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	SSF52743;SSF48403	G3DSA:3.40.50.200;G3DSA:1.25.40.20	NA	PF00082	PTHR43806:SF26;PTHR43806	cd00204	Coil	NA	mobidb-lite	PR00723	NA	NA	NA	NA	NA	NA	NA	NA
PTB64959.1	IPR011009	NA	NA	NA	NA	NA	SSF56112	G3DSA:3.90.1200.10	NA	PF01636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66649.1	IPR029063	NA	NA	NA	NA	NA	SSF53335	G3DSA:3.40.50.150	NA	PF13649	PTHR35897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71032.1	IPR006855	GO:0004042	PS51731	NA	NA	NA	NA	G3DSA:3.40.630.30;G3DSA:3.40.1160.10	KEGG: 00220+2.3.1.1|MetaCyc: PWY-5154|Reactome: R-HSA-70635	PF04768	PTHR23342;PTHR23342:SF4	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF007892	NA	NA	NA	NA
PTB66854.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67050.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB65426.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64004.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	PTHR34286;PTHR34286:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65156.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172	PTHR31644:SF2;PTHR31644	cd00067;cd12148	NA	PS00463	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB64276.1	IPR013087	GO:0003676	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00028	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68675.1	IPR035979	GO:0003676	PS50174	NA	SM00443	NA	SSF54928	G3DSA:3.30.70.330	NA	PF01585	PTHR13288	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67382.1	IPR001878	GO:0003676;GO:0008270	PS50158	NA	SM00343	NA	SSF57756	G3DSA:4.10.60.10	NA	PF00098	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB65981.1	IPR000727	GO:0016020;GO:0016192	PS50192	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SM00397	TMhelix	SSF47661	G3DSA:1.20.58.70	NA	PF05739;PF00804	PTHR19957;PTHR19957:SF147	cd15849	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63831.1	IPR002020	GO:0046912;GO:0006099;GO:0004108;GO:0006101	NA	NA	NA	NA	SSF48256	G3DSA:1.10.580.10;G3DSA:1.10.230.10	Reactome: R-HSA-1268020|Reactome: R-HSA-71403	PF00285	PTHR11739;PTHR11739:SF15	cd06105	NA	PS00480	NA	PR00143	NA	NA	SignalP-TM	NA	TIGR01793	NA	NA	NA
PTB63088.1	IPR029058	GO:0032126;GO:0070941	NA	NA	NA	NA	SSF53474;SSF52540	G3DSA:3.40.50.1820;G3DSA:3.40.50.300	NA	PF05729	PTHR10039;PTHR10039:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63605.1	IPR029061	GO:0030976	NA	NA	NA	NA	SSF52518	G3DSA:3.40.50.970	NA	PF02776	PTHR18968;PTHR18968:SF135	cd07035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68053.1	IPR005654	GO:0005524	NA	NA	NA	NA	SSF52540	G3DSA:3.40.50.300	NA	PF03969	PTHR12169:SF2;PTHR12169	cd00009	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70614.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SM00906;SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF04082;PF00172	PTHR45594	cd14723;cd12148;cd00067	NA	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70905.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70855.1	IPR000659	GO:0004733;GO:0008615;GO:0010181;GO:0048037;GO:0016638;GO:0055114	NA	NA	NA	NA	SSF50475	G3DSA:2.30.110.10	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	PF10590;PF01243	PTHR10851:SF0;PTHR10851	NA	NA	PS01064	mobidb-lite	NA	NA	NA	NA	PIRSF000190	TIGR00558	MF_01629	NA	NA
PTB65389.1	IPR002938	GO:0071949	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	SSF54373;SSF51905	G3DSA:3.50.50.60;G3DSA:3.30.9.30	NA	PF01494	PTHR13789:SF242;PTHR13789	NA	NA	NA	NA	PR00420	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB70253.1	IPR029018	GO:0004553;GO:0005975;GO:0004563	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SSF55545;SSF51445	G3DSA:3.20.20.80;G3DSA:3.30.379.10	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883	PF00728;PF02838	PTHR43678:SF2;PTHR43678	cd06564	NA	NA	NA	PR00738	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB66479.1	IPR014752	NA	NA	NA	NA	NA	NA	G3DSA:2.60.40.640	NA	PF13002	PTHR11188:SF76;PTHR11188	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70674.1	IPR011989	NA	NA	NA	NA	NA	SSF48371	G3DSA:1.25.10.10	NA	NA	PTHR13347	cd13394	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69814.1	IPR017853	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SSF51445	G3DSA:3.20.20.80	NA	NA	PTHR16631;PTHR16631:SF24	NA	NA	NA	mobidb-lite	PR01217	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB70554.1	IPR001650	GO:0003676;GO:0005524	PS51192;PS51194;PS51195	NA	SM00487;SM00490	NA	SSF52540	G3DSA:3.40.50.300	NA	PF00271;PF00270	PTHR24031;PTHR24031:SF204	cd00268;cd00079	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66492.1	IPR000555	GO:0005515;GO:0004222;GO:0008180	PS50249	NA	SM00232	NA	SSF102712	G3DSA:3.40.140.10	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	PF18323;PF01398	PTHR10410:SF6;PTHR10410	cd08069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67782.1	IPR004304	GO:0016811	NA	NA	NA	NA	SSF141130	G3DSA:2.60.120.580;G3DSA:3.10.28.20	NA	PF03069	PTHR31891:SF6;PTHR31891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68519.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR42111	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67874.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65316.1	IPR000608		PS50127	NA	SM00212	NA	SSF54495	G3DSA:3.10.110.10	Reactome: R-HSA-983168	PF00179	PTHR43898;PTHR43898:SF3	cd00195	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62440.1	IPR004164	GO:0008410	NA	NA	SM00882	NA	SSF100950	G3DSA:3.40.1080.10	Reactome: R-HSA-77108	PF01144	PTHR13707;PTHR13707:SF48	NA	NA	PS01274	mobidb-lite	NA	NA	NA	NA	NA	TIGR02428;TIGR02429	NA	NA	NA
PTB66425.1	IPR016102		NA	NA	NA	NA	SSF52210;SSF56059	G3DSA:3.40.50.261;G3DSA:3.30.470.110	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384	PF08442;PF16114	PTHR23118:SF0;PTHR23118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68016.1	IPR016050	GO:0004175;GO:0005839;GO:0051603;GO:0004298	PS51476	NA	NA	NA	SSF56235	G3DSA:3.60.20.10	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00227	PTHR11599:SF6;PTHR11599	cd03758	NA	PS00854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67245.1	IPR007149	GO:0006368;GO:0016570;GO:0016593	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-201722|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	PF04004	PTHR23146	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62541.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF04082;PF00172	PTHR31313	cd12148;cd00067	NA	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61576.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR43591;PTHR43591:SF12	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64433.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69473.1	IPR016181	GO:0016747	NA	NA	NA	NA	SSF55729	G3DSA:3.40.630.30	NA	PF13302	PTHR13256;PTHR13256:SF16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64556.1	IPR000504	GO:0003676	PS50102	NA	SM00360	NA	SSF54928	G3DSA:3.30.70.330	NA	PF00076	PTHR44063;PTHR44063:SF1	cd12339	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62197.1	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	PTHR35896	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61572.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF48264	G3DSA:1.10.630.10	Reactome: R-HSA-211981	PF00067	PTHR24287:SF5;PTHR24287	NA	NA	NA	NA	PR00464;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
PTB65301.1	IPR014006	GO:0016627;GO:0022900;GO:0050660;GO:0055114;GO:0016491;GO:0006099	NA	NA	NA	NA	SSF46977;SSF51905;SSF56425	G3DSA:3.50.50.60;G3DSA:3.90.700.10;G3DSA:1.20.58.100;G3DSA:4.10.80.40	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PF00890;PF02910	PTHR11632;PTHR11632:SF51	NA	NA	PS00504	NA	NA	NA	NA	NA	PIRSF000171	TIGR01812;TIGR01816	NA	NA	NA
PTB64388.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	NA	SM00066;SM00906	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172;PF04082	PTHR31986;PTHR31986:SF12	cd12148;cd00067	Coil	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61412.1	IPR000322	GO:0004553;GO:0005975	NA	NA	NA	NA	SSF51445	G3DSA:3.20.20.80	NA	PF01055	PTHR22762;PTHR22762:SF67	cd06602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61665.1	IPR018034	NA	NA	NA	NA	NA	NA	NA	NA	PF12936;PF05178	PTHR14490	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63394.1	IPR020683	NA	NA	NA	NA	NA	SSF140860;SSF48403	G3DSA:1.25.40.20	NA	PF12796	PTHR44310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69159.1	IPR014710	GO:0004411;GO:0006559;GO:0006570;GO:0055114	NA	NA	NA	NA	SSF51182	G3DSA:2.60.120.10	KEGG: 00350+1.13.11.5|KEGG: 00643+1.13.11.5|Reactome: R-HSA-71182	PF04209	PTHR11056:SF0;PTHR11056	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01015	NA	NA	NA
PTB68889.1	IPR026872	GO:0005965;GO:0018343;GO:0003824	NA	NA	NA	NA	SSF48239	G3DSA:1.50.10.20	KEGG: 00900+2.5.1.58|Reactome: R-HSA-2514859	PF00432	PTHR11774;PTHR11774:SF6	cd02893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65324.1	IPR001269	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	NA	NA	NA	NA	SSF51395	G3DSA:3.20.20.70	NA	PF01207	PTHR11082;PTHR11082:SF4	cd02801	NA	PS01136	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69744.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68100.1	IPR000898	GO:0020037;GO:0019441;GO:0046872	NA	NA	NA	NA	SSF140959	G3DSA:1.20.58.480	Reactome: R-HSA-71240	PF01231	PTHR28657;PTHR28657:SF10	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70685.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB67674.1	IPR039431		NA	NA	NA	NA	NA	G3DSA:1.25.40.270;G3DSA:1.20.5.420	Reactome: R-HSA-162588|Reactome: R-HSA-917729	PF04652;PF18097	PTHR12741;PTHR12741:SF4	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68495.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62462.1	IPR001494	GO:0006886;GO:0008536;GO:0051168	PS50166	NA	NA	NA	SSF48371	G3DSA:1.25.10.10	Reactome: R-HSA-203927	PF08389;PF03810	PTHR11223:SF3;PTHR11223	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65163.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
PTB68271.1	IPR006640	NA	NA	NA	NA	NA	NA	NA	NA	PF10263	PTHR21220	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67268.1	IPR000262	GO:0016491;GO:0003824;GO:0010181;GO:0055114	PS51349	NA	NA	NA	SSF51395	G3DSA:3.20.20.70	Reactome: R-HSA-9033241	PF01070	PTHR10578:SF86;PTHR10578	cd03332	NA	PS00557	NA	NA	NA	NA	NA	PIRSF000138	NA	NA	NA	NA
PTB65523.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67090.1	IPR012479	GO:0006355	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-427413	PF07818	PTHR13464	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65001.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68295.1	IPR016864	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38795	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF028035	NA	NA	NA	NA
PTB68433.1	IPR005151	GO:0006508;GO:0008236	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	SSF52096	NA	Reactome: R-HSA-2187335|Reactome: R-HSA-2453902	PF03572	PTHR37049:SF2;PTHR37049	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB62881.1	IPR024061	GO:0003677;GO:0003700;GO:0006355	PS51517	NA	NA	NA	SSF49417	G3DSA:2.60.40.1390	NA	PF05224	PTHR35144;PTHR35144:SF4	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66994.1	IPR000192	GO:0003824	NA	NA	NA	NA	SSF53383	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	PF00266	PTHR43769;PTHR43769:SF2	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
