Gene	interpro	GO	ProSitePatterns	ProSiteProfiles	MobiDBLite	Gene3D	SUPERFAMILY	SMART	PANTHER	TMHMM	Phobius	Pfam	CDD	PATHWAY	TIGRFAM	PRINTS	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Coils	PIRSF	Hamap	SFLD	ProDom
maker-NIGB01000002.1-augustus-gene-8.58-mRNA-1	IPR036291	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	PTHR10366;PTHR10366:SF242	NA	NA	PF01073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-3.39-mRNA-1	IPR002735	GO:0003743;GO:0006413	NA	NA	mobidb-lite	G3DSA:3.30.70.3150	SSF75689;SSF100966	SM00653	PTHR23001:SF3;PTHR23001	NA	NA	PF01873	NA	Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-25.48-mRNA-1	IPR013087	GO:0003676	PS00028	PS50157	mobidb-lite	G3DSA:3.30.160.60	NA	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-1.39-mRNA-1	IPR013535	GO:0005515;GO:0043130;GO:0043161	NA	PS51396;PS50294;PS50082;PS51394	mobidb-lite	G3DSA:2.130.10.10;G3DSA:1.25.10.10;G3DSA:1.10.150.410	SSF50978	SM00320	PTHR19849	NA	NA	PF08324;PF00400;PF09070	cd00200	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-11.27-mRNA-1	IPR007143	GO:0000813;GO:0032509	NA	PS51310;PS51313	NA	G3DSA:1.20.120.1130;G3DSA:1.20.1440.200	SSF140427;SSF140111	NA	PTHR12937	NA	NA	PF03997	NA	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	NA	NA	NA	NA	NA	NA	PIRSF017535	NA	NA	NA
maker-NIGB01000009.1-augustus-gene-9.33-mRNA-1	IPR000727	GO:0016020;GO:0016192;GO:0005484;GO:0006886	PS00914	PS50192	NA	G3DSA:1.20.58.70	SSF47661	SM00397	PTHR19957;PTHR19957:SF83	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF05739	cd15845	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-20.36-mRNA-1	IPR000648	NA	PS01013	NA	mobidb-lite	G3DSA:1.20.120.1290;G3DSA:2.40.160.120	SSF144000	NA	PTHR10972:SF65;PTHR10972	NA	NA	PF01237	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-33.42-mRNA-1	IPR013087	GO:0003676	PS00028	PS50157	mobidb-lite	G3DSA:3.30.160.60	NA	SM00355	PTHR14596:SF65;PTHR14596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-9.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-21.3-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-48.26-mRNA-1	IPR009644	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR15407:SF32;PTHR15407	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PF04991	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-4.23-mRNA-1	IPR036390	GO:0008168;GO:0008171	NA	PS51683	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150	SSF46785;SSF53335	NA	PTHR43712:SF1;PTHR43712	NA	NA	PF00891	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005739	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-4.30-mRNA-1	IPR017340	GO:0000387;GO:0000398;GO:0005685;GO:0008270;GO:0003676;GO:0005634	NA	PS50171	mobidb-lite	G3DSA:3.30.160.60	SSF57667	SM00451	PTHR31148	NA	NA	PF06220	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	PIRSF037969	MF_03153	NA	NA
augustus_masked-NIGB01000010.1-processed-gene-5.42-mRNA-1	IPR006076	GO:0016491;GO:0055114	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.10	SSF51905	NA	PTHR13847:SF185;PTHR13847	NA	NA	PF01266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-13.2-mRNA-1	IPR006195	GO:0000166;GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0000049;GO:0004812;GO:0043039	NA	PS50862;PS51447	NA	G3DSA:3.30.930.10;G3DSA:3.30.70.380	SSF54991;SSF55681	SM00896	PTHR11538:SF41;PTHR11538	NA	NA	PF03147;PF01409	cd00496	KEGG: 00970+6.1.1.20	TIGR00469	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-34.5-mRNA-1	IPR036188	GO:0071949	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.30	SSF51905;SSF54373	NA	PTHR13789;PTHR13789:SF172	NA	NA	PF01494;PF13450	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-14.9-mRNA-1	IPR008862	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR12832;PTHR12832:SF11	NA	NA	PF05794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-14.30-mRNA-1	IPR019734	GO:0005515	NA	PS50005;PS50293	NA	NA	SSF48452	NA	PTHR12760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-40.3-mRNA-1	IPR001580	GO:0005509;GO:0005783;GO:0006457;GO:0051082;GO:0005515	PS00803;PS00804	NA	mobidb-lite	G3DSA:2.60.120.200;G3DSA:2.10.250.10	SSF49899;SSF63887	NA	PTHR11073;PTHR11073:SF1	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PF00262	NA	NA	NA	PR00626	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-42.42-mRNA-1	IPR011009	GO:0004672;GO:0005524;GO:0006468	PS00108	PS50011	mobidb-lite	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	SM00220	PTHR11042:SF134;PTHR11042	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF00069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-18.10-mRNA-1	IPR001019	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0001664;GO:0005525;GO:0005834;GO:0007165	NA	NA	NA	G3DSA:3.40.50.300;G3DSA:1.10.400.10	SSF47895;SSF52540	SM00275	PTHR10218:SF242;PTHR10218	NA	NA	PF00503	cd00066	NA	NA	PR00318;PR01241	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-7.12-mRNA-1	IPR003593	GO:0004222;GO:0005524;GO:0008270;GO:0016021;GO:0006508;GO:0016020	PS00674	NA	mobidb-lite	G3DSA:1.20.58.760;G3DSA:1.10.8.60;G3DSA:3.40.1690.20;G3DSA:3.40.50.300	SSF140990;SSF52540	SM00382	PTHR43655:SF14;PTHR43655	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF17862;PF06480;PF01434;PF00004	cd00009	Reactome: R-HSA-8949664	TIGR01241	NA	NA	NA	NA	NA	NA	MF_01458	NA	NA
augustus_masked-NIGB01000008.1-processed-gene-3.20-mRNA-1	IPR014041	GO:0000814;GO:0071985	NA	NA	mobidb-lite	G3DSA:1.10.10.570;G3DSA:1.10.10.10	SSF46785	NA	PTHR13149	NA	NA	PF05871	NA	Reactome: R-HSA-917729	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-8.13-mRNA-1	IPR001950	GO:0003743;GO:0006413	NA	PS50296	mobidb-lite	G3DSA:3.30.780.10	SSF55159	NA	PTHR10388:SF4;PTHR10388	NA	NA	PF01253	cd11566	NA	NA	NA	NA	NA	NA	NA	PIRSF004499	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-28.7-mRNA-1	IPR029063	NA	NA	NA	NA	G3DSA:3.40.50.150	SSF53335	NA	PTHR43591:SF10;PTHR43591	NA	NA	PF13489	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-31.13-mRNA-1	IPR000086	GO:0016787	NA	PS51462	mobidb-lite	NA	SSF55811	NA	PTHR12992;PTHR12992:SF12	NA	NA	PF00293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-8.31-mRNA-1	IPR019775	GO:0005515	PS00678	PS50082;PS50294	mobidb-lite	G3DSA:2.130.10.10	SSF50978	SM00320	PTHR19847;PTHR19847:SF7	NA	NA	PF00400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-24.29-mRNA-1	IPR036440	GO:0005829;GO:0006508;GO:0016920	NA	NA	NA	G3DSA:3.40.630.20	SSF53182	NA	PTHR23402:SF13;PTHR23402	NA	NA	PF01470	cd00501	MetaCyc: PWY-7942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000002.1-processed-gene-38.37-mRNA-1	IPR008501	GO:0000445;GO:0006397	NA	NA	mobidb-lite	NA	NA	NA	PTHR23405:SF5;PTHR23405	NA	NA	PF05615	NA	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-34.10-mRNA-1	IPR009057	GO:0003677	NA	PS50090	mobidb-lite	G3DSA:1.10.10.60	SSF46689	SM00717	PTHR23246;PTHR23246:SF12	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	cd00167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-3.4-mRNA-1	IPR025941	GO:0005515	PS00678	PS50294;PS50082	mobidb-lite	NA	NA	NA	PTHR12616:SF8;PTHR12616	NA	NA	PF12816	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-39.20-mRNA-1	IPR001985	GO:0004014;GO:0006597;GO:0008295	PS01336	NA	mobidb-lite	G3DSA:3.60.90.10	SSF56276	NA	PTHR11570;PTHR11570:SF0	NA	NA	PF01536	NA	KEGG: 00270+4.1.1.50|KEGG: 00330+4.1.1.50|MetaCyc: PWY-6834|Reactome: R-HSA-351202	TIGR00535	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-35.17-mRNA-1	IPR018222	NA	NA	PS50177	NA	G3DSA:3.10.450.50	SSF54427	NA	PTHR12612:SF20;PTHR12612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-11.9-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-7.8-mRNA-1	IPR002469	GO:0006508;GO:0008236	NA	NA	mobidb-lite	G3DSA:3.40.50.1820;G3DSA:2.140.10.30	SSF53474;SSF82171	NA	PTHR11731:SF110;PTHR11731	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF00930;PF00326	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000010.1-processed-gene-1.20-mRNA-1	IPR021109	GO:0004553;GO:0005975;GO:0004563	NA	PS51767	NA	G3DSA:3.20.20.80;G3DSA:3.30.379.10;G3DSA:2.40.70.10	SSF50630;SSF51445;SSF55545	NA	PTHR22600:SF37;PTHR22600	NA	NA	PF14845;PF00728;PF00026	NA	KEGG: 00511+3.2.1.52|KEGG: 00513+3.2.1.52|KEGG: 00520+3.2.1.52|KEGG: 00531+3.2.1.52|KEGG: 00603+3.2.1.52|KEGG: 00604+3.2.1.52|MetaCyc: PWY-6902|MetaCyc: PWY-7822|MetaCyc: PWY-7883|Reactome: R-HSA-1660662|Reactome: R-HSA-2022857|Reactome: R-HSA-2024101|Reactome: R-HSA-2160916	NA	PR00738	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000003.1-processed-gene-39.41-mRNA-1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	NA	SM00906	PTHR31313;PTHR31313:SF45	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF04082	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-5.0-mRNA-1	IPR003788		NA	NA	mobidb-lite	G3DSA:3.40.50.12710	SSF53335	NA	PTHR12049;PTHR12049:SF5	NA	NA	PF02636	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-2.39-mRNA-1	IPR018535	NA	NA	NA	NA	NA	NA	NA	PTHR43662	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PF09362	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-8.33-mRNA-1	IPR037930	GO:0005741;GO:0008320;GO:0030150;GO:0055085	NA	NA	NA	G3DSA:2.40.160.10	NA	NA	PTHR10802;PTHR10802:SF2	NA	NA	PF01459	cd07305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-27.10-mRNA-1	IPR002922	GO:0009228	NA	NA	NA	G3DSA:3.50.50.60	SSF51905	NA	PTHR43422:SF3;PTHR43422	NA	NA	PF01946	NA	NA	TIGR00292	NA	NA	NA	NA	NA	NA	MF_03158	NA	NA
maker-NIGB01000003.1-augustus-gene-26.27-mRNA-1	IPR001623	GO:0005524;GO:0006457;GO:0009408;GO:0051082;GO:0031072	PS00636	PS51188;PS50076	mobidb-lite	G3DSA:2.60.260.20;G3DSA:1.10.287.110;G3DSA:2.10.230.10	SSF57938;SSF46565;SSF49493	SM00271	PTHR43888	NA	NA	PF00226;PF00684;PF01556	cd10747;cd10719;cd06257	NA	NA	PR00625	NA	NA	NA	NA	NA	MF_01152	NA	NA
maker-NIGB01000008.1-augustus-gene-0.23-mRNA-1	IPR020846	GO:0016021;GO:0022857;GO:0055085	NA	PS50850	mobidb-lite	G3DSA:1.20.1250.20	SSF103473	NA	PTHR24064;PTHR24064:SF325	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF00083	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-12.7-mRNA-1	IPR000683	GO:0016491	NA	NA	NA	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF51735;SSF55347	NA	PTHR42840:SF5;PTHR42840	NA	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-4.6-mRNA-1	IPR002563	GO:0010181;GO:0048037	NA	NA	mobidb-lite	G3DSA:2.30.110.10	SSF50475	SM00903	PTHR33798	NA	NA	PF01613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000007.1-augustus-gene-6.4-mRNA-1	IPR000754	GO:0003735;GO:0005840;GO:0006412	PS00360	NA	NA	G3DSA:3.30.230.10	SSF54211	NA	PTHR21569;PTHR21569:SF7	NA	NA	PF00380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000008.1-augustus-gene-13.55-mRNA-1	IPR010839	NA	NA	NA	NA	NA	NA	NA	PTHR13943:SF69;PTHR13943	NA	NA	PF07287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-14.35-mRNA-1	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	PS00086	NA	mobidb-lite	G3DSA:1.10.630.10	SSF48264	NA	PTHR24305;PTHR24305:SF110	TMhelix	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE	PF00067	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000007.1-augustus-gene-1.43-mRNA-1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PS00086	NA	mobidb-lite	G3DSA:1.10.630.10	SSF48264	NA	PTHR24305;PTHR24305:SF70	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF00067	NA	NA	NA	PR00465;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-3.47-mRNA-1	IPR027417	GO:0016226;GO:0051536;GO:0051539	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	PTHR23264:SF19;PTHR23264	NA	NA	PF10609	cd02037	Reactome: R-HSA-2564830	NA	NA	NA	NA	NA	NA	NA	MF_03038;MF_02040	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-4.37-mRNA-1	IPR036866	GO:0008033	NA	NA	mobidb-lite	G3DSA:3.60.15.10	SSF56281	NA	PTHR12553:SF49;PTHR12553	NA	NA	PF12706;PF13691	cd07718	Reactome: R-HSA-6784531|Reactome: R-HSA-6785470|Reactome: R-HSA-8868766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-20.9-mRNA-1	IPR029058	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	PTHR12482;PTHR12482:SF4	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF05057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000010.1-augustus-gene-0.6-mRNA-1	IPR010259	GO:0004252;GO:0006508	PS00138;PS00137;PS00136	NA	NA	G3DSA:3.30.70.80;G3DSA:3.40.50.200	SSF54897;SSF52743	NA	PTHR43806;PTHR43806:SF25	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PF05922;PF00082	cd04077	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	PR00723	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-38.46-mRNA-1	IPR003347	NA	NA	PS51184	mobidb-lite	G3DSA:2.60.120.650	SSF51197	SM00558	PTHR12461:SF55;PTHR12461	NA	NA	PF13621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-30.26-mRNA-1	IPR013261	GO:0005744;GO:0030150	NA	NA	NA	G3DSA:3.10.450.320	NA	NA	PTHR13032	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PF08294	NA	Reactome: R-HSA-1268020	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000008.1-processed-gene-10.17-mRNA-1	IPR000629	GO:0003676;GO:0005524	PS00039	PS51192;PS51195;PS51194	mobidb-lite	G3DSA:3.40.50.300	SSF48371;SSF52540	SM00487;SM00490	PTHR24031;PTHR24031:SF406	NA	NA	PF12333;PF00270;PF00271	cd00079;cd00268	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-7.2-mRNA-1	IPR001594	NA	NA	PS50216	NA	NA	NA	NA	PTHR22883;PTHR22883:SF116	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF01529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-31.18-mRNA-1	IPR011989	GO:0015031;GO:0030276;GO:0016192;GO:0006886;GO:0030117	NA	NA	NA	G3DSA:1.25.10.10	SSF48371	NA	PTHR11134;PTHR11134:SF13	NA	NA	PF01602	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002291	NA	NA	NA
maker-NIGB01000005.1-augustus-gene-12.7-mRNA-1	IPR036872	NA	NA	NA	mobidb-lite	G3DSA:1.10.418.10	SSF116907	NA	PTHR18947	NA	NA	PF05622	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
augustus_masked-NIGB01000001.1-processed-gene-35.29-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-2.32-mRNA-1	IPR027417	GO:0003676;GO:0005524	NA	PS51194;PS51192	mobidb-lite	G3DSA:3.40.50.300	SSF52540	SM00487	PTHR44533;PTHR44533:SF2	NA	NA	PF00270;PF00271	cd00046;cd00079	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000006.1-augustus-gene-6.31-mRNA-1	IPR028000	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	TMhelix	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PF14610	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGB01000005.1-processed-gene-9.2-mRNA-1	IPR004037	GO:0042254;GO:1990904;GO:0003723;GO:0005730	PS01082	NA	NA	G3DSA:3.30.1330.30	SSF55315	NA	PTHR23105:SF38;PTHR23105	NA	NA	PF01248	NA	Reactome: R-HSA-6791226	NA	PR00881;PR00883	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-13.8-mRNA-1	IPR005595	GO:0005789	NA	NA	mobidb-lite	NA	NA	NA	PTHR12924	TMhelix	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PF03896	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-14.41-mRNA-1	IPR015422	GO:0003824;GO:0006520;GO:0016765;GO:0030170	PS00868	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	PTHR43797:SF1;PTHR43797	NA	NA	PF01053	cd00614	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	TIGR01326	NA	NA	NA	NA	NA	PIRSF001434	NA	NA	NA
maker-NIGB01000007.1-augustus-gene-5.26-mRNA-1	IPR032387	GO:0006629;GO:0030729;GO:0003824	PS00455	NA	mobidb-lite	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	SSF56801	NA	PTHR42921:SF3;PTHR42921	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF16177;PF00501	NA	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857	TIGR01217	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-23.17-mRNA-1	IPR001094	GO:0010181;GO:0055114;GO:0016491;GO:0003958	NA	PS50902;PS51384	NA	G3DSA:2.40.30.10;G3DSA:1.20.990.10;G3DSA:3.40.50.80;G3DSA:3.40.50.360	SSF52343;SSF52218;SSF63380	NA	PTHR19384:SF10;PTHR19384	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	PF00258;PF00175;PF00667	NA	Reactome: R-HSA-2564830	NA	PR00369;PR00371	NA	NA	NA	NA	NA	MF_03178	NA	NA
augustus_masked-NIGB01000005.1-processed-gene-15.0-mRNA-1	IPR011990	GO:0005515	NA	NA	mobidb-lite	G3DSA:1.25.40.10	SSF48452	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
