Gene	interpro	GO	Gene3D	ProSiteProfiles	Pfam	SMART	PANTHER	MobiDBLite	CDD	SUPERFAMILY	ProSitePatterns	Coils	PATHWAY	TIGRFAM	Phobius	TMHMM	Hamap	PIRSF	PRINTS	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_64_length_108683_cov_48.410304-augustus-gene-0.32-mRNA-1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	G3DSA:1.10.630.10	NA	PF00067	NA	PTHR24305:SF102;PTHR24305	NA	NA	SSF48264	PS00086	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	PR00385;PR00465	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_164047_cov_50.852452-processed-gene-0.10-mRNA-1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	G3DSA:1.10.630.10	NA	PF00067	NA	PTHR24305;PTHR24305:SF35	NA	NA	SSF48264	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA
maker-NODE_142_length_67246_cov_39.896661-augustus-gene-0.1-mRNA-1	NA	NA	G3DSA:1.20.140.150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_106_length_80061_cov_40.109665-processed-gene-0.10-mRNA-1	IPR037523	NA	G3DSA:3.10.180.10	PS51819	PF00903	NA	NA	NA	cd06587	SSF54593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_128015_cov_46.451864-augustus-gene-0.52-mRNA-1	IPR013320	GO:0004553;GO:0005975	G3DSA:2.60.120.200	PS51762	PF00722	NA	PTHR10963;PTHR10963:SF42	NA	cd02181	SSF49899	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_225_length_40653_cov_40.065760-processed-gene-0.7-mRNA-1	IPR036188	NA	G3DSA:3.50.50.60	NA	NA	NA	PTHR13789;PTHR13789:SF169	mobidb-lite	NA	SSF51905	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_484860_cov_50.546594-processed-gene-3.41-mRNA-1	IPR006195	GO:0000166;GO:0004815;GO:0005524;GO:0005737;GO:0006422;GO:0004812;GO:0006418	G3DSA:3.30.930.10;G3DSA:2.40.50.140	PS50862	PF00152;PF09924	NA	PTHR43450;PTHR43450:SF2	mobidb-lite	cd04320;cd00776	SSF50249;SSF55681	NA	NA	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	TIGR00458	NA	NA	MF_02075	NA	PR01042	NA	NA	NA	NA	NA
augustus_masked-NODE_161_length_59465_cov_32.442078-processed-gene-0.6-mRNA-1	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	PTHR14614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_162_length_59190_cov_45.966730-processed-gene-0.23-mRNA-1	IPR039960	GO:0032592;GO:0055088	NA	NA	PF07950	NA	PTHR38409	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_119_length_74643_cov_45.456560-augustus-gene-0.11-mRNA-1	IPR023696	GO:0004407;GO:0016575	G3DSA:3.40.800.20	NA	PF00850	NA	PTHR10625:SF141;PTHR10625	mobidb-lite	NA	SSF52768	NA	Coil	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-3214815	NA	NA	NA	NA	NA	PR01271;PR01270	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_484860_cov_50.546594-processed-gene-3.55-mRNA-1	IPR040349	GO:0033551;GO:0005515	G3DSA:3.90.1150.80	NA	PF12539	NA	PTHR28006	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_225485_cov_46.082997-augustus-gene-0.4-mRNA-1	IPR017896	GO:0004174;GO:0022900	G3DSA:3.30.70.20;G3DSA:3.50.50.60;G3DSA:3.30.9.90	PS51379	PF13450;PF05187	NA	PTHR10617:SF107;PTHR10617	mobidb-lite	NA	SSF54862;SSF54373;SSF51905	NA	NA	Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_132367_cov_46.539012-augustus-gene-0.8-mRNA-1	IPR000277	GO:0030170;GO:0003824	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	PF01053	NA	PTHR11808;PTHR11808:SF35	NA	NA	SSF53383	PS00868	NA	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	NA	NA	NA	PIRSF001434	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_149521_cov_44.867525-processed-gene-0.44-mRNA-1	IPR032054		G3DSA:1.10.10.1420	NA	PF16679	NA	NA	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-539107|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_270656_cov_47.001638-augustus-gene-0.15-mRNA-1	IPR000717	NA	G3DSA:1.10.10.10;G3DSA:1.25.40.570	PS50250	PF01399	NA	PTHR12732:SF0;PTHR12732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_84_length_94130_cov_49.863302-augustus-gene-0.16-mRNA-1	IPR008594	GO:0000290;GO:0016787	G3DSA:3.30.428.10;G3DSA:3.30.200.40	NA	PF05652;PF11969	NA	PTHR12978	NA	NA	SSF54197;SSF102860	NA	NA	Reactome: R-HSA-429958	NA	NA	NA	NA	PIRSF028973	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_177_length_55324_cov_42.704132-processed-gene-0.24-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_210_length_45569_cov_39.592381-augustus-gene-0.17-mRNA-1	IPR036812	GO:0016491;GO:0055114	G3DSA:3.20.20.100	NA	PF00248	NA	PTHR43364;PTHR43364:SF7	NA	cd06660	SSF51430	NA	Coil	NA	NA	NA	NA	NA	NA	PR00069	NA	NA	NA	NA	NA
maker-NODE_81_length_95370_cov_50.026154-augustus-gene-0.3-mRNA-1	IPR008011	NA	NA	NA	PF05347	NA	PTHR13166:SF7;PTHR13166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_151_length_63571_cov_50.951690-processed-gene-0.8-mRNA-1	IPR013889	NA	NA	NA	PF08580	NA	PTHR37271	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_272981_cov_47.056631-augustus-gene-1.0-mRNA-1	IPR022040	GO:0004518;GO:0006281	G3DSA:3.40.50.1010	NA	PF12247;PF12246	NA	PTHR11081:SF32;PTHR11081	NA	cd09902	SSF88723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_370_length_15501_cov_45.353389-processed-gene-0.6-mRNA-1	IPR029063	NA	G3DSA:3.40.50.150	NA	PF13489	NA	PTHR43591:SF14;PTHR43591	NA	cd02440	SSF53335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_72_length_102069_cov_41.885641-processed-gene-0.0-mRNA-1	IPR031329		G3DSA:2.60.40.2300	NA	PF04734;PF17048	NA	PTHR12670;PTHR12670:SF11	NA	NA	NA	NA	NA	KEGG: 00600+3.5.1.23|MetaCyc: PWY-6483|MetaCyc: PWY-7119|Reactome: R-HSA-1660662	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_132_length_71667_cov_50.166942-processed-gene-0.26-mRNA-1	IPR002035	NA	G3DSA:3.40.50.410	PS51468;PS50234	PF13768;PF08487	SM00327;SM00609	PTHR10338;PTHR10338:SF110	mobidb-lite	NA	SSF53300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_225485_cov_46.082997-processed-gene-1.43-mRNA-1	IPR036869	GO:0005744;GO:0030150	G3DSA:1.10.287.110	NA	PF03656	NA	PTHR12388:SF0;PTHR12388	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-1268020	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-0.9-mRNA-1	IPR013886		G3DSA:3.40.1000.30	NA	PF08577;PF11566	NA	PTHR13266	mobidb-lite	NA	NA	NA	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_147_length_65921_cov_42.693452-processed-gene-0.14-mRNA-1	IPR000569	GO:0004842	G3DSA:3.30.2410.10;G3DSA:3.90.1750.10;G3DSA:3.30.2160.10	PS50237	PF00632	SM00119	PTHR11254:SF400;PTHR11254	mobidb-lite	cd00078	SSF56204	NA	NA	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_142770_cov_48.989975-processed-gene-0.30-mRNA-1	IPR002110	GO:0005515	G3DSA:1.25.40.20	PS50088;PS50297	PF13857;PF00023	SM00248	PTHR43928:SF1;PTHR43928	NA	cd00204	SSF48403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_272981_cov_47.056631-augustus-gene-1.10-mRNA-1	IPR006186	GO:0016787	G3DSA:3.60.21.10	NA	PF00149	SM00156	PTHR11668:SF261;PTHR11668	mobidb-lite	cd07416	SSF56300	PS00125	Coil	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	PIRSF033096	PR00114	NA	NA	NA	NA	NA
maker-NODE_135_length_71088_cov_47.398388-augustus-gene-0.24-mRNA-1	IPR034758	GO:0004587;GO:0003824;GO:0008483;GO:0030170	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	PF00202	NA	PTHR11986:SF18;PTHR11986	NA	cd00610	SSF53383	PS00600	NA	KEGG: 00330+2.6.1.13|MetaCyc: PWY-3341|MetaCyc: PWY-4981|MetaCyc: PWY-6344|MetaCyc: PWY-6922|Reactome: R-HSA-70614	TIGR01885	NA	NA	NA	PIRSF000521	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_137_length_70705_cov_47.173949-processed-gene-0.2-mRNA-1	IPR006597	GO:0005515	G3DSA:1.25.40.10	NA	PF08238	SM00671	PTHR43628;PTHR43628:SF2	mobidb-lite	NA	SSF81901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_93_length_85896_cov_40.397626-augustus-gene-0.24-mRNA-1	IPR036747	GO:0005634;GO:0006333;GO:0006334;GO:0006337;GO:0016573;GO:0042393	G3DSA:2.60.40.1490	NA	PF04729	NA	PTHR12040;PTHR12040:SF0	mobidb-lite	NA	SSF101546	NA	Coil	NA	NA	NA	NA	NA	PIRSF037759	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_10_length_272981_cov_47.056631-processed-gene-1.61-mRNA-1	IPR016117	GO:0004358;GO:0006526	G3DSA:3.60.70.12;G3DSA:3.10.20.340;G3DSA:3.30.2330.10	NA	PF01960	NA	PTHR23100;PTHR23100:SF0	NA	cd02152	SSF56266	NA	NA	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	TIGR00120	NA	NA	MF_01106	NA	NA	NA	NA	NA	PD004193	NA
maker-NODE_83_length_94245_cov_48.887397-augustus-gene-0.42-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_62_length_109730_cov_47.324927-augustus-gene-0.12-mRNA-1	IPR010473	GO:0003779;GO:0017048;GO:0030036	NA	NA	PF06371	SM01140	PTHR11584:SF369;PTHR11584	mobidb-lite	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_283_length_29627_cov_39.089356-augustus-gene-0.5-mRNA-1	IPR025337	GO:0016491	NA	NA	PF14027	NA	PTHR35870;PTHR35870:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-3.23-mRNA-1	IPR001296		G3DSA:3.40.50.2000	NA	PF00534;PF13579	NA	PTHR12526;PTHR12526:SF372	mobidb-lite	cd03814	SSF53756	NA	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_140_length_69927_cov_48.243352-augustus-gene-0.22-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_135_length_71088_cov_47.398388-processed-gene-0.6-mRNA-1	IPR013126		G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	PF00012	NA	PTHR19375:SF181;PTHR19375	mobidb-lite	cd10229	SSF53067;SSF82199	NA	NA	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_289_length_28484_cov_45.185704-augustus-gene-0.1-mRNA-1	NA	NA	NA	NA	NA	NA	PTHR21535:SF85;PTHR21535	mobidb-lite	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_98_length_84858_cov_48.024855-processed-gene-0.27-mRNA-1	IPR028094	NA	NA	NA	PF14474	SM01312	PTHR41391	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_223582_cov_47.348450-processed-gene-1.13-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_82_length_94248_cov_41.846782-processed-gene-0.3-mRNA-1	IPR025124	NA	NA	NA	PF13259	NA	PTHR28065	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_61_length_109926_cov_44.427700-augustus-gene-0.24-mRNA-1	IPR029058	GO:0006629;GO:0016042	G3DSA:3.40.50.1820	NA	PF01764;PF03893	NA	PTHR21493;PTHR21493:SF235	NA	cd00519	SSF53474	NA	NA	Reactome: R-HSA-426048	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_32_length_163309_cov_48.572870-augustus-gene-0.50-mRNA-1	IPR036907	GO:0009166;GO:0016787	G3DSA:3.90.780.10;G3DSA:3.60.21.10	NA	PF02872	NA	PTHR11575:SF24;PTHR11575	NA	NA	SSF55816;SSF56300	NA	NA	Reactome: R-HSA-196807|Reactome: R-HSA-73621|Reactome: R-HSA-74259	NA	NA	NA	NA	NA	PR01607	NA	NA	NA	NA	NA
augustus_masked-NODE_656_length_5751_cov_39.992710-processed-gene-0.1-mRNA-1	IPR016812	GO:0006482;GO:0051723	G3DSA:3.40.50.1820	NA	PF12697	NA	PTHR14189	mobidb-lite	NA	SSF53474	NA	NA	Reactome: R-HSA-69273	NA	NA	NA	NA	PIRSF022950	NA	NA	NA	NA	NA	NA
maker-NODE_217_length_44521_cov_44.671622-augustus-gene-0.17-mRNA-1	IPR011332	GO:0006412;GO:0003735;GO:0015934	NA	NA	PF01783	NA	PTHR21026	NA	NA	SSF57829	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_151_length_63571_cov_50.951690-processed-gene-0.11-mRNA-1	IPR011430		G3DSA:1.25.10.10	NA	PF07539	NA	PTHR17695	mobidb-lite	NA	SSF48371	NA	Coil	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_142770_cov_48.989975-augustus-gene-0.2-mRNA-1	IPR009686	NA	NA	NA	PF06911	NA	PTHR21068;PTHR21068:SF20	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_304307_cov_47.353508-augustus-gene-2.46-mRNA-1	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	NA	PF04116	NA	PTHR11863:SF22;PTHR11863	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_123371_cov_39.834661-processed-gene-0.44-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_377419_cov_47.972443-augustus-gene-2.77-mRNA-1	IPR001377	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	PF01092	SM01405	PTHR11502;PTHR11502:SF6	NA	NA	NA	PS00578	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-166208|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	PIRSF002129	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_61_length_109926_cov_44.427700-processed-gene-0.13-mRNA-1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	G3DSA:4.10.240.10	PS50048	PF04082;PF00172	SM00066	PTHR31944	mobidb-lite	cd12148;cd00067	SSF57701	PS00463	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_107139_cov_47.890919-augustus-gene-0.5-mRNA-1	IPR030667	GO:0019781;GO:0045116;GO:0008641	G3DSA:3.40.50.720	NA	PF00899	NA	PTHR10953:SF29;PTHR10953	NA	NA	SSF69572	NA	Coil	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_314_length_23777_cov_47.035941-processed-gene-0.5-mRNA-1	IPR009598	NA	NA	NA	PF06726	SM01396	PTHR13259	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	PD062192	NA
maker-NODE_5_length_369570_cov_49.812937-augustus-gene-1.45-mRNA-1	IPR036610	NA	G3DSA:3.90.280.10	NA	PF01161	NA	PTHR11362	mobidb-lite	cd00866	SSF49777	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_258_length_34326_cov_51.736688-processed-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_195582_cov_43.559505-processed-gene-0.3-mRNA-1	IPR023393	NA	G3DSA:3.30.530.20	NA	PF11274	NA	PTHR19308;PTHR19308:SF14	mobidb-lite	NA	SSF55961	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_59_length_116130_cov_46.111782-processed-gene-0.26-mRNA-1	IPR015943	GO:0005515	G3DSA:2.130.10.10	PS50082;PS50294	PF00400;PF12341	SM00320	PTHR19932	mobidb-lite	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_143_length_67234_cov_45.561164-processed-gene-0.7-mRNA-1	IPR036400	NA	G3DSA:3.10.120.10	NA	PF00173	SM01117	PTHR10281:SF26;PTHR10281	mobidb-lite	NA	SSF55856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_120_length_74519_cov_48.440491-processed-gene-0.5-mRNA-1	IPR036890	GO:0006298;GO:0016887;GO:0032300	G3DSA:3.30.565.10	NA	PF13589	NA	PTHR10073:SF41;PTHR10073	NA	cd00075	SSF55874	PS00058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_208_length_46005_cov_30.764549-processed-gene-0.1-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_306880_cov_40.574902-augustus-gene-1.24-mRNA-1	IPR006597	GO:0005515	G3DSA:1.25.40.10	PS50005	PF08238	SM00671	PTHR11102	mobidb-lite	NA	SSF81901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_43_length_136401_cov_48.875449-processed-gene-0.31-mRNA-1	IPR018628	NA	NA	NA	PF09813	NA	PTHR15642	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_133174_cov_48.055529-augustus-gene-0.24-mRNA-1	IPR003697	GO:0047429	G3DSA:3.90.950.10	NA	PF02545	NA	PTHR43213;PTHR43213:SF5	mobidb-lite	cd00555	SSF52972	NA	NA	NA	TIGR00172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_135580_cov_49.032801-augustus-gene-0.0-mRNA-1	IPR036498	GO:0005506;GO:0016226;GO:0051536	G3DSA:3.30.1370.70;G3DSA:3.30.300.130	NA	PF01106;PF08712	SM00932	PTHR11178;PTHR11178:SF1	mobidb-lite	NA	SSF110836;SSF117916	NA	Coil	NA	NA	NA	NA	NA	PIRSF036773	NA	NA	NA	NA	PD002830	NA
augustus_masked-NODE_148_length_64702_cov_49.691599-processed-gene-0.17-mRNA-1	IPR014710	NA	G3DSA:2.60.120.10	NA	PF07883	NA	PTHR36156	NA	NA	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_436_length_11919_cov_48.641876-processed-gene-0.2-mRNA-1	IPR010730	NA	NA	NA	PF06985	NA	PTHR10622:SF10;PTHR10622	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-2.10-mRNA-1	IPR003593	GO:0000808;GO:0003677;GO:0005634;GO:0006260	G3DSA:3.40.50.300;G3DSA:3.30.40.10	PS50016	PF13191;PF00628;PF14629	SM00382;SM00249	PTHR12087	mobidb-lite	cd15492;cd00009	SSF57903;SSF52540	NA	NA	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
