Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	GO	PRINTS	Pfam	ProSiteProfiles	MobiDBLite	Phobius	TMHMM	CDD	Coils	SFLD	PATHWAY	ProSitePatterns	TIGRFAM	SMART	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	ProDom	PIRSF
OTA07651.1	IPR000719	SSF56112	PTHR11909;PTHR11909:SF97	G3DSA:1.10.510.10	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	PS50011	mobidb-lite	NA	NA	NA	NA	NA	NA	PS00107	NA	SM00220	NA	NA	NA	NA	NA	NA
OTA07438.1	IPR008162	SSF50324	PTHR10286:SF3;PTHR10286	G3DSA:3.90.80.10	GO:0000287;GO:0004427;GO:0005737;GO:0006796	NA	PF00719	NA	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	cd00412	NA	NA	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737	PS00387	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA06721.1	IPR000462	NA	PTHR43043;PTHR43043:SF1	G3DSA:1.20.120.1760	GO:0008654;GO:0016020;GO:0016780	NA	PF01066	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	KEGG: 00260+2.7.8.8|KEGG: 00564+2.7.8.8|MetaCyc: PWY-5669	PS00379	TIGR00473	NA	NA	NA	NA	NA	NA	PIRSF000852
OTA01019.1	IPR008949	SSF48576	NA	G3DSA:1.10.600.10	GO:0016838	NA	PF06330	PS51257	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01021	KEGG: 00909+4.2.3.6|MetaCyc: PWY-7711	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05125.1	IPR036291	SSF53223;SSF51735	PTHR21089:SF1;PTHR21089	G3DSA:3.40.50.10860;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	cd01065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06823.1	IPR005002	SSF56784	PTHR10466:SF0;PTHR10466	G3DSA:3.30.1240.20;G3DSA:3.40.50.1000	GO:0004615;GO:0005737;GO:0009298	NA	PF03332	NA	NA	NA	NA	cd02585	NA	SFLDF00445;SFLDS00003	KEGG: 00051+5.4.2.8|KEGG: 00520+5.4.2.8|MetaCyc: PWY-5659|MetaCyc: PWY-7456|MetaCyc: PWY-7586|MetaCyc: PWY-882|Reactome: R-HSA-446205	NA	TIGR01484	NA	NA	NA	NA	NA	NA	NA
OTA01989.1	IPR016651	SSF53335	PTHR13600;PTHR13600:SF21	G3DSA:3.40.50.150	GO:0008168;GO:0018423;GO:0032259	NA	PF04072	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-69273	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016305
OTA04194.1	IPR020683	SSF48403	PTHR44294	G3DSA:1.25.40.20	GO:0005515	NA	PF13857	PS50297;PS50088	NA	NA	NA	cd00204	NA	NA	NA	NA	NA	SM00248	NA	NA	NA	NA	NA	NA
OTA07758.1	IPR001214	SSF82199	NA	G3DSA:2.170.270.10	GO:0005515	NA	NA	PS50280	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02084.1	IPR002616	SSF51713	PTHR21148;PTHR21148:SF29	G3DSA:3.20.20.105	GO:0006400;GO:0016763;GO:0008479	NA	PF01702	NA	NA	NA	NA	NA	NA	NA	MetaCyc: PWY-6700|Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	MF_03043	NA	NA
OTA07562.1	IPR002641	SSF52151	PTHR10622:SF4;PTHR10622	G3DSA:3.40.1090.10	GO:0006629	NA	PF01734	PS51635	NA	NA	NA	cd07216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05399.1	IPR001382	SSF48225	PTHR11742;PTHR11742:SF45	G3DSA:1.50.10.10	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PR00747	PF01532	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA03553.1	IPR032465	SSF51556	PTHR21240;PTHR21240:SF18	G3DSA:3.20.20.140	GO:0016831;GO:0016787	NA	PF04909	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07503.1	IPR016267	SSF53448	PTHR43511;PTHR43511:SF4	G3DSA:3.90.550.10;G3DSA:2.160.10.10	GO:0003983;GO:0006011;GO:0070569	NA	PF01704	NA	mobidb-lite	NA	NA	cd00897	Coil	NA	KEGG: 00040+2.7.7.9|KEGG: 00052+2.7.7.9|KEGG: 00500+2.7.7.9|KEGG: 00520+2.7.7.9|KEGG: 00561+2.7.7.9|MetaCyc: PWY-3801|MetaCyc: PWY-6527|MetaCyc: PWY-7238|MetaCyc: PWY-7343|MetaCyc: PWY-7817|Reactome: R-HSA-173599|Reactome: R-HSA-3322077	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000806
OTA02263.1	IPR038261	NA	PTHR12704:SF2;PTHR12704	G3DSA:1.10.3630.10	GO:0070273	NA	PF05719	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07730.1	IPR004147	SSF56112	PTHR43173:SF2;PTHR43173	NA	NA	NA	PF03109	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd13969	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07335.1	IPR006357	SSF56784	PTHR14269;PTHR14269:SF21	G3DSA:3.40.50.1000	NA	NA	PF13242;PF13344	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TIGR01460;TIGR01456	NA	NA	NA	NA	NA	NA	NA
OTA00727.1	IPR001842	SSF55486	PTHR33478	G3DSA:1.10.390.10	GO:0004222;GO:0005615;GO:0008270	NA	PF02128	NA	NA	NA	NA	cd09596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06686.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00691.1	IPR001926	SSF53686	PTHR10314;PTHR10314:SF35	G3DSA:3.40.50.1100	GO:0006535	NA	PF00291	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd01561	NA	NA	NA	PS00901	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99978.1	IPR013785	SSF51011;SSF51445	PTHR11452:SF12;PTHR11452	G3DSA:3.20.20.70;G3DSA:2.60.40.1180	GO:0003824;GO:0004553;GO:0005975	PR00740	PF16499;PF17801	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	cd14792	NA	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	PS00512	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA06074.1	IPR016903	SSF48371	PTHR14428	NA	NA	NA	PF07540;PF03914	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028977
OTA06519.1	IPR011990	SSF48452	PTHR13471	G3DSA:1.25.40.10	GO:0005515	NA	PF08424	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03102.1	IPR006032	SSF50249	PTHR11652;PTHR11652:SF1	G3DSA:2.40.50.140	GO:0003735;GO:0005840;GO:0006412;GO:0015935	PR01034	PF00164	NA	mobidb-lite	NA	NA	cd03368	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	TIGR00981	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA03943.1	IPR027842	NA	PTHR31138;PTHR31138:SF1	NA	NA	NA	PF14613	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04627.1	IPR016130	SSF53474;SSF52799	PTHR10367;PTHR10367:SF6	G3DSA:3.90.190.10;G3DSA:3.40.50.1820	GO:0004725;GO:0016311;GO:0016791;GO:0006470;GO:0008138	NA	PF00782;PF12697	PS50056	mobidb-lite	NA	NA	NA	NA	NA	NA	PS00383	NA	SM00404;SM00195	NA	NA	NA	NA	NA	NA
OTA06912.1	IPR013126	SSF53067	PTHR19375:SF213;PTHR19375	G3DSA:3.30.420.40;G3DSA:3.90.640.10		NA	NA	NA	NA	NA	NA	cd10229	NA	NA	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00350.1	IPR036412	SSF56784	PTHR43316;PTHR43316:SF6	G3DSA:3.40.50.1000;G3DSA:1.10.150.750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04355.1	IPR005349	NA	PTHR12668;PTHR12668:SF15	G3DSA:1.20.58.1140	GO:0016020	NA	PF03647	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03662.1	IPR007219	NA	PTHR31668:SF4;PTHR31668	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	mobidb-lite	NA	NA	cd12148	NA	NA	NA	NA	NA	SM00906	NA	NA	NA	NA	NA	NA
OTA01437.1	IPR036874	SSF53056	PTHR11002;PTHR11002:SF16	G3DSA:3.40.1050.10	GO:0004089;GO:0008270;GO:0015976	NA	PF00484	NA	mobidb-lite	NA	NA	cd00883	Coil	NA	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	PS00704	NA	SM00947	SignalP-TM	NA	NA	NA	NA	NA
OTA03280.1	IPR002472	SSF53474	PTHR11247;PTHR11247:SF8	G3DSA:3.40.50.1820	GO:0098599;GO:0002084;GO:0008474	PR00414	PF02089	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	Reactome: R-HSA-75105	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA07344.1	IPR012334	SSF51126	PTHR31736:SF8;PTHR31736	G3DSA:2.160.20.10	GO:0004650;GO:0005975	NA	PF00295	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA02287.1	IPR009044	SSF54447	PTHR13215	G3DSA:2.30.31.10	GO:0003677;GO:0006355	NA	PF02229	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05523.1	IPR016181	SSF55729	NA	G3DSA:3.40.630.30	NA	NA	PF00583	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08224.1	IPR027417	SSF52540	PTHR36978	G3DSA:3.40.50.300	NA	NA	PF17784	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03715.1	IPR013320	SSF49899	PTHR10963:SF22;PTHR10963	G3DSA:2.60.120.200	GO:0004553;GO:0005975;GO:0005618;GO:0016798;GO:0071555	NA	PF00722	PS51762	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	cd02183	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	PIRSF037299
OTA04770.1	IPR036291	SSF51735;SSF50129	PTHR45348	G3DSA:3.40.50.720;G3DSA:3.90.180.10	GO:0016491;GO:0055114	NA	PF00107;PF08240	NA	NA	NA	NA	cd08249	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA
OTA00791.1	IPR036877	SSF55159	PTHR12789	G3DSA:3.30.780.10	GO:0003743;GO:0006413	NA	PF01253	PS50296	NA	NA	NA	cd11607	Coil	NA	NA	NA	TIGR01159	NA	NA	NA	NA	NA	NA	NA
OTA04569.1	IPR002634	SSF82657	PTHR12735:SF20;PTHR12735	G3DSA:3.30.300.90	NA	NA	PF01722	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00211.1	IPR036188	SSF51905	PTHR42877;PTHR42877:SF9	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00976.1	IPR036291	SSF51735	PTHR43943;PTHR43943:SF5	G3DSA:3.40.50.720	NA	PR00081	PF13561	NA	NA	NA	NA	cd05233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06461.1	IPR001680	SSF50978	PTHR19855;PTHR19855:SF11	G3DSA:2.130.10.10	GO:0005515;GO:0042254	PR00320	PF00400;PF08154	PS50082;PS50294	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-6791226	PS00678	NA	SM00320	NA	NA	NA	MF_03029	NA	NA
OTA00816.1	IPR001268	SSF143243	PTHR10884;PTHR10884:SF10	G3DSA:3.30.460.80	GO:0008137;GO:0055114;GO:0016651	NA	PF00329	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PS00542	TIGR01961	NA	NA	NA	NA	MF_01357	PD001581	NA
OTA06109.1	IPR010357	SSF52833	PTHR12452;PTHR12452:SF0	G3DSA:3.40.30.10	NA	NA	PF06110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06567.1	IPR029068	SSF54593	NA	G3DSA:3.10.180.10	NA	NA	PF00903	PS51819	NA	NA	NA	cd06587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01374.1	NA	NA	PTHR34992:SF4;PTHR34992	NA	NA	NA	NA	PS51257	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA01403.1	IPR001209	NA	PTHR12010:SF2;PTHR12010	G3DSA:4.10.830.10	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0008270;GO:0003723;GO:0015935	NA	PF00253	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS00527	NA	NA	NA	NA	NA	MF_01364_A	NA	NA
OTA08395.1	IPR027417	SSF52540	PTHR23077:SF91;PTHR23077	G3DSA:3.40.50.300	GO:0005524	NA	PF00004	NA	mobidb-lite	NA	NA	cd00009	Coil	NA	NA	NA	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA02284.1	IPR014782	SSF55486;SSF63737;SSF48371	PTHR11533;PTHR11533:SF174	G3DSA:1.10.1740.60;G3DSA:2.60.40.1730;G3DSA:1.25.40.320;G3DSA:1.10.390.10	GO:0008237;GO:0008270;GO:0006508	PR00756	PF17900;PF09127;PF01433	NA	NA	NA	NA	cd09599	NA	NA	Reactome: R-HSA-2142691|Reactome: R-HSA-6798695|Reactome: R-HSA-9018676|Reactome: R-HSA-9018681|Reactome: R-HSA-9018896|Reactome: R-HSA-9020265|Reactome: R-HSA-9023661	NA	TIGR02411	SM01263	SignalP-TM	NA	NA	NA	NA	NA
OTA04456.1	IPR036188	SSF51905	PTHR42863:SF9;PTHR42863	G3DSA:3.50.50.60	GO:0016491;GO:0055114;GO:0004791;GO:0005737;GO:0019430	PR00469;PR00368	PF07992	NA	NA	NA	NA	NA	NA	NA	KEGG: 00450+1.8.1.9	PS00573	TIGR01292	NA	NA	NA	NA	NA	NA	NA
OTA00017.1	IPR002125	SSF53927	PTHR44192;PTHR44192:SF2	G3DSA:3.40.140.10	GO:0003824	NA	PF00383	PS51747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07067.1	IPR008947	SSF48537	PTHR33146:SF5;PTHR33146	G3DSA:1.10.575.10	GO:0016788;GO:0003676;GO:0004519;GO:0006308	NA	PF02265	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	cd11010	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
OSZ99896.1	IPR036291	SSF51735	PTHR43348;PTHR43348:SF2	G3DSA:3.40.50.720	GO:0016491	PR00081;PR00080	PF13561	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA
OTA06371.1	IPR003959	SSF52540	PTHR23077;PTHR23077:SF91	G3DSA:3.40.50.300	GO:0005524	NA	PF00004	NA	mobidb-lite	NA	NA	cd00009	NA	NA	NA	NA	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA06239.1	IPR017927	SSF52343;SSF63380	PTHR19370;PTHR19370:SF171	G3DSA:2.40.30.10	GO:0016491;GO:0055114	NA	PF00970	PS51384	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	Reactome: R-HSA-1237044	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04507.1	IPR001736	SSF56024	PTHR18896:SF74;PTHR18896	G3DSA:3.30.870.10	GO:0003824;GO:0004630;GO:0006654;GO:0048017	NA	PF00614	PS50035	mobidb-lite	NA	NA	cd09141;cd09138	Coil	NA	Reactome: R-HSA-1483148	NA	NA	SM00155	NA	NA	NA	NA	NA	PIRSF009376
OTA03771.1	IPR016024	SSF48371	PTHR18460	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF005250
OTA03922.1	IPR003378	NA	PTHR10811:SF24;PTHR10811	G3DSA:3.90.550.50	GO:0016020;GO:0016757	NA	PF02434	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08288.1	IPR037176	NA	PTHR38165	G3DSA:2.60.110.10;G3DSA:3.30.920.50		NA	PF16483	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	KEGG: 00500+3.2.1.39	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA08773.1	IPR036612	SSF54791	PTHR10288;PTHR10288:SF222	G3DSA:3.30.1370.10	GO:0003723;GO:0003676	NA	PF00013	PS50084	mobidb-lite	NA	NA	cd00105;cd02396	NA	NA	NA	NA	NA	SM00322	NA	NA	NA	NA	NA	NA
OTA00022.1	IPR001155	SSF51395	PTHR43303	G3DSA:3.20.20.70	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	PF00724	NA	NA	NA	NA	cd02932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08835.1	IPR030381	SSF52540	PTHR11566:SF21;PTHR11566	G3DSA:1.20.120.1240;G3DSA:3.40.50.300	GO:0005525;GO:0003924	PR00195	PF02212;PF00350;PF01031	PS51718;PS51388	mobidb-lite	NA	NA	cd08771	Coil	NA	NA	PS00410	NA	SM00302;SM00053	NA	NA	NA	NA	NA	NA
OTA07746.1	IPR002347	SSF51735	PTHR24320;PTHR24320:SF92	G3DSA:3.40.50.720	NA	PR00081;PR00080	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07585.1	IPR002673	NA	PTHR12884:SF0;PTHR12884	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	PF01779	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	PD010314	NA
OTA06216.1	IPR012098	NA	PTHR28112	NA	GO:0005783;GO:0045047	NA	PF10032	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF008756
OTA07890.1	IPR000560	SSF53254	PTHR11567;PTHR11567:SF123	G3DSA:3.40.50.1240	NA	NA	PF00328	NA	mobidb-lite	NA	NA	cd07061	NA	NA	NA	PS00616	NA	NA	NA	NA	NA	NA	NA	NA
OTA02372.1	IPR000403	NA	PTHR12865;PTHR12865:SF1	NA	GO:0004430;GO:0016301	NA	PF00454	NA	mobidb-lite	NA	NA	NA	NA	NA	KEGG: 00562+2.7.1.67|KEGG: 04070+2.7.1.67|MetaCyc: PWY-6351|MetaCyc: PWY-6352|Reactome: R-HSA-1660499|Reactome: R-HSA-1660514|Reactome: R-HSA-1660516	PS00916	NA	NA	NA	NA	NA	NA	NA	NA
OTA07727.1	NA	NA	PTHR35043:SF6;PTHR35043	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04076.1	IPR013087	SSF57667	PTHR24377;PTHR24377:SF248	G3DSA:3.30.160.60	GO:0003676	NA	PF00096	PS50157	mobidb-lite	NA	NA	NA	NA	NA	NA	PS00028	NA	SM00355	NA	NA	NA	NA	NA	NA
OTA05606.1	IPR002893	SSF144232	NA	G3DSA:3.30.60.180	NA	NA	PF01753	PS50865	mobidb-lite	NA	NA	NA	NA	NA	NA	PS01360	NA	NA	NA	NA	NA	NA	NA	NA
OTA03535.1	IPR000504	SSF54928	PTHR23003;PTHR23003:SF3	G3DSA:3.30.70.330	GO:0003676	NA	PF00076	PS50102	mobidb-lite	NA	NA	cd12387	NA	NA	NA	NA	NA	SM00360	NA	NA	NA	NA	NA	NA
OTA02951.1	IPR001381	SSF51569	PTHR43783:SF1;PTHR43783	G3DSA:3.20.20.70	GO:0003855;GO:0003824	NA	PF01487	NA	mobidb-lite	NA	NA	cd00502	NA	NA	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	NA	TIGR01093	NA	NA	NA	NA	NA	NA	NA
OTA04759.1	IPR036514	SSF52266	PTHR37981	G3DSA:3.40.50.1110	GO:0016788	NA	PF13472	NA	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	cd01823	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA03954.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08327.1	IPR026590	SSF52467	PTHR11085;PTHR11085:SF15	G3DSA:3.40.50.1220;G3DSA:3.30.1600.10	GO:0070403	NA	PF02146	PS50305	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00546.1	IPR002347	SSF51735	PTHR43008;PTHR43008:SF4	G3DSA:3.40.50.720	GO:0016491	PR00081	PF00106;PF13561	NA	NA	NA	NA	NA	NA	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA
OTA08656.1	IPR010285	SSF52540	PTHR23274;PTHR23274:SF16	G3DSA:3.40.50.300	GO:0000723;GO:0003678;GO:0006281;GO:0004386;GO:0005524	NA	PF05970;PF02689	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06354.1	IPR029063	SSF53335	PTHR11579:SF0;PTHR11579	G3DSA:3.40.50.150	GO:0004719;GO:0006464	NA	PF01135	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08645.1	IPR001810	NA	NA	NA	GO:0005515	NA	PF12937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08586.1	IPR002889	SSF50998	PTHR43662:SF3;PTHR43662	NA	NA	NA	PF01822	PS51212	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	SM00321;SM00564	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
