Gene	MobiDBLite	interpro	GO	SUPERFAMILY	PATHWAY	CDD	SMART	PANTHER	Pfam	Phobius	Gene3D	TMHMM	SignalP_GRAM_NEGATIVE	Coils	PIRSF	PRINTS	ProSiteProfiles	ProSitePatterns	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_POSITIVE	ProDom	SFLD
augustus_masked-NIGD01000004.1-processed-gene-59.15-mRNA-1	mobidb-lite	IPR027094	GO:0003924;GO:0005525	SSF52540	Reactome: R-HSA-5205685|Reactome: R-HSA-983231	NA	NA	PTHR10465;PTHR10465:SF0	PF00350	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	PS51718	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-23.29-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000002.1-augustus-gene-1.8-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-26.26-mRNA-1	mobidb-lite	IPR007320	GO:0005737	NA	NA	NA	NA	PTHR12298;PTHR12298:SF18	PF04194	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-13.6-mRNA-1	NA	IPR001564	GO:0004550;GO:0006165;GO:0006183;GO:0006228;GO:0006241	SSF54919	KEGG: 00230+2.7.4.6|KEGG: 00240+2.7.4.6|KEGG: 00983+2.7.4.6|MetaCyc: PWY-6545|MetaCyc: PWY-7176|MetaCyc: PWY-7184|MetaCyc: PWY-7187|MetaCyc: PWY-7197|MetaCyc: PWY-7198|MetaCyc: PWY-7205|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7221|MetaCyc: PWY-7222|MetaCyc: PWY-7224|MetaCyc: PWY-7226|MetaCyc: PWY-7227	cd04413	SM00562	PTHR11349:SF32;PTHR11349	PF00334	NA	G3DSA:3.30.70.141	NA	NA	Coil	NA	PR01243	NA	PS00469	MF_00451	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-23.26-mRNA-1	mobidb-lite	IPR021154	GO:0001522;GO:0031429;GO:0042254	SSF50447	Reactome: R-HSA-6790901	NA	NA	PTHR23237;PTHR23237:SF6	PF04410	NA	G3DSA:2.40.10.230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD020235	NA
maker-NIGD01000001.1-augustus-gene-39.12-mRNA-1	NA	IPR017665	GO:0004385;GO:0006163	SSF52540	KEGG: 00230+2.7.4.8|MetaCyc: PWY-7221|Reactome: R-HSA-2161541|Reactome: R-HSA-499943	cd00071	SM00072	PTHR23117	PF00625	NA	G3DSA:3.30.63.10;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	PS50052	PS00856	MF_00328	TIGR03263	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-10.2-mRNA-1	mobidb-lite	IPR010347	GO:0005634;GO:0006281;GO:0008081	SSF56024	Reactome: R-HSA-5693571	cd09122	NA	PTHR12415;PTHR12415:SF2	PF06087	NA	G3DSA:3.30.870.10;G3DSA:3.30.870.20	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-19.32-mRNA-1	NA	IPR033248	GO:0004802;GO:0003824	SSF52922;SSF52518	KEGG: 00030+2.2.1.1|KEGG: 00710+2.2.1.1|MetaCyc: PWY-1861|MetaCyc: PWY-5723|MetaCyc: PWY-6901	cd02012;cd07033	SM00861	PTHR43522;PTHR43522:SF2	PF02780;PF02779;PF00456	NA	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	NA	NA	NA	NA	NA	PS00802;PS00801	NA	TIGR00232	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-4.3-mRNA-1	mobidb-lite	IPR036898	GO:0003899;GO:0006351	NA	NA	NA	NA	PTHR12709:SF5;PTHR12709	PF17875	NA	G3DSA:3.30.1490.120;G3DSA:2.40.50.1060	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-75.15-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-35.10-mRNA-1	mobidb-lite	IPR025040	NA	NA	NA	NA	NA	NA	PF13136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-10.4-mRNA-1	mobidb-lite	IPR006677	GO:0000213;GO:0006388;GO:0003676;GO:0004518	SSF53032	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	NA	NA	PTHR21227	PF01974	NA	G3DSA:3.40.1350.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000006.1-processed-gene-6.7-mRNA-1	mobidb-lite	IPR014009	GO:0005515;GO:0004674;GO:0016301	SSF56112	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	cd05171	SM00146;SM01342;SM01343	PTHR11139;PTHR11139:SF72	PF00454;PF02259;PF11640;PF02260	NA	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10	NA	NA	Coil	NA	NA	PS51189;PS50290;PS51190	PS00915;PS00916	NA	NA	NA	NA	NA	NA
maker-NIGD01000002.1-augustus-gene-1.5-mRNA-1	mobidb-lite	IPR037624	GO:0017056;GO:0005515	SSF117289	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	PTHR13405	PF08801;PF03177	NA	G3DSA:2.130.10.10;G3DSA:1.25.40.700	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-66.4-mRNA-1	mobidb-lite	IPR006571	NA	NA	NA	NA	SM00584	PTHR23354:SF94;PTHR23354	PF07534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-53.3-mRNA-1	NA	IPR017141	GO:0004181;GO:0016787;GO:0006508;GO:0008237	SSF53187	NA	cd05674	NA	PTHR11014;PTHR11014:SF16	PF01546;PF07687	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.630.10	NA	SignalP-noTM	NA	PIRSF037217	NA	NA	PS00758	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-0.24-mRNA-1	mobidb-lite	IPR001680	GO:0005515	SSF50978	NA	NA	SM00320	PTHR22847	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-11.4-mRNA-1	mobidb-lite	IPR002889	NA	NA	NA	NA	SM00321	PTHR43662;PTHR43662:SF3	PF09362;PF01822	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	PS51212	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-26.15-mRNA-1	NA	IPR013785	GO:0003824;GO:0018580;GO:0055114	SSF51412	NA	NA	NA	PTHR32332:SF28;PTHR32332	PF03060	NA	G3DSA:3.20.20.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000004.1-processed-gene-24.10-mRNA-1	mobidb-lite	IPR036871	GO:0035091	SSF64268	NA	cd06869	NA	PTHR11632:SF5;PTHR11632	PF12825;PF12828;PF00787	NA	G3DSA:3.30.1520.10	NA	NA	Coil	NA	NA	PS50195	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000008.1-processed-gene-8.9-mRNA-1	NA	IPR002938	GO:0071949	SSF51905	NA	NA	NA	PTHR13789;PTHR13789:SF251	PF01494	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.50.50.60	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-3.18-mRNA-1	mobidb-lite	IPR000352	GO:0003747;GO:0006415	SSF75620	NA	NA	SM00937	PTHR43804;PTHR43804:SF7	PF00472;PF03462	NA	G3DSA:3.30.160.20;G3DSA:3.30.70.1660	NA	NA	NA	NA	NA	NA	PS00745	NA	NA	NA	SignalP-TM	NA	NA
maker-NIGD01000001.1-augustus-gene-14.11-mRNA-1	mobidb-lite	IPR024336		NA	Reactome: R-HSA-6784531	NA	NA	PTHR21027	PF12928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-9.2-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000010.1-augustus-gene-2.29-mRNA-1	NA	IPR038765	GO:0004198;GO:0005622;GO:0006508	SSF54001	Reactome: R-HSA-1474228	NA	NA	PTHR10183;PTHR10183:SF294	PF00648	NA	NA	NA	NA	NA	NA	PR00704	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-1.18-mRNA-1	mobidb-lite	IPR012535	NA	NA	NA	NA	NA	PTHR34065;PTHR34065:SF1	PF08045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000006.1-augustus-gene-8.64-mRNA-1	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	PTHR31313	PF04082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000002.1-processed-gene-7.20-mRNA-1	mobidb-lite	IPR017476	GO:0016616;GO:0055114;GO:0051287;GO:0000271;GO:0016628	SSF52413;SSF51735;SSF48179	Reactome: R-HSA-173599	NA	NA	PTHR43491:SF2;PTHR43491	PF00984;PF03721	NA	G3DSA:3.40.50.720	NA	NA	NA	PIRSF000124;PIRSF500136	NA	NA	NA	NA	TIGR03026	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-7.17-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-34.37-mRNA-1	mobidb-lite	IPR019560	NA	NA	NA	NA	NA	PTHR11001	PF10558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-2.18-mRNA-1	mobidb-lite	IPR013233	GO:0005789;GO:0006506	NA	Reactome: R-HSA-162710	NA	SM00780	PTHR28533	PF08320	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-68.1-mRNA-1	mobidb-lite	IPR021822	NA	NA	NA	NA	NA	PTHR36205;PTHR36205:SF3	PF11885	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-20.15-mRNA-1	mobidb-lite	IPR014729		SSF55298;SSF52402	Reactome: R-HSA-8849175	cd06155	NA	PTHR12196	PF01902;PF01042	NA	G3DSA:3.40.50.620;G3DSA:3.30.1330.40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-43.16-mRNA-1	mobidb-lite	IPR008427	NA	NA	NA	NA	SM00747	NA	PF05730	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	TMhelix	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-NIGD01000001.1-augustus-gene-74.21-mRNA-1	mobidb-lite	IPR036910	NA	SSF47095	NA	cd00084	SM00398	NA	PF00505	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	G3DSA:1.10.30.10	NA	NA	Coil	NA	NA	PS50118	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-NIGD01000011.1-augustus-gene-7.3-mRNA-1	mobidb-lite	IPR006594	GO:0005515	SSF57850	NA	cd16652	SM00757;SM00184	PTHR12170:SF3;PTHR12170	PF10607;PF13445	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.30.40.10	NA	NA	NA	NA	NA	PS50896;PS50897	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-21.0-mRNA-1	mobidb-lite	IPR029044	NA	SSF53448	NA	cd04652	NA	PTHR22572:SF93;PTHR22572	NA	NA	G3DSA:3.90.550.10;G3DSA:2.160.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-17.5-mRNA-1	NA	IPR007274	GO:0005375;GO:0016021;GO:0035434	NA	NA	NA	NA	PTHR12483;PTHR12483:SF51	PF04145	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-25.12-mRNA-1	NA	IPR015720	NA	SSF101576	NA	NA	SM01190	PTHR22811;PTHR22811:SF46	PF01105	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SignalP-noTM	NA	NA	NA	PS50866	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-4.8-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-17.42-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000002.1-processed-gene-2.23-mRNA-1	mobidb-lite	IPR031463	GO:0042407;GO:0044284;GO:0061617	NA	NA	NA	NA	NA	PF17050	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-78.25-mRNA-1	mobidb-lite	IPR013085	GO:0008270;GO:0003676;GO:0005634;GO:0000387;GO:0000398;GO:0005685	SSF57667	Reactome: R-HSA-72163	NA	SM00451	PTHR31148	PF06220	NA	G3DSA:3.30.160.60	NA	NA	NA	PIRSF037969	NA	PS50171	NA	MF_03153	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-25.4-mRNA-1	NA	IPR018108	GO:0022857	SSF103506	NA	NA	NA	PTHR24089:SF651;PTHR24089	PF00153	NA	G3DSA:1.50.40.10	NA	NA	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-13.4-mRNA-1	mobidb-lite	IPR001680	GO:0005515	SSF50978	NA	cd00200	SM00320	PTHR19923	PF00400	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	PR00320	PS50082;PS50294	PS00678	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-55.9-mRNA-1	NA	IPR029058	NA	SSF53474	NA	NA	NA	PTHR43248	PF00561	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000010.1-augustus-gene-10.19-mRNA-1	NA	IPR002889	NA	NA	NA	NA	NA	NA	PF01822	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	PS51212	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-1.36-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-14.3-mRNA-1	mobidb-lite	IPR011431	NA	NA	NA	NA	NA	PTHR28199	PF07543	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-70.13-mRNA-1	mobidb-lite	IPR017907	NA	SSF57850	NA	cd16536	SM00184	PTHR12983	PF13445	NA	G3DSA:3.30.40.10	NA	NA	Coil	NA	NA	PS50089	PS00518	NA	NA	NA	SignalP-TM	NA	NA
maker-NIGD01000011.1-augustus-gene-22.35-mRNA-1	NA	IPR012676	GO:0005525	SSF81271;SSF52540	KEGG: 00970+6.1.1.3	cd01896;cd01666	NA	PTHR43127;PTHR43127:SF2	PF01926;PF16897;PF02824	NA	G3DSA:3.10.20.30;G3DSA:3.40.50.300	NA	NA	Coil	NA	PR00326	PS51710	PS00905	NA	TIGR00231	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-38.39-mRNA-1	NA	IPR015889	GO:0005506;GO:0016702;GO:0055114;GO:0003824;GO:0006725;GO:0008199;GO:0009712;GO:0018576	SSF49482	NA	NA	NA	PTHR33711:SF4;PTHR33711	PF00775;PF04444	NA	G3DSA:2.60.130.10	NA	NA	NA	NA	NA	NA	PS00083	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-24.25-mRNA-1	mobidb-lite	IPR004179	NA	SSF158702	NA	NA	SM00973	NA	PF02889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-32.29-mRNA-1	NA	IPR007248	GO:0016021	NA	NA	NA	NA	PTHR11266:SF50;PTHR11266	PF04117	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-0.22-mRNA-1	NA	IPR008972	NA	SSF49503	NA	cd00920	NA	PTHR34883;PTHR34883:SF3	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:2.60.40.420	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-1.11-mRNA-1	NA	IPR005645	NA	SSF53474	NA	NA	NA	PTHR22778;PTHR22778:SF17	PF03959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000010.1-processed-gene-19.7-mRNA-1	mobidb-lite	IPR000146	GO:0005975;GO:0016791	SSF56655	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	NA	NA	PTHR11556;PTHR11556:SF2	PF00316	NA	G3DSA:3.40.190.80	NA	NA	NA	NA	PR01958	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-2.21-mRNA-1	NA	IPR000873	GO:0003824	SSF56801	NA	cd05911	NA	PTHR24096	PF00501;PF13193	NA	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	NA	NA	NA	NA	NA	PS00455	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-4.9-mRNA-1	mobidb-lite	IPR022024	NA	NA	NA	NA	NA	NA	PF12223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-10.15-mRNA-1	NA	IPR023214	GO:0000287;GO:0019509;GO:0043874	SSF56784	KEGG: 00270+3.1.3.77|Reactome: R-HSA-1237112	cd01629	NA	PTHR20371	NA	NA	G3DSA:3.40.50.1000;G3DSA:1.10.720.60	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01691	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-34.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR38850	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-24.5-mRNA-1	NA	IPR006139	GO:0016616;GO:0051287;GO:0055114;GO:0008863	SSF52283;SSF51735	KEGG: 00630+1.17.1.9|KEGG: 00680+1.17.1.9|MetaCyc: PWY-1881|MetaCyc: PWY-5497|MetaCyc: PWY-6696|MetaCyc: PWY-7985	cd05302	NA	PTHR42938:SF9;PTHR42938	PF00389;PF02826	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	PS00670;PS00065;PS00671	MF_03210	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-22.3-mRNA-1	mobidb-lite	IPR021133	GO:0006661;GO:0070772	SSF48371	Reactome: R-HSA-1660514|Reactome: R-HSA-1660516|Reactome: R-HSA-1660517	NA	NA	PTHR16023	PF12755;PF11916	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	PS50077	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000012.1-processed-gene-2.13-mRNA-1	mobidb-lite	IPR013763	NA	SSF47954	NA	cd00043	SM00385	PTHR10026:SF51;PTHR10026	PF00134	NA	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-20.23-mRNA-1	mobidb-lite	IPR033379	NA	SSF53254	NA	cd07061	NA	PTHR20963:SF15;PTHR20963	PF00328	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1240	TMhelix	NA	NA	NA	NA	NA	PS00778;PS00616	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-13.17-mRNA-1	mobidb-lite	IPR018816	GO:0005515	NA	NA	NA	SM01050	PTHR21737:SF4;PTHR21737	PF10312;PF09732	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000002.1-augustus-gene-7.6-mRNA-1	mobidb-lite	IPR001650	GO:0003676;GO:0005524	SSF52540	NA	cd00079	SM00490;SM00487	PTHR24031;PTHR24031:SF91	PF00271;PF00270	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	PS51195;PS51194;PS51192	PS00039	NA	NA	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-1.29-mRNA-1	mobidb-lite	IPR039892	NA	NA	NA	NA	SM00555	PTHR21601	PF08518	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-27.8-mRNA-1	NA	IPR004276	GO:0005975;GO:0016758;GO:0030259	SSF53756	KEGG: 00550+2.4.1.227|MetaCyc: PWY-5265|MetaCyc: PWY-6385|MetaCyc: PWY-6470|MetaCyc: PWY-6471	cd03784	NA	PTHR11926;PTHR11926:SF704	PF03033	NA	G3DSA:3.40.50.2000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-32.19-mRNA-1	mobidb-lite	IPR011009	NA	SSF56112	NA	NA	NA	NA	NA	NA	G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000006.1-augustus-gene-0.26-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
