Gene	Phobius	PANTHER	interpro	GO	ProSiteProfiles	TMHMM	SUPERFAMILY	SMART	Gene3D	Pfam	PATHWAY	MobiDBLite	Coils	ProSitePatterns	PRINTS	TIGRFAM	CDD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	Hamap	SFLD	ProDom
RFU75750.1	NA	PTHR13789;PTHR13789:SF251	IPR036188	GO:0071949	NA	NA	SSF51905	NA	G3DSA:3.50.50.60	PF01494	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74792.1	NA	PTHR13186	IPR038089	GO:0003712;GO:0006355;GO:0016592	NA	NA	NA	NA	G3DSA:1.10.10.1340	PF05669	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75346.1	NA	PTHR43639;PTHR43639:SF2	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF13561	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77542.1	NA	NA	IPR027417	NA	NA	NA	SSF52540	SM00487	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd00046	NA	NA	NA	NA	NA	NA	NA
RFU75659.1	NA	PTHR11440;PTHR11440:SF35	IPR029058	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77934.1	NA	PTHR10640	IPR036409	GO:0005737;GO:0019509;GO:0046872	NA	NA	SSF53639	SM01007	G3DSA:3.40.225.10	PF00596	KEGG: 00270+4.2.1.109|MetaCyc: PWY-4361|Reactome: R-HSA-1237112	NA	NA	NA	NA	TIGR03328	NA	NA	NA	NA	NA	MF_03116	NA	NA
RFU77864.1	NA	PTHR28262	IPR013251	GO:0005876;GO:0008608;GO:0042729	NA	NA	NA	NA	NA	PF08287	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71867.1	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.160.60	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76701.1	NA	PTHR11994;PTHR11994:SF4	IPR031309	GO:0003735;GO:0005840;GO:0006412	NA	NA	SSF55282	NA	G3DSA:3.30.1440.10	PF00673;PF00281	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78014.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75740.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82192.1	NA	PTHR11559;PTHR11559:SF356	IPR019826	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00135	NA	NA	NA	PS00122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81809.1	NA	PTHR44020;PTHR44020:SF2	IPR015940	GO:0005515	PS50030;PS50127	NA	SSF46934;SSF54495	SM00212	G3DSA:3.10.110.10	PF00179	Reactome: R-HSA-983168	NA	NA	PS00183	NA	NA	cd00195	NA	NA	NA	NA	NA	NA	NA
RFU75054.1	NA	PTHR22893:SF90;PTHR22893	IPR001155	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	NA	SSF51395	NA	G3DSA:3.20.20.70	PF00724	NA	NA	NA	NA	NA	NA	cd02933	NA	NA	NA	NA	NA	NA	NA
RFU80804.1	NA	PTHR38248	NA	NA	NA	NA	NA	NA	NA	PF17667	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81081.1	NA	PTHR13173	IPR013085	GO:0008270;GO:0003676;GO:0000398	NA	NA	SSF57667	SM00451	NA	PF06220	Reactome: R-HSA-72163	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74677.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75895.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78754.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81819.1	NA	NA	IPR001031	GO:0009058;GO:0016788	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00975	Reactome: R-HSA-75105	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72754.1	NA	PTHR15606:SF3;PTHR15606	IPR022226	NA	NA	NA	NA	NA	NA	PF12572	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76209.1	NA	NA	IPR011008	NA	NA	NA	SSF54909	NA	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74768.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74498.1	NA	PTHR32332;PTHR32332:SF28	IPR013785	GO:0003824;GO:0018580;GO:0055114	NA	NA	SSF51412	NA	G3DSA:3.20.20.70	PF03060	NA	NA	NA	NA	NA	NA	cd04730	NA	NA	NA	NA	NA	NA	NA
RFU81698.1	NA	PTHR36512	IPR005321		NA	NA	SSF56266	NA	G3DSA:3.60.70.12	PF03576	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	Coil	NA	NA	NA	cd02253	NA	NA	NA	NA	NA	NA	NA
RFU81279.1	NA	PTHR42977	IPR000073	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75020.1	NA	PTHR31944:SF48;PTHR31944	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA
RFU81716.1	NA	PTHR43147;PTHR43147:SF1	IPR023210	NA	NA	NA	SSF51430	NA	G3DSA:3.20.20.100	PF00248	NA	NA	NA	NA	NA	NA	cd06660	NA	NA	NA	NA	NA	NA	NA
RFU81588.1	NA	NA	IPR027370	NA	PS50089	NA	SSF57850	NA	G3DSA:3.30.40.10	PF13445	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81950.1	NA	PTHR22642	IPR011059	GO:0016810	NA	NA	SSF51556;SSF51338	NA	G3DSA:3.10.310.70;G3DSA:2.30.40.10;G3DSA:3.20.20.140	PF07969	NA	NA	NA	NA	NA	NA	cd01300	NA	NA	NA	NA	NA	NA	NA
RFU73165.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79015.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75361.1	NA	PTHR23061	IPR013627	GO:0003677;GO:0003887;GO:0006260	NA	NA	NA	NA	G3DSA:3.60.21.60	PF08418;PF04042	Reactome: R-HSA-113501|Reactome: R-HSA-174411|Reactome: R-HSA-174430|Reactome: R-HSA-68952|Reactome: R-HSA-68962|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	mobidb-lite	NA	NA	NA	NA	NA	PIRSF018300	NA	NA	NA	NA	NA	NA
RFU73394.1	NA	PTHR12225	IPR038108	GO:0005634;GO:0005737	NA	NA	NA	NA	G3DSA:3.40.190.140;G3DSA:2.30.29.70	PF04683	Reactome: R-HSA-5689603|Reactome: R-HSA-5689880	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81846.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79074.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75554.1	NA	NA	IPR002156	GO:0003676;GO:0004523	PS50879	NA	SSF53098	NA	G3DSA:3.30.420.10	PF00075	NA	NA	NA	NA	NA	NA	cd09276	NA	NA	NA	NA	NA	NA	NA
RFU79352.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75861.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79472.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73549.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72665.1	NA	PTHR12542:SF7;PTHR12542	IPR004140	GO:0000145;GO:0006887	NA	NA	SSF74788	NA	G3DSA:1.20.1280.170	PF03081	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73754.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72660.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75007.1	NA	PTHR11259:SF2;PTHR11259	IPR039400	GO:0005525	NA	NA	SSF52540	NA	G3DSA:3.30.450.190;G3DSA:3.40.50.300	PF04670	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	cd11385	NA	NA	NA	NA	NA	NA	NA
RFU78436.1	NA	NA	IPR037401	NA	NA	NA	SSF54427	NA	G3DSA:3.10.450.50	PF13577	NA	NA	NA	NA	NA	NA	cd00531	NA	NA	NA	NA	NA	NA	NA
RFU78484.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR28254	IPR019182	NA	NA	TMhelix	NA	NA	NA	PF09796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72028.1	NA	PTHR12042;PTHR12042:SF30	IPR029044	NA	NA	NA	SSF53448	NA	NA	PF05704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78333.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76564.1	NA	PTHR13021	IPR029012	GO:0000350	NA	NA	SSF140102	NA	G3DSA:1.10.287.660	PF06246	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81282.1	NA	PTHR43053;PTHR43053:SF2	IPR013780	GO:0003824;GO:0005975;GO:0030246;GO:0004553	NA	NA	SSF51011;SSF74650;SSF51445	NA	G3DSA:2.60.40.1180;G3DSA:2.60.40.1760;G3DSA:3.20.20.80	PF01055;PF13802	NA	NA	NA	NA	NA	NA	cd14752;cd06593	NA	NA	NA	NA	NA	NA	NA
RFU73921.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72474.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR28048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73282.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81734.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77578.1	NA	PTHR13295	IPR036812	GO:0006750;GO:0035226	NA	NA	SSF51430	NA	G3DSA:3.20.20.100	PF00248	Reactome: R-HSA-174403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78214.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77257.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79172.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74092.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77470.1	NA	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SSF57701	SM00066	G3DSA:4.10.240.10	NA	NA	mobidb-lite	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA
RFU72913.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR11742:SF29;PTHR11742	IPR036026	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	NA	SSF48225	NA	G3DSA:1.50.10.10	PF01532	NA	NA	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79636.1	NA	PTHR40260	IPR011008	NA	NA	NA	SSF54909	NA	G3DSA:3.30.70.100	NA	NA	NA	NA	NA	NA	TIGR02118	NA	NA	NA	NA	NA	NA	NA	NA
RFU80631.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72907.1	NA	PTHR11365:SF2;PTHR11365	IPR008040	GO:0016787;GO:0003824	NA	NA	NA	NA	NA	PF05378;PF01968;PF02538	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78751.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81001.1	NA	PTHR43329;PTHR43329:SF12	IPR029058	NA	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74713.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74780.1	NA	PTHR11127	IPR014722	GO:0003723;GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	SSF50104	NA	G3DSA:2.30.30.30	PF01929	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	cd06088	NA	NA	NA	NA	NA	NA	NA
RFU74949.1	NA	PTHR36206	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72203.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81822.1	NA	PTHR21000;PTHR21000:SF5	IPR004404	GO:0004160;GO:0009082;GO:0003824	NA	NA	SSF52016;SSF143975	NA	G3DSA:3.50.30.80	PF00920	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	NA	NA	PS00886;PS00887	NA	TIGR00110	NA	NA	NA	NA	NA	MF_00012	NA	NA
RFU71801.1	NA	NA	IPR013087	GO:0003676	PS50157	NA	NA	SM00355	G3DSA:3.30.160.60	NA	NA	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72359.1	NA	PTHR33643	IPR002669	GO:0006807;GO:0016151	NA	NA	NA	NA	NA	PF01774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_01384	NA	NA
RFU75730.1	NA	PTHR11239:SF1;PTHR11239	IPR001529	GO:0006351	NA	NA	SSF57783	SM00661	G3DSA:2.20.25.10	PF02150	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77779.1	NA	PTHR28040	IPR011576	GO:0048037	NA	NA	SSF50475	NA	G3DSA:2.30.110.10	PF01243	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78929.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
RFU79203.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU81022.1	NA	NA	IPR001810	GO:0005515	PS50181	NA	SSF81383	SM00256	G3DSA:1.20.1280.50	PF12937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81566.1	NA	NA	IPR037401	NA	NA	NA	SSF54427	NA	G3DSA:3.10.450.50	PF13577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72761.1	NA	PTHR11271;PTHR11271:SF37	IPR011059	GO:0016810	NA	NA	SSF51338	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74541.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73831.1	NA	PTHR42909	IPR022830	GO:0016798	NA	NA	SSF110581;SSF53613	NA	G3DSA:3.40.1790.10	PF00294;PF04227	KEGG: 00240+4.2.1.70|MetaCyc: PWY-6019	mobidb-lite	NA	NA	NA	NA	cd01941	NA	NA	NA	NA	NA	NA	NA
RFU81737.1	NA	NA	IPR032675	NA	NA	NA	SSF52047	NA	G3DSA:3.80.10.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78117.1	NA	PTHR42791:SF2;PTHR42791	IPR016181	NA	PS51186	NA	SSF55729	NA	G3DSA:3.40.630.30	PF13673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78223.1	NA	PTHR21327:SF18;PTHR21327	IPR017945	GO:0008686;GO:0009231	NA	NA	SSF55821	NA	G3DSA:3.90.870.10	PF00926	KEGG: 00740+4.1.99.12|MetaCyc: PWY-6167|MetaCyc: PWY-6168	NA	NA	NA	NA	TIGR00506	NA	NA	NA	NA	NA	NA	NA	NA
RFU75735.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU81690.1	NA	PTHR13009:SF8;PTHR13009	IPR036338	GO:0001671;GO:0051087;GO:0051879	NA	NA	SSF55961;SSF103111	SM01000	G3DSA:3.15.10.20;G3DSA:3.30.530.20	PF09229;PF08327	NA	mobidb-lite	NA	NA	NA	NA	cd08892	NA	NA	NA	NA	NA	NA	NA
RFU74210.1	NA	PTHR23310	IPR000582	GO:0000062	PS51228	NA	SSF47027	NA	G3DSA:1.20.80.10	PF00887	NA	NA	NA	NA	PR00689	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79511.1	NA	PTHR42100	IPR034444	GO:0005739;GO:0055114	NA	NA	NA	NA	NA	NA	KEGG: 00190+1.6.99.3	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80229.1	NA	PTHR11134:SF1;PTHR11134	IPR016024	GO:0016192;GO:0030123;GO:0006886;GO:0030117	NA	NA	SSF48371	NA	NA	PF01602	NA	mobidb-lite	Coil	NA	NA	NA	NA	PIRSF037096	NA	NA	NA	NA	NA	NA
RFU75574.1	NA	PTHR33099	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72094.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
RFU76897.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR42656:SF2;PTHR42656	IPR009291	NA	NA	NA	NA	NA	NA	PF06101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81705.1	NA	PTHR23088;PTHR23088:SF22	IPR036526	GO:0019500;GO:0030196;GO:0006807	PS50263	NA	SSF56317	NA	G3DSA:3.60.110.10	PF00795	KEGG: 00460+4.2.1.66|MetaCyc: PWY-7142	NA	NA	NA	NA	NA	cd07564	NA	NA	NA	NA	MF_03224	NA	NA
RFU72806.1	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	PTHR13593:SF35;PTHR13593	IPR017946	GO:0006629;GO:0008081	NA	NA	SSF51695	NA	G3DSA:3.20.20.190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
RFU75429.1	NA	PTHR13483	IPR007529	NA	PS51083	NA	SSF144232	NA	G3DSA:3.30.60.190	PF04438	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81265.1	NA	PTHR43669:SF4;PTHR43669	IPR036291	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF13561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80039.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72555.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73068.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80624.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78262.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
RFU75074.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72680.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81240.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR43662;PTHR43662:SF7	IPR018535	NA	NA	NA	NA	NA	NA	PF09362	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
RFU79658.1	NA	PTHR19957:SF3;PTHR19957	IPR010989	GO:0016020;GO:0016192	PS50192	NA	SSF47661	SM00397	G3DSA:1.20.58.70	PF05739;PF11416	Reactome: R-HSA-204005|Reactome: R-HSA-5694530|Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	mobidb-lite	NA	NA	NA	NA	cd15844	NA	NA	NA	NA	NA	NA	NA
