Gene	MobiDBLite	PANTHER	Gene3D	interpro	Pfam	GO	SMART	SUPERFAMILY	CDD	ProSiteProfiles	Coils	PATHWAY	Phobius	PRINTS	TMHMM	PIRSF	Hamap	ProSitePatterns	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	TIGRFAM	ProDom	SFLD
maker-NIGC01000008.1-augustus-gene-20.35-mRNA-1	mobidb-lite	PTHR22765;PTHR22765:SF64	G3DSA:3.30.40.10	IPR001841	PF13639	NA	SM00184	SSF57850	cd16454	PS50089	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-6.51-mRNA-1	NA	PTHR12403;PTHR12403:SF1	G3DSA:3.30.450.70	IPR011012	PF04628	GO:0005622;GO:0006888	NA	SSF64356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-14.6-mRNA-1	NA	NA	G3DSA:3.30.60.180	IPR002893	PF01753	NA	NA	SSF144232	NA	PS50865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-26.22-mRNA-1	NA	PTHR28038	NA	IPR005351	PF03669	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-0.26-mRNA-1	NA	PTHR15107;PTHR15107:SF0	NA	IPR033316	PF08573	GO:0004519;GO:0006281	NA	NA	NA	NA	Coil	Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-8953750|Reactome: R-HSA-912446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-18.10-mRNA-1	NA	PTHR42721:SF3;PTHR42721	G3DSA:3.40.50.1700;G3DSA:2.60.40.10;G3DSA:3.20.20.300	IPR036881	PF00933;PF01915;PF14310;PF01822	GO:0004553;GO:0005975	SM00321;SM01217	SSF52279;SSF51445	NA	PS51212	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-1.35-mRNA-1	mobidb-lite	PTHR13457	NA	IPR016024	PF12397;PF08146		SM01036	SSF48371	NA	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-8.40-mRNA-1	NA	PTHR12665;PTHR12665:SF7	NA	IPR007203	PF04061	GO:0005789;GO:0016021	NA	NA	NA	NA	NA	Reactome: R-HSA-1660661	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PIRSF018147	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-26.15-mRNA-1	NA	PTHR43885:SF1;PTHR43885	G3DSA:3.40.50.1000	IPR036412	PF00702	NA	NA	SSF56784	cd01427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-29.21-mRNA-1	NA	PTHR13789;PTHR13789:SF257	G3DSA:3.50.50.60	IPR036188	PF01494	GO:0071949	NA	SSF51905	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-26.17-mRNA-1	NA	PTHR12725:SF76;PTHR12725	G3DSA:1.10.150.450;G3DSA:3.40.50.1000	IPR006439	PF13419	GO:0016787	NA	SSF56784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01509;TIGR01993	NA	SFLDS00003;SFLDG01132
maker-NIGC01000007.1-augustus-gene-6.7-mRNA-1	NA	PTHR11599:SF63;PTHR11599	G3DSA:3.60.20.10	IPR001353	PF00227	GO:0004298;GO:0005839;GO:0051603;GO:0004175	NA	SSF56235	cd03761	PS51476	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	PR00141	NA	NA	NA	PS00854	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-29.7-mRNA-1	NA	PTHR43961:SF2;PTHR43961	G3DSA:3.30.40.10;G3DSA:3.90.70.10	IPR013083	PF02148;PF00443	GO:0004843;GO:0016578;GO:0008270;GO:0006511;GO:0036459;GO:0016579	NA	SSF54001;SSF57850	NA	PS50235;PS50271	NA	NA	NA	NA	NA	NA	NA	PS00973	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-5.38-mRNA-1	mobidb-lite	PTHR42069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-6.25-mRNA-1	mobidb-lite	PTHR31792	NA	IPR019013	PF09446	GO:0070072	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	MF_03058	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-17.45-mRNA-1	NA	PTHR11124;PTHR11124:SF12	G3DSA:3.60.21.10	IPR000979	PF12850	GO:0030904;GO:0042147	NA	SSF56300	cd07394	NA	NA	Reactome: R-HSA-3238698	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00040	NA	NA
maker-NIGC01000004.1-augustus-gene-6.8-mRNA-1	mobidb-lite	PTHR23430:SF206;PTHR23430	G3DSA:1.10.20.10	IPR002119	PF00125;PF16211	GO:0000786;GO:0003677;GO:0005634;GO:0046982	SM00414	SSF47113	cd00074	NA	NA	Reactome: R-HSA-3214858	NA	PR00620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-19.26-mRNA-1	mobidb-lite	PTHR12934;PTHR12934:SF12	G3DSA:3.100.10.10	IPR005749	PF00828	GO:0003735;GO:0006412;GO:0015934	NA	SSF52080	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	MF_01341	NA	NA	NA	NA	TIGR01071	NA	NA
maker-NIGC01000004.1-augustus-gene-9.11-mRNA-1	mobidb-lite	PTHR13227	NA	IPR011387	PF08662	GO:0003743;GO:0006413	NA	SSF82171	NA	NA	NA	NA	NA	NA	NA	PIRSF017222	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-7.21-mRNA-1	mobidb-lite	PTHR10502:SF107;PTHR10502	G3DSA:1.10.220.10	IPR037104	PF00191	GO:0005509;GO:0005544	NA	SSF47874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-21.58-mRNA-1	NA	PTHR13789	G3DSA:3.50.50.60	IPR036188	PF01494	GO:0071949	NA	SSF51905	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00420	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-24.10-mRNA-1	mobidb-lite	PTHR39150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-15.10-mRNA-1	NA	PTHR42874	G3DSA:3.10.270.10	IPR002042	PF01014	GO:0004846;GO:0006144;GO:0055114	NA	SSF55620	NA	NA	NA	KEGG: 00230+1.7.3.3|KEGG: 00232+1.7.3.3|MetaCyc: PWY-5691	NA	PR00093	NA	PIRSF000241	NA	PS00366	NA	NA	NA	TIGR03383	PD003367	NA
augustus_masked-NIGC01000002.1-processed-gene-12.33-mRNA-1	mobidb-lite	PTHR12121:SF36;PTHR12121	G3DSA:3.60.10.10	IPR036691	PF03372	NA	NA	SSF56219	cd09083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-8.13-mRNA-1	NA	PTHR44415	NA	IPR006845	PF04757		NA	NA	cd16526	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-7.27-mRNA-1	NA	PTHR13608	NA	IPR013636	PF08427	NA	SM01158	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-31.16-mRNA-1	mobidb-lite	PTHR15528;PTHR15528:SF11	NA	IPR034605	PF10181	GO:0003712;GO:0008134;GO:0017176	NA	NA	NA	NA	NA	Reactome: R-HSA-2151201	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-42.30-mRNA-1	NA	NA	G3DSA:3.30.1130.10	IPR006157	PF02152	GO:0004150;GO:0006760	SM00905	SSF55620	NA	NA	NA	KEGG: 00790+4.1.2.25|MetaCyc: PWY-6147|MetaCyc: PWY-6148|MetaCyc: PWY-6797|MetaCyc: PWY-7539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-11.0-mRNA-1	NA	PTHR11071:SF385;PTHR11071	G3DSA:2.40.100.10	IPR029000	PF00160	GO:0000413;GO:0003755;GO:0006457	NA	SSF50891	cd01926	PS50072	NA	NA	NA	PR00153	NA	PIRSF001467	NA	PS00170	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-6.6-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-31.48-mRNA-1	mobidb-lite	PTHR10953;PTHR10953:SF29	G3DSA:3.40.50.720	IPR035985	PF00899	GO:0008641;GO:0019781;GO:0045116	NA	SSF69572	NA	NA	Coil	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-15.5-mRNA-1	NA	PTHR12001;PTHR12001:SF47	G3DSA:1.10.600.10	IPR008949	PF00348	GO:0008299	NA	SSF48576	cd00685	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	PS00444;PS00723	NA	SignalP-TM	NA	NA	NA	SFLDS00005
maker-NIGC01000004.1-augustus-gene-20.6-mRNA-1	mobidb-lite	PTHR12658	NA	IPR022577	PF12612	GO:0005096;GO:0007021;GO:0007023;GO:0048487	NA	SSF48371	NA	PS50077	Coil	Reactome: R-HSA-389977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000009.1-augustus-gene-2.4-mRNA-1	mobidb-lite	PTHR10139	G3DSA:3.60.21.10;G3DSA:3.30.110.110	IPR029052	PF04152;PF00149	GO:0004519;GO:0005634;GO:0006302;GO:0030145;GO:0008408;GO:0030870;GO:0016787	SM01347	SSF56300	cd00840	NA	Coil	Reactome: R-HSA-1834949|Reactome: R-HSA-2559586|Reactome: R-HSA-3270619|Reactome: R-HSA-5685938|Reactome: R-HSA-5685939|Reactome: R-HSA-5685942|Reactome: R-HSA-5693548|Reactome: R-HSA-5693554|Reactome: R-HSA-5693565|Reactome: R-HSA-5693568|Reactome: R-HSA-5693571|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473|Reactome: R-HSA-912446	NA	NA	NA	PIRSF000882	NA	NA	NA	NA	NA	TIGR00583	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-10.25-mRNA-1	NA	PTHR18763:SF0;PTHR18763	G3DSA:2.130.10.10	IPR001680	PF00400	GO:0005515	SM00320	SSF50978	NA	PS50294	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-17.38-mRNA-1	mobidb-lite	PTHR13887;PTHR13887:SF34	G3DSA:3.40.30.10	IPR016024	PF01323	GO:0015035	NA	SSF48371;SSF52833	NA	NA	Coil	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-10.17-mRNA-1	NA	PTHR39599:SF1;PTHR39599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-3.46-mRNA-1	mobidb-lite	PTHR10799;PTHR10799:SF944	G3DSA:3.40.50.300	IPR001650	NA	NA	NA	SSF52540	NA	PS51194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-26.8-mRNA-1	NA	PTHR43884:SF18;PTHR43884	G3DSA:1.20.140.10;G3DSA:2.40.110.10;G3DSA:1.10.540.10	IPR009075	PF00441;PF02771;PF02770	GO:0016627;GO:0055114;GO:0050660;GO:0003995	NA	SSF47203;SSF56645	NA	NA	NA	NA	NA	NA	NA	PIRSF016578	NA	PS00073;PS00072	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-20.38-mRNA-1	mobidb-lite	PTHR20531	G3DSA:3.40.630.30	IPR000182	PF00583	GO:0010485;GO:0043998	NA	SSF55729	cd04301	PS51186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-14.28-mRNA-1	NA	PTHR21339	G3DSA:3.20.20.70	IPR007197	PF04055;PF13353	GO:0003824;GO:0051536	SM00729	SSF102114	cd01335	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	SignalP-TM	SignalP-TM	SignalP-TM	NA	NA	SFLDG01067;SFLDS00029;SFLDF00318
maker-NIGC01000008.1-augustus-gene-5.39-mRNA-1	mobidb-lite	PTHR12145;PTHR12145:SF32	G3DSA:1.50.10.20	IPR005198	PF03663	GO:0008496;GO:0016052;GO:0003824	NA	SSF48208	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	PIRSF016302	NA	NA	SignalP-noTM	SignalP-TM	SignalP-TM	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-1.39-mRNA-1	mobidb-lite	PTHR12046	G3DSA:3.40.630.30;G3DSA:3.90.360.10	IPR017380	PF10394	GO:0004402;GO:0005634;GO:0006348;GO:0016573;GO:0006325	NA	SSF55729	NA	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA	PIRSF038084	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-15.13-mRNA-1	NA	PTHR11177;PTHR11177:SF195	G3DSA:3.20.20.80	IPR017853	PF00704	GO:0008061;GO:0004553;GO:0005975	SM00636	SSF51445	cd02871	NA	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	PS01095	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-21.6-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-0.38-mRNA-1	mobidb-lite	NA	NA	IPR017892	PF00433	GO:0004674;GO:0005524;GO:0006468	SM00133	NA	cd11651	PS51285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-8.28-mRNA-1	NA	PTHR11711;PTHR11711:SF203	G3DSA:3.40.50.300	IPR005225	PF00025	GO:0005525;GO:0005622;GO:0006886	SM00177;SM00178	SSF52540	cd00879	PS51422	NA	NA	NA	PR00328	NA	NA	NA	NA	NA	NA	NA	TIGR00231	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-31.32-mRNA-1	mobidb-lite	PTHR22932;PTHR22932:SF1	G3DSA:2.60.40.790	IPR007052	PF04969	NA	NA	SSF49764	cd06465	PS51203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-42.19-mRNA-1	mobidb-lite	PTHR23102:SF13;PTHR23102	G3DSA:4.10.1000.10	IPR036855	NA	GO:0046872	SM00356	SSF90229	NA	PS50103	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-3.30-mRNA-1	NA	PTHR43157:SF1;PTHR43157	G3DSA:3.40.50.720	IPR002347	PF00106	NA	NA	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-31.47-mRNA-1	mobidb-lite	PTHR42690	G3DSA:3.40.50.1100;G3DSA:3.90.1380.10	IPR001926	PF00291;PF14821	GO:0006520;GO:0030170	NA	SSF53686	cd01560	NA	Coil	NA	NA	NA	NA	NA	NA	PS00165	NA	NA	NA	TIGR00260	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-0.24-mRNA-1	mobidb-lite	PTHR12735;PTHR12735:SF20	G3DSA:3.30.300.90	IPR002634	PF01722	NA	NA	SSF82657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-17.36-mRNA-1	NA	PTHR43270;PTHR43270:SF4	G3DSA:3.30.70.360;G3DSA:3.40.630.10	IPR017153	PF01546;PF07687	GO:0016805;GO:0006508;GO:0008237;GO:0016787	NA	SSF53187	cd05676	NA	NA	NA	NA	NA	NA	PIRSF037242	NA	PS00759	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000012.1-processed-gene-1.27-mRNA-1	NA	PTHR43539;PTHR43539:SF3	G3DSA:3.50.50.60	IPR023753	PF07992;PF00743	GO:0016491;GO:0055114;GO:0004499;GO:0050660;GO:0050661	NA	SSF51905	NA	NA	NA	NA	NA	PR00370	NA	PIRSF000332	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-22.31-mRNA-1	mobidb-lite	PTHR19957;PTHR19957:SF147	G3DSA:1.20.58.70	IPR006011	PF00804;PF05739	GO:0016020;GO:0016192	NA	SSF47661	cd15849	PS50192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-28.31-mRNA-1	mobidb-lite	NA	G3DSA:3.30.160.60	IPR036236	NA	GO:0003676	SM00355	SSF57667	NA	PS50157	NA	NA	NA	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-34.32-mRNA-1	NA	PTHR21049:SF0;PTHR21049	NA	IPR007676	PF04597	GO:0004579;GO:0005783;GO:0006486;GO:0016021	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
maker-NIGC01000009.1-augustus-gene-2.9-mRNA-1	NA	PTHR18952:SF131;PTHR18952	G3DSA:3.10.200.10	IPR001148	PF00194	GO:0004089;GO:0008270	NA	SSF51069	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-5.21-mRNA-1	NA	NA	G3DSA:3.40.30.110	IPR036249	NA	NA	NA	SSF52833	cd00299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-2.50-mRNA-1	NA	PTHR21314:SF0;PTHR21314	NA	IPR019438	PF10343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-30.20-mRNA-1	mobidb-lite	NA	NA	IPR013087	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-33.39-mRNA-1	mobidb-lite	PTHR28035	NA	IPR027539	PF12519	GO:0007005;GO:0032865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_03102	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-43.3-mRNA-1	NA	PTHR23427:SF1;PTHR23427	NA	IPR002995	PF02077	GO:0016021	NA	NA	NA	NA	NA	Reactome: R-HSA-6798695|Reactome: R-HSA-6811434	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PS01339	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-16.17-mRNA-1	NA	PTHR10194;PTHR10194:SF60	G3DSA:1.10.506.10	IPR001936	PF00616	GO:0043087;GO:0007165	NA	SSF48350	NA	PS50018	NA	Reactome: R-HSA-5658442|Reactome: R-HSA-6802949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-9.35-mRNA-1	NA	PTHR23323;PTHR23323:SF26	NA	IPR000547	PF05131	GO:0006886;GO:0016192	NA	SSF57850;SSF75011	cd16462	PS50236	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-7.18-mRNA-1	NA	PTHR23354	NA	IPR006571	PF07534	NA	SM00584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-26.0-mRNA-1	NA	PTHR13410	G3DSA:1.10.3560.10	IPR021148	PF04669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000010.1-augustus-gene-13.7-mRNA-1	mobidb-lite	PTHR13385	G3DSA:3.10.20.90	IPR007242	PF04110	GO:0000045;GO:0005737	NA	SSF54236	cd01612	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-17.24-mRNA-1	mobidb-lite	PTHR13191	NA	IPR040446	PF12923;PF17799		NA	NA	cd12950	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
