Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-3.13-mRNA-1	IPR017853	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	SSF51445	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-8.20-mRNA-1	IPR029058	PF02230	GO:0016787	NA	NA	G3DSA:3.40.50.1820	NA	NA	PTHR10655:SF25;PTHR10655	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_299613_cov_22.944428-augustus-gene-1.52-mRNA-1	IPR036412	NA	NA	NA	NA	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	cd02603	NA	PTHR12725;PTHR12725:SF107	SSF56784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00003;SFLDG01129
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-3.15-mRNA-1	IPR000156	PF00638	GO:0046907	NA	NA	G3DSA:2.30.29.30	cd13179	NA	PTHR23138:SF120;PTHR23138	SSF50729	mobidb-lite	NA	NA	NA	PS50196	SM00160	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-1.11-mRNA-1	IPR018793	PF10203	NA	NA	NA	NA	NA	NA	PTHR28627	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-4.34-mRNA-1	IPR005200	PF03639;PF17652	GO:0052861	NA	NA	G3DSA:2.70.98.30	NA	NA	PTHR31983;PTHR31983:SF9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_1111637_cov_24.871330-augustus-gene-8.0-mRNA-1	IPR000719	PF00069	GO:0004672;GO:0005524;GO:0006468	NA	NA	G3DSA:1.25.10.10;G3DSA:1.10.510.10	cd06627	NA	PTHR24361:SF433;PTHR24361	SSF56112;SSF48371	mobidb-lite	NA	PS00107;PS00108	Coil	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_437981_cov_25.163338-augustus-gene-1.6-mRNA-1	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-4.24-mRNA-1	IPR020993	NA	GO:0005634;GO:0051382	NA	NA	NA	NA	NA	PTHR14401	NA	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-606279|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_501750_cov_22.809847-processed-gene-0.10-mRNA-1	IPR004526	PF00749;PF03950	GO:0000166;GO:0004818;GO:0005524;GO:0005737;GO:0006424;GO:0004812;GO:0006418;GO:0006412;GO:0043039	NA	NA	G3DSA:1.20.1050.10;G3DSA:3.40.50.620;G3DSA:2.40.240.10	NA	NA	PTHR43097;PTHR43097:SF5	SSF50715;SSF52374	NA	NA	PS00178	NA	NA	NA	KEGG: 00860+6.1.1.17|KEGG: 00970+6.1.1.17|MetaCyc: PWY-5188|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-6782315	TIGR00463	NA	PR00987	MF_02076	NA	NA	NA
maker-NODE_63_length_73178_cov_26.896826-augustus-gene-0.27-mRNA-1	IPR012677	NA	GO:0003676	NA	NA	G3DSA:3.30.70.330	NA	NA	NA	SSF54928	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-4.83-mRNA-1	IPR010730	PF06985	NA	NA	NA	NA	NA	NA	PTHR24148;PTHR24148:SF59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-7.26-mRNA-1	IPR029012	PF09785;PF01798	GO:0000244;GO:0000398;GO:0046540	NA	NA	G3DSA:1.10.287.660;G3DSA:1.10.246.90;G3DSA:1.10.150.460	NA	NA	PTHR13904	SSF89124	mobidb-lite	NA	NA	NA	PS51358	SM00931	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_384920_cov_25.747976-augustus-gene-2.60-mRNA-1	IPR038882	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR39153	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_145751_cov_26.300624-augustus-gene-0.21-mRNA-1	IPR016706	PF13869	GO:0003729;GO:0005849;GO:0006378	PIRSF017888	NA	G3DSA:3.90.79.10	NA	NA	PTHR13047:SF0;PTHR13047	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_299613_cov_22.944428-processed-gene-0.0-mRNA-1	IPR032054	PF16679		NA	NA	G3DSA:1.10.10.1420	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	Reactome: R-HSA-539107|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-5.36-mRNA-1	IPR025110	PF13193;PF00501	GO:0003824	NA	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	NA	PTHR24096	SSF56801	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_270403_cov_23.853801-processed-gene-0.37-mRNA-1	IPR016024	PF09090;PF09088	GO:0016070;GO:0000339;GO:0005846;GO:0045292;GO:0051028	NA	NA	G3DSA:1.25.40.180	NA	NA	PTHR12412	SSF48371	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167200|Reactome: R-HSA-167242|Reactome: R-HSA-191859|Reactome: R-HSA-674695|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72187|Reactome: R-HSA-72203|Reactome: R-HSA-77588|Reactome: R-HSA-77595|Reactome: R-HSA-8851708|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_174959_cov_26.935698-augustus-gene-0.65-mRNA-1	IPR001680	PF00400	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR44239;PTHR44239:SF2	SSF50978	NA	NA	PS00678	NA	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-4.31-mRNA-1	IPR001494	PF03810	GO:0006886;GO:0008536	NA	NA	G3DSA:1.25.10.10	NA	NA	PTHR10997;PTHR10997:SF9	SSF48371	mobidb-lite	NA	NA	NA	PS50166	SM00913	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-12.9-mRNA-1	IPR002189	PF01267	GO:0008290;GO:0051016	NA	NA	G3DSA:1.20.1290.20;G3DSA:2.40.160.80	NA	NA	PTHR10653:SF0;PTHR10653	SSF90096	NA	NA	PS00749;PS00748	NA	NA	NA	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	NA	NA	PR00191	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-0.22-mRNA-1	IPR002347	PF13561	GO:0016491	NA	NA	G3DSA:3.40.50.720	cd05233	NA	PTHR42760;PTHR42760:SF33	SSF51735	NA	NA	PS00061	NA	NA	SM00822	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-4.6-mRNA-1	NA	NA	NA	NA	NA	G3DSA:3.30.160.20	NA	NA	NA	SSF54768	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-0.9-mRNA-1	IPR014801	PF08689	GO:0003712;GO:0006357;GO:0016592	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR35784	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_563110_cov_24.829048-augustus-gene-0.20-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-4.15-mRNA-1	IPR002550	PF00571	NA	NA	NA	G3DSA:3.10.580.10	cd04590	NA	PTHR12064;PTHR12064:SF29	SSF54631	mobidb-lite	NA	NA	NA	PS51846;PS51371	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_1086122_cov_24.848966-processed-gene-8.34-mRNA-1	IPR007239	PF04106	GO:0005737;GO:0006914	NA	NA	G3DSA:1.10.246.190;G3DSA:3.10.20.620;G3DSA:3.10.20.90	NA	NA	PTHR13040	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-5205685|Reactome: R-HSA-8934903|Reactome: R-HSA-936440	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_1111637_cov_24.871330-augustus-gene-7.34-mRNA-1	IPR029058	NA	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_427975_cov_24.897092-processed-gene-1.1-mRNA-1	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_981326_cov_21.713968-augustus-gene-0.1-mRNA-1	IPR020040	PF00347	GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0005622	PIRSF002162	NA	G3DSA:3.90.930.12	NA	NA	PTHR11655:SF16;PTHR11655	SSF56053	NA	NA	PS00700	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-3.7-mRNA-1	IPR030231	PF03029	NA	NA	NA	G3DSA:3.40.50.300	NA	NA	PTHR21231:SF3;PTHR21231	SSF52540	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_73178_cov_26.896826-augustus-gene-0.21-mRNA-1	IPR009453	PF06437	GO:0000287;GO:0006190;GO:0009117;GO:0050483	PIRSF028836	NA	NA	NA	NA	PTHR28213	SSF56784	NA	NA	NA	NA	NA	NA	KEGG: 00230+3.1.3.99	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_228873_cov_23.418329-augustus-gene-1.7-mRNA-1	IPR037151	NA	NA	NA	NA	G3DSA:2.60.120.590	NA	NA	PTHR13069:SF11;PTHR13069	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_160414_cov_26.333527-augustus-gene-0.25-mRNA-1	IPR016024	PF01602	GO:0015031;GO:0030276;GO:0006886;GO:0016192;GO:0030117	PIRSF002291	NA	G3DSA:1.25.10.10	NA	NA	PTHR11134;PTHR11134:SF3	SSF48371	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-0.8-mRNA-1	IPR016135	PF00179		NA	NA	G3DSA:3.10.110.10	cd00195	NA	PTHR44158	SSF54495	NA	NA	NA	NA	PS50127	SM00212	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_127753_cov_26.661629-augustus-gene-0.48-mRNA-1	IPR001680	NA	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	PTHR22889	SSF50978	NA	NA	NA	NA	PS50294	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-14.12-mRNA-1	IPR016690	NA	GO:0000213;GO:0000214;GO:0000379	NA	NA	NA	NA	NA	PTHR13070	NA	mobidb-lite	NA	NA	NA	NA	NA	MetaCyc: PWY-6689|MetaCyc: PWY-7803|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_551714_cov_24.697123-processed-gene-4.14-mRNA-1	IPR005225	PF00071	GO:0005525;GO:0003924	NA	NA	NA	cd00154	NA	PTHR24073;PTHR24073:SF354	SSF52540	mobidb-lite	NA	NA	Coil	PS51419	SM00173;SM00174;SM00175	NA	TIGR00231	NA	PR00449	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-15.14-mRNA-1	IPR010326	PF06046	GO:0000145;GO:0006887	NA	NA	G3DSA:1.10.357.50;G3DSA:1.10.357.70	NA	NA	PTHR21292;PTHR21292:SF1	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_71_length_40836_cov_26.114913-augustus-gene-0.3-mRNA-1	IPR022678	PF02799	GO:0004379;GO:0006499	NA	NA	G3DSA:3.40.630.30	NA	NA	PTHR11377:SF5;PTHR11377	SSF55729	NA	NA	PS00976	NA	NA	NA	Reactome: R-HSA-2514859	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-4.13-mRNA-1	IPR036291	PF01408	GO:0016491	NA	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	PTHR22604;PTHR22604:SF136	SSF51735;SSF55347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_110192_cov_27.060664-augustus-gene-0.17-mRNA-1	IPR027417	PF00503	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0001664;GO:0005525;GO:0005834;GO:0007165	NA	NA	G3DSA:3.40.50.300;G3DSA:1.10.400.10	cd00066	NA	PTHR10218;PTHR10218:SF241	SSF52540;SSF47895	NA	NA	NA	NA	NA	SM00275	NA	NA	NA	PR00318;PR01241	NA	NA	NA	NA
maker-NODE_56_length_103439_cov_24.267597-augustus-gene-0.2-mRNA-1	IPR001487	PF00439;PF00583	GO:0005515;GO:0004402	NA	NA	G3DSA:3.40.630.30;G3DSA:1.20.920.10	cd04301;cd05509	NA	PTHR22880:SF124;PTHR22880	SSF55729;SSF47370	mobidb-lite	NA	PS00633	NA	PS51186;PS50014	SM00297	Reactome: R-HSA-1912408|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-3214847|Reactome: R-HSA-350054|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695	NA	NA	PR00503	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-7.20-mRNA-1	IPR036388	PF04695	GO:0005515;GO:0005778;GO:0016560	NA	NA	G3DSA:1.10.10.10	NA	NA	PTHR23058:SF0;PTHR23058	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_384920_cov_25.747976-processed-gene-0.6-mRNA-1	IPR010730	PF06985	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	PTHR33112	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_30_length_374380_cov_23.389282-augustus-gene-2.65-mRNA-1	IPR011057	PF00838	NA	NA	NA	G3DSA:2.170.150.10	NA	NA	PTHR11991;PTHR11991:SF0	SSF51316	NA	NA	PS01003	NA	PS51797	NA	NA	NA	NA	PR01653	NA	NA	NA	NA
maker-NODE_38_length_213953_cov_24.926057-augustus-gene-1.33-mRNA-1	IPR036864	PF00172	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	G3DSA:4.10.240.10	cd00067	NA	PTHR31986:SF7;PTHR31986	SSF57701	mobidb-lite	NA	PS00463	NA	PS50048	SM00066	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-1.8-mRNA-1	IPR004294	PF03055	GO:0016702;GO:0055114	NA	NA	NA	NA	NA	PTHR10543:SF24;PTHR10543	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-2.11-mRNA-1	IPR017943	NA	GO:0008289	NA	NA	NA	NA	NA	PTHR31138;PTHR31138:SF4	SSF55394	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_1086122_cov_24.848966-augustus-gene-1.21-mRNA-1	IPR036959	PF01088	GO:0004843;GO:0005622;GO:0006511	NA	NA	G3DSA:3.40.532.10	cd09616	NA	PTHR10589;PTHR10589:SF41	SSF54001	NA	NA	PS00140	NA	NA	NA	Reactome: R-HSA-5689603	NA	NA	PR00707	NA	NA	NA	NA
maker-NODE_58_length_79692_cov_25.973179-augustus-gene-0.5-mRNA-1	IPR036188	PF01593	GO:0016491;GO:0055114	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.90.660.10;G3DSA:3.50.50.60;G3DSA:1.10.405.10	NA	TMhelix	PTHR42923;PTHR42923:SF16	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_228873_cov_23.418329-augustus-gene-1.8-mRNA-1	IPR005615	PF03199;PF03917	GO:0004363;GO:0005524;GO:0006750;GO:0016874	PIRSF001558	NA	G3DSA:1.10.1080.10;G3DSA:3.30.1490.50;G3DSA:3.30.1490.80;G3DSA:3.30.470.20;G3DSA:3.40.50.1760	NA	NA	PTHR11130;PTHR11130:SF0	SSF56059;SSF52440	NA	NA	NA	NA	NA	NA	KEGG: 00270+6.3.2.3|KEGG: 00480+6.3.2.3|Reactome: R-HSA-174403|Reactome: R-HSA-5579006	TIGR01986	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_299613_cov_22.944428-augustus-gene-0.8-mRNA-1	IPR038872	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR41807	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_537329_cov_23.536180-augustus-gene-2.27-mRNA-1	IPR029062	PF00117	NA	NA	NA	G3DSA:3.40.50.880	cd01741	NA	PTHR42695	SSF52317	NA	NA	NA	NA	PS51273	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-6.24-mRNA-1	IPR036638	PF00010	GO:0046983	NA	NA	G3DSA:4.10.280.10	cd00083	NA	NA	SSF47459	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_1111637_cov_24.871330-processed-gene-8.24-mRNA-1	IPR010750	PF07039	GO:0000124	NA	NA	G3DSA:2.30.30.140	NA	NA	PTHR21539;PTHR21539:SF0	NA	mobidb-lite	NA	NA	NA	PS51518	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-0.27-mRNA-1	IPR000086	PF00293;PF10186	GO:0016787	NA	NA	G3DSA:3.90.79.10	cd04678	NA	PTHR15157:SF5;PTHR15157	SSF55811	mobidb-lite	NA	NA	Coil	PS51462	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-1.21-mRNA-1	IPR001138	PF00172	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	G3DSA:4.10.240.10	cd12148;cd00067	NA	PTHR37534:SF2;PTHR37534	SSF57701	NA	NA	PS00463	NA	PS50048	SM00066	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_580193_cov_25.066322-augustus-gene-4.9-mRNA-1	IPR001138	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	cd00067	NA	PTHR35392;PTHR35392:SF3	SSF57701	mobidb-lite	NA	NA	NA	PS50048	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-16.35-mRNA-1	IPR017849	PF00884;PF12411	GO:0003824;GO:0008484	NA	NA	G3DSA:3.40.720.10	cd16032	NA	PTHR10342:SF261;PTHR10342	SSF53649	NA	NA	PS00149	NA	NA	NA	NA	TIGR03417	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_483063_cov_24.362872-processed-gene-3.5-mRNA-1	IPR008322	PF06792	NA	PIRSF033271	NA	G3DSA:3.40.50.12030;G3DSA:3.40.50.12020	NA	NA	PTHR31862:SF1;PTHR31862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-4.29-mRNA-1	IPR036551	PF02441	GO:0003824	NA	NA	G3DSA:3.40.50.1950	NA	NA	PTHR14359:SF6;PTHR14359	SSF52507	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-196783	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_427975_cov_24.897092-processed-gene-1.2-mRNA-1	IPR025442	PF13810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_1111637_cov_24.871330-augustus-gene-3.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_501750_cov_22.809847-augustus-gene-1.4-mRNA-1	IPR007763	PF05071	GO:0008137;GO:0009055;GO:0016020	NA	NA	NA	NA	NA	PTHR12910;PTHR12910:SF1	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-6.21-mRNA-1	IPR013087	NA	GO:0003676	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	mobidb-lite	NA	PS00028	NA	NA	SM00355	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_551714_cov_24.697123-augustus-gene-2.29-mRNA-1	IPR000504	PF00076	GO:0003676	NA	NA	G3DSA:3.30.70.330	NA	NA	PTHR23236:SF9;PTHR23236	SSF54928	mobidb-lite	NA	NA	Coil	PS50102	SM00360	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-1.24-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	PTHR33681	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_30_length_374380_cov_23.389282-augustus-gene-2.69-mRNA-1	IPR029004	PF01778	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	G3DSA:3.30.390.110	NA	NA	PTHR10544	NA	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-1.40-mRNA-1	IPR009643	PF06825	GO:0003714	NA	NA	G3DSA:1.20.5.430	NA	NA	PTHR19424:SF0;PTHR19424	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-2.23-mRNA-1	IPR016721	PF04051	GO:0030008;GO:0048193	PIRSF018293	NA	G3DSA:3.30.1380.20	cd14942	NA	PTHR13048;PTHR13048:SF0	SSF111126	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
