Gene	interpro	GO	Gene3D	MobiDBLite	Pfam	PANTHER	ProSitePatterns	SMART	SUPERFAMILY	ProSiteProfiles	PRINTS	CDD	PATHWAY	TIGRFAM	Hamap	PIRSF	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	ProDom
PTB77907.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71685.1	IPR020904	GO:0016491	G3DSA:3.40.50.720	NA	PF00106	PTHR45458	PS00061	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75058.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76881.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80093.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72000.1	IPR013226	NA	NA	mobidb-lite	PF08316	PTHR28307:SF2;PTHR28307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB71969.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78055.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75878.1	IPR002677	GO:0003735;GO:0006412;GO:0015934	NA	NA	PF01783	PTHR21026	NA	NA	SSF57829	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR01031	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB74169.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB71488.1	IPR001375	GO:0006508;GO:0008236	G3DSA:2.120.10.30;G3DSA:3.40.50.1820	NA	PF00326	PTHR43056;PTHR43056:SF5	NA	NA	SSF53474;SSF82171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72567.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71379.1	IPR018559	NA	NA	NA	PF09435	PTHR28023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	NA	NA
PTB77885.1	IPR030108	NA	NA	NA	PF06999	PTHR31902:SF1;PTHR31902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80716.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	PTHR35392:SF2;PTHR35392	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78391.1	IPR036527	NA	G3DSA:3.30.1050.10	NA	PF02036	PTHR10094	NA	NA	SSF55718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78931.1	IPR021765	GO:0043386	NA	mobidb-lite	PF11807	PTHR33365:SF4;PTHR33365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB79027.1	NA	NA	NA	mobidb-lite	NA	PTHR39150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB74950.1	IPR011008	NA	NA	NA	PF07110	NA	NA	NA	SSF54909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81189.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79316.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA
PTB77433.1	IPR008040	GO:0016787	G3DSA:3.40.1610.10	NA	PF05378;PF06032;PF01968	PTHR11365;PTHR11365:SF10	NA	NA	SSF160991;SSF53067	NA	NA	NA	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76974.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78981.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72736.1	IPR023603	GO:0006520;GO:0016829;GO:0003824	G3DSA:3.40.640.10	NA	PF01212	PTHR10289	NA	NA	SSF53383	NA	NA	NA	Reactome: R-HSA-6783984	NA	NA	PIRSF017617	NA	NA	NA	NA	NA	NA	NA	NA
PTB76938.1	IPR000772	NA	G3DSA:2.80.10.50	NA	PF14200	NA	NA	NA	SSF50370	PS50231	NA	cd00161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76231.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73207.1	IPR015943	GO:0005515	G3DSA:2.130.10.10	mobidb-lite	NA	NA	NA	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75389.1	IPR039914	GO:0006614;GO:0048500	NA	mobidb-lite	PF05486	PTHR12834	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76794.1	IPR002347	GO:0016491	G3DSA:3.40.50.720	NA	PF00106	PTHR43008:SF8;PTHR43008	PS00061	NA	SSF51735	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71289.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76884.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB79399.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB76283.1	IPR036047	GO:0005515	NA	NA	PF12937	NA	NA	SM00256	SSF81383	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75993.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74879.1	IPR039542	NA	NA	NA	PF13850;PF07970	PTHR10984:SF30;PTHR10984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76626.1	IPR016130	GO:0004725;GO:0016311	G3DSA:3.90.190.10	NA	PF13350	PTHR31126;PTHR31126:SF1	PS00383	NA	SSF52799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72628.1	IPR001209	GO:0003735;GO:0005622;GO:0005840;GO:0006412	G3DSA:4.10.830.10	NA	PF00253	PTHR19836	NA	NA	SSF57716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78091.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75475.1	IPR036236	NA	NA	mobidb-lite	PF12756	PTHR13182:SF8;PTHR13182	NA	NA	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76059.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA
PTB74822.1	IPR037365	GO:0005758	NA	NA	PF04707	PTHR11158;PTHR11158:SF17	NA	NA	NA	PS50904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75655.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA
PTB76241.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75808.1	IPR001790	GO:0005622;GO:0042254	G3DSA:3.90.105.20;G3DSA:3.30.70.1730	NA	PF17777;PF00466	PTHR21141;PTHR21141:SF37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71122.1	IPR003819	GO:0016491;GO:0055114	G3DSA:3.60.130.10	NA	PF02668	PTHR30468:SF27;PTHR30468	NA	NA	SSF51197	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72031.1	IPR013087	GO:0003676	G3DSA:3.30.160.60	mobidb-lite	NA	PTHR14596;PTHR14596:SF67	PS00028	SM00355	SSF57667	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75917.1	IPR031359	NA	NA	mobidb-lite	PF17100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78498.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79823.1	IPR016130	GO:0004725;GO:0016311;GO:0016791	NA	NA	PF13350	PTHR31126:SF10;PTHR31126	PS00383	NA	SSF52799	PS50056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77749.1	IPR029208		NA	mobidb-lite	PF14880	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Coil	NA
PTB72932.1	IPR001451	GO:0016740;GO:0016407	G3DSA:2.160.10.10	NA	PF00132;PF12464	PTHR23416;PTHR23416:SF54	PS00101	NA	SSF51161	NA	NA	cd03357	Reactome: R-HSA-446205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80090.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB79782.1	IPR019148	NA	NA	mobidb-lite	PF09751	PTHR12940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78925.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	PTHR45582	NA	SM00906	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75431.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	TMhelix	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB76896.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80003.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76839.1	IPR009291	NA	NA	NA	PF06101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72246.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78334.1	IPR029058	NA	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73631.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB79052.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB77797.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA
PTB75845.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77650.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81802.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74898.1	IPR008698	GO:0003954;GO:0005739;GO:0008137	NA	NA	PF05676	PTHR20900	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74600.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	NA	PF00172;PF11951	PTHR31069;PTHR31069:SF7	NA	SM00066	SSF57701	PS50048	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71965.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71713.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB77866.1	IPR012880		NA	mobidb-lite	PF07919;PF11817	PTHR14374	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74155.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB71386.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB81663.1	IPR000836	GO:0009116	G3DSA:3.40.50.2020	NA	PF14681	PTHR10285;PTHR10285:SF46	NA	NA	SSF53271	NA	NA	cd06223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75601.1	IPR002347	NA	G3DSA:3.40.50.720	NA	PF00106	PTHR43180;PTHR43180:SF10	NA	NA	SSF51735	NA	PR00080;PR00081	cd05323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79127.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB76371.1	IPR028160	GO:0000462;GO:0005730;GO:0030686;GO:0030688	NA	mobidb-lite	PF15341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77364.1	NA	NA	G3DSA:3.40.220.10	NA	NA	PTHR35596:SF2;PTHR35596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78720.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB80646.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77586.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80101.1	IPR023335	GO:0043461	G3DSA:3.30.2180.30;G3DSA:1.10.3580.10	NA	PF07542	PTHR21013	NA	NA	SSF160909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79046.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71490.1	IPR008949	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	SSF48576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78819.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71085.1	NA	NA	NA	mobidb-lite	PF17242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77025.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA
PTB72945.1	IPR006806	GO:0005747;GO:0022904	NA	NA	PF04716	PTHR12653	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72290.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73874.1	IPR015889	GO:0005506;GO:0016702;GO:0055114;GO:0003824;GO:0006725;GO:0008199;GO:0009712;GO:0018576	G3DSA:2.60.130.10	NA	PF00775;PF04444	PTHR33711;PTHR33711:SF4	NA	NA	SSF49482	NA	NA	cd03461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79481.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73001.1	IPR015421	GO:0003824;GO:0016831;GO:0019752;GO:0030170;GO:0006520	G3DSA:3.40.640.10;G3DSA:3.90.1150.10;G3DSA:1.20.1340.10	NA	PF00282	PTHR11999;PTHR11999:SF70	PS00392	NA	SSF53383	NA	PR00800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79591.1	IPR011009	NA	NA	mobidb-lite	PF01636	PTHR21310	NA	NA	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73097.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81252.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB71949.1	IPR037176	NA	G3DSA:2.60.110.10	NA	PF00314	PTHR31048:SF1;PTHR31048	NA	SM00205	SSF49870	PS51367	NA	NA	NA	NA	NA	PIRSF002703	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
PTB81738.1	IPR029069	GO:0006637;GO:0047617	G3DSA:3.10.129.90	mobidb-lite	PF13622	PTHR11066;PTHR11066:SF34	NA	NA	SSF54637	NA	NA	cd03444	Reactome: R-HSA-193368|Reactome: R-HSA-2046106|Reactome: R-HSA-389887|Reactome: R-HSA-390247|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72323.1	IPR005746	GO:0006662;GO:0015035;GO:0045454	G3DSA:3.40.30.10	NA	PF00085	PTHR10438;PTHR10438:SF366	NA	NA	SSF52833	PS51352	PR00421	cd02947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81075.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB71463.1	IPR018814	NA	NA	mobidb-lite	PF10310	PTHR28265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74449.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71055.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77555.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71890.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78962.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75230.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75510.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81027.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80502.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79375.1	IPR019401		G3DSA:2.60.260.40	NA	PF10276	PTHR13156	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71516.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB72788.1	IPR001932	GO:0003824	G3DSA:3.60.40.10	NA	PF07228	PTHR12320:SF1;PTHR12320	NA	SM00332	SSF81606	PS51746	NA	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71360.1	NA	NA	NA	NA	NA	PTHR39476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB77300.1	NA	NA	NA	mobidb-lite	NA	PTHR43591:SF12;PTHR43591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80487.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78365.1	NA	NA	NA	NA	NA	PTHR42707;PTHR42707:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75225.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77054.1	IPR001060		G3DSA:1.20.1270.60	mobidb-lite	PF00611;PF10291	PTHR23065;PTHR23065:SF44	NA	NA	SSF103657	NA	NA	cd07650	Reactome: R-HSA-8856825|Reactome: R-HSA-8856828	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71455.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
